frame26 #0,4114459#0,543424#3,788737#0,3821385#0,3566091#3,803124# 0,6481602#-0,001768664#4,002847#0,3625056#0,392841#3,798087#0,6343231#0,02984022#3,947896#0,3076784#0,3585139#3,792999#0,5928117#0,1246669#3,797507#0,1431967#0,2555326#3,792201#0,5081547#0,2197878#3,67867#0,2649117#0,1922075#3,666032#0,29947#-0,009466633#3,622427#0,2814389#-0,04510218#3,53663#0,3323224#-0,1019408#3,461918#0,2060937#-0,0858468#3,54309#0,4330499#-0,4589794#3,815512#0,2477598#-0,3548526#3,543079#0,4707162#-0,5273266#3,765034#0,2400627#-0,5686405#3,46822#0,4634446#-0,6021171#3,735153#0,2682885#-0,6216447#3,414061#1  
frame27 #0,4055861#0,5254672#3,788117#0,390902#0,344441#3,822807# 0,6488776#-0,08871406#3,991684#0,3588091#0,3752279#3,787392#0,6318423#-0,05702664#3,93793#0,303675#0,3416508#3,783312#0,5807362#0,03803564#3,791016#0,1382728#0,2409196#3,785422#0,4860709#0,1738685#3,665324#0,2659642#0,1867875#3,677871#0,3414722#-0,06246355#3,633312#0,3298579#-0,1072724#3,542866#0,3687826#-0,161542#3,511822#0,2791765#-0,1342767#3,518865#0,4993556#-0,5969289#3,772789#0,2401557#-0,476557#3,521067#0,2263633#-0,5805876#3,885049#0,2348352#-0,5717689#3,473656#0,3195165#-0,5842121#3,829389#0,2677713#-0,618032#3,416953#1  
frame28 #0,3546929#0,4327543#3,741215#0,3763279#0,2484511#3,762331# 0,6041705#-0,08880968#4,000879#0,3479644#0,2966016#3,758996#0,5966179#-0,06080504#3,943807#0,2912229#0,2670655#3,761555#0,5739602#0,02320887#3,786765#0,1209984#0,1784571#3,783406#0,4980771#0,1244831#3,670118#0,2663198#0,1636637#3,686532#0,3051629#-0,1117369#3,618949#0,2925553#-0,1507972#3,537971#0,3347243#-0,2226856#3,527459#0,2302095#-0,1750682#3,491031#0,4230293#-0,5942386#3,789862#0,2312422#-0,4977543#3,529635#0,1518074#-0,5780033#3,901552#0,2339978#-0,5747011#3,477058#0,247032#-0,5814978#3,851164#0,2678632#-0,6167541#3,418473#1  
frame29 #0,3556207#0,4252589#3,764463#0,377258#0,2445137#3,792771# 0,5996566#-0,106668#3,991654#0,3493247#0,30492#3,78326#0,5916138#-0,07866703#3,935216#0,2956572#0,271319#3,778279#0,5674856#0,005335785#3,779926#0,1346548#0,170516#3,777363#0,4922018#0,1058102#3,664126#0,2466931#0,08971844#3,668835#0,3706354#-0,1470164#3,613341#0,3659229#-0,1899899#3,52519#0,4207934#-0,2582887#3,515291#0,3083878#-0,221454#3,468405#0,571796#-0,6567182#3,773451#0,235863#-0,5050781#3,526434#0,3387922#-0,462633#3,728744#0,2467153#-0,5746384#3,476956#0,4088697#-0,5437277#3,728236#0,2673566#-0,6166573#3,413049#1  
frame30 #0,3580765#0,4121934#3,781886#0,3790974#0,2298542#3,804334# 0,6314549#-0,1356193#3,974108#0,3424361#0,2319256#3,741061#0,6148223#-0,104681#3,921625#0,2855297#0,2050399#3,746274#0,5649244#-0,01186596#3,778072#0,1148102#0,124383#3,77581#0,4484748#0,08291855#3,661571#0,245#0,08575179#3,67098#0,3741332#-0,1450663#3,625957#0,3720073#-0,1837882#3,542191#0,4268089#-0,2538437#3,564255#0,3129119#-0,2203087#3,466925#0,5721302#-0,6140697#3,82077#0,2386874#-0,5106202#3,527528#0,3401994#-0,4208782#3,776391#0,2530635#-0,5961447#3,487398#0,3948189#-0,5102702#3,755736#0,2744111#-0,6186571#3,414831#1  
frame31 #0,3575057#0,375178#3,781325#0,3805681#0,1865082#3,779675# 0,583847#-0,1374224#3,969388#0,3285592#0,187544#3,758567#0,5760935#-0,1067958#3,915384#0,2715748#0,1713011#3,778653#0,5528329#-0,0149163#3,767251#0,1006217#0,1225724#3,852789#0,4589682#0,07240534#3,6574#0,1572018#0,03460252#3,724177#0,3554187#-0,1597481#3,614684#0,3295945#-0,195453#3,533171#0,4024037#-0,2634159#3,508497#0,2356655#-0,2465035#3,47659#0,4851301#-0,6236554#3,80036#0,2400978#-0,5195138#3,526641#0,2538363#-0,4309945#3,756067#0,2361433#-0,6029167#3,490008#0,3338071#-0,5012629#3,750223#0,2716331#-0,6157734#3,420833#1  
frame32 #0,3505248#0,3761824#3,765602#0,3949449#0,2098999#3,812567# 0,5769404#-0,1438241#3,957449#0,2576465#0,2480986#3,818423#0,5678816#-0,1169635#3,90245#0,2499373#0,170918#3,763561#0,5407056#-0,03638185#3,751197#0,08124559#0,1020605#3,812778#0,4495282#0,07024731#3,656633#0,2144327#0,08446193#3,711667#0,3510628#-0,1577389#3,6189#0,331071#-0,1926486#3,535907#0,3854981#-0,2664273#3,566647#0,264982#-0,2244621#3,436367#0,485258#-0,6236865#3,799749#0,2314354#-0,5305279#3,526256#0,2551864#-0,432044#3,755806#0,2547445#-0,5885399#3,458787#0,3344429#-0,5028064#3,753864#0,2427678#-0,6593094#3,400588#1  
frame33 #0,3720424#0,3912584#3,799941#0,40654#0,2148163#3,828482# 0,6190042#-0,1789527#3,973287#0,276576#0,2594404#3,804354#0,6027764#-0,1487675#3,922081#0,2690053#0,1866914#3,746134#0,5540931#-0,05821183#3,7821#0,1016789#0,1096912#3,775321#0,4676065#0,05796927#3,655777#0,2174553#0,05389621#3,669231#0,3462594#-0,1592442#3,61781#0,3313533#-0,1955634#3,532047#0,3892497#-0,2621967#3,513463#0,2594399#-0,2349226#3,449135#0,5261251#-0,5976555#3,817952#0,230125#-0,5307891#3,524685#0,2970119#-0,4068111#3,774293#0,2455538#-0,5993937#3,463932#0,3613658#-0,4907265#3,767079#0,2787868#-0,630996#3,400411#1  
frame34 #0,3222067#0,3753014#3,779938#0,3694608#0,2016233#3,808169# 0,6194283#-0,179734#3,97688#0,3433154#0,2238862#3,72361#0,6032676#-0,1496735#3,925885#0,286069#0,2029711#3,730727#0,5547853#-0,05949184#3,786549#0,1143298#0,1402256#3,765726#0,4732239#0,06619269#3,661633#0,1613396#0,01388221#3,667157#0,3400962#-0,1612911#3,612167#0,3243613#-0,1971907#3,52661#0,3960362#-0,2584361#3,453661#0,2185658#-0,2569295#3,496906#0,4829952#-0,6226022#3,795788#0,2306663#-0,5301536#3,523639#0,2543002#-0,4321061#3,75214#0,2404647#-0,5999465#3,462795#0,3185189#-0,5160232#3,749767#0,2792867#-0,6304674#3,402259#1  
frame35 #0,3596178#0,3688286#3,806978#0,4019915#0,1812#3,757072# 0,6240072#-0,1840838#3,984901#0,2105643#0,1967895#4,040533#0,6078704#-0,1540678#3,933982#0,1874588#0,1772545#3,963357#0,55946#-0,06401987#3,794847#0,1181425#0,1186495#3,74545#0,4670656#0,07794382#3,666803#0,2491887#0,06776547#3,653764#0,3597688#-0,1508186#3,617078#0,3598125#-0,1824236#3,538915#0,4093021#-0,259763#3,555145#0,3055391#-0,2229677#3,448347#0,5551445#-0,6116094#3,818629#0,2310889#-0,528403#3,520071#0,3269603#-0,4215387#3,775069#0,2233146#-0,5971804#3,474472#0,3827457#-0,5099255#3,760949#0,2658104#-0,6218171#3,41394#1  
