frame22 #0,1653935#1,015384#3,414193#0,28146#0,886133#3,461637# 0,6399067#0,5464825#3,665167#0,2767538#1,085494#3,33576#0,5796515#0,5340911#3,6343#0,2266051#1,016553#3,306068#0,5531042#0,5765544#3,463368#0,05345224#0,9699013#3,393909#0,4634278#0,7154307#3,394016#0,1306803#0,7963024#3,362135#0,259497#0,5296679#3,428513#0,2670767#0,4727529#3,370344#0,342669#0,3913344#3,362145#0,1948634#0,4043478#3,346026#0,4338828#-0,1860613#3,515786#0,2222267#-0,1739839#3,338995#0,4302709#-0,5604563#3,529003#0,2395828#-0,5746806#3,237525#0,4454822#-0,6077676#3,439473#0,2970367#-0,6542739#3,291165#1  
frame23 #0,1602326#1,023216#3,421649#0,2752667#0,8882462#3,465029# 0,6582353#0,5180516#3,690795#0,2088139#1,103406#3,414553#0,5991652#0,5028428#3,659058#0,1896689#1,052821#3,368118#0,5406442#0,5718561#3,505479#0,04091965#0,9647524#3,462639#0,4629478#0,7075709#3,403664#0,1194567#0,8133586#3,40537#0,2634645#0,5237721#3,440063#0,2667353#0,4630698#3,382304#0,3493578#0,3728213#3,373311#0,1853914#0,3931968#3,362787#0,4349784#-0,2140148#3,517181#0,2280992#-0,1867596#3,364251#0,4074614#-0,5756705#3,567355#0,2378968#-0,5770169#3,239886#0,4139928#-0,6225033#3,477477#0,2954113#-0,6544449#3,288729#1  
frame24 #0,1526178#0,9996448#3,514574#0,3102647#0,8920994#3,51164# 0,6251549#0,5380865#3,635987#0,2314803#1,100593#3,458762#0,5658367#0,5200691#3,606365#0,2113623#1,053121#3,413648#0,5331304#0,5975393#3,428153#0,06905916#0,9513891#3,500947#0,3876558#0,7117212#3,414374#0,1270082#0,7951188#3,416925#0,2848685#0,4741843#3,460466#0,2841084#0,4058729#3,395766#0,3461966#0,3532281#3,378284#0,2175558#0,3533954#3,379454#0,4334373#-0,2296235#3,521838#0,2275519#-0,1585847#3,398764#0,3819411#-0,6219944#3,584611#0,2392794#-0,5744172#3,246469#0,3751854#-0,6816028#3,523463#0,2931999#-0,6519039#3,284376#1  
frame25 #0,1941862#0,9867994#3,470986#0,3082308#0,8626531#3,521819# 0,6352456#0,5089765#3,658033#0,2341391#1,045796#3,488754#0,5762852#0,4925406#3,626925#0,2133886#0,9936614#3,442002#0,5372855#0,5757356#3,445715#0,06733146#0,9101639#3,540902#0,3807786#0,7002021#3,41977#0,1147011#0,7635987#3,460211#0,288589#0,4575828#3,460479#0,2802517#0,3932526#3,39479#0,3358529#0,3253857#3,377709#0,2152095#0,3415354#3,37728#0,4365118#-0,2486944#3,527025#0,2132792#-0,1505595#3,40695#0,3912587#-0,5962864#3,567704#0,2404641#-0,5706771#3,255546#0,3659361#-0,6547366#3,51137#0,2917103#-0,6489723#3,278924#1  
frame26 #0,2088928#0,9552915#3,521464#0,3040261#0,7999201#3,535903# 0,6301421#0,4831141#3,69758#0,2289291#1,042816#3,55025#0,5711102#0,465447#3,667367#0,2079791#0,9947493#3,505563#0,548211#0,5261297#3,490317#0,06650791#0,8936122#3,592378#0,4020154#0,6652733#3,453365#0,1148762#0,7063534#3,483349#0,2901544#0,4100955#3,468406#0,283816#0,3546278#3,40062#0,3454145#0,2904776#3,381233#0,2160556#0,2909767#3,379992#0,4374844#-0,2506414#3,52934#0,2036459#-0,1684075#3,424406#0,3919306#-0,5939592#3,569731#0,2453014#-0,5671015#3,296746#0,3872172#-0,6420221#3,483283#0,240588#-0,6151644#3,210299#1  
frame27 #0,2109368#0,8978311#3,598324#0,31779#0,7394497#3,544238# 0,6039692#0,456454#3,718663#0,2346441#0,9508774#3,568849#0,5451015#0,4391203#3,688011#0,2112705#0,904302#3,527162#0,5863967#0,4665449#3,521534#0,07530484#0,7907274#3,602257#0,4624935#0,5543329#3,439664#0,1297745#0,5972701#3,47567#0,2966799#0,3569062#3,476347#0,2887984#0,3002015#3,408805#0,3612996#0,2214119#3,385693#0,2068834#0,2363642#3,383336#0,4424392#-0,2535253#3,546107#0,1931814#-0,2088623#3,409775#0,3950914#-0,5880603#3,573798#0,2427072#-0,5664362#3,297311#0,3897505#-0,6357378#3,488606#0,2373662#-0,6141137#3,212119#1  
frame28 #0,2342942#0,8409063#3,604835#0,3307854#0,6758561#3,548972# 0,6347473#0,3774083#3,751888#0,2426301#0,9091758#3,601458#0,5759358#0,3601746#3,721141#0,218744#0,8623415#3,560092#0,5857722#0,400814#3,553207#0,08345081#0,7484574#3,634341#0,4714882#0,4927061#3,465218#0,1377605#0,5555685#3,50807#0,3022759#0,2945176#3,476457#0,2930994#0,2388947#3,408059#0,3617622#0,1621203#3,390399#0,2120487#0,1720328#3,374759#0,4545661#-0,311161#3,647312#0,1828875#-0,2687775#3,406722#0,3966954#-0,6303117#3,599887#0,2340668#-0,5581446#3,313142#0,3692891#-0,6152368#3,523973#0,229091#-0,605795#3,229265#1  
frame29 #0,2571902#0,7570896#3,632893#0,3234617#0,583912#3,549933# 0,6004952#0,3522525#3,710584#0,2329975#0,6515343#3,85601#0,541656#0,3350107#3,679822#0,2017417#0,6464186#3,802512#0,5754596#0,3653602#3,513029#0,1079742#0,6310716#3,656117#0,4263302#0,4558003#3,47462#0,1881517#0,4778033#3,500069#0,302155#0,2230349#3,473914#0,293874#0,1731277#3,405284#0,3474037#0,1220005#3,389382#0,2343215#0,1274061#3,382548#0,4579635#-0,3167257#3,641906#0,1958883#-0,3110698#3,397289#0,3954452#-0,6333241#3,601053#0,2283119#-0,5567688#3,330431#0,3713675#-0,642907#3,523616#0,2837521#-0,6269195#3,287925#1  
frame30 #0,2807381#0,7033382#3,669091#0,3378913#0,5310873#3,571829# 0,6283665#0,2895029#3,784383#0,2308699#0,7408463#3,631057#0,5695047#0,2722545#3,75361#0,1847848#0,6690483#3,667679#0,6002252#0,3159382#3,591352#0,0968902#0,5173707#3,590121#0,4740843#0,3803651#3,501167#0,1996981#0,408071#3,510849#0,2957342#0,1925389#3,480516#0,289056#0,1500045#3,410512#0,3417517#0,07060006#3,385749#0,2221526#0,1050224#3,387878#0,4505536#-0,3428271#3,672787#0,1977555#-0,2162073#3,390827#0,4069286#-0,5800743#3,605515#0,2043606#-0,5064603#3,385961#0,4084108#-0,6320928#3,525117#0,2545592#-0,5825549#3,324158#1  
frame31 #0,3084041#0,6196744#3,667525#0,3377869#0,4473598#3,554596# 0,5695058#0,253571#3,790129#0,1876763#0,5762147#3,725957#0,5107056#0,2363406#3,759388#0,1889999#0,5438555#3,661237#0,5384833#0,2800518#3,599355#0,06112392#0,3988895#3,614423#0,4141986#0,3435306#3,510665#0,1983532#0,3575128#3,530425#0,2903477#0,1303273#3,486102#0,2772685#0,09111699#3,419469#0,3245075#0,04284662#3,368396#0,2150626#0,03890933#3,429328#0,4666387#-0,3783108#3,682359#0,2407064#-0,3268593#3,404709#0,4083546#-0,5814748#3,611629#0,2053715#-0,5099497#3,38535#0,3730139#-0,5997805#3,509755#0,2559231#-0,5859448#3,325087#1  
