frame22 #0,3920686#0,9213052#3,56365#0,5686608#0,7793047#3,567737# 0,6529683#0,2861627#3,36115#0,6858721#0,2666957#3,393802#0,7228271#0,3391157#3,360615#0,7581058#0,2914746#3,398507#0,8515814#0,5374154#3,338366#0,6924307#0,5545357#3,567732#0,6597581#0,6572412#3,438736#0,469924#0,6273376#3,392334#0,6100113#0,3363207#3,582116#0,6339384#0,258115#3,5195#0,6927053#0,2071788#3,474455#0,5985819#0,1906075#3,558048#0,7630465#-0,2336095#3,445141#0,5144738#-0,2193175#3,627645#0,8494251#-0,5805923#3,518217#0,4773483#-0,5657846#3,547419#0,8014785#-0,6507752#3,496968#0,4983797#-0,6126086#3,458035#1  
frame23 #0,4142852#0,9287357#3,564447#0,5834177#0,7791582#3,570592# 0,7925997#0,246931#3,3372#0,7003905#0,2678643#3,397028#0,8161683#0,3196685#3,337012#0,7724182#0,2925728#3,40172#0,8868743#0,5378811#3,351944#0,7062647#0,5547044#3,569606#0,6867248#0,6499338#3,436554#0,4846809#0,6271912#3,395189#0,6339445#0,3351501#3,589596#0,6573049#0,2558592#3,527903#0,7100449#0,2052373#3,483471#0,6174816#0,191441#3,560258#0,7842029#-0,2311735#3,448357#0,5221836#-0,2130142#3,628833#0,8514131#-0,5801701#3,51822#0,4792598#-0,5694985#3,567078#0,8040836#-0,6517228#3,500012#0,4974424#-0,6165251#3,477059#1  
frame24 #0,449048#0,9157471#3,562804#0,6156269#0,7734326#3,573798# 0,7972347#0,3503893#3,349383#0,7322043#0,2637543#3,400723#0,8382192#0,3432957#3,343513#0,8039294#0,2883588#3,405395#0,9367847#0,548271#3,377235#0,7372972#0,5493465#3,571708#0,7078792#0,6529384#3,441605#0,51689#0,6214656#3,398395#0,652644#0,3371876#3,594912#0,6747561#0,2585424#3,534089#0,7252951#0,2071786#3,48893#0,6390487#0,1928088#3,567482#0,7968873#-0,2353455#3,452553#0,5258734#-0,2095841#3,628629#0,857751#-0,5785887#3,52403#0,4773624#-0,544576#3,588954#0,8082303#-0,6456591#3,502072#0,4965906#-0,5908623#3,500774#1  
frame25 #0,4863282#0,9186681#3,552717#0,6377961#0,7667096#3,58001# 0,7772021#0,304748#3,35376#0,7541086#0,2577754#3,40744#0,8434985#0,350696#3,3527#0,8257764#0,2823606#3,41211#0,9464396#0,5531088#3,383304#0,7589098#0,5428035#3,577573#0,7403484#0,6531346#3,451135#0,5390593#0,6147425#3,404607#0,6812449#0,3490319#3,602709#0,7050574#0,2757016#3,543491#0,7695408#0,2261879#3,491041#0,6589656#0,2041387#3,580856#0,8147348#-0,2325635#3,457369#0,5305375#-0,2066586#3,628323#0,8640394#-0,5772486#3,534924#0,4792466#-0,5530515#3,584239#0,8092043#-0,6448799#3,501895#0,4982337#-0,5985116#3,497565#1  
frame26 #0,5026131#0,9114557#3,54776#0,6503692#0,7662157#3,584074# 0,7890791#0,302319#3,358919#0,5037141#0,575363#3,929486#0,858938#0,3552719#3,358384#0,5796517#0,556575#3,862244#0,9877085#0,5633988#3,428912#0,8056912#0,5588299#3,852753#0,7696107#0,6554934#3,461224#0,5864971#0,6305551#3,680247#0,742476#0,3723782#3,586241#0,707953#0,2944531#3,545857#0,7644659#0,2385085#3,491827#0,6686996#0,2265089#3,584944#0,8183153#-0,2260623#3,461725#0,5370134#-0,2030595#3,626691#0,8641201#-0,5759282#3,531337#0,4732712#-0,5611845#3,571591#0,8096138#-0,644514#3,501174#0,4047207#-0,6091312#3,51687#1  
frame27 #0,521356#0,9162015#3,548774#0,6663043#0,7681499#3,575383# 0,7973588#0,2981268#3,367369#0,3593555#0,7884552#3,974145#0,8672177#0,3510798#3,366834#0,3880204#0,6973397#3,933307#1,011608#0,5423048#3,453141#0,5357283#0,5429423#3,85394#0,7846134#0,6628914#3,463394#0,5900151#0,6367154#3,681464#0,7490566#0,3887117#3,590117#0,7141068#0,3133809#3,550608#0,7638894#0,2501191#3,497299#0,6781504#0,2413423#3,590588#0,8260254#-0,2232758#3,4635#0,5432342#-0,1965677#3,625866#0,8653144#-0,5753163#3,531642#0,4758258#-0,5615804#3,57279#0,8098736#-0,6441192#3,499621#0,4089805#-0,6096895#3,515727#1  
frame28 #0,5580212#0,92076#3,526243#0,6786993#0,7639331#3,567853# 0,8343109#0,2727841#3,329987#0,3359254#0,7705818#3,921377#0,8730313#0,3286894#3,366854#0,3636856#0,6839596#3,869618#1,021013#0,5520098#3,466916#0,5266504#0,5353156#3,842442#0,8141838#0,6689557#3,476711#0,5931458#0,6331599#3,681413#0,7545922#0,3894274#3,591764#0,7250581#0,3142258#3,551253#0,7845441#0,254943#3,502743#0,6832877#0,2413466#3,59072#0,8314595#-0,2225427#3,465326#0,5457688#-0,1930087#3,62346#0,8666562#-0,5740094#3,529599#0,4759388#-0,5612918#3,571314#0,8113534#-0,6439503#3,498533#0,4149272#-0,6096923#3,507917#1  
frame29 #0,5985912#0,922289#3,53077#0,7050153#0,7625842#3,57001# 0,8825104#0,2330815#3,373584#0,2968931#0,7555063#3,800087#0,8992366#0,3078256#3,384459#0,3337894#0,6605994#3,775877#1,046134#0,5522369#3,484342#0,4772322#0,4953117#3,76974#0,8659074#0,6759439#3,490314#0,6067915#0,6312447#3,685051#0,7655889#0,3906794#3,594069#0,7413275#0,3167689#3,553693#0,799987#0,2582907#3,509329#0,694948#0,2393617#3,589105#0,8349078#-0,2175653#3,471647#0,5509803#-0,1894543#3,618683#0,8679092#-0,5724756#3,531273#0,4627739#-0,5669987#3,567094#0,8140619#-0,6425661#3,497311#0,4912165#-0,6470287#3,55658#1  
frame30 #0,618065#0,9195253#3,538472#0,7197664#0,7577423#3,573465# 0,9014627#0,2403449#3,369366#0,2493663#0,8047565#3,741563#0,9149204#0,3154846#3,383114#0,2814504#0,7152978#3,697066#1,067508#0,5474612#3,499393#0,4167981#0,5442016#3,701361#0,8804365#0,6753304#3,498435#0,6130922#0,6276398#3,683945#0,7745346#0,3911578#3,597322#0,7521945#0,3186128#3,557562#0,812057#0,2592614#3,515972#0,7036284#0,2379371#3,590128#0,836758#-0,2148374#3,476477#0,5520586#-0,1877267#3,618445#0,8677162#-0,5717627#3,531179#0,4571739#-0,565879#3,564813#0,8141622#-0,6418537#3,495771#0,5037587#-0,6376991#3,562095#1  
frame31 #0,6224257#0,9178218#3,541354#0,725575#0,7582412#3,573364# 0,9111027#0,256499#3,369132#0,2356228#0,8133058#3,660498#0,9243883#0,3290425#3,391836#0,2911268#0,7752366#3,698242#1,087039#0,5445185#3,52321#0,4189958#0,536672#3,678615#0,8850902#0,6735753#3,500196#0,6145741#0,6277569#3,682557#0,77999#0,3928535#3,597998#0,7595069#0,3202889#3,560008#0,8207045#0,2586926#3,520546#0,7098476#0,2397261#3,591165#0,8338857#-0,207317#3,482871#0,5524239#-0,1868853#3,618097#0,8677025#-0,5720955#3,530455#0,4479676#-0,5644488#3,566612#0,8140745#-0,6419346#3,494521#0,5071933#-0,6244851#3,56327#1  
