frame1 #-0,0612275#0,8463526#2,998973#0,005183412#0,6710587#3,013581# -0,2568401#0,2451403#2,716071#-0,6075513#0,5286967#2,933356#-0,1669028#0,260481#2,717345#-0,5338414#0,4889336#2,969569#0,01237447#0,3613198#2,760617#-0,3673461#0,4304594#3,049976#0,1125329#0,5459679#2,902314#-0,1877284#0,5262081#3,098241#0,02075724#0,2958586#3,022587#0,006337265#0,2223611#3,001151#0,07409529#0,1493264#2,958592#-0,06102227#0,1404344#3,034501#0,2618683#-0,253039#2,967091#-0,2605518#-0,2701043#3,043077#0,4050946#-0,5320197#2,99453#-0,3571653#-0,5985573#3,028467#0,3556198#-0,5784022#2,92216#-0,4147187#-0,6704752#2,999813#0  
frame22 #-0,1771527#0,7942101#2,990859#-0,1298723#0,6069865#3,004269# -0,3576007#0,1602028#2,685242#-0,7257994#0,4834689#2,862883#-0,2685867#0,1905814#2,687832#-0,6894069#0,4602526#2,885601#-0,08612427#0,289683#2,7312#-0,4880586#0,375389#3,038514#-0,008164547#0,486532#2,890373#-0,295862#0,4739519#3,093625#-0,07699042#0,2510681#3,020971#-0,08098473#0,179715#3,002439#-0,008836986#0,116908#2,964043#-0,1324428#0,09767587#3,035251#0,1766981#-0,2322616#2,944581#-0,3233335#-0,2524194#3,02819#0,2750689#-0,503917#2,954809#-0,358514#-0,5856906#3,022696#0,2216006#-0,5548947#2,88178#-0,402474#-0,6689128#2,966705#0  
frame23 #-0,1999356#0,7994927#2,982689#-0,1478318#0,6108432#3,001034# -0,3735972#0,1478796#2,678361#-0,7421463#0,4819379#2,84931#-0,2852829#0,1796024#2,678691#-0,692901#0,4484963#2,879969#-0,09961445#0,2905734#2,727715#-0,4915768#0,3739744#3,03884#-0,03332887#0,4830259#2,889357#-0,309409#0,4738217#3,090489#-0,0885271#0,2504534#3,019763#-0,09431049#0,1773404#3,003131#-0,02601896#0,1156623#2,965394#-0,145748#0,09498035#3,036777#0,1738164#-0,2312318#2,945929#-0,3291097#-0,2527049#3,028232#0,2736476#-0,5012068#2,954451#-0,3587587#-0,5883788#3,020422#0,2193594#-0,5525926#2,882533#-0,4115882#-0,6724569#2,969431#0  
frame24 #-0,2692189#0,793111#2,965371#-0,2251955#0,601954#2,990896# -0,3846292#0,1404487#2,637027#-0,7894036#0,4541816#2,773826#-0,299343#0,1730438#2,659754#-0,7179116#0,4130973#2,846922#-0,1239548#0,3033483#2,723207#-0,5342398#0,350849#3,030988#-0,09570315#0,4901182#2,89704#-0,3895644#0,4728843#3,081097#-0,1532972#0,2512226#3,020416#-0,1528365#0,1785756#3,007316#-0,07997109#0,1238708#2,979253#-0,201431#0,09126955#3,03615#0,1699102#-0,2328072#2,952375#-0,3460639#-0,2548736#3,02762#0,2721031#-0,5011968#2,955189#-0,3858294#-0,5807718#3,006389#0,3721662#-0,5630699#2,974825#-0,4518129#-0,6794212#3,01826#0  
frame25 #-0,2917329#0,7940703#2,955339#-0,2395613#0,6080221#2,992909# -0,3863888#0,1427742#2,630439#-0,7939226#0,4386249#2,738234#-0,3003669#0,1746988#2,65143#-0,7125471#0,411395#2,830423#-0,1333392#0,3061529#2,727531#-0,5441045#0,3546773#3,030252#-0,1079793#0,4918215#2,897938#-0,3968735#0,4733407#3,076478#-0,1675352#0,25302#3,020368#-0,1656332#0,1798701#3,009032#-0,09279863#0,1250164#2,981479#-0,2155693#0,0949348#3,037394#0,1633694#-0,2409897#2,962234#-0,3612319#-0,2504716#3,026752#0,2743753#-0,5053919#2,955026#-0,3865222#-0,5802295#3,00619#0,3744164#-0,5688884#2,968568#-0,4278502#-0,6771459#2,971709#0  
frame26 #-0,3193068#0,7928569#2,955795#-0,260574#0,614353#2,985529# -0,4039987#0,1451079#2,607685#-0,7982089#0,419425#2,704948#-0,3385049#0,1660443#2,622259#-0,7215146#0,4038235#2,806903#-0,1463501#0,3124662#2,722822#-0,5742372#0,3640037#3,005012#-0,1338562#0,4958685#2,896773#-0,4276436#0,4788597#3,068566#-0,1867585#0,2579616#3,01999#-0,1830231#0,184374#3,01166#-0,1091283#0,1287746#2,985441#-0,2324674#0,1000052#3,04147#0,1569275#-0,2433123#2,970721#-0,3743898#-0,2481124#3,025074#0,2719394#-0,5052444#2,957624#-0,3891854#-0,5833879#3,002527#0,3712621#-0,5706015#2,967079#-0,4279919#-0,6772257#2,971766#0  
frame27 #-0,3663457#0,8404663#2,934104#-0,323391#0,6561423#2,974919# -0,3998294#0,1645439#2,56403#-0,6976364#0,323264#2,62804#-0,3296946#0,2045735#2,604644#-0,6817136#0,3150735#2,817908#-0,1458589#0,3406332#2,733943#-0,5924641#0,3605194#2,992625#-0,1832553#0,5357926#2,901422#-0,4817985#0,5140314#3,023814#-0,2569358#0,2952871#3,022038#-0,2507834#0,2207768#3,017082#-0,1773218#0,1629907#3,002754#-0,3013183#0,1410907#3,040268#0,06550725#-0,2204104#2,985924#-0,4170558#-0,24161#3,00775#0,2393416#-0,5620648#3,02863#-0,3629951#-0,6054195#3,013633#0,2057198#-0,6165116#2,946994#-0,4286769#-0,678603#2,971479#0  
frame28 #-0,3668566#0,8401776#2,934084#-0,3256503#0,6570075#2,975941# -0,3995207#0,1645692#2,564443#-0,6560208#0,2958738#2,614149#-0,2899956#0,2364679#2,631694#-0,6348882#0,3262403#2,733662#-0,1135771#0,3724582#2,769744#-0,5945461#0,3678659#2,990395#-0,1829929#0,5394306#2,902914#-0,4866645#0,5223374#3,018587#-0,2642219#0,2972412#3,022272#-0,2582599#0,2233542#3,018779#-0,1808536#0,1632657#3,003977#-0,3157537#0,1449867#3,042576#0,03956842#-0,2150953#2,977228#-0,4172755#-0,2415053#3,007446#0,1799399#-0,5675364#3,047885#-0,3613543#-0,6091611#3,012469#0,1485465#-0,621608#2,965856#-0,4222338#-0,6773335#2,971622#0  
frame29 #-0,3703054#0,8509579#2,933398#-0,3340049#0,6666735#2,974197# -0,3619421#0,1857576#2,589855#-0,5975986#0,2763681#2,584348#-0,2770161#0,2478608#2,641239#-0,5953288#0,3033115#2,69559#-0,1017551#0,3805651#2,783098#-0,6037268#0,3675137#2,955574#-0,1842479#0,5521612#2,908814#-0,495376#0,5283751#3,010023#-0,2704685#0,3045225#3,019823#-0,2626625#0,2303487#3,017552#-0,1857553#0,1695362#3,004668#-0,3172842#0,1488911#3,040411#0,01188348#-0,2355812#2,968739#-0,4182969#-0,2408171#3,006503#0,07416048#-0,593235#3,076919#-0,3612652#-0,6104309#3,011621#0,1431371#-0,6568062#3,0857#-0,4162602#-0,6783782#2,981437#0  
frame30 #-0,3786726#0,8706703#2,935533#-0,3401731#0,6776274#2,973324# -0,3435046#0,1941948#2,602934#-0,5399534#0,2748016#2,60056#-0,2447681#0,2746089#2,677423#-0,5539734#0,3056777#2,68841#-0,07918849#0,4047186#2,832315#-0,6048754#0,3800345#2,939249#-0,1870809#0,5668751#2,915907#-0,5056357#0,5389128#3,003258#-0,278871#0,3153633#3,01744#-0,2702746#0,2414024#3,016151#-0,1895508#0,1800569#3,00576#-0,3285364#0,157879#3,035911#-0,0243203#-0,2484949#2,970154#-0,4189455#-0,2406372#3,005903#-0,04367955#-0,601882#3,119227#-0,3609755#-0,6104593#3,011613#0,0584757#-0,6608047#3,131354#-0,4138198#-0,6811239#2,989053#0  
frame31 #-0,3829684#0,9028836#2,938185#-0,3503793#0,69625#2,971494# -0,2363011#0,280484#2,733096#-0,4177574#0,3030419#2,676075#-0,1939905#0,3314437#2,756859#-0,4794146#0,3217431#2,718013#-0,04464547#0,4499707#2,92938#-0,5972993#0,3944795#2,894006#-0,1811714#0,6113847#2,971427#-0,5220039#0,5573549#2,968907#-0,3061535#0,3383823#3,011165#-0,2975479#0,2662254#3,011041#-0,2111717#0,1990768#3,013749#-0,3676906#0,1822214#3,014267#-0,186172#-0,2677693#3,016475#-0,4176703#-0,2545287#2,996645#-0,3183867#-0,6238435#3,054407#-0,4011513#-0,6001363#3,013448#-0,316461#-0,6751184#2,966483#-0,4181612#-0,6822225#2,991997#0  
