frame1 #-0,1255881#0,8299007#3,159125#-0,04870236#0,6721513#3,207671# -0,1705317#0,2234811#2,886879#-0,7005532#0,5255077#3,091994#-0,08054438#0,2643378#2,899257#-0,6146923#0,4992215#3,135088#0,06224459#0,3701029#2,955774#-0,4516291#0,4650635#3,224414#0,0756937#0,5469517#3,088142#-0,2445602#0,5485849#3,273403#-0,01218488#0,2799293#3,21822#-0,02949304#0,2042079#3,18136#0,04564398#0,1288137#3,152657#-0,09847028#0,1295486#3,196904#0,2046608#-0,222213#3,146333#-0,3112198#-0,2620872#3,209159#0,4413319#-0,5767375#3,174679#-0,3813649#-0,5719982#3,189811#0,3918414#-0,6276867#3,092397#-0,4140806#-0,6604582#3,127841#0  
frame22 #-0,2605957#0,9151303#3,160652#-0,3600568#0,7439752#3,158539# -0,3951685#0,598027#2,78376#-0,1740263#0,6395459#2,774341#-0,3047999#0,5643108#3,165169#-0,2358185#0,6404971#2,816481#-0,1762114#0,531535#3,381191#-0,3802922#0,4894134#2,951983#-0,2023964#0,6821321#3,315422#-0,3244646#0,6486608#3,038097#-0,3178378#0,2976896#3,158849#-0,3037188#0,2090909#3,159695#-0,2654842#0,1491133#3,197159#-0,3350358#0,1839958#3,120962#-0,1407037#-0,3336375#3,12664#-0,4734716#-0,2800021#3,239049#-0,1988475#-0,6374078#3,160025#-0,5679532#-0,6123271#3,164401#-0,1122335#-0,6577893#3,106347#-0,4811431#-0,6568884#3,128958#0  
frame23 #-0,2121056#0,9088849#3,08813#-0,2920024#0,752507#3,083047# -0,3271141#0,6065587#2,708243#-0,1450832#0,6705124#2,824404#-0,2368517#0,5727707#3,089519#-0,2068287#0,671463#2,866512#-0,1081253#0,539885#3,305794#-0,379082#0,5358005#2,98317#-0,134342#0,6906639#3,239929#-0,2564102#0,6571925#2,962605#-0,2830116#0,3146442#3,155098#-0,2759#0,2258663#3,167934#-0,2373437#0,1909231#3,172902#-0,2997032#0,2114212#3,174522#-0,09537905#-0,2408709#3,132391#-0,447759#-0,262593#3,239259#-0,1053764#-0,5981376#3,15522#-0,5654307#-0,6083458#3,163602#-0,01073729#-0,6500829#3,107384#-0,4803472#-0,6567331#3,129793#0  
frame24 #-0,1676407#0,8763955#3,115762#-0,2459846#0,7298238#3,178239# -0,2810963#0,5838756#2,803429#0,03293117#0,7731187#2,799587#-0,190937#0,5500181#3,184578#-0,02876826#0,7740685#2,841664#-0,06207697#0,5170256#3,40109#-0,1674221#0,6831999#2,923555#-0,08832422#0,6679807#3,335121#-0,2627503#0,6060428#3,081275#-0,2409409#0,3248043#3,174345#-0,2354675#0,2434329#3,173774#-0,1878263#0,1921706#3,16261#-0,287753#0,2107413#3,178508#-0,02962131#-0,2549382#3,148701#-0,4302523#-0,2664349#3,245098#0,09129928#-0,6204547#3,130305#-0,5602224#-0,603425#3,165689#0,1649827#-0,6505482#3,094287#-0,4834223#-0,6500439#3,11577#0  
frame25 #-0,1337393#0,921383#3,142679#-0,2223247#0,7916738#3,198409# -0,2574364#0,6457255#2,823638#0,08082637#0,7902587#2,82438#-0,1674997#0,6117182#3,204511#0,01917228#0,7912078#2,866426#-0,03835076#0,5784944#3,421521#-0,1067094#0,7012793#2,971568#-0,06466429#0,7298307#3,355291#-0,2408657#0,6161622#3,082484#-0,2260694#0,3589645#3,18013#-0,2224522#0,2712448#3,176643#-0,1653037#0,2289775#3,16938#-0,2793882#0,2256856#3,178738#-0,009172454#-0,2542197#3,154541#-0,4043544#-0,2591743#3,249555#0,1925041#-0,6136489#3,131244#-0,560807#-0,5979595#3,161958#0,2765025#-0,635297#3,135407#-0,4832948#-0,6442568#3,114137#0  
frame26 #-0,1414224#0,9548712#3,212853#-0,1501947#0,8031427#3,2659# -0,1853064#0,6571945#2,891427#0,07242183#0,8600451#3,165081#-0,09520477#0,6232982#3,272504#0,06441304#0,8165785#3,118985#0,03373009#0,5902458#3,489035#0,04038668#0,6861786#2,994347#0,007465675#0,7412996#3,422782#-0,1025447#0,6143156#3,102208#-0,1847829#0,406215#3,216522#-0,1891858#0,326892#3,206302#-0,1549587#0,2904169#3,176668#-0,2244709#0,2751256#3,23625#0,05573136#-0,1722271#3,159069#-0,3635674#-0,2130659#3,250286#0,3051084#-0,54582#3,134174#-0,5525892#-0,5961019#3,154334#0,411313#-0,5896826#3,163304#-0,4650382#-0,6440536#3,128629#0  
frame27 #-0,05963362#0,9209674#3,273665#-0,08310567#0,7506903#3,282019# 0,0211644#1,06228#3,207341#0,1263818#0,8360279#3,224004#0,05615408#1,003334#3,214226#0,1341416#0,7953706#3,178425#0,1611231#0,8264969#3,248502#0,1574211#0,6733985#3,055306#0,07455473#0,6888472#3,438901#-0,008958769#0,6197709#3,120915#-0,1100981#0,373452#3,212661#-0,1116472#0,2992082#3,200485#-0,08293484#0,2588918#3,155501#-0,1495251#0,263548#3,228548#0,1354821#-0,2005247#3,157254#-0,3219584#-0,2143418#3,244824#0,2735168#-0,4809174#3,134152#-0,5042289#-0,4525254#3,130153#0,3639574#-0,5542742#3,156009#-0,4147022#-0,4994118#3,11011#0  
frame28 #0,0009032004#0,8885946#3,274199#-0,02262564#0,7179055#3,282698# 0,1421215#1,08577#3,340692#0,2295087#0,8584129#3,287732#0,1838145#0,9794319#3,341858#0,2179464#0,8136312#3,250372#0,2453872#0,7506759#3,309498#0,1832597#0,6792861#3,151901#0,1350348#0,6560624#3,43958#0,04012189#0,5815298#3,136556#-0,04905141#0,3114278#3,205524#-0,04836245#0,2302239#3,191523#-0,01923821#0,205675#3,176006#-0,08039899#0,1995884#3,195183#0,2402115#-0,2262586#3,165646#-0,287139#-0,2644091#3,245514#0,3122575#-0,5362897#3,176064#-0,4752141#-0,4910831#3,116551#0,4105395#-0,6030636#3,179446#-0,5183579#-0,601844#3,116099#0  
frame29 #-0,01529171#0,8970838#3,280238#-0,03886078#0,7261028#3,288826# 0,2163165#1,067562#3,417487#0,2954665#0,8262866#3,422926#0,2495206#0,9711124#3,412454#0,2776434#0,7904598#3,354582#0,2286904#0,7584774#3,316062#0,2241742#0,6829793#3,163156#0,1187996#0,6642597#3,445708#0,08163524#0,585632#3,147983#-0,003587125#0,309648#3,193634#0,01333784#0,2262005#3,17574#0,0298137#0,2219869#3,170629#0,00149032#0,1928212#3,171138#0,2979313#-0,2136568#3,177561#-0,2517315#-0,2466128#3,227321#0,4567443#-0,5684507#3,172997#-0,4446193#-0,4724878#3,107574#0,5498784#-0,6104482#3,161731#-0,3514853#-0,5144853#3,096309#0  
frame30 #0,04925788#0,8183414#3,280061#0,04495607#0,6387646#3,251614# 0,3905529#1,044926#3,156472#-0,1217889#0,702328#3,456039#0,3988431#0,8980231#3,165875#-0,1394041#0,6313843#3,387039#0,3138625#0,6727567#3,19065#-0,09865955#0,5220059#3,189775#0,2026165#0,5769215#3,408496#0,1294796#0,5734152#3,158173#0,06635974#0,2525385#3,164176#0,07659785#0,1761437#3,148263#0,09655406#0,1606379#3,149441#0,0589051#0,1585563#3,138718#0,3774137#-0,2232516#3,188014#-0,2126801#-0,2707967#3,198325#0,4786869#-0,5459479#3,180498#-0,3978805#-0,515017#3,122387#0,5694833#-0,5887839#3,157798#-0,3070841#-0,557853#3,099687#0  
frame31 #0,1067655#0,7919595#3,267863#0,1061571#0,6120622#3,237555# 0,4064072#1,008999#3,115124#-0,1274265#0,4808412#3,439529#0,4370244#0,9084406#3,11087#-0,1451222#0,4095737#3,370214#0,3962519#0,6877553#3,035802#-0,1447182#0,4150511#3,196394#0,3071429#0,5336294#3,225419#0,0009747476#0,5071343#3,177233#0,1321268#0,2478164#3,165939#0,1371032#0,1799142#3,139078#0,2103987#0,1155428#3,126086#0,0725763#0,1135556#3,118477#0,4102399#-0,2137946#3,201925#-0,1397832#-0,2647268#3,199442#0,5007104#-0,5520641#3,201665#-0,349324#-0,5763748#3,158864#0,51393#-0,5996114#3,111753#-0,3361044#-0,623922#3,068952#0  
