frame25 #0,08386332#0,5386937#3,570954#0,08456539#0,3492669#3,6115# 0,4305081#-0,1349975#3,590589#0,130542#0,1964223#3,12326#0,4099547#-0,07983214#3,648248#-0,0310022#0,1902907#3,28099#0,3368553#0,1204891#3,757442#-0,04772544#0,1019897#3,462445#0,2278243#0,307182#3,683791#-0,05777178#0,2951739#3,576306#0,08205147#0,07566361#3,714154#0,08154869#0,02094296#3,737281#0,151813#-0,0409526#3,779766#0,01011981#-0,04390988#3,739253#0,2118707#-0,3320878#3,625809#-0,00169057#-0,3130579#3,480364#0,123294#-0,5772707#3,810903#-0,01490514#-0,5805656#3,505552#0,1448741#-0,6221305#3,865373#-0,008839155#-0,6317128#3,453107#1  
frame26 #0,078396#0,5912607#3,569121#0,07762135#0,4001943#3,627764# 0,4356799#-0,09444948#3,538432#0,1060052#0,232928#3,140773#0,4227465#-0,04588385#3,603846#0,02429178#0,2219407#3,231316#0,3288718#0,1545339#3,704716#-0,07663605#0,143661#3,443961#0,2231494#0,3637105#3,678794#-0,06432036#0,3465659#3,590536#0,08207268#0,1196951#3,724909#0,08286465#0,06307335#3,746866#0,1534615#0,008854336#3,785449#0,01389168#-0,008193796#3,749405#0,2113867#-0,3259262#3,627725#0,008083296#-0,3011282#3,492672#0,1212434#-0,5757625#3,809488#-0,01513823#-0,5809324#3,505578#0,1474205#-0,637823#3,830215#-0,008863375#-0,6317427#3,453084#1  
frame27 #0,08819593#0,6367195#3,580437#0,0924772#0,4492822#3,63169# 0,4312556#-0,08563139#3,479255#0,05651021#0,2887361#3,196396#0,4182283#-0,02940634#3,538447#0,01677299#0,2696188#3,260107#0,3395413#0,1612191#3,673396#-0,08052763#0,2011112#3,48009#0,2371326#0,378771#3,681604#-0,06152977#0,4060883#3,625916#0,08969223#0,1696919#3,729223#0,08913524#0,1137738#3,751334#0,158366#0,03963944#3,782094#0,0172994#0,04755871#3,764457#0,2090223#-0,3100721#3,63736#0,005960525#-0,2938647#3,501622#0,1209642#-0,5706241#3,81008#-0,01533242#-0,5810536#3,505609#0,1399774#-0,6269999#3,848474#-0,008177222#-0,6325407#3,453211#1  
frame28 #0,100492#0,6828515#3,596167#0,1015502#0,5031029#3,654164# 0,4222997#-0,02996054#3,450832#0,009597657#0,3370681#3,272209#0,402028#0,02538836#3,509341#-0,02531852#0,3351701#3,325859#0,3332364#0,2075537#3,664798#-0,1104632#0,2503962#3,492768#0,261328#0,4392617#3,689672#-0,06179692#0,4265641#3,637135#0,09395131#0,2099416#3,735404#0,092429#0,1503841#3,754529#0,1648346#0,08228434#3,779019#0,01717035#0,07792104#3,767193#0,2098054#-0,2928949#3,648219#0,004691628#-0,2831948#3,507834#0,1256862#-0,5628498#3,814295#-0,02159397#-0,5793642#3,505373#0,1379716#-0,6112146#3,747033#-0,008596323#-0,6328722#3,452818#1  
frame29 #0,1116424#0,7371037#3,624684#0,1096057#0,5077008#3,668901# 0,3953518#0,04082748#3,438755#-0,02502584#0,3803193#3,322417#0,3756121#0,09458995#3,499221#-0,07268907#0,3897216#3,366382#0,3323406#0,2246402#3,633492#-0,2420779#0,422443#3,498713#0,2609537#0,4549306#3,691669#-0,07228519#0,4894576#3,666186#0,100599#0,2453901#3,747897#0,09882107#0,1983581#3,766409#0,1687689#0,1206315#3,79093#0,02070653#0,1246107#3,776198#0,2105427#-0,2870092#3,658737#0,0044004#-0,2526628#3,532169#0,1246555#-0,5638577#3,818541#-0,02263235#-0,5794315#3,505674#0,1282756#-0,6135142#3,75064#-0,007658713#-0,6326249#3,45233#1  
frame30 #0,1167435#0,7722008#3,648308#0,1153553#0,5268849#3,687877# 0,3776121#0,09360565#3,39956#-0,04752713#0,4170786#3,408086#0,3576421#0,1455024#3,463289#-0,08461519#0,4168047#3,419352#0,3308112#0,2870973#3,609901#-0,2447177#0,4686483#3,565551#0,2670913#0,5157691#3,69077#-0,06731079#0,5388494#3,692039#0,101595#0,2864235#3,753636#0,09859589#0,2362394#3,768459#0,1643314#0,166245#3,791571#0,02315015#0,1625908#3,777825#0,2004019#-0,2696424#3,67894#0,003840506#-0,2289795#3,54807#0,1323227#-0,5565135#3,83554#-0,02352706#-0,5833519#3,508386#0,1312082#-0,6050122#3,766009#-0,007648723#-0,6333133#3,453876#1  
frame31 #0,1274481#0,7931923#3,680974#0,1191671#0,539274#3,695292# 0,3447931#0,1093016#3,310845#-0,1040373#0,4420108#3,424085#0,3457886#0,1841645#3,411827#-0,1039371#0,433521#3,441971#0,3249463#0,3475368#3,580275#-0,2306464#0,492403#3,568436#0,2692335#0,5435712#3,698164#-0,04275468#0,5861667#3,70611#0,1045639#0,3013816#3,758931#0,1017772#0,2543429#3,774305#0,1642251#0,183445#3,795375#0,03177846#0,1899689#3,786983#0,1964329#-0,2595597#3,689059#-0,001502357#-0,2140981#3,571219#0,1297114#-0,5526664#3,840274#-0,02604731#-0,578288#3,515945#0,1259607#-0,600562#3,77147#-0,0124137#-0,6323659#3,449734#1  
frame32 #0,1420745#0,8433222#3,698663#0,1300995#0,5869951#3,714204# 0,3151759#0,173431#3,285241#-0,120455#0,4472533#3,435906#0,3202144#0,2356804#3,373777#-0,1272042#0,466394#3,440956#0,3133146#0,3908948#3,535094#-0,2007379#0,535717#3,603524#0,2933766#0,5901113#3,700413#-0,04269278#0,6017921#3,712432#0,1102666#0,3524233#3,76633#0,1063#0,3055089#3,779369#0,1681678#0,2342758#3,794019#0,03186092#0,2198159#3,792015#0,1811437#-0,2211469#3,724003#-0,006050773#-0,1974851#3,592857#0,1327228#-0,5558338#3,84515#-0,02975807#-0,5750058#3,522557#0,1300324#-0,6019633#3,775445#-0,01572616#-0,6307786#3,449928#1  
frame33 #0,1416537#0,9173727#3,714573#0,1346954#0,6686942#3,715959# 0,2710502#0,2296308#3,254683#-0,1514395#0,494563#3,504853#0,2985137#0,3501081#3,430768#-0,1656893#0,4710443#3,465694#0,3341838#0,4532531#3,603346#-0,1967084#0,5543216#3,634625#0,2826666#0,610429#3,699023#-0,03481422#0,647445#3,735835#0,1078711#0,3763198#3,772141#0,1036238#0,3185774#3,784495#0,1660676#0,2542021#3,799979#0,02585636#0,247745#3,798187#0,1756072#-0,2113055#3,755878#-0,01077232#-0,1871391#3,621844#0,1303513#-0,5385948#3,848054#-0,03899682#-0,5593155#3,536942#0,1210517#-0,5835316#3,777998#-0,02314407#-0,6173395#3,461727#1  
frame34 #0,1427073#0,9309202#3,722226#0,1368019#0,6712402#3,718693# 0,2429083#0,3117428#3,259184#-0,1684467#0,5115881#3,539412#0,2702993#0,3786902#3,385746#-0,1708253#0,5120857#3,527566#0,3374196#0,459599#3,616929#-0,2177426#0,5744114#3,701085#0,2792248#0,6201272#3,696578#-0,02896978#0,6464709#3,744709#0,1086856#0,3805466#3,777589#0,1036519#0,3231392#3,791526#0,1652103#0,2630681#3,810833#0,02660666#0,2505063#3,800823#0,1705109#-0,2090342#3,769922#-0,00529553#-0,1965701#3,638705#0,1228211#-0,5630808#3,873793#-0,04044745#-0,552043#3,548362#0,1338236#-0,6288855#3,848863#-0,03427071#-0,6137306#3,474592#1  
