frame1 #-0,04460116#0,9146225#3,443035#-0,007065361#0,7183432#3,47245# 0,1211072#0,2575829#3,353522#-0,03190199#0,4571324#3,31615#0,2141162#0,2340625#3,355123#-0,05642742#0,5061882#3,361113#0,2671828#0,4114439#3,426734#-0,2312228#0,4235725#3,392893#0,1343302#0,6055626#3,395272#-0,1701334#0,5941406#3,534067#-0,008275682#0,385242#3,482841#-0,0248385#0,3222855#3,452547#0,04025865#0,2489302#3,41287#-0,09674996#0,2437903#3,479686#-0,01028992#-0,2485292#3,193489#0,003608338#-0,2048791#3,225662#0,006424999#-0,6070309#3,109851#0,01340858#-0,5857378#3,124134#-0,03671316#-0,6728965#3,057237#-0,05722138#-0,6877511#3,092208#1  
frame68 #-0,6134102#0,7955168#3,9134#-0,4585211#0,6827946#3,876141# -0,1580222#0,1667251#3,721308#-1,059194#0,2150938#3,912107#-0,173041#0,228883#3,709856#-0,9743654#0,2595858#3,889708#-0,2180975#0,4153568#3,689026#-0,7653061#0,4017516#3,828341#-0,3263617#0,5566391#3,794955#-0,571336#0,5274537#3,768023#-0,4489107#0,2598184#3,830809#-0,4422968#0,1879961#3,773983#-0,3825423#0,1507495#3,771341#-0,4830635#0,1371588#3,755335#-0,122557#-0,1868462#3,890778#-0,7411951#-0,2199891#3,88484#-0,05091455#-0,4985144#3,83416#-0,754822#-0,5392145#3,825379#-0,04870534#-0,5624498#3,768342#-0,7465479#-0,5851007#3,736647#1  
frame69 #-0,6055496#0,7965322#3,911174#-0,4485222#0,675652#3,87521# -0,2362059#0,1448383#3,833048#-1,076137#0,2100214#3,918437#-0,2271948#0,2106408#3,797382#-0,9909925#0,2544804#3,896562#-0,2001616#0,4080484#3,703914#-0,77494#0,3919756#3,845819#-0,3314513#0,556607#3,794092#-0,5690039#0,5191401#3,766858#-0,4467293#0,2609287#3,831648#-0,4408011#0,19006#3,774357#-0,3821181#0,1519217#3,771668#-0,4844247#0,1366238#3,755045#-0,116304#-0,1839433#3,890917#-0,7393386#-0,2198367#3,885756#-0,05016103#-0,495017#3,828137#-0,7557692#-0,5370386#3,819615#-0,03794122#-0,5754628#3,753297#-0,7544658#-0,6013507#3,763843#1  
frame70 #-0,5986818#0,8007375#3,917639#-0,4371905#0,6754402#3,883598# -0,1924665#0,1496072#3,744047#-1,062493#0,2230173#3,906397#-0,1931675#0,213518#3,731281#-0,9780737#0,2700981#3,888391#-0,1952707#0,4052503#3,706517#-0,7610965#0,4083717#3,84041#-0,3306599#0,5559922#3,793612#-0,5589775#0,5512141#3,77356#-0,446106#0,264533#3,833436#-0,4416622#0,1963138#3,77527#-0,3841579#0,1550682#3,772105#-0,4910668#0,1421055#3,754087#-0,114354#-0,1819203#3,889639#-0,7376816#-0,2193929#3,886009#-0,05127995#-0,4928014#3,828899#-0,7631907#-0,5343853#3,815598#-0,04839085#-0,5615962#3,77142#-0,7548441#-0,5803773#3,727142#1  
frame71 #-0,5982653#0,8009148#3,917626#-0,4371356#0,6762592#3,882704# -0,1937829#0,1501116#3,749653#-1,059673#0,2241558#3,905943#-0,1942889#0,2134581#3,734013#-0,9748532#0,2694239#3,886606#-0,195807#0,4034975#3,700634#-0,7636606#0,4121596#3,836903#-0,3291611#0,5561395#3,792711#-0,5603015#0,5489274#3,773608#-0,4431221#0,268504#3,833715#-0,4389773#0,2008807#3,775126#-0,3819377#0,1578848#3,772162#-0,4909566#0,1427211#3,753676#-0,1133481#-0,1813664#3,889921#-0,739988#-0,2208741#3,889926#-0,05213681#-0,4917599#3,830235#-0,769358#-0,533973#3,815457#-0,04450893#-0,5377994#3,741688#-0,7617301#-0,5800126#3,72691#1  
frame72 #-0,598716#0,8013599#3,917508#-0,437782#0,6766232#3,881413# -0,1929151#0,1605203#3,744089#-1,055977#0,2381695#3,913124#-0,1933255#0,224102#3,729181#-0,971861#0,2826445#3,89052#-0,1945567#0,4148468#3,698#-0,7565265#0,4226823#3,838619#-0,3250615#0,5727587#3,795141#-0,5639204#0,5687044#3,786155#-0,4410903#0,2756257#3,833642#-0,4389561#0,2106848#3,774698#-0,381582#0,1663295#3,770219#-0,492964#0,1494343#3,753743#-0,1121848#-0,1778378#3,889653#-0,7405922#-0,2209564#3,891439#-0,05263202#-0,4876218#3,830534#-0,7654976#-0,5339862#3,820547#-0,04595877#-0,5560108#3,774537#-0,7617308#-0,5800745#3,731944#1  
frame73 #-0,5961361#0,8027982#3,91828#-0,4364719#0,6777599#3,88009# -0,192581#0,1592721#3,747055#-1,0611#0,245823#3,924746#-0,1925602#0,2224839#3,731105#-0,9778672#0,2902004#3,900407#-0,1924976#0,4121194#3,696807#-0,7569696#0,4225385#3,853067#-0,3249496#0,5744599#3,794624#-0,5617716#0,5800303#3,795341#-0,4387937#0,2775044#3,833396#-0,4383672#0,2122738#3,774078#-0,3816049#0,1679948#3,768779#-0,4925321#0,1518575#3,753627#-0,1139163#-0,1754779#3,887282#-0,736288#-0,2195712#3,891813#-0,05261002#-0,4841881#3,830808#-0,7645324#-0,531404#3,821447#-0,04710732#-0,557263#3,76902#-0,763589#-0,5774734#3,732857#1  
frame74 #-0,5931168#0,8026846#3,918812#-0,432546#0,6799469#3,881021# -0,1917769#0,1572258#3,742783#-1,053187#0,2586648#3,930049#-0,1907188#0,2208137#3,728107#-0,9702033#0,2999507#3,899929#-0,1875445#0,4115774#3,697637#-0,7503735#0,4309844#3,845053#-0,3213605#0,5761354#3,793494#-0,560932#0,581108#3,794907#-0,4365492#0,2794834#3,833952#-0,4368981#0,2140073#3,774038#-0,3810469#0,1685736#3,768492#-0,4914609#0,1537633#3,753473#-0,1133845#-0,17359#3,886532#-0,7401471#-0,2214444#3,896677#-0,05323705#-0,4816793#3,832115#-0,7681105#-0,5325367#3,828236#-0,04835538#-0,5717877#3,762447#-0,7674948#-0,5787306#3,739479#1  
frame75 #-0,5915852#0,8030564#3,919874#-0,4305939#0,6790035#3,877823# -0,1773922#0,1468345#3,746284#-1,044032#0,2629979#3,921328#-0,1779539#0,209891#3,728874#-0,9602886#0,3047782#3,894124#-0,179639#0,3990607#3,690209#-0,7392597#0,4355357#3,840232#-0,3239508#0,5788571#3,792729#-0,53742#0,5884634#3,788017#-0,4367011#0,2785901#3,833504#-0,4356078#0,2127614#3,773406#-0,3814223#0,1687282#3,767969#-0,4871282#0,1552069#3,754485#-0,1145649#-0,1713217#3,884543#-0,7391384#-0,2237015#3,896445#-0,05212501#-0,4779303#3,829611#-0,7709712#-0,5326855#3,822652#-0,0500364#-0,5628824#3,767713#-0,7671846#-0,578775#3,733866#1  
frame76 #-0,5913945#0,8030952#3,919802#-0,4301983#0,6784476#3,875826# -0,1958994#0,1442669#3,749819#-1,043919#0,2629119#3,919581#-0,1901495#0,2070524#3,731795#-0,9602798#0,3049811#3,892546#-0,1728996#0,3954086#3,691293#-0,7379663#0,4357446#3,840428#-0,3241196#0,5795304#3,792512#-0,5357636#0,5882977#3,788546#-0,435456#0,278386#3,833338#-0,4344596#0,2124553#3,773051#-0,3807277#0,1693713#3,766726#-0,4853476#0,1563211#3,755749#-0,1138116#-0,1722107#3,884808#-0,7397254#-0,2217439#3,898309#-0,05180266#-0,4780296#3,830192#-0,774285#-0,5280004#3,815408#-0,04206115#-0,567874#3,769266#-0,7709088#-0,5740752#3,726543#1  
frame77 #-0,591127#0,8019399#3,919428#-0,4281681#0,6758209#3,875792# -0,2031799#0,1564207#3,777384#-1,019157#0,2761261#3,902013#-0,1958636#0,2165121#3,752148#-0,9352626#0,3194754#3,878968#-0,1739148#0,3967865#3,690017#-0,7165999#0,4513398#3,817316#-0,3145005#0,569115#3,790391#-0,5356195#0,5881851#3,788796#-0,4341735#0,2786536#3,833339#-0,4331599#0,2133442#3,772713#-0,3802129#0,1702037#3,766611#-0,4840735#0,156688#3,754672#-0,1146126#-0,1720284#3,884449#-0,7374423#-0,221272#3,89771#-0,0455669#-0,4755746#3,830827#-0,7728311#-0,5249524#3,806555#-0,04439053#-0,5665528#3,768375#-0,7694646#-0,5710611#3,717705#1  
frame78 #-0,5925651#0,8084077#3,924129#-0,4278224#0,6816779#3,881303# -0,2327061#0,1733531#3,814921#-1,048863#0,2540356#3,915362#-0,2184281#0,231341#3,781121#-0,9639112#0,2932545#3,889354#-0,175594#0,4053047#3,693304#-0,7407849#0,4229796#3,836588#-0,315001#0,5689082#3,791015#-0,5329983#0,5481952#3,778321#-0,4333754#0,2783415#3,834045#-0,4320359#0,2129852#3,772954#-0,3791673#0,1704566#3,767511#-0,483016#0,1562556#3,754009#-0,1142428#-0,1722522#3,884212#-0,7379379#-0,2218253#3,897179#-0,04488872#-0,4748695#3,829625#-0,7672157#-0,5266852#3,812466#-0,04751883#-0,5636271#3,774949#-0,7634128#-0,5728788#3,723727#1  
