frame1 #-0,04460116#0,9146225#3,443035#-0,007065361#0,7183432#3,47245# 0,1211072#0,2575829#3,353522#-0,03190199#0,4571324#3,31615#0,2141162#0,2340625#3,355123#-0,05642742#0,5061882#3,361113#0,2671828#0,4114439#3,426734#-0,2312228#0,4235725#3,392893#0,1343302#0,6055626#3,395272#-0,1701334#0,5941406#3,534067#-0,008275682#0,385242#3,482841#-0,0248385#0,3222855#3,452547#0,04025865#0,2489302#3,41287#-0,09674996#0,2437903#3,479686#-0,01028992#-0,2485292#3,193489#0,003608338#-0,2048791#3,225662#0,006424999#-0,6070309#3,109851#0,01340858#-0,5857378#3,124134#-0,03671316#-0,6728965#3,057237#-0,05722138#-0,6877511#3,092208#1  
frame22 #-0,09870504#0,8805088#3,74614#-0,01363479#0,6983679#3,673673# 0,1045222#0,244925#3,417608#-0,0716438#0,706212#3,539508#0,1402418#0,2885352#3,459953#-0,1189339#0,6787779#3,57458#0,2365001#0,4465215#3,503184#-0,2608042#0,5964758#3,69344#0,08811918#0,6099341#3,541121#-0,125037#0,6387043#3,842226#0,01892857#0,4022138#3,656518#-0,01384941#0,3442236#3,632426#0,03255917#0,2570436#3,542017#-0,05540804#0,2311476#3,697899#0,01075542#-0,252924#3,368162#-0,1333847#-0,2446508#3,872334#0,009265956#-0,6001047#3,159613#0,03337072#-0,5590586#3,558155#-0,05056527#-0,6491468#3,106847#0,006076878#-0,5814347#3,44972#1  
frame23 #-0,1073446#0,8770314#3,764845#-0,01748919#0,7245916#3,719841# 0,1002159#0,2435739#3,425046#-0,05222092#0,7649731#3,533911#0,1360826#0,2873636#3,467565#-0,1017871#0,719401#3,583889#0,2233827#0,4471567#3,518859#-0,2504857#0,5826846#3,747474#0,0790012#0,6104217#3,556403#-0,1288914#0,664928#3,888394#0,01914008#0,4104561#3,687272#-0,01590733#0,352129#3,654551#0,02785957#0,2649836#3,557487#-0,05685692#0,2355842#3,712057#-0,008989166#-0,2403062#3,415365#0,07550776#-0,2574769#3,467492#0,02580961#-0,5595478#3,228945#0,2436248#-0,574452#3,150947#-0,05010864#-0,6313424#3,182017#0,1324206#-0,5972809#3,166203#1  
frame24 #-0,1116057#0,8866969#3,768859#-0,02492236#0,7305633#3,732657# 0,0584709#0,2090539#3,436532#-0,1479055#0,7491505#3,557801#0,09145842#0,2503326#3,48405#-0,1782449#0,7198639#3,602836#0,2167477#0,4642569#3,532998#-0,2692634#0,632004#3,751611#0,06158024#0,6164184#3,584001#-0,1363246#0,6708997#3,90121#0,01607796#0,4146985#3,705254#-0,01889253#0,3557495#3,676323#0,02406408#0,2708876#3,582498#-0,05754239#0,2388023#3,734443#-0,02143047#-0,2500321#3,428713#0,07673729#-0,2587466#3,472458#0,03825863#-0,5936567#3,256436#0,246274#-0,5783983#3,153434#-0,02640906#-0,6490312#3,244256#0,137271#-0,5964198#3,185691#1  
frame25 #-0,1154241#0,885105#3,787288#-0,03724087#0,7245926#3,771658# 0,06788834#0,1826911#3,489652#-0,179568#0,7824863#3,599906#0,08869174#0,2507641#3,49884#-0,2051544#0,7460935#3,643142#0,2138211#0,467888#3,536983#-0,2819138#0,6369152#3,786523#0,0569503#0,6185296#3,596694#-0,1486431#0,664929#3,940211#0,01031358#0,4008706#3,730172#-0,0241572#0,3411193#3,698731#0,02040276#0,2639492#3,614873#-0,06129154#0,2382412#3,743269#-0,04714356#-0,2596078#3,45295#0,07023256#-0,2521493#3,50622#0,03872957#-0,6003152#3,300121#0,2409352#-0,5739993#3,185179#-0,02964402#-0,6522636#3,291178#0,1360713#-0,5964707#3,228528#1  
frame26 #-0,1329263#0,9281907#3,775931#-0,04361755#0,7919984#3,815988# 0,06833594#0,1954208#3,48979#-0,2334615#0,8479121#3,669487#0,08180108#0,2649444#3,502925#-0,244716#0,8012315#3,708434#0,2057957#0,4809527#3,547241#-0,2784795#0,6611899#3,838951#0,0522385#0,6282097#3,618999#-0,1550198#0,7323348#3,984541#0,00393188#0,4595332#3,775217#-0,03081444#0,3973083#3,744097#0,01957059#0,2852128#3,627329#-0,07420092#0,2955174#3,811176#-0,08505727#-0,247129#3,497161#0,01147696#-0,2061194#3,658191#0,05439977#-0,5834242#3,383257#0,1833644#-0,5302033#3,3351#-0,009760004#-0,6385865#3,368796#0,07746191#-0,5525537#3,377204#1  
frame27 #-0,1615018#0,9256128#3,828415#-0,04169689#0,7916451#3,822493# 0,05676134#0,2024658#3,489046#-0,2938773#0,8545097#3,74061#0,07326883#0,2704809#3,506829#-0,298107#0,805558#3,777629#0,1952738#0,4835781#3,565799#-0,3107961#0,658703#3,902365#0,04788098#0,6296991#3,634758#-0,1530991#0,7319815#3,991046#0,003838658#0,4554847#3,77688#-0,03119207#0,3926145#3,745201#0,0180554#0,2860985#3,633004#-0,07447332#0,2950584#3,810578#-0,1281455#-0,2464427#3,541107#-0,01040781#-0,2108278#3,755269#0,06186571#-0,5835184#3,449758#0,1781395#-0,4707621#3,384138#-0,00300071#-0,6394207#3,44052#0,0715688#-0,5158357#3,397903#1  
frame28 #-0,1607666#0,9283987#3,88977#-0,03679968#0,7941209#3,825463# 0,02915604#0,1799761#3,474877#-0,2971895#0,8731185#3,678994#0,05641164#0,2846577#3,500794#-0,3030664#0,8229638#3,744108#0,190331#0,4830649#3,581939#-0,3206972#0,6725#3,95313#0,04150868#0,6378703#3,656423#-0,1482019#0,7344573#3,994016#0,003984518#0,4567936#3,779387#-0,03164253#0,3946314#3,747727#0,01331836#0,2930735#3,637667#-0,074783#0,2962355#3,813324#-0,1498686#-0,2325944#3,58717#-0,07513399#-0,1394627#3,709399#0,05332735#-0,5541658#3,520705#0,1721285#-0,4372764#3,406738#-0,01174771#-0,6102479#3,511436#0,06824573#-0,4768037#3,442958#1  
frame29 #-0,1248715#0,8994881#3,888339#-0,04349589#0,732757#3,845136# 0,03120894#0,1973601#3,442044#-0,3650762#0,8472532#3,726624#0,05585942#0,2849162#3,495971#-0,3571681#0,8075477#3,799404#0,1682492#0,485538#3,607342#-0,333444#0,6884314#4,031426#0,03866861#0,6402297#3,674314#-0,1548981#0,6730934#4,013689#-0,002892617#0,3468435#3,770684#-0,03899018#0,2763396#3,733272#0,009425614#0,2363551#3,697035#-0,08648033#0,2225566#3,743716#-0,1593803#-0,2360518#3,642574#-0,02468077#-0,2269021#3,848236#0,0247837#-0,5566581#3,591308#0,1995612#-0,4702454#3,475577#-0,05285675#-0,623061#3,602927#0,09049047#-0,4919174#3,512861#1  
frame30 #-0,1331933#0,9247977#3,893451#-0,06122879#0,7540955#3,876188# 0,03847491#0,268944#3,398595#-0,1545168#0,7207158#3,871363#0,05931984#0,331957#3,472174#-0,2038688#0,7179953#3,915754#0,1597101#0,45569#3,607857#-0,3519248#0,709834#4,062627#0,04059215#0,6376906#3,680983#-0,172631#0,6944319#4,044741#-0,008328717#0,3517326#3,782083#-0,04244623#0,2792531#3,741262#0,008790644#0,2362094#3,712692#-0,09045772#0,2250009#3,745432#-0,1602315#-0,2396348#3,650231#-0,04533466#-0,2164474#3,833102#-0,004432464#-0,5691545#3,669882#0,1631944#-0,5104312#3,488589#-0,08429399#-0,6321293#3,696048#0,07991931#-0,5527229#3,560092#1  
frame31 #-0,117267#0,8924348#3,906158#-0,04655931#0,7034276#3,849821# 0,04325841#0,3266255#3,376349#-0,1374204#0,6672841#3,840959#0,06266684#0,3502499#3,443558#-0,1874843#0,6652637#3,886383#0,1524791#0,4836801#3,620515#-0,337676#0,6592023#4,036358#0,03919794#0,631473#3,688565#-0,1579615#0,643764#4,018374#-0,006622117#0,3325542#3,775107#-0,04177814#0,2641426#3,736217#0,007857837#0,2277816#3,712903#-0,08908688#0,2129481#3,734718#-0,1667763#-0,2508231#3,652879#-0,04317585#-0,2223417#3,853125#-0,05764338#-0,5745218#3,718953#0,1879228#-0,4851443#3,541589#-0,139399#-0,6032276#3,710915#0,09048478#-0,5195609#3,598003#1  
