frame1 #-0,02432762#0,8885243#3,229119#-0,07596213#0,7102063#3,25016# 0,06150312#0,1524555#3,16309#-0,04056296#0,348562#3,03669#0,07843371#0,2272638#3,162459#-0,09429331#0,3659091#3,041815#0,1292255#0,4516885#3,17442#-0,2554843#0,4179505#3,071041#0,0826074#0,6210297#3,301939#-0,2344425#0,5938973#3,186375#-0,1026066#0,3429102#3,262876#-0,09270377#0,272532#3,226293#-0,02416322#0,20555#3,236213#-0,1668357#0,1933404#3,203776#-0,03293053#-0,2565978#2,987171#-0,1867713#-0,2846858#3,187817#-0,0289652#-0,6129586#2,827888#-0,03399402#-0,6260155#2,807675#0,004573014#-0,6622876#2,739782#-0,05796007#-0,6953913#2,754836#1  
frame22 #-0,07409298#0,9401816#3,231872#-0,06971703#0,7357265#3,268427# 0,2329209#0,09808655#3,202885#-0,3026392#0,1411325#3,203832#0,2209328#0,1838693#3,221464#-0,3024854#0,2111635#3,263874#0,1930189#0,4110309#3,289702#-0,2850016#0,3803765#3,354735#0,09197976#0,63252#3,248574#-0,2557808#0,6232198#3,32901#-0,06809404#0,3705457#3,277289#-0,07742079#0,3016793#3,241274#0,001078252#0,223531#3,222772#-0,1593635#0,2224459#3,253433#0,005011741#-0,2372953#2,966835#-0,1493632#-0,2913689#3,226032#0,01225129#-0,6026964#2,786746#-0,0816589#-0,6372429#3,204071#-0,005026657#-0,6423098#2,71391#-0,06137336#-0,6446599#3,109099#1  
frame23 #-0,0897375#0,94453#3,235023#-0,07375285#0,7387609#3,27647# 0,2942944#0,08584099#3,215651#-0,3900601#0,07045562#3,263341#0,2796471#0,1716927#3,229601#-0,3586251#0,1491052#3,304931#0,1958103#0,4121137#3,282552#-0,2871792#0,3706726#3,373228#0,08280395#0,6330109#3,239929#-0,2534783#0,6190319#3,340309#-0,06841699#0,3732601#3,282849#-0,07993536#0,3045875#3,24606#-0,002677776#0,2310226#3,222313#-0,1607366#0,2231552#3,260562#0,01100314#-0,2402924#2,939882#-0,1475344#-0,2952828#3,228056#0,02145363#-0,6043825#2,781861#-0,06914586#-0,633199#3,220372#-0,0007554293#-0,643996#2,710119#-0,05210223#-0,5636613#3,211273#1  
frame24 #-0,09756456#0,9424291#3,241792#-0,07144188#0,7419236#3,28032# 0,3578573#0,09562077#3,215714#-0,4756197#0,04837408#3,410273#0,3254861#0,1799968#3,213381#-0,4185769#0,1445693#3,403318#0,2116675#0,4140005#3,256058#-0,2902201#0,3720684#3,39881#0,07790831#0,6342096#3,236088#-0,2504168#0,6253924#3,372551#-0,06545648#0,3769753#3,286174#-0,08140866#0,3086622#3,250032#-0,00490791#0,2340396#3,220737#-0,1624488#0,2305663#3,272343#0,005177128#-0,2166284#2,926348#-0,1482828#-0,2947265#3,2287#0,0257463#-0,6004935#2,778518#-0,04589792#-0,6195824#3,255846#-0,00399106#-0,6399671#2,709569#-0,005931228#-0,6720528#3,22671#1  
frame25 #-0,1080508#0,9419488#3,247016#-0,07082574#0,745579#3,284478# 0,4106787#0,1463877#3,190763#-0,5119668#0,09323069#3,534827#0,3689913#0,2008979#3,181558#-0,4489169#0,1791002#3,497035#0,2266396#0,4189719#3,244711#-0,3043537#0,3894176#3,43883#0,07696772#0,6347603#3,235056#-0,2480191#0,6271554#3,3803#-0,06506952#0,3843967#3,292261#-0,08240413#0,3168106#3,256346#-0,007516348#0,2438325#3,222788#-0,1621012#0,2356989#3,278185#-0,006435#-0,1946086#2,903206#-0,1592591#-0,2640769#3,237115#0,01745679#-0,5731514#2,771435#-0,06324296#-0,5854159#3,278394#-0,0141209#-0,6126055#2,703351#-0,0215083#-0,6249213#3,234901#1  
frame26 #-0,1191805#0,9406124#3,252008#-0,07193582#0,7541292#3,289014# 0,4700813#0,1691522#3,14562#-0,5142458#0,1553444#3,596992#0,4118319#0,2364539#3,150902#-0,4707872#0,2123935#3,556255#0,2486612#0,4370039#3,231647#-0,3207901#0,4179371#3,48843#0,07467216#0,6381227#3,232824#-0,2450078#0,6260587#3,386788#-0,06344356#0,3905144#3,296584#-0,08167756#0,3223392#3,260637#-0,00757244#0,2529387#3,226235#-0,15972#0,2402721#3,28297#-0,02053801#-0,1395876#2,8895#-0,1614906#-0,263101#3,238352#-0,01431767#-0,523053#2,757797#-0,07457694#-0,5874133#3,2611#-0,03429287#-0,5834607#2,713046#-0,06397718#-0,5886276#3,163384#1  
frame27 #-0,1350747#0,9436591#3,258775#-0,07291472#0,7576007#3,291836# 0,5086489#0,2147927#3,093026#-0,5118378#0,2381989#3,665911#0,4507391#0,2778726#3,11644#-0,4653248#0,3086273#3,624581#0,2665453#0,4566329#3,207898#-0,3205758#0,4673213#3,520917#0,07309483#0,6424327#3,230285#-0,2403088#0,628477#3,388004#-0,06240073#0,3947424#3,300288#-0,08104193#0,3265183#3,264562#-0,008083588#0,263483#3,233894#-0,1576195#0,2434777#3,284992#-0,02557794#-0,1177654#2,881614#-0,1742007#-0,2404807#3,251443#-0,05771441#-0,4906923#2,713306#0,03753982#-0,6057501#3,278745#-0,09324665#-0,5308889#2,645674#0,01790403#-0,5954144#3,18198#1  
frame28 #-0,1419543#0,9426662#3,259567#-0,07850365#0,7652952#3,297893# 0,5468919#0,2919952#3,042774#-0,4860024#0,3553455#3,71069#0,474001#0,336701#3,076599#-0,4366092#0,4080277#3,649712#0,2698179#0,4803858#3,189349#-0,3200577#0,4987462#3,527237#0,07074277#0,6478171#3,228064#-0,2367022#0,6311539#3,391487#-0,0595684#0,4030289#3,306152#-0,07746778#0,3348246#3,270911#-0,004511358#0,2706751#3,238452#-0,1493416#0,2560149#3,292743#-0,03991855#-0,05788967#2,880768#-0,182519#-0,2032743#3,259083#-0,1043982#-0,447758#2,681409#0,0276747#-0,606636#3,27278#-0,1426249#-0,4847349#2,629251#0,004795706#-0,5902407#3,176727#1  
frame29 #-0,1515015#0,9389018#3,261953#-0,0793958#0,7694747#3,298764# 0,5687661#0,3539671#3,00509#-0,4847372#0,4454528#3,746489#0,4963932#0,3867513#3,020902#-0,4432686#0,4763316#3,667238#0,2902632#0,5087588#3,152471#-0,3205168#0,5473292#3,541245#0,06838104#0,6535134#3,225699#-0,2366248#0,6481704#3,418127#-0,05943478#0,4178504#3,313191#-0,07948777#0,350919#3,282076#-0,005707974#0,2806442#3,244447#-0,1526543#0,2729227#3,309811#-0,0505406#0,01191586#2,890416#-0,1813538#-0,1932667#3,264461#-0,1367313#-0,3929623#2,656495#0,008350433#-0,6020591#3,264842#-0,171972#-0,4415204#2,597883#-0,01597801#-0,579702#3,169662#1  
frame30 #-0,1621167#0,9391167#3,265494#-0,08228322#0,7734057#3,300994# 0,5755591#0,4191082#2,958006#-0,467185#0,509926#3,748058#0,4865818#0,4480621#2,991841#-0,4387867#0,5371011#3,690177#0,2813619#0,539167#3,1525#-0,3183768#0,5596625#3,547398#0,06623905#0,6601662#3,222871#-0,2322565#0,6534184#3,421392#-0,06205477#0,4280627#3,319611#-0,08183809#0,3613214#3,290985#-0,009334002#0,2889092#3,250596#-0,1528157#0,287163#3,324775#-0,05064899#0,007010058#2,89287#-0,1634763#-0,1494928#3,270915#-0,1605912#-0,3247794#2,670179#-0,001826555#-0,5843291#3,26368#-0,2034915#-0,371729#2,591328#-0,02937504#-0,5570059#3,170103#1  
frame31 #-0,1651645#0,9372#3,265888#-0,08252283#0,7746316#3,300887# 0,5851086#0,486469#2,9162#-0,467308#0,591503#3,811179#0,4761219#0,5067792#2,966832#-0,4312581#0,5902255#3,75193#0,2762285#0,5743748#3,145066#-0,3170835#0,5684536#3,554073#0,06419277#0,6640223#3,220745#-0,2291983#0,6600901#3,428347#-0,06166464#0,4411047#3,322314#-0,08094191#0,3770639#3,297153#-0,007951909#0,3027118#3,252928#-0,1526478#0,3022601#3,335968#-0,0673432#0,006348522#2,879576#-0,1640687#-0,1304111#3,277356#-0,1830572#-0,2709414#2,687235#0,00330469#-0,5630483#3,276231#-0,2305569#-0,3042428#2,603549#-0,02945978#-0,53356#3,18444#1  
