frame1 #0,00708938#0,8868763#3,250562#-0,06774224#0,7238638#3,24601# 0,04236976#0,1046267#3,105739#0,04437096#0,3501067#3,102038#0,07842001#0,1776721#3,162229#-0,04583663#0,3197456#3,07434#0,07769692#0,4505806#3,18206#-0,2254952#0,4098243#3,071152#0,06979876#0,6803513#3,350841#-0,2160685#0,6037071#3,166744#-0,09394258#0,3372744#3,255293#-0,08793242#0,2601234#3,243158#-0,02678455#0,204506#3,270295#-0,1554248#0,1700162#3,210564#-0,0374205#-0,3030049#3,10281#-0,1846922#-0,2783352#3,202638#-0,01660883#-0,6095207#2,879266#-0,03249258#-0,6318907#2,867159#0,02962842#-0,6537426#2,811091#0,01374467#-0,6761125#2,798984#1  
frame22 #-0,2330009#0,8846748#3,323186#-0,1221905#0,7623421#3,36471# -0,2056726#0,8055865#3,146897#-0,2845231#0,8281625#3,104923#-0,2129949#0,7331172#3,128304#-0,2950777#0,7729341#3,117876#-0,07473969#0,5621874#3,019989#-0,3618931#0,7346879#3,310938#-0,001040241#0,614264#3,230454#-0,2260288#0,6897864#3,470376#-0,02407452#0,3993258#3,376124#-0,04437775#0,3223219#3,345618#0,01882694#0,2438556#3,283103#-0,08352777#0,2538653#3,39949#-0,08841906#-0,2292987#3,407401#-0,2505557#-0,1334341#3,282656#-0,03033225#-0,5765429#3,328548#-0,2785107#-0,5272954#3,517702#-0,05161567#-0,650193#3,328991#-0,3374538#-0,5729172#3,466915#1  
frame23 #-0,2417892#0,8333195#3,414282#-0,1493224#0,6792831#3,407607# -0,198094#0,7306527#3,170332#-0,3116551#0,7451035#3,147804#-0,2054163#0,6581835#3,151739#-0,3227144#0,6897002#3,161651#-0,0671611#0,4872536#3,043429#-0,3885274#0,6514645#3,354312#-0,02393137#0,5954925#3,240141#-0,2531608#0,6067274#3,513274#-0,03140163#0,3415805#3,379913#-0,04914538#0,2704922#3,343105#0,01691109#0,2045685#3,26546#-0,07787561#0,1877164#3,393204#-0,1177499#-0,2478614#3,419009#-0,2323262#-0,1987101#3,260106#-0,03153474#-0,5809379#3,336527#-0,2600388#-0,558853#3,537153#-0,05123411#-0,6551668#3,334522#-0,3213547#-0,6039648#3,488427#1  
frame24 #-0,2447254#0,8363537#3,413638#-0,1483861#0,685424#3,402812# -0,233019#0,6356125#3,167788#-0,3107187#0,7512444#3,142976#-0,2403413#0,5631432#3,149195#-0,3223898#0,6956226#3,157933#-0,08669014#0,4614897#3,061862#-0,3869775#0,6574026#3,350096#-0,04818411#0,5738385#3,241399#-0,2522244#0,6128682#3,508478#-0,0301253#0,3424419#3,378214#-0,04963858#0,2699224#3,343977#0,01128144#0,1945655#3,261669#-0,07520301#0,1826097#3,404298#-0,1455324#-0,2495351#3,412531#-0,2339966#-0,1975805#3,261196#-0,03268087#-0,5751833#3,343288#-0,2521573#-0,5579497#3,535931#-0,0493918#-0,6495299#3,332433#-0,3159087#-0,6036894#3,490724#1  
frame25 #-0,2588606#0,7402804#3,484022#-0,1594976#0,5932656#3,411098# -0,2812659#0,4958754#3,205137#-0,3218303#0,659086#3,151258#-0,2885881#0,4234061#3,186544#-0,3338667#0,6033303#3,166892#-0,1375456#0,3192143#3,104452#-0,3977174#0,5651213#3,358744#-0,1076558#0,495027#3,267891#-0,263336#0,5207099#3,516764#-0,03322268#0,2224845#3,385469#-0,05369733#0,1418689#3,355677#-0,009989294#0,1033914#3,332176#-0,08011981#0,1065976#3,367937#-0,1619057#-0,2865096#3,420377#-0,25802#-0,282207#3,303517#-0,02513307#-0,602474#3,350734#-0,2398772#-0,633419#3,588275#-0,06506807#-0,6659985#3,333901#-0,2801429#-0,6476915#3,68314#1  
frame26 #-0,2440331#0,6782174#3,471578#-0,1365688#0,5078777#3,407734# -0,3039216#0,5019118#3,229822#-0,2989014#0,5736981#3,147886#-0,3112439#0,4294425#3,211229#-0,3115026#0,5177298#3,164588#-0,1602014#0,3252508#3,12914#-0,374205#0,4795406#3,355946#-0,1041744#0,4754645#3,265323#-0,2404072#0,435322#3,513401#0,0583509#0,1966233#3,39869#0,05396256#0,1165111#3,373446#0,1004525#0,08353306#3,33463#0,04696577#0,06836695#3,40238#-0,171232#-0,2917897#3,417286#0,01761569#-0,3370158#3,350375#-0,02101764#-0,6028615#3,361752#0,03860438#-0,7006215#3,637703#-0,06369618#-0,6580871#3,3295#-0,06371269#-0,6840056#3,646411#1  
frame27 #-0,2587171#0,6627635#3,475893#-0,1494103#0,5012704#3,41412# -0,3737603#0,08781502#3,164004#-0,3117429#0,5670909#3,154255#-0,3381145#0,1404092#3,157812#-0,3250072#0,510864#3,172249#-0,231177#0,2981916#3,152631#-0,3863474#0,4727022#3,363007#-0,1244528#0,4257441#3,273882#-0,2532487#0,4287147#3,519786#0,05671169#0,189757#3,412632#0,05401938#0,105881#3,394319#0,09980994#0,06944862#3,357193#0,05020642#0,06107139#3,426971#-0,1910578#-0,3169982#3,428149#0,02354096#-0,3666388#3,405417#-0,02076389#-0,6163176#3,37376#-0,2363191#-0,6020496#3,592602#-0,06362732#-0,6359614#3,313496#-0,2984421#-0,659727#3,562307#1  
frame28 #-0,2664711#0,6549784#3,478642#-0,1545815#0,4988335#3,416101# -0,4426576#0,1006416#3,135008#-0,3169141#0,5646539#3,15622#-0,3949777#0,1422496#3,142068#-0,330494#0,5083005#3,174843#-0,2519383#0,2670734#3,176647#-0,3911802#0,4701535#3,365309#-0,1269261#0,4249914#3,274504#-0,2584199#0,4262778#3,521768#0,002110362#0,2447657#3,430571#-0,009305691#0,1760118#3,412337#0,04797133#0,09729742#3,332631#0,0110655#0,09527887#3,481604#-0,2030713#-0,322263#3,430938#-0,04583849#-0,3280654#3,588111#-0,0179261#-0,6100225#3,372442#-0,2417773#-0,6085371#3,594422#-0,06269129#-0,6386735#3,317912#-0,2755041#-0,6500955#3,664085#1  
frame29 #-0,2833812#0,6349947#3,490187#-0,1669091#0,4843109#3,425461# -0,3942307#0,1027875#3,319494#-0,3292418#0,5501313#3,165758#-0,36309#0,1460535#3,285179#-0,3433527#0,4935595#3,185461#-0,2696681#0,2758515#3,195576#-0,4029297#0,4554399#3,375353#-0,1554161#0,4098813#3,293565#-0,2707475#0,4117552#3,531127#0,01315041#0,2263992#3,438685#0,007472876#0,1503652#3,424172#0,06312319#0,07804955#3,346748#0,02888579#0,07815494#3,491387#-0,2125003#-0,3259019#3,435194#-0,04663372#-0,3325826#3,590274#-0,01906136#-0,6054335#3,372346#-0,2429993#-0,6108218#3,59448#-0,07887809#-0,6435521#3,346035#-0,2768614#-0,6470329#3,657244#1  
frame30 #-0,2860766#0,6201153#3,49633#-0,1674626#0,4557562#3,426858# -0,4196866#0,1641031#3,365994#-0,3297953#0,5215766#3,167331#-0,3812447#0,1890111#3,322581#-0,3444458#0,4647757#3,188162#-0,2659189#0,2637351#3,205626#-0,4028842#0,4266872#3,377455#-0,1597198#0,4063064#3,296819#-0,271301#0,3832005#3,532525#0,02146969#0,1746241#3,430306#0,01508468#0,09945475#3,411169#0,06115989#0,06006096#3,349853#0,0309359#0,03527338#3,460448#-0,2211441#-0,3290425#3,439934#-0,05361323#-0,3549927#3,597365#-0,02325101#-0,6032932#3,377933#-0,2524527#-0,628988#3,60378#-0,06362952#-0,6418484#3,327127#-0,2863559#-0,6494908#3,668032#1  
frame31 #-0,411402#0,6753163#3,560016#-0,3005651#0,5387296#3,496937# -0,3945273#0,0878965#3,381805#-0,4628977#0,60455#3,237633#-0,3779614#0,1342157#3,344836#-0,4803107#0,5464431#3,264774#-0,3282636#0,2731732#3,247135#-0,5327045#0,5085759#3,450899#-0,2105437#0,3991547#3,339017#-0,4044034#0,4661739#3,602603#-0,1173739#0,1484715#3,433109#-0,1246794#0,06157225#3,393502#-0,0722482#0,02317091#3,390472#-0,1470989#0,01855538#3,376629#-0,2488365#-0,3490664#3,468909#-0,4097838#-0,288658#3,484909#-0,03864525#-0,5967575#3,376871#-0,2360464#-0,6094796#3,615304#-0,05723368#-0,6418632#3,319934#-0,2887631#-0,6444269#3,671091#1  
