frame1 #-0,09626535#1,086925#3,430286#-0,0740748#0,8910273#3,444284# 0,1735314#0,1982721#3,447615#-0,2862386#0,1818649#3,420541#0,1679191#0,2748004#3,450042#-0,2835164#0,2532297#3,423221#0,1510821#0,5043851#3,471886#-0,2795705#0,48472#3,455831#0,09499707#0,7559359#3,413898#-0,2391406#0,7435664#3,418944#-0,06527143#0,5026665#3,459524#-0,06431386#0,4285509#3,421673#0,01245024#0,3563249#3,417946#-0,1379117#0,3507586#3,413342#0,03971929#-0,1650992#3,485936#-0,1456407#-0,1605988#3,47644#0,03365525#-0,5004192#3,506223#-0,09692626#-0,5002388#3,528041#0,03270239#-0,5794781#3,45225#-0,115041#-0,5719837#3,473584#0  
frame22 #-0,08952849#1,101665#3,470161#-0,07872548#0,9094751#3,493421# 0,16535#1,019426#3,378643#-0,1340031#0,7804031#3,183984#0,1407168#0,963573#3,344449#-0,2036783#0,7870354#3,203913#0,2642818#0,8112317#3,300756#-0,412704#0,8069323#3,277734#0,09435563#0,8202881#3,44429#-0,2496905#0,8224821#3,426382#-0,07407047#0,5574113#3,5004#-0,07023524#0,4998065#3,444924#0,007672848#0,4238702#3,432948#-0,1446501#0,4155861#3,437047#0,04192631#-0,1548687#3,483713#-0,1495777#-0,1492313#3,470736#0,04437405#-0,5052328#3,504065#-0,09993979#-0,5070725#3,5258#0,03526444#-0,5767978#3,449369#-0,1148718#-0,5793933#3,480989#0  
frame23 #-0,08403766#1,086916#3,476356#-0,07619022#0,9033165#3,497347# 0,1447719#1,098762#3,254487#-0,2827217#1,108249#3,254989#0,1645713#1,034028#3,238375#-0,2955034#1,020187#3,224251#0,2041431#0,8348027#3,22955#-0,3386387#0,8219173#3,23192#0,07358563#0,7696961#3,431691#-0,230208#0,7655522#3,438532#-0,06873213#0,5199301#3,498523#-0,06920318#0,4473206#3,441396#-0,0002785842#0,3854486#3,432876#-0,1380973#0,3874611#3,429303#0,04199873#-0,156045#3,484939#-0,1490075#-0,1530111#3,471921#0,04475298#-0,504019#3,502548#-0,09897602#-0,5075578#3,526542#0,03407359#-0,5771819#3,44955#-0,1120594#-0,5802803#3,48016#0  
frame24 #-0,08514588#1,095542#3,487253#-0,07747599#0,9046606#3,501815# 0,1085211#1,102694#3,052888#-0,2691809#1,095417#3,064417#0,1280681#1,037653#3,060786#-0,2761105#1,027399#3,065135#0,1602905#0,8442942#3,184017#-0,2948599#0,8233717#3,180736#0,07259826#0,7681597#3,431864#-0,2270541#0,7629676#3,444738#-0,06785741#0,5195234#3,499528#-0,06923151#0,4478943#3,442408#-0,0002665903#0,385714#3,433196#-0,1376255#0,387#3,430826#0,04200359#-0,156162#3,485476#-0,1490498#-0,1540303#3,472372#0,04782403#-0,5024433#3,505228#-0,09862495#-0,5090061#3,527017#0,03533201#-0,5755961#3,449482#-0,1109786#-0,5815107#3,490001#0  
frame25 #-0,09050702#1,083739#3,499649#-0,07471437#0,8986604#3,531682# 0,1319661#0,6722882#2,857255#-0,245787#0,6803005#2,868206#0,1188342#0,6307396#3,008188#-0,2536523#0,648422#2,954645#0,1561721#0,8467944#3,180308#-0,2906542#0,8230113#3,17923#0,06661483#0,7684084#3,428265#-0,2193436#0,760815#3,446756#-0,06689256#0,506299#3,505594#-0,06952408#0,4393059#3,446182#-0,003346709#0,3809423#3,434626#-0,1340008#0,3784223#3,434652#0,04235439#-0,1612408#3,487855#-0,1484005#-0,1576739#3,472835#0,04508746#-0,5013365#3,505267#-0,09770621#-0,5095532#3,527499#0,03625131#-0,5759315#3,448446#-0,1103579#-0,5815683#3,488398#0  
frame26 #-0,09170204#1,08839#3,500448#-0,07932992#0,8946598#3,520014# 0,1290999#0,3460785#3,010588#-0,2485486#0,3318135#3,052922#0,1260695#0,3948894#3,058874#-0,2639966#0,4002421#3,197058#0,1397551#0,5608999#3,292604#-0,264018#0,5433289#3,356203#0,07503605#0,7678378#3,42884#-0,2316702#0,7557648#3,446424#-0,0675834#0,5081126#3,504944#-0,06976786#0,4409801#3,445354#-0,001902304#0,379971#3,432498#-0,1351447#0,377208#3,433959#0,04267727#-0,1619268#3,489018#-0,1483963#-0,1590591#3,471003#0,0448092#-0,5019835#3,504535#-0,09828901#-0,5083025#3,527811#0,03465822#-0,5755852#3,449233#-0,1099853#-0,5805063#3,486079#0  
frame27 #-0,09266776#1,088842#3,499068#-0,0778849#0,8946977#3,510229# 0,1296334#0,266223#3,183225#-0,2566737#0,2357409#3,248008#0,1308236#0,3248234#3,255639#-0,2689018#0,3082399#3,305224#0,133461#0,4956113#3,38328#-0,2751706#0,4898263#3,414471#0,07869853#0,7670282#3,42896#-0,2335947#0,7548258#3,449387#-0,06784171#0,5095209#3,499921#-0,07048242#0,4423877#3,441046#-0,0009389203#0,377856#3,425716#-0,1378765#0,3753482#3,429918#0,04250333#-0,1621463#3,487337#-0,1482447#-0,1596403#3,470174#0,04431885#-0,5030469#3,503355#-0,09808332#-0,5078799#3,527753#0,03830172#-0,5759491#3,446852#-0,1107525#-0,5811414#3,488831#0  
frame28 #-0,09534732#1,09569#3,473097#-0,07908247#0,8910469#3,462355# 0,124928#0,2541179#3,307068#-0,276894#0,2254111#3,338894#0,1387315#0,3272384#3,365104#-0,281436#0,3043095#3,390466#0,165875#0,5095637#3,471638#-0,2967798#0,496335#3,47814#0,08815318#0,7624433#3,433101#-0,2370432#0,753266#3,445404#-0,07139853#0,5165597#3,488963#-0,07217713#0,4455945#3,434491#1,578097E-05#0,376969#3,420601#-0,1418005#0,3745127#3,426873#0,04243494#-0,1623317#3,48459#-0,1483976#-0,1602173#3,469318#0,04412539#-0,5051758#3,503746#-0,1007832#-0,5062364#3,527817#0,03482563#-0,5770534#3,447384#-0,1112126#-0,5805563#3,488423#0  
frame29 #-0,09464528#1,097936#3,459465#-0,07853235#0,8922507#3,46044# 0,1553107#0,3509868#3,353441#-0,2889376#0,3027921#3,338263#0,1459885#0,3910131#3,409791#-0,2919769#0,3745919#3,421676#0,1864284#0,5702156#3,533366#-0,3143282#0,5508627#3,541065#0,09083786#0,7647712#3,434665#-0,238505#0,7561175#3,444209#-0,07151912#0,5208208#3,483065#-0,07199766#0,4513246#3,430077#0,0008839417#0,3795042#3,419211#-0,1427811#0,3765197#3,423568#0,04263984#-0,1623617#3,484025#-0,1484131#-0,1600293#3,468774#0,04351911#-0,5055218#3,504729#-0,1014256#-0,5053612#3,528076#0,03491289#-0,5773518#3,447385#-0,1138495#-0,5787341#3,484263#0  
frame30 #-0,09486626#1,09486#3,436312#-0,07675518#0,8930449#3,45674# 0,1634129#0,3647516#3,344904#-0,2946686#0,3535189#3,348313#0,1474228#0,4094819#3,395993#-0,2813071#0,3837834#3,40973#0,1853246#0,5726659#3,534825#-0,3144606#0,5614537#3,54186#0,09185558#0,7679503#3,433765#-0,2400982#0,7602448#3,438992#-0,07186677#0,5225404#3,480246#-0,07188304#0,4530054#3,428693#0,001111554#0,3801913#3,418773#-0,143206#0,3775828#3,422543#0,04266571#-0,1625183#3,484096#-0,1484989#-0,1600197#3,468725#0,03958864#-0,5089964#3,505266#-0,1023578#-0,5045155#3,528605#0,04106891#-0,5791337#3,44499#-0,1135755#-0,5806023#3,491251#0  
frame31 #-0,0926498#1,087383#3,418432#-0,07783968#0,897559#3,441122# 0,1514913#0,4735585#3,281699#-0,276592#0,4915003#3,27448#0,1309143#0,5210192#3,328479#-0,2529116#0,5295095#3,327948#0,162384#0,622413#3,519035#-0,3125278#0,590507#3,529488#0,08916672#0,776364#3,43129#-0,2410092#0,7656156#3,433824#-0,07229163#0,5273173#3,47275#-0,07179727#0,4562778#3,424965#0,001166853#0,3832657#3,417441#-0,1428957#0,380486#3,419109#0,04224645#-0,1619054#3,483392#-0,1486627#-0,1593762#3,46857#0,0423188#-0,5059791#3,500248#-0,1038079#-0,5018255#3,529836#0,03816772#-0,5786668#3,445622#-0,113658#-0,5802968#3,489571#0  
frame32 #-0,09359468#1,089062#3,414078#-0,07775718#0,8986102#3,437539# 0,1411037#0,4706253#3,223387#-0,2796108#0,5076377#3,270741#0,1205441#0,5180458#3,270128#-0,2559504#0,5456148#3,324164#0,159552#0,6010549#3,46736#-0,3156391#0,6165609#3,520893#0,0863042#0,7796503#3,426701#-0,2399122#0,7736188#3,427432#-0,07249187#0,5283839#3,468035#-0,0716845#0,4571387#3,422777#0,001031901#0,3844716#3,416787#-0,1423592#0,3820067#3,415998#0,04224797#-0,1614189#3,483119#-0,14897#-0,1593792#3,467928#0,04281117#-0,5057587#3,50164#-0,102871#-0,5004159#3,528262#0,03892465#-0,5775276#3,448115#-0,1134342#-0,5802411#3,48916#0  
frame33 #-0,0881336#1,094319#3,413384#-0,07583727#0,8997533#3,435015# 0,1413956#0,4699571#3,213199#-0,3063588#0,5605945#3,292328#0,1208528#0,5173388#3,259901#-0,2827179#0,5985403#3,345706#0,1602913#0,5994583#3,456409#-0,3414281#0,6668498#3,542724#0,08636945#0,7804004#3,426195#-0,2386707#0,7741311#3,423924#-0,07227828#0,5293627#3,464603#-0,07126992#0,4579251#3,421439#0,001184229#0,3854871#3,416274#-0,1420066#0,3829308#3,414607#0,04194697#-0,1604724#3,482758#-0,1490322#-0,1589904#3,467745#0,04313345#-0,5064881#3,502978#-0,1024716#-0,5019338#3,527799#0,04097448#-0,5789879#3,445173#-0,1145155#-0,5805827#3,485844#0  
frame34 #-0,08517742#1,098121#3,417051#-0,07474525#0,9000506#3,432363# 0,14322#0,4691912#3,209236#-0,2841179#0,5104474#3,219344#0,1226994#0,5165217#3,255888#-0,2605024#0,5483524#3,272665#0,1613685#0,6002982#3,450716#-0,3216431#0,6097611#3,470253#0,08675689#0,7818841#3,427199#-0,2350478#0,7760589#3,42044#-0,07243393#0,5295385#3,460129#-0,07099842#0,4581009#3,418796#0,001037805#0,3857929#3,415567#-0,1413481#0,3841845#3,410301#0,04151447#-0,1598698#3,481733#-0,1494873#-0,1593501#3,467216#0,04235279#-0,5069912#3,503605#-0,1005049#-0,5056625#3,52942#0,03951092#-0,5786799#3,449802#-0,1135609#-0,5823318#3,496587#0  
frame35 #-0,08883463#1,095299#3,413111#-0,07485194#0,8997732#3,432547# 0,1460619#0,4519643#3,214513#-0,2846491#0,5117168#3,230268#0,1255463#0,4992833#3,261153#-0,2610395#0,5496124#3,283577#0,1567713#0,5984364#3,448735#-0,3364856#0,6553665#3,534872#0,08755091#0,7819681#3,427324#-0,2349035#0,775967#3,420186#-0,07244255#0,5294279#3,458004#-0,07094217#0,458204#3,41755#0,001126172#0,3860566#3,414675#-0,1413101#0,3839811#3,408254#0,04083436#-0,1601273#3,479922#-0,1499876#-0,1586967#3,466186#0,04163931#-0,5050058#3,50291#-0,1001923#-0,502767#3,525107#0,03917874#-0,5781826#3,446189#-0,1133648#-0,5810304#3,490191#0  
frame36 #-0,08906046#1,095064#3,413243#-0,0747492#0,898582#3,432457# 0,1442549#0,4442951#3,209199#-0,2724277#0,515407#3,233447#0,1237414#0,4916091#3,255834#-0,2488206#0,5532986#3,28675#0,1536686#0,5931229#3,441603#-0,3363305#0,6552375#3,534978#0,08856672#0,7817189#3,428726#-0,2353929#0,7757787#3,420667#-0,07246167#0,5286722#3,455048#-0,07088643#0,4578609#3,415022#0,001499931#0,3852549#3,411229#-0,1416295#0,3833995#3,405815#0,04060892#-0,1607245#3,479871#-0,1503027#-0,1588221#3,465484#0,04100243#-0,504723#3,503339#-0,09870148#-0,5038012#3,524323#0,04416855#-0,5788302#3,446934#-0,1130216#-0,5815048#3,489217#0  
