frame1 #-0,1131623#1,068678#3,41602#-0,08892075#0,885834#3,42789# 0,4929415#0,4136955#3,575498#-0,6609156#0,3342061#3,556997#0,4486299#0,4838433#3,532707#-0,6328107#0,3961923#3,545634#0,2737974#0,6397027#3,509533#-0,459055#0,5829005#3,507111#0,08791345#0,7724236#3,418306#-0,2667091#0,7602437#3,422439#-0,08312573#0,5209929#3,442368#-0,0825692#0,4513788#3,406865#-0,001615651#0,3745351#3,401887#-0,1611958#0,3690541#3,399038#0,02370037#-0,1636108#3,470692#-0,1634912#-0,160864#3,45542#-0,00143967#-0,5023858#3,490699#-0,1150163#-0,510438#3,498802#0,002508818#-0,5763732#3,449844#-0,1140891#-0,5761248#3,454912#0  
frame69 #-0,1019996#1,074319#3,404161#-0,09007359#0,8788997#3,444363# 0,1216089#0,4011105#3,286921#-0,3244518#0,3812237#3,294868#0,1388764#0,4490521#3,335872#-0,2956144#0,3950866#3,357868#0,1713755#0,5710292#3,500896#-0,3394189#0,5599169#3,515088#0,08269478#0,7577157#3,425012#-0,2600272#0,7455748#3,417636#-0,0831607#0,5071481#3,461018#-0,08069001#0,4401811#3,406937#-0,00615153#0,3647357#3,399097#-0,1517655#0,3603857#3,395914#0,02318253#-0,1459205#3,46098#-0,1595195#-0,1499844#3,450315#0,0001253278#-0,4900874#3,490193#-0,1192057#-0,4933667#3,498682#0,006458991#-0,5768862#3,444332#-0,1136899#-0,5716773#3,452803#0  
frame70 #-0,1022293#1,073945#3,403498#-0,09071162#0,8795233#3,440119# 0,1024266#0,4043758#3,24329#-0,3135311#0,4382082#3,26861#0,1196916#0,4523104#3,292234#-0,2956617#0,4352904#3,3369#0,1742427#0,6044894#3,512715#-0,3335148#0,566812#3,510151#0,08442137#0,7616144#3,429818#-0,2555787#0,7530644#3,41475#-0,08415899#0,5085543#3,458532#-0,08035783#0,4413621#3,404962#-0,006176397#0,3660535#3,398281#-0,1505833#0,362476#3,392943#0,02299672#-0,1457879#3,460698#-0,1598763#-0,1498109#3,450267#0,0003334981#-0,4899932#3,490041#-0,1192339#-0,4933572#3,498816#0,004043567#-0,5757568#3,44323#-0,1142596#-0,5703945#3,452748#0  
frame71 #-0,1021581#1,069316#3,397643#-0,09128696#0,8788777#3,437186# 0,0996672#0,5104535#3,269005#-0,3118266#0,4717391#3,287548#0,1445141#0,530234#3,319768#-0,3153811#0,4883339#3,362358#0,1711516#0,6280474#3,54096#-0,3461612#0,6261054#3,530708#0,08414288#0,7643239#3,432307#-0,2571173#0,7565217#3,417224#-0,0841838#0,5097398#3,457396#-0,0803139#0,4425548#3,404407#-0,006053465#0,3672702#3,397399#-0,150499#0,3636931#3,393292#0,02276419#-0,1458129#3,460001#-0,1598958#-0,1482618#3,449731#-0,0003557904#-0,491454#3,488797#-0,1190713#-0,492487#3,493199#0,004224806#-0,575758#3,443102#-0,1122414#-0,5706496#3,447394#0  
frame72 #-0,1017812#1,069864#3,394492#-0,09157981#0,8792167#3,433136# 0,08532022#0,5086706#3,246434#-0,3142187#0,47679#3,289455#0,1301187#0,5284298#3,297142#-0,3168615#0,4903599#3,364018#0,1684279#0,6199015#3,529338#-0,3476416#0,6281313#3,53238#0,08406414#0,7643593#3,432413#-0,2568178#0,7578251#3,417235#-0,08419737#0,5106038#3,455233#-0,08027044#0,4429703#3,403337#-0,006217577#0,3680466#3,396282#-0,1503195#0,3640711#3,393016#0,02284963#-0,1453896#3,459824#-0,1599666#-0,1481902#3,449613#-0,0001277762#-0,490882#3,488899#-0,1197161#-0,4912598#3,494502#0,002380849#-0,5756851#3,443026#-0,1131722#-0,5703982#3,449606#0  
frame73 #-0,1021222#1,070659#3,392173#-0,09120582#0,8797242#3,431916# 0,1040561#0,5093241#3,234206#-0,2765772#0,5349524#3,215371#0,1206836#0,5578665#3,282453#-0,2792141#0,5451173#3,291384#0,1693728#0,6189239#3,529696#-0,3479501#0,6316005#3,529524#0,08430324#0,7639793#3,432854#-0,2565465#0,7590668#3,415879#-0,0841998#0,5108183#3,454286#-0,08004453#0,4429399#3,403238#-0,005994748#0,3680338#3,396394#-0,1501374#0,3640703#3,393014#0,02274645#-0,1456786#3,458613#-0,1602369#-0,1482084#3,448688#-4,924736E-05#-0,490863#3,489054#-0,1188606#-0,493194#3,496712#0,002027923#-0,5750456#3,44295#-0,1138835#-0,5704665#3,452311#0  
frame74 #-0,101567#1,082101#3,380597#-0,09114111#0,8801099#3,426189# 0,1039149#0,5124806#3,222215#-0,2792937#0,5383119#3,215464#0,1155336#0,5590214#3,273717#-0,2819306#0,5484768#3,291477#0,1677147#0,6159489#3,524563#-0,3492742#0,6432983#3,524096#0,0858897#0,7631909#3,434912#-0,2566482#0,7597299#3,415485#-0,08429721#0,5114139#3,45172#-0,07984886#0,442857#3,402401#-0,005688994#0,3676849#3,396199#-0,150098#0,3640137#3,392546#0,02195441#-0,1468454#3,458634#-0,160245#-0,1482382#3,448784#-0,0004863638#-0,4926108#3,490268#-0,1147186#-0,4997692#3,494562#0,0006361887#-0,5759453#3,441591#-0,1109669#-0,5723933#3,454366#0  
frame75 #-0,1012115#1,083784#3,385866#-0,09094371#0,8798507#3,425991# 0,09991409#0,5372996#3,198704#-0,2850731#0,5457674#3,218298#0,1065687#0,5839563#3,250909#-0,2877099#0,5559322#3,294312#0,1674251#0,623533#3,5124#-0,3526133#0,6518854#3,524519#0,08601442#0,7638983#3,436041#-0,2567484#0,7609474#3,41544#-0,08421823#0,5118834#3,449886#-0,07965404#0,4435503#3,401428#-0,005499045#0,3681943#3,395529#-0,1499613#0,3648085#3,391558#0,02223436#-0,1463641#3,458117#-0,1604289#-0,1479729#3,448373#0,002177151#-0,4882566#3,488311#-0,1152201#-0,4976847#3,495913#0,001603113#-0,5756863#3,441476#-0,1104854#-0,5721682#3,45332#0  
frame76 #-0,09861492#1,080568#3,386862#-0,0900915#0,8788698#3,425573# 0,1068581#0,5401886#3,232673#-0,2700929#0,511298#3,148488#0,1127333#0,5864604#3,285182#-0,2727298#0,5214629#3,224501#0,1700169#0,6336788#3,522945#-0,3423852#0,605702#3,457844#0,08576322#0,766822#3,441208#-0,2564065#0,7623342#3,415801#-0,08442432#0,512382#3,447708#-0,07934517#0,4442968#3,400902#-0,005426591#0,3687309#3,395879#-0,1496127#0,3657365#3,390574#0,02218473#-0,1463822#3,458196#-0,1602505#-0,1450192#3,44696#0,001923624#-0,4885964#3,488397#-0,1090944#-0,5024793#3,493953#0,007476403#-0,5779508#3,446841#-0,109899#-0,5719644#3,452196#0  
frame77 #-0,09878851#1,079623#3,385453#-0,08961838#0,878801#3,424693# 0,1127408#0,5447027#3,239424#-0,2566426#0,5551422#3,209954#0,1185171#0,5909885#3,291871#-0,2535342#0,5625911#3,275066#0,1697466#0,6339277#3,522644#-0,3406021#0,6037515#3,454319#0,08600648#0,767085#3,441462#-0,2568154#0,7630029#3,417169#-0,08397876#0,5125077#3,446355#-0,07915036#0,4442973#3,400397#-0,005172774#0,3686351#3,39565#-0,1495725#0,3656743#3,390092#0,02217247#-0,1461922#3,457841#-0,1600547#-0,1454364#3,446566#-0,001517233#-0,4889469#3,489514#-0,1129313#-0,4991584#3,493224#0,006586982#-0,5782242#3,446764#-0,1113417#-0,5714642#3,451834#0  
frame78 #-0,09932277#1,078218#3,384632#-0,08956488#0,8787137#3,423811# 0,09643996#0,547389#3,220528#-0,2574594#0,5788141#3,243118#0,102173#0,5936677#3,272927#-0,25059#0,5855443#3,301836#0,1555955#0,5979609#3,470142#-0,3411562#0,6182662#3,480654#0,08547956#0,7661158#3,440426#-0,2573378#0,7638625#3,417703#-0,08384243#0,5125915#3,445366#-0,07924347#0,4442355#3,400227#-0,005238539#0,3685316#3,395701#-0,1497096#0,3657029#3,389868#0,02215699#-0,1456018#3,457103#-0,159936#-0,1454444#3,446471#2,004986E-05#-0,4895701#3,489989#-0,114374#-0,4979051#3,494177#0,006650628#-0,5776446#3,446983#-0,1122957#-0,57119#3,454669#0  
frame79 #-0,09815258#1,074805#3,384405#-0,08945977#0,8784941#3,423593# 0,1063589#0,5595134#3,279379#-0,2555906#0,5754374#3,238296#0,1120904#0,6057776#3,331732#-0,2500878#0,5825801#3,299364#0,1773463#0,6062111#3,524859#-0,3398419#0,6159043#3,478219#0,08517961#0,7656639#3,439857#-0,2574378#0,7635891#3,41795#-0,08340555#0,5118967#3,444545#-0,07888478#0,4432513#3,400112#-0,004690119#0,3675231#3,39558#-0,1494809#0,3649625#3,390079#0,02229036#-0,145448#3,456934#-0,1598346#-0,145538#3,446139#0,002144202#-0,4930049#3,490034#-0,1144217#-0,4983025#3,493773#0,007769853#-0,5789361#3,449118#-0,1107811#-0,5709243#3,453099#0  
frame80 #-0,09866393#1,074962#3,383695#-0,08956613#0,878574#3,423522# 0,1023632#0,6033778#3,287971#-0,250661#0,5716523#3,214248#0,108091#0,6496118#3,34029#-0,2498378#0,5807261#3,283791#0,1736534#0,6487271#3,532896#-0,3385508#0,6087009#3,463757#0,08513329#0,7659396#3,439677#-0,2569453#0,7641046#3,418123#-0,08334249#0,512033#3,443818#-0,07887524#0,4433329#3,399971#-0,004657451#0,3676319#3,39548#-0,1494381#0,3652246#3,389933#0,02273081#-0,1446155#3,456092#-0,1591149#-0,144252#3,445341#0,001045776#-0,4909646#3,488572#-0,1164312#-0,4964399#3,494051#0,005872627#-0,5781502#3,449762#-0,1103916#-0,570614#3,452708#0  
frame81 #-0,09886723#1,07494#3,382257#-0,08959211#0,8787273#3,423604# 0,1078709#0,5476338#3,252906#-0,2491953#0,5703667#3,204054#0,1135947#0,5938356#3,305189#-0,2518322#0,5805316#3,280067#0,1732321#0,6380472#3,520692#-0,3390512#0,6084607#3,463298#0,0852771#0,7662596#3,439543#-0,2569566#0,7641438#3,420002#-0,08301612#0,5120816#3,443391#-0,07880026#0,4432987#3,400068#-0,004424416#0,367496#3,395659#-0,149377#0,3652164#3,390079#0,0227283#-0,1446258#3,45612#-0,158661#-0,1449558#3,444828#0,002045615#-0,4941015#3,489644#-0,1160993#-0,4965497#3,494128#0,005147109#-0,5791863#3,450636#-0,1102707#-0,5720726#3,453274#0  
frame82 #-0,09904414#1,074689#3,382373#-0,08914294#0,8784421#3,424129# 0,1110012#0,5487354#3,254542#-0,2489515#0,5700293#3,203774#0,1167212#0,5949068#3,306791#-0,2515884#0,5801941#3,279787#0,1874964#0,6420363#3,546335#-0,3383665#0,6099252#3,463272#0,08585615#0,7670804#3,44122#-0,2582806#0,7690168#3,426243#-0,08241993#0,5121625#3,443053#-0,07876747#0,4434389#3,400099#-0,004366435#0,367527#3,395692#-0,1494506#0,3653245#3,390069#0,02281189#-0,1440261#3,455001#-0,1584264#-0,144793#3,444315#-0,0003609279#-0,4946759#3,48987#-0,1174087#-0,4957987#3,492461#0,006190487#-0,5795527#3,451004#-0,1097785#-0,5722072#3,451663#0  
frame83 #-0,09903962#1,074676#3,380224#-0,08921863#0,8778901#3,424228# 0,1084733#0,548157#3,247456#-0,2488232#0,5701492#3,203796#0,1141892#0,5942954#3,299667#-0,2514601#0,5803142#3,27981#0,1611844#0,6019745#3,496855#-0,3385409#0,6108354#3,46454#0,08600154#0,7674246#3,441467#-0,2583014#0,7689669#3,426254#-0,0823701#0,5121873#3,442739#-0,07867307#0,4434854#3,400172#-0,00406517#0,3676193#3,395822#-0,1494058#0,3653104#3,390142#0,02282485#-0,1440581#3,455014#-0,1584068#-0,144814#3,44431#-0,000528681#-0,4946615#3,489923#-0,1165225#-0,4970344#3,489521#0,005910924#-0,5792424#3,451305#-0,1099006#-0,5723959#3,451645#0  
frame84 #-0,09908121#1,07515#3,380661#-0,08866579#0,8778645#3,424408# 0,1115465#0,5495154#3,248034#-0,2495891#0,5707574#3,204271#0,1172587#0,5956238#3,300211#-0,252226#0,5809223#3,280284#0,1623545#0,6033103#3,498#-0,3370206#0,6136657#3,472635#0,08684111#0,7677952#3,442799#-0,2584474#0,7690234#3,42703#-0,08233296#0,5123857#3,44254#-0,07865036#0,4437155#3,400334#-0,004008854#0,3676603#3,396097#-0,1495369#0,3654841#3,390221#0,02335737#-0,1435013#3,454514#-0,1580894#-0,1446942#3,444304#-0,0007871058#-0,494509#3,489475#-0,1160573#-0,4973095#3,488838#0,002540939#-0,578881#3,449033#-0,111767#-0,5715851#3,45124#0  
frame85 #-0,09980523#1,073872#3,38299#-0,08856271#0,8779399#3,424633# 0,1168404#0,5709482#3,24682#-0,2534072#0,5765901#3,206898#0,1225489#0,6170269#3,298964#-0,2560441#0,5867549#3,282911#0,1719958#0,6283257#3,510616#-0,3394047#0,6184276#3,479911#0,08731726#0,7671751#3,442896#-0,2586617#0,7689807#3,427808#-0,08224761#0,5124013#3,442317#-0,07866652#0,4437183#3,400385#-0,004015389#0,3675943#3,396145#-0,1496783#0,3654352#3,390272#0,02344482#-0,1433265#3,454859#-0,157922#-0,1450984#3,444602#0,001396351#-0,4931619#3,48813#-0,1134308#-0,497808#3,490104#0,00239579#-0,5783168#3,448099#-0,1119367#-0,5711375#3,451751#0  
frame86 #-0,09994377#1,073619#3,383515#-0,0890604#0,8770328#3,42519# 0,1314343#0,5927841#3,275373#-0,2535996#0,5781385#3,206807#0,1371391#0,6388332#3,327482#-0,2562364#0,5883034#3,28282#0,1846563#0,6505594#3,540897#-0,3389781#0,6197285#3,480692#0,08764162#0,7667713#3,443098#-0,2569993#0,7675946#3,425557#-0,08259546#0,5121071#3,442358#-0,07870881#0,4435103#3,400642#-0,004065802#0,3671433#3,396996#-0,1496736#0,3653879#3,390313#0,02274889#-0,1437394#3,454858#-0,15787#-0,1451384#3,444623#0,001584829#-0,4940727#3,485312#-0,1154607#-0,5012999#3,491307#0,00256548#-0,5780757#3,44546#-0,1118878#-0,5710611#3,45208#0  
frame87 #-0,09825861#1,068836#3,381875#-0,08900688#0,8767784#3,425047# 0,1059678#0,5323027#3,234234#-0,2514461#0,5731817#3,205607#0,1116689#0,5783215#3,28631#-0,2321376#0,5808752#3,23992#0,1696949#0,6146448#3,503057#-0,3195666#0,5907211#3,420169#0,08844819#0,7665604#3,443975#-0,2560987#0,7661083#3,424394#-0,08280353#0,5120532#3,442202#-0,07871433#0,4434213#3,40076#-0,004042752#0,3669575#3,397147#-0,14973#0,365293#3,39056#0,02306765#-0,1441419#3,45574#-0,1578374#-0,1451341#3,444716#0,002384501#-0,4881839#3,489822#-0,1179078#-0,4972242#3,493432#0,002861333#-0,5784586#3,446567#-0,1109396#-0,5706584#3,451683#0  
