frame1 #-0,1131623#1,068678#3,41602#-0,08892075#0,885834#3,42789# 0,4929415#0,4136955#3,575498#-0,6609156#0,3342061#3,556997#0,4486299#0,4838433#3,532707#-0,6328107#0,3961923#3,545634#0,2737974#0,6397027#3,509533#-0,459055#0,5829005#3,507111#0,08791345#0,7724236#3,418306#-0,2667091#0,7602437#3,422439#-0,08312573#0,5209929#3,442368#-0,0825692#0,4513788#3,406865#-0,001615651#0,3745351#3,401887#-0,1611958#0,3690541#3,399038#0,02370037#-0,1636108#3,470692#-0,1634912#-0,160864#3,45542#-0,00143967#-0,5023858#3,490699#-0,1150163#-0,510438#3,498802#0,002508818#-0,5763732#3,449844#-0,1140891#-0,5761248#3,454912#0  
frame22 #-0,1098052#1,111527#3,509501#-0,08997395#0,8965176#3,520354# 0,06943293#0,8642149#2,852833#-0,2593195#0,8712043#2,842255#0,07858147#0,8421542#3,010644#-0,2613856#0,8603261#2,983037#0,09476446#0,8197153#3,216247#-0,2665318#0,8177782#3,185818#0,04050233#0,782635#3,439561#-0,2209734#0,7628329#3,456166#-0,0794241#0,5015895#3,505821#-0,08163854#0,4347806#3,44848#-0,01100905#0,3788466#3,434399#-0,148921#0,3757789#3,440717#0,0243304#-0,1326554#3,470515#-0,1636749#-0,1345652#3,461086#0,004135046#-0,4826742#3,495321#-0,1206081#-0,4935684#3,501843#0,00598486#-0,5753949#3,444542#-0,110525#-0,5712612#3,454666#0  
frame23 #-0,1119428#1,111853#3,5045#-0,09012856#0,8961114#3,520587# 0,05482403#0,8720812#2,841939#-0,2283794#0,8850214#2,837272#0,06905074#0,8439394#3,005377#-0,2511689#0,8528324#3,045521#0,09513363#0,8213956#3,209295#-0,2703031#0,8097203#3,246686#0,03467727#0,7787004#3,438098#-0,2209104#0,7617458#3,455585#-0,07848536#0,5035592#3,506396#-0,08060223#0,4374094#3,448642#-0,0104271#0,3870163#3,43733#-0,1471752#0,3778569#3,439586#0,02395516#-0,1251861#3,468363#-0,1638265#-0,1292876#3,458513#0,004894107#-0,4846215#3,494492#-0,1209501#-0,4949807#3,499725#0,005496902#-0,5760968#3,443268#-0,1101277#-0,569802#3,454933#0  
frame24 #-0,1120035#1,111608#3,503896#-0,09049409#0,8967698#3,523052# 0,0293135#0,8745315#2,808707#-0,21517#0,8887682#2,834226#0,05067298#0,8489563#2,954378#-0,2341397#0,8694124#3,017411#0,07444543#0,8300924#3,159205#-0,269042#0,8113694#3,242887#0,03145474#0,7737917#3,438441#-0,2214649#0,7612131#3,455152#-0,07964219#0,5047473#3,506684#-0,08171432#0,4389038#3,448267#-0,01218823#0,3879475#3,436272#-0,1484276#0,3803501#3,43915#0,02420687#-0,124361#3,467929#-0,1639439#-0,1281702#3,458693#0,004480097#-0,4845031#3,494649#-0,1209415#-0,4972143#3,500387#0,005015416#-0,5767146#3,448395#-0,1084655#-0,5707793#3,457345#0  
frame25 #-0,1108685#1,111718#3,504988#-0,08817741#0,8991412#3,527092# 0,02389944#0,8730359#2,806034#-0,2098894#0,8892983#2,831856#0,01954858#0,8455456#2,963926#-0,2330317#0,8638539#3,027871#0,08066238#0,8340514#3,160772#-0,2684846#0,8107941#3,246295#0,03733415#0,7642769#3,433236#-0,2215405#0,7612383#3,454578#-0,0780808#0,507887#3,50788#-0,08090141#0,4422213#3,448733#-0,01122521#0,3897296#3,437926#-0,1483018#0,3827199#3,437157#0,02419207#-0,12233#3,46721#-0,1648795#-0,1234205#3,45908#0,004109851#-0,4825004#3,495279#-0,1203926#-0,4959261#3,500854#0,0015714#-0,5741149#3,442496#-0,1078429#-0,5698368#3,456544#0  
frame26 #-0,1110092#1,111961#3,504801#-0,08941937#0,8999922#3,526103# 0,01777676#0,8740102#2,815157#-0,2061233#0,8880253#2,832354#0,02727876#0,8483141#2,965044#-0,2232775#0,8586226#3,050225#0,0676633#0,8293225#3,166723#-0,2670912#0,8121873#3,246264#0,03297393#0,7687335#3,435872#-0,2197492#0,7602763#3,453501#-0,07823826#0,5079638#3,507826#-0,08032615#0,442068#3,448444#-0,01073239#0,3904851#3,438423#-0,1463667#0,3823607#3,43619#0,02453707#-0,1218836#3,466527#-0,1649645#-0,1226695#3,45835#0,005569444#-0,4820921#3,493713#-0,1196714#-0,4947399#3,500375#0,003283687#-0,574129#3,441011#-0,1073842#-0,5694718#3,454556#0  
frame27 #-0,1120844#1,106857#3,507849#-0,0889533#0,8994277#3,525618# 0,009461791#0,8768871#2,820236#-0,2016818#0,8877267#2,840835#0,02939101#0,848928#2,966958#-0,2235992#0,8557034#3,050221#0,06448764#0,8271535#3,169126#-0,2670683#0,8140789#3,248218#0,03213081#0,7680512#3,436478#-0,2183882#0,7613062#3,454527#-0,07785299#0,5074234#3,507457#-0,08002416#0,4414353#3,447864#-0,01080283#0,390128#3,438145#-0,1459163#0,3822434#3,435485#0,0247563#-0,1218732#3,465855#-0,1648509#-0,1228047#3,458151#0,004609676#-0,4836207#3,490149#-0,1188889#-0,4948081#3,499439#0,003253412#-0,5737295#3,43976#-0,1098677#-0,5676237#3,450147#0  
frame28 #-0,1119197#1,104728#3,509557#-0,0881381#0,8997332#3,526028# 0,008154747#0,876442#2,818311#-0,1950769#0,8805989#2,822959#0,02835906#0,8501177#2,957522#-0,2133399#0,8496029#3,030292#0,06156609#0,8275667#3,159644#-0,2372603#0,809727#3,234457#0,03424347#0,7606125#3,433425#-0,2193045#0,7626203#3,453884#-0,07785413#0,5078365#3,507535#-0,08028864#0,4419532#3,447773#-0,01100929#0,3903433#3,437722#-0,1466443#0,3825372#3,435648#0,02540716#-0,1225617#3,464844#-0,1648304#-0,1228573#3,457962#0,004875854#-0,4841416#3,490071#-0,1184272#-0,4958335#3,499229#0,0003519049#-0,5751755#3,438962#-0,10961#-0,5678516#3,450578#0  
frame29 #-0,1118298#1,104665#3,509321#-0,08868483#0,9012546#3,52558# 0,02143977#0,8609779#2,964903#-0,2122282#0,871628#2,942893#0,03856475#0,8409686#3,03172#-0,2249233#0,8546857#3,051614#0,08970388#0,8271481#3,229614#-0,2695436#0,8143467#3,250209#0,03413755#0,7604207#3,433152#-0,2162925#0,7643912#3,454575#-0,07776482#0,5080849#3,507175#-0,08034687#0,442029#3,447306#-0,01167501#0,3908671#3,436795#-0,1464528#0,3828134#3,435311#0,02571711#-0,1227584#3,464337#-0,164563#-0,1231846#3,457555#0,004270042#-0,484835#3,492407#-0,1170027#-0,4944816#3,500645#0,002194079#-0,5753414#3,442752#-0,1089665#-0,5683128#3,450751#0  
frame30 #-0,1109631#1,102753#3,508606#-0,08997165#0,9010084#3,52658# 0,03881132#0,8624234#2,972418#-0,2109446#0,8704489#2,941934#0,04123742#0,841591#3,036438#-0,2323583#0,8497822#3,05263#0,09377654#0,8243904#3,232767#-0,2688736#0,8086064#3,249034#0,03281484#0,7600896#3,433682#-0,2151527#0,7649844#3,453987#-0,07805296#0,5074483#3,506844#-0,08029077#0,4412032#3,446575#-0,01193227#0,3902765#3,436043#-0,1460637#0,3827526#3,434722#0,02539957#-0,1228751#3,463374#-0,1640337#-0,1226409#3,456926#0,004267254#-0,4850076#3,492393#-0,1151921#-0,4950773#3,499219#0,005428611#-0,575155#3,443639#-0,1090742#-0,56893#3,453022#0  
frame31 #-0,1086792#1,105343#3,509411#-0,08811147#0,8989862#3,525639# 0,04669135#0,8646807#2,965915#-0,2125991#0,8684313#2,943638#0,07670205#0,8553143#3,039582#-0,2718984#0,8655539#3,044482#0,1378455#0,8230154#3,229662#-0,2994993#0,8057393#3,235812#0,04099832#0,783081#3,4429#-0,2271936#0,7731512#3,454181#-0,07724618#0,5178115#3,506503#-0,07814685#0,4559286#3,446179#-0,00890659#0,3987154#3,433125#-0,1454973#0,3901093#3,434172#0,02642193#-0,1244005#3,461508#-0,1633861#-0,1237829#3,455482#0,00367222#-0,4841358#3,489871#-0,1162751#-0,4915843#3,497252#0,006763433#-0,5750815#3,443137#-0,1098872#-0,5697359#3,452578#0  
