frame22 #0,2825478#0,8855815#3,669559#0,3322016#0,6406257#3,674317# 0,4256852#0,01112815#3,467962#0,4736626#0,1084019#3,497434#0,4149522#0,06765749#3,410666#0,4585922#0,2140097#3,523689#0,3233424#0,2778841#3,534417#0,2186365#0,2451259#3,59701#0,3679799#0,4981137#3,56893#0,2831675#0,4097329#3,565605#0,4204316#0,2290065#3,653593#0,423499#0,1630495#3,584117#0,4531357#0,1195874#3,613823#0,3996641#0,1239949#3,551928#0,3330949#-0,2895433#3,259017#0,533087#-0,3723679#3,847563#0,3366811#-0,6006382#2,964426#0,4211953#-0,6369811#3,357653#0,2734394#-0,6688208#2,945029#0,3884515#-0,6423008#3,233481#1  
frame23 #0,2051989#0,8508#3,687835#0,3309107#0,6327022#3,676262# 0,4314158#0,01274857#3,467309#0,5370321#0,3346965#3,50525#0,4206809#0,06928769#3,410002#0,4585922#0,3118427#3,52353#0,329527#0,2784681#3,533134#0,2232727#0,2432814#3,593923#0,3785886#0,4986606#3,576149#0,2825636#0,4097579#3,564981#0,4127659#0,2244733#3,656198#0,4215173#0,1592349#3,586382#0,4546889#0,1178122#3,612506#0,396154#0,1203528#3,553577#0,3304644#-0,2904553#3,264417#0,5370403#-0,3730535#3,849423#0,3373846#-0,6007798#2,964849#0,4258056#-0,6361132#3,362368#0,2744033#-0,6689022#2,944841#0,3814643#-0,6427147#3,242043#1  
frame24 #0,1524411#0,7795879#3,633887#0,33349#0,6267248#3,677018# 0,4374635#0,01151063#3,468335#0,5033457#0,3869355#3,460725#0,4267268#0,0680591#3,411018#0,4347211#0,35101#3,492486#0,335975#0,276317#3,533601#0,2288471#0,2432336#3,603246#0,385361#0,4960258#3,580355#0,2813195#0,4079334#3,565943#0,4095491#0,2219934#3,659443#0,4204636#0,1566638#3,590374#0,4559905#0,1159663#3,612711#0,3938277#0,1180831#3,558374#0,3301687#-0,2917582#3,266523#0,5373889#-0,3735657#3,853558#0,3377251#-0,6015031#2,966429#0,4267858#-0,6351317#3,369242#0,2744333#-0,6686107#2,944533#0,3825529#-0,642299#3,249053#1  
frame25 #0,162426#0,7874162#3,643308#0,335685#0,6210503#3,674101# 0,4346323#0,01397222#3,467654#0,5388647#0,3563155#3,549712#0,4238937#0,07053027#3,410328#0,4626883#0,3282386#3,561524#0,3334684#0,278039#3,532447#0,2341593#0,2440078#3,612359#0,3860826#0,494347#3,578342#0,2806433#0,4050908#3,564455#0,4089266#0,2215616#3,660363#0,4196788#0,1558915#3,59215#0,4561955#0,1142994#3,614233#0,3934365#0,1175846#3,558697#0,3307046#-0,2936405#3,267962#0,5376836#-0,372618#3,856592#0,3377754#-0,6010991#2,966799#0,4277169#-0,6326791#3,375041#0,275525#-0,6685692#2,943698#0,3837592#-0,640332#3,254992#1  
frame26 #0,1751111#0,7965099#3,641948#0,3331017#0,6167161#3,670439# 0,433864#0,01538402#3,467129#0,5282519#0,76973#3,967289#0,4231441#0,07184407#3,409902#0,3267406#0,4334602#3,725142#0,3330415#0,2786121#3,531563#0,2353246#0,2420876#3,609319#0,3861507#0,4935365#3,577411#0,2805401#0,4041543#3,564168#0,4080994#0,2211186#3,660565#0,4191906#0,1551692#3,592859#0,4562814#0,1140937#3,614353#0,3932026#0,1165248#3,559225#0,3310419#-0,2939628#3,26853#0,5394967#-0,3766696#3,857511#0,3368455#-0,5984011#2,968423#0,4302956#-0,6349199#3,379254#0,2766134#-0,667245#2,94548#0,3916456#-0,6419228#3,257859#1  
frame27 #0,1889412#0,8081906#3,647405#0,3321974#0,616082#3,669897# 0,4261825#0,0203837#3,465367#0,4560821#0,5993903#3,877446#0,4154865#0,0767176#3,408268#0,4045143#0,5785204#3,81868#0,3257073#0,2827435#3,529478#0,3095289#0,3828599#3,713813#0,3849868#0,4930183#3,576735#0,2806523#0,4044163#3,563677#0,4061733#0,2216722#3,660457#0,4173578#0,1559506#3,593102#0,4538718#0,1145208#3,614997#0,3927257#0,1171333#3,558588#0,3312402#-0,2942283#3,269471#0,5383297#-0,3788216#3,856531#0,3366434#-0,598221#2,970532#0,4298599#-0,6353423#3,381413#0,2764281#-0,666432#2,947055#0,3935953#-0,6418189#3,259735#1  
frame28 #0,1934042#0,8064228#3,638953#0,3324403#0,6156859#3,668952# 0,423716#0,02769752#3,462017#0,3465845#0,495236#3,760609#0,41304#0,08392623#3,405024#0,3150617#0,4328842#3,716698#0,3235863#0,289205#3,525773#0,2204933#0,2458289#3,600138#0,3822604#0,4902347#3,574714#0,2795641#0,4055821#3,563058#0,4051197#0,224297#3,660405#0,4155307#0,15988#3,59381#0,4521151#0,1169823#3,617133#0,3919041#0,1204846#3,556808#0,3312794#-0,2943071#3,269104#0,5373147#-0,3778753#3,856253#0,3367388#-0,5984353#2,970838#0,4295374#-0,6327583#3,384129#0,2773628#-0,6668878#2,947187#0,3936373#-0,6397187#3,262816#1  
frame29 #0,1943925#0,8043359#3,635487#0,3325535#0,6153474#3,667546# 0,4222617#0,02430606#3,463404#0,3588933#0,485652#3,763377#0,4117303#0,07977311#3,407183#0,3242418#0,4257899#3,718898#0,3225865#0,284341#3,527492#0,2202873#0,2462036#3,600563#0,3822719#0,4894346#3,57324#0,2792161#0,405043#3,56277#0,4051231#0,2237858#3,659144#0,4150464#0,1588928#3,592736#0,4516773#0,1158815#3,614601#0,3915664#0,1202058#3,556414#0,3308282#-0,2949162#3,268456#0,5375667#-0,3780375#3,855675#0,336778#-0,5985118#2,970535#0,4304467#-0,6313661#3,386392#0,2792641#-0,6673177#2,944584#0,3877774#-0,639808#3,267812#1  
frame30 #0,2248846#0,8258488#3,653557#0,3315768#0,6123884#3,665106# 0,4254431#0,02487176#3,462054#0,3751827#0,4934034#3,765154#0,4150403#0,07966194#3,40652#0,3400498#0,4342045#3,719951#0,3257677#0,284525#3,526903#0,2346509#0,2566079#3,599368#0,3807127#0,485826#3,567613#0,3085409#0,4654911#3,541673#0,3849407#0,2229368#3,655803#0,4133402#0,1620324#3,592719#0,443354#0,1216741#3,61682#0,3939547#0,1312508#3,555495#0,3309075#-0,2951605#3,268146#0,537388#-0,377822#3,855257#0,3376502#-0,599907#2,969639#0,4309106#-0,6296309#3,388764#0,2789882#-0,667446#2,944006#0,4598479#-0,6788788#3,295366#1  
frame31 #0,2163613#0,8220471#3,651158#0,3319357#0,6147562#3,663668# 0,4429655#0,04177474#3,454571#0,3721383#0,489186#3,764177#0,4325905#0,09641828#3,399186#0,3371258#0,4298994#3,719591#0,3436703#0,3004727#3,519089#0,2320883#0,2520397#3,600794#0,3818221#0,4872613#3,567543#0,2699499#0,4120209#3,55234#0,3996387#0,2310206#3,657912#0,4127415#0,1679699#3,592561#0,4459854#0,1257803#3,616186#0,3926397#0,1322888#3,554973#0,3309972#-0,2951169#3,267872#0,5370016#-0,3773881#3,854869#0,3381623#-0,6004917#2,969165#0,4311154#-0,6277988#3,390927#0,279786#-0,6676669#2,942856#0,4321748#-0,6771923#3,293564#1  
