frame22 #0,254637#0,9705379#3,54778#0,3103124#0,8081515#3,54123# 0,5150214#0,1893473#3,359356#0,1484518#0,6404608#3,238559#0,466594#0,2411629#3,369295#0,1413592#0,6387427#3,249223#0,4998711#0,4408484#3,416855#-0,003985733#0,6044734#3,403604#0,4322476#0,6701785#3,437343#0,1456997#0,6363522#3,566967#0,3082363#0,4404936#3,562708#0,2842304#0,3723865#3,51965#0,3453709#0,3056185#3,485678#0,2130164#0,3012269#3,542194#0,3477944#-0,181052#3,497895#0,1218191#-0,1889172#3,624989#0,3850661#-0,543504#3,489304#-0,00552766#-0,5773673#3,58935#0,3148268#-0,6083443#3,50159#-0,05909771#-0,6243027#3,587972#1  
frame23 #0,2538152#0,9706535#3,547136#0,3103357#0,8082172#3,541487# 0,4456303#0,207005#3,348978#0,1341952#0,6005493#3,23451#0,3986183#0,2605361#3,354887#0,1184665#0,6135612#3,257648#0,4909379#0,4377006#3,413851#0,01402764#0,6999599#3,424803#0,4273593#0,6686737#3,436546#0,156631#0,7484044#3,615396#0,3074604#0,4474871#3,560379#0,2773726#0,3825773#3,521821#0,3320629#0,3153334#3,485081#0,2091081#0,3126477#3,547129#0,3417695#-0,188215#3,499651#0,1218772#-0,1880513#3,624712#0,3841656#-0,544587#3,490322#0,01566747#-0,5684679#3,579992#0,313276#-0,6096615#3,502039#-0,03954893#-0,6140034#3,58339#1  
frame24 #0,2527083#0,9716312#3,54987#0,3100919#0,8097405#3,543872# 0,2938601#0,1440581#3,340858#0,1075548#0,5905168#3,254614#0,3191571#0,2106752#3,346404#0,09002644#0,6073861#3,281035#0,4769492#0,433103#3,407017#-0,009805141#0,7034643#3,445039#0,4160954#0,6665984#3,434912#0,1472015#0,7517007#3,625897#0,3006801#0,4546696#3,56106#0,2690157#0,3908668#3,524077#0,3219917#0,319319#3,483629#0,2009116#0,3208346#3,55224#0,3421311#-0,1939555#3,497909#0,1219017#-0,1879163#3,624585#0,3819972#-0,546092#3,492576#0,04366677#-0,5462857#3,564915#0,3082782#-0,6122171#3,498043#-0,04277333#-0,5930464#3,578274#1  
frame25 #0,2489329#0,9725513#3,558511#0,3079459#0,8097501#3,545349# 0,2585952#0,1368941#3,348935#0,08771681#0,5836814#3,259939#0,3009523#0,2242402#3,355152#0,06330916#0,6128817#3,302986#0,4578483#0,4332747#3,397823#-0,02326033#0,7164499#3,469182#0,4076622#0,6647453#3,431305#0,1282633#0,7554612#3,63197#0,2932253#0,4616448#3,560709#0,2614537#0,3999475#3,524347#0,3150498#0,3244833#3,481102#0,1929911#0,3264078#3,554107#0,3433402#-0,1970361#3,493239#0,1216026#-0,1886017#3,624466#0,378012#-0,5511484#3,496536#0,02702506#-0,5666251#3,568469#0,3030801#-0,6177723#3,501411#-0,06285509#-0,609664#3,580573#1  
frame26 #0,2424181#0,9717359#3,556139#0,3064554#0,8111533#3,545851# 0,2066805#0,1641017#3,340584#0,04228755#0,5864972#3,299127#0,2550172#0,2484609#3,346398#0,03539997#0,6251903#3,303972#0,4383368#0,4512233#3,385778#-0,02328005#0,7263238#3,483353#0,3982508#0,6636361#3,429829#0,1357827#0,7666633#3,646222#0,289014#0,4648042#3,559773#0,2552643#0,4031445#3,52595#0,3019335#0,3285378#3,480013#0,1877147#0,3298694#3,55892#0,3032828#-0,2065586#3,502783#0,1184352#-0,1834621#3,622621#0,3778062#-0,5501552#3,495817#0,02312799#-0,5702965#3,569634#0,3027377#-0,6181579#3,49937#-0,06566352#-0,6114912#3,595927#1  
frame27 #0,2390581#0,9714055#3,559254#0,3001617#0,8120193#3,549267# 0,1505104#0,1672886#3,32712#0,005829062#0,5974132#3,304863#0,1828615#0,2284849#3,349699#0,0233401#0,6208773#3,318458#0,37442#0,4243229#3,371488#-0,0296867#0,7429961#3,484617#0,3756122#0,6600038#3,423215#0,1366482#0,7692432#3,647204#0,2830406#0,4680206#3,560452#0,2480336#0,406736#3,528676#0,2930023#0,3322774#3,477468#0,1811717#0,3323755#3,567722#0,297964#-0,2081502#3,504467#0,115959#-0,1679271#3,621454#0,377456#-0,5496777#3,495015#0,02269726#-0,5706236#3,56979#0,3019274#-0,61901#3,501122#-0,06417222#-0,6117563#3,605992#1  
frame28 #0,2384879#0,9718956#3,562427#0,2925634#0,8134291#3,552275# 0,09982432#0,2051921#3,301376#-0,04501875#0,6163056#3,282904#0,1633881#0,2759582#3,326307#-0,03297907#0,6568197#3,342034#0,314053#0,4083982#3,367167#-0,02758344#0,7873828#3,510123#0,3445212#0,669066#3,424341#0,1398884#0,7791202#3,653401#0,2718218#0,4741629#3,563791#0,2331909#0,4144913#3,535046#0,2707258#0,3327602#3,469877#0,1662874#0,3441589#3,59356#0,2925754#-0,2107836#3,504748#0,1020324#-0,2216873#3,622236#0,3670107#-0,5574341#3,498537#0,02316258#-0,5690663#3,569942#0,2917078#-0,6279321#3,504154#-0,05592559#-0,6149349#3,612341#1  
frame29 #0,2255682#0,9773591#3,571349#0,2791043#0,8151235#3,557217# 0,05245912#0,2593888#3,31156#-0,05915173#0,6969693#3,370929#0,1280562#0,3197914#3,328233#-0,05862309#0,6795465#3,344555#0,3012655#0,4216001#3,365779#-0,04094375#0,8099608#3,511685#0,3342081#0,6688236#3,421464#0,1403131#0,7808074#3,653598#0,2594357#0,4783737#3,567943#0,220244#0,4189961#3,540083#0,2544998#0,3351079#3,470925#0,1611542#0,3466904#3,597769#0,2841729#-0,2117756#3,507112#0,1094251#-0,1527855#3,614859#0,3672671#-0,555479#3,497482#0,02850737#-0,5603325#3,571616#0,2917596#-0,6271804#3,499533#-0,05078197#-0,6142191#3,612312#1  
frame30 #0,1984212#0,9759974#3,571512#0,2679269#0,8154028#3,557752# -0,07081013#0,2564199#3,257756#-0,07517432#0,7760363#3,423649#-0,005303095#0,3246891#3,282105#-0,08391502#0,7377908#3,37144#0,2416397#0,4165791#3,350976#-0,04047514#0,8478853#3,548836#0,3100218#0,6623089#3,415789#0,1378053#0,7823789#3,653177#0,2501231#0,4904794#3,570809#0,208861#0,4347082#3,546195#0,237404#0,3410791#3,470446#0,1567797#0,3526509#3,608126#0,2800851#-0,214181#3,503639#0,1056006#-0,1546638#3,616624#0,3653896#-0,5551444#3,497257#0,02784066#-0,5615376#3,571262#0,2909742#-0,6274613#3,500448#-0,01671947#-0,619895#3,59355#1  
frame31 #0,1597934#0,9311754#3,576313#0,2228692#0,7187624#3,557628# -0,08479084#0,4881874#3,284111#-0,1053647#0,8989611#3,466487#-0,03692213#0,4640056#3,281358#-0,08130819#0,93478#3,509162#0,1564775#0,5001608#3,339449#0,04817583#0,9204001#3,676644#0,2542481#0,6777958#3,427793#0,09746207#0,6902741#3,651049#0,2107822#0,3550948#3,555175#0,1712836#0,2896875#3,529988#0,2047486#0,2359284#3,479601#0,1277133#0,2335263#3,570093#0,2352668#-0,2360204#3,509527#0,07243527#-0,1821116#3,640834#0,3577161#-0,5639255#3,494284#0,05222157#-0,5425748#3,556951#0,2852784#-0,6314495#3,497789#-0,01526586#-0,5820023#3,512323#1  
frame32 #0,1417913#0,9337339#3,580534#0,2120321#0,7219046#3,550515# -0,1717739#0,5498552#3,289891#-0,09995677#0,954583#3,50409#-0,1041351#0,5239903#3,296679#-0,09669913#1,012709#3,534182#0,09604687#0,5004494#3,322471#0,03733884#0,9235424#3,669526#0,2517244#0,6778364#3,428242#0,08662499#0,6934163#3,643936#0,2008066#0,3451083#3,552207#0,1598283#0,2745735#3,525488#0,1981372#0,2363929#3,486354#0,1108024#0,2130983#3,548551#0,2289153#-0,2364992#3,510634#0,07846059#-0,2334744#3,628218#0,3502014#-0,5584999#3,482288#0,05120903#-0,5606065#3,554521#0,2846013#-0,6304968#3,498036#-0,0004617856#-0,6231541#3,613392#1  
frame33 #0,1326982#0,9356719#3,582039#0,1941225#0,7281791#3,542318# -0,1964112#0,59096#3,286176#-0,1407892#0,9257625#3,45898#-0,1166627#0,5370713#3,303377#-0,1181171#0,9589304#3,50289#0,08484682#0,5245249#3,322025#0,01942919#0,929817#3,661322#0,2398068#0,6832153#3,430511#0,06871535#0,6996908#3,635739#0,1945229#0,3441907#3,550097#0,1561519#0,2722733#3,522856#0,1929412#0,2409892#3,494359#0,1072999#0,2117976#3,536847#0,2420883#-0,2516362#3,477144#0,1149485#-0,298874#3,590593#0,3474365#-0,5643945#3,484545#0,03311978#-0,6179024#3,553151#0,281743#-0,631944#3,495715#-0,01191363#-0,5763044#3,599219#1  
frame34 #0,1174281#0,9463426#3,590795#0,1769869#0,7476332#3,550515# -0,2444787#0,6091515#3,301537#-0,1542665#1,076643#3,486217#-0,1831651#0,5726782#3,309539#-0,1272419#1,061172#3,550901#0,0161273#0,5479329#3,331561#0,002293595#0,9492709#3,669644#0,2127605#0,697926#3,45389#0,05157984#0,7191448#3,643936#0,1640826#0,3730901#3,554713#0,1245537#0,3053152#3,526619#0,154273#0,2783946#3,537222#0,08367684#0,2563591#3,509324#0,2362644#-0,2541813#3,475425#0,06888648#-0,2242548#3,607642#0,3428879#-0,5803316#3,491869#0,05138052#-0,5512821#3,558226#0,2801954#-0,6385554#3,493922#0,01907082#-0,6166878#3,581015#1  
frame35 #0,1242951#0,9575297#3,602751#0,1626885#0,7608246#3,553922# -0,2782966#0,6956636#3,302209#-0,2623094#0,7560673#3,266094#-0,214537#0,6659791#3,315028#-0,2072325#0,713711#3,310041#-0,03283167#0,5859639#3,354958#0,0476207#0,6335605#3,368929#0,1842478#0,7222736#3,469204#0,03728129#0,7323363#3,647343#0,1637557#0,3752678#3,555026#0,1243998#0,3057376#3,527199#0,1546954#0,2801813#3,537861#0,08389088#0,2565369#3,510313#0,1855223#-0,2114408#3,482372#0,07881268#-0,2353249#3,558933#0,330928#-0,5799707#3,488936#0,05046723#-0,5606356#3,559624#0,2732395#-0,6394755#3,486011#0,0761004#-0,6282142#3,536435#1  
