frame23 #-0,2859284#0,7983353#3,764648#-0,1618569#0,641171#3,721799# 0,1068661#0,5423749#3,943498#-0,2213554#0,6876584#3,864647#0,1118911#0,4790323#3,962424#-0,2627595#0,609446#3,879299#0,1741619#0,346955#3,846941#-0,4295287#0,4380201#3,782344#0,05842327#0,4796329#3,710902#-0,2957906#0,4877712#3,675863#-0,1032032#0,2873733#3,685886#-0,08617511#0,2318853#3,627665#-0,003606262#0,1543346#3,635576#-0,1455048#0,1553456#3,578448#-0,07013956#-0,2290795#3,796829#-0,3060026#-0,2188877#3,683519#-0,1018335#-0,5423157#3,722347#-0,07511607#-0,5814408#3,689462#-0,04769704#-0,6026592#3,670229#-0,08304724#-0,6514973#3,679008#1  
frame24 #-0,3024828#0,7811621#3,763297#-0,1624824#0,6367211#3,720634# 0,09641928#0,5245504#3,939996#-0,2297658#0,6734926#3,864601#0,1014549#0,4610736#3,958963#-0,2712576#0,5951144#3,879285#0,163293#0,3299139#3,844411#-0,4296188#0,4239022#3,774278#0,04609472#0,4609504#3,706113#-0,2949573#0,4841902#3,675384#-0,1084102#0,2608993#3,683798#-0,09224638#0,1979479#3,625077#-0,005051525#0,1270768#3,630934#-0,1554272#0,121213#3,582573#-0,1220684#-0,2777797#3,824467#-0,3556834#-0,3001458#3,656943#-0,1539214#-0,5904121#3,750204#-0,06821522#-0,5888554#3,689315#-0,0790048#-0,6011917#3,689675#-0,0800567#-0,6570331#3,670799#1  
frame25 #-0,3169758#0,7602866#3,766556#-0,1694022#0,6235352#3,71496# 0,06250368#0,5694542#3,948063#-0,2540723#0,6612935#3,820649#0,06754965#0,5058467#3,967068#-0,2956494#0,5827542#3,835363#0,1293788#0,3747061#3,852564#-0,4678475#0,4272399#3,728144#0,03919557#0,4492931#3,706058#-0,2994229#0,4723792#3,670858#-0,1098042#0,2606808#3,68403#-0,09277248#0,1985188#3,625454#-0,006677375#0,127883#3,629148#-0,1545924#0,1230855#3,586932#-0,07453805#-0,2466296#3,795241#-0,310936#-0,2559991#3,667909#-0,02836036#-0,5591865#3,739944#-0,08519082#-0,6172955#3,694832#-0,0463085#-0,6114919#3,672784#-0,06335242#-0,6629498#3,643686#1  
frame26 #-0,3258951#0,7538649#3,761838#-0,1755417#0,6197058#3,710286# 0,07484905#0,5941409#3,990541#-0,2928022#0,6386825#3,809368#0,07990509#0,5304066#4,009583#-0,3344623#0,5599865#3,824111#0,1414857#0,3997931#3,895614#-0,4800636#0,4042341#3,687905#0,0444312#0,4623542#3,745123#-0,3049347#0,4683108#3,666358#-0,1183819#0,2696174#3,687922#-0,09630522#0,2175098#3,63521#-0,009974461#0,1396402#3,598032#-0,148227#0,1444796#3,656055#-0,06978951#-0,2346937#3,799062#-0,3538078#-0,2995828#3,643776#-0,025413#-0,5441881#3,724793#-0,06860346#-0,5826553#3,684658#-0,04672771#-0,6118754#3,672746#-0,1088534#-0,6414316#3,673134#1  
frame27 #-0,3401161#0,7453214#3,758876#-0,1809119#0,6207883#3,710206# 0,07308817#0,5960168#3,99166#-0,3033831#0,6354975#3,793826#0,07815398#0,532159#4,010739#-0,3451238#0,556649#3,808598#0,1394979#0,4020475#3,897279#-0,4876735#0,403274#3,668796#0,04219249#0,4654841#3,748375#-0,3099208#0,4691669#3,666274#-0,124691#0,2788948#3,695511#-0,1006908#0,225432#3,642393#-0,01146709#0,1414762#3,597782#-0,1508409#0,1455272#3,661363#-0,1099922#-0,2598984#3,816168#-0,3040924#-0,2430832#3,640833#-0,06783126#-0,5660364#3,72488#-0,0802391#-0,599903#3,686594#-0,04946821#-0,6127155#3,673016#-0,07725885#-0,6708907#3,67403#1  
frame28 #-0,3429734#0,7446726#3,757983#-0,1832822#0,6203208#3,710669# -0,1045436#0,5082729#3,726714#-0,3077108#0,6304126#3,704368#-0,09946825#0,444295#3,74583#-0,34953#0,5514159#3,719167#-0,03834525#0,3146521#3,632851#-0,4725609#0,4064843#3,557393#0,04122101#0,4659944#3,750289#-0,3122355#0,4686261#3,666728#-0,1253622#0,2782612#3,696439#-0,1010287#0,2245942#3,643222#-0,01067557#0,1376261#3,590925#-0,1534973#0,1352954#3,670151#-0,09643934#-0,2507123#3,808126#-0,2982312#-0,254145#3,63793#-0,04885509#-0,5555198#3,717442#-0,08559571#-0,6167823#3,683355#-0,05676656#-0,6103622#3,670172#-0,02515358#-0,5996168#3,647744#1  
frame29 #-0,3437743#0,7465345#3,758215#-0,1856197#0,6201452#3,710633# -0,2771754#0,5681792#3,706101#-0,3077827#0,6277902#3,701369#-0,2720907#0,5040845#3,725252#-0,3496783#0,5486492#3,716195#-0,2566741#0,3376135#3,646596#-0,472052#0,4036845#3,554426#-0,1342442#0,4591293#3,591176#-0,3145315#0,4683917#3,666689#-0,09309389#0,2484664#3,702103#-0,09447208#0,1720469#3,651631#-0,03249059#0,1221597#3,593997#-0,1244279#0,1099682#3,687474#-0,1349324#-0,3039802#3,795866#-0,3469577#-0,31903#3,624844#-0,01643012#-0,5887058#3,711312#-0,07224673#-0,5915122#3,688706#-0,07092626#-0,6267079#3,682236#-0,03183611#-0,6353312#3,647399#1  
frame30 #-0,3418615#0,7483894#3,754289#-0,1854265#0,6196128#3,710157# -0,2728909#0,5662949#3,692765#-0,3002226#0,6278934#3,676086#-0,2677973#0,5020863#3,71195#-0,3421927#0,5486118#3,690939#-0,2567291#0,3370748#3,634056#-0,4483232#0,4003314#3,525254#-0,1315147#0,4591052#3,588799#-0,314324#0,4678157#3,666196#-0,08737098#0,2226797#3,700465#-0,08973592#0,1459817#3,649356#-0,03474115#0,1012143#3,635738#-0,1245367#0,09138214#3,651413#-0,1139279#-0,2739794#3,780924#-0,3349362#-0,2903372#3,625942#-0,0427461#-0,5778526#3,729292#-0,07305923#-0,5920723#3,68888#-0,05690129#-0,6214325#3,67281#-0,03490417#-0,6365683#3,645821#1  
frame31 #-0,3392491#0,7508716#3,750536#-0,1875461#0,6164437#3,707202# -0,253545#0,5600812#3,671285#-0,3027815#0,6256037#3,673375#-0,2484425#0,4957619#3,690504#-0,344824#0,5461853#3,688254#-0,2451149#0,325894#3,617527#-0,4511977#0,3981718#3,522713#-0,1249283#0,4589824#3,584774#-0,3164393#0,4645725#3,663224#-0,08861207#0,2236453#3,706892#-0,09062266#0,1471932#3,659027#-0,03426543#0,1013668#3,637707#-0,1286133#0,09669539#3,678899#-0,1436531#-0,3140515#3,758549#-0,3369473#-0,2911847#3,624273#-0,006610364#-0,593866#3,728906#-0,07268304#-0,5917585#3,69314#-0,04931808#-0,6286595#3,680749#-0,03568152#-0,6356437#3,647768#1  
frame32 #-0,336158#0,749084#3,748161#-0,1887892#0,6100675#3,702189# -0,2478167#0,5596473#3,666175#-0,5118759#0,1536597#3,978758#-0,2426879#0,4949973#3,685492#-0,4482409#0,1686217#3,961271#-0,2431126#0,3263932#3,610724#-0,2814597#0,2945239#3,826048#-0,1151624#0,4552824#3,58279#-0,3176659#0,4581352#3,658203#-0,08971467#0,2239009#3,710119#-0,09009749#0,1477943#3,662648#-0,0324054#0,1002887#3,63625#-0,1268179#0,09174275#3,692693#-0,1069203#-0,2784556#3,77131#-0,3389933#-0,2927934#3,625072#-0,05266416#-0,5843682#3,739313#-0,07309754#-0,5916489#3,693432#-0,03171534#-0,618556#3,6601#-0,03347651#-0,633267#3,647309#1  
