frame1 #-0,5237741#0,8219861#3,156942#-0,4715976#0,6461099#3,204915# -0,5368201#0,2011311#2,995196#-0,9382527#0,3104459#2,988651#-0,4458085#0,224316#3,042294#-0,8802229#0,3023432#3,086753#-0,2653787#0,3634721#3,077426#-0,7306931#0,3489246#3,267842#-0,3285518#0,5510738#3,157319#-0,6160389#0,5044696#3,300758#-0,3957547#0,2763196#3,265374#-0,3805861#0,2023615#3,280956#-0,3016285#0,1432559#3,261548#-0,4309977#0,122284#3,319736#-0,1344583#-0,2153743#3,213058#-0,5336809#-0,2425371#3,321368#0,04205381#-0,5668073#3,341282#-0,4464816#-0,5937511#3,280704#0,117895#-0,6325428#3,315185#-0,4759109#-0,6571313#3,249208#0  
frame22 #-0,2846939#0,8867429#3,186912#-0,4210968#0,7629187#3,084308# -0,464423#0,7529377#3,38633#-0,1761957#0,838146#2,82928#-0,3955284#0,7735652#3,399812#-0,2177069#0,799554#2,795424#-0,2962057#0,6239536#3,411989#-0,3623285#0,6976495#2,819455#-0,3254803#0,6653827#3,263494#-0,4035757#0,5563851#3,034719#-0,3825903#0,3397843#3,097743#-0,374889#0,2551574#3,103657#-0,3555999#0,2159178#3,119572#-0,3813092#0,2332386#3,09832#-0,1222418#-0,2550684#3,062862#-0,4245527#-0,1438623#3,246049#0,1501443#-0,5982568#2,963162#-0,6759188#-0,5090015#3,250195#0,2465206#-0,6442354#2,96315#-0,5966339#-0,549082#3,223189#0  
frame23 #-0,2439988#0,8773655#3,353222#-0,3802298#0,7534449#3,251576# -0,423556#0,7434638#3,553593#-0,125321#0,8469419#2,842645#-0,3546613#0,7640913#3,567075#-0,1667591#0,8084177#2,808849#-0,2553386#0,6144797#3,579254#-0,3150988#0,7114478#2,826112#-0,2846133#0,6559088#3,430761#-0,3920993#0,5709323#3,028006#-0,3005794#0,3648311#3,136803#-0,2846494#0,2871084#3,117078#-0,2473235#0,2751352#3,119105#-0,3108325#0,244716#3,09783#-0,1163997#-0,2361741#3,057958#-0,451243#-0,1621867#3,263703#0,174215#-0,5680645#2,950873#-0,6905015#-0,5415944#3,238227#0,2562#-0,6062344#2,9281#-0,6085165#-0,5797642#3,215453#0  
frame24 #-0,1508109#0,8521959#3,258869#-0,2870419#0,7282752#3,157216# -0,3303681#0,7182942#3,459227#-0,0490045#0,8904969#2,818872#-0,2614735#0,7389217#3,472708#-0,09037189#0,8520385#2,785134#-0,1621508#0,5893101#3,48489#-0,2384144#0,7547355#2,802743#-0,1914254#0,6307392#3,336402#-0,3092933#0,6227027#3,000474#-0,2369694#0,335267#3,092762#-0,2269549#0,2566654#3,083101#-0,1915858#0,2277559#3,083427#-0,255669#0,2333407#3,073103#-0,06962916#-0,253501#3,017632#-0,4470227#-0,1633842#3,259701#0,1963078#-0,609741#2,940095#-0,6746967#-0,5474079#3,202417#0,2939421#-0,6536844#2,933702#-0,5934762#-0,5858042#3,177359#0  
frame25 #-0,1424948#0,9138641#3,218337#-0,25265#0,779653#3,16606# -0,2959762#0,7696719#3,468035#0,0185097#0,8594487#2,818472#-0,2270815#0,7902994#3,481517#-0,02278914#0,821054#2,784789#-0,1277588#0,6406878#3,49371#-0,1707844#0,7237821#2,802408#-0,1570335#0,6821169#3,345245#-0,2416632#0,5917493#3,000162#-0,2364611#0,343425#3,096164#-0,2287029#0,2608598#3,085674#-0,196421#0,2302175#3,082984#-0,2559557#0,240007#3,080872#-0,02788493#-0,2406474#2,988214#-0,4272424#-0,1684498#3,221236#0,2088609#-0,6217062#2,934489#-0,6374273#-0,545399#3,201441#0,2907541#-0,6610929#2,915671#-0,5555341#-0,5847857#3,182623#0  
frame26 #-0,08374701#0,8675475#3,234994#-0,202188#0,7004837#3,149535# -0,2455142#0,6905026#3,451518#0,1656288#0,8495641#2,87905#-0,1766196#0,7111301#3,464999#0,1244608#0,8112912#2,845474#-0,07729687#0,5615185#3,47719#-0,0233009#0,7141727#2,863084#-0,1065715#0,6029477#3,328721#-0,1330536#0,5975302#3,011576#-0,2106241#0,3223351#3,070575#-0,2126271#0,2472195#3,060493#-0,1942985#0,2353735#3,056967#-0,2316818#0,232475#3,064594#0,08820766#-0,2099492#2,963272#-0,425395#-0,1827726#3,185472#0,2188433#-0,6290501#2,931273#-0,656538#-0,5656334#3,191083#0,27803#-0,6803926#2,925652#-0,5739689#-0,6069436#3,18701#0  
frame27 #-0,0746654#0,8669019#3,230413#-0,1931064#0,6998382#3,145014# -0,2364326#0,6898571#3,447056#0,2196792#0,8448419#2,889279#-0,167538#0,7104846#3,460537#0,1785738#0,8066271#2,855754#-0,06821525#0,560873#3,472709#0,03098762#0,709624#2,873339#-0,09748989#0,6023021#3,3242#-0,08080016#0,5779772#3,004566#-0,191697#0,3280377#3,056595#-0,1899731#0,2547443#3,04124#-0,1790023#0,2416743#3,007423#-0,1926561#0,2273259#3,053605#0,1143942#-0,2050532#2,955502#-0,4042251#-0,1820804#3,126482#0,2234892#-0,6181243#2,9239#-0,6401044#-0,557153#3,177869#0,3055531#-0,6588397#2,930949#-0,5580405#-0,5978684#3,184918#0  
frame28 #-0,008690909#0,8072485#3,196807#-0,1271319#0,6401848#3,111337# -0,1704581#0,6302037#3,413308#0,3190417#0,7787634#3,010116#-0,1015635#0,6508312#3,426789#0,2698503#0,7464316#3,011577#-0,002240762#0,5012196#3,438985#0,1222759#0,6494363#3,029185#-0,0315154#0,5426487#3,290523#-0,09864381#0,5756682#3,007948#-0,1213444#0,2795836#3,011631#-0,120248#0,205363#2,995234#-0,1043243#0,1897018#2,979941#-0,1271873#0,1780077#2,995867#0,164884#-0,2279333#2,952962#-0,4313372#-0,2454048#3,11744#0,2561127#-0,6087664#2,87114#-0,5829569#-0,5647631#3,10215#0,2436424#-0,6807718#2,8966#-0,5019867#-0,6034817#3,086876#0  
frame29 #-0,02871853#0,7891455#3,207921#-0,1130481#0,5984573#3,088621# -0,1563743#0,5884762#3,390584#0,3259528#0,736028#3,061288#-0,08747964#0,6091037#3,404066#0,3076854#0,7096156#3,029186#0,01184306#0,4594922#3,416263#0,1504795#0,6286841#3,033183#-0,01743158#0,5009212#3,267807#-0,07629674#0,5686973#3,0106#-0,09487844#0,2359234#2,984462#-0,091257#0,1634537#2,966884#-0,07596061#0,1366045#2,962298#-0,1055545#0,1552176#2,961589#0,1810448#-0,2235278#2,95422#-0,4255348#-0,2504497#3,101982#0,2989738#-0,6019328#2,848197#-0,5678088#-0,590732#3,060789#0,2723495#-0,6707323#2,826112#-0,4864908#-0,6285096#3,047835#0  
frame30 #-0,02034327#0,7664135#3,190537#-0,1015323#0,5802464#3,066866# -0,1448584#0,5702654#3,368798#0,3849336#0,7219608#2,956735#-0,07596381#0,5908929#3,382279#0,3430139#0,6819126#2,966142#0,02335891#0,4412813#3,394487#0,2172548#0,5617681#3,007596#-0,005915734#0,4827104#3,246051#0,0521276#0,5541581#2,972574#-0,07851864#0,225083#2,972069#-0,07383594#0,1538633#2,956099#-0,075624#0,1259301#2,956264#-0,06419392#0,1454556#2,945794#0,2015854#-0,2262601#2,953618#-0,3885869#-0,2574957#3,058917#0,3423365#-0,5899208#2,846262#-0,4857041#-0,5696301#2,987415#0,4222868#-0,6295956#2,865954#-0,4057539#-0,6093049#3,007107#0  
frame31 #-0,01761182#0,7635661#3,185668#-0,09872268#0,5799213#3,063713# -0,1420489#0,5699403#3,365622#0,3857244#0,7212365#2,955989#-0,07315424#0,5905678#3,379103#0,3437617#0,681394#2,965244#0,02616847#0,4409562#3,39132#0,2178733#0,5618668#3,006252#-0,003106169#0,4823853#3,242899#0,05312114#0,554274#2,971384#-0,07060996#0,2180369#2,965452#-0,06458347#0,1448698#2,948759#-0,06997755#0,1149114#2,950037#-0,05340665#0,1364841#2,936275#0,2102732#-0,2259122#2,953043#-0,381095#-0,2646511#3,040044#0,3701615#-0,5906326#2,841723#-0,4889024#-0,5737069#2,977517#0,4507764#-0,6300871#2,86148#-0,4082875#-0,6131614#2,997274#0  
