frame1 #-0,04710501#0,8750433#3,271024#0,003079652#0,6800335#3,294086# -0,221911#0,2691205#2,98351#-0,6104445#0,4972347#3,156149#-0,1240689#0,2848142#3,001886#-0,5286115#0,4567601#3,198837#0,09509635#0,3843109#3,038527#-0,3653217#0,4253073#3,280611#0,124687#0,5555934#3,179046#-0,1813964#0,5281964#3,343524#0,03322203#0,2943168#3,305273#0,01014419#0,2226362#3,257798#0,0801868#0,1528#3,216684#-0,05755074#0,1404713#3,282037#0,2752061#-0,2269121#3,236159#-0,2434971#-0,240261#3,2885#-0,07852349#-0,4716891#3,273704#-0,2961225#-0,5919958#3,29095#0,04296583#-0,5047434#3,277964#-0,3441569#-0,6424258#3,206394#0  
frame22 #-0,3559209#0,8502578#3,18799#-0,3060157#0,6686817#3,227024# -0,1232326#0,1998007#3,076772#-0,4047437#0,157608#3,082909#-0,07544607#0,2702398#3,129228#-0,4248023#0,2287172#3,081325#0,01903398#0,4448919#3,254772#-0,5242133#0,3513871#3,276208#-0,1424929#0,5851294#3,216539#-0,4613242#0,5278281#3,270672#-0,2444096#0,3155394#3,290129#-0,2353429#0,2435073#3,289567#-0,144256#0,1833863#3,290941#-0,3054414#0,1620981#3,305336#-0,02186685#-0,2184833#3,23513#-0,3609822#-0,2290499#3,295429#-0,07042241#-0,5733716#3,467335#-0,2840747#-0,5986857#3,272903#0,007585204#-0,6388434#3,454219#-0,2955056#-0,6487684#3,19406#0  
frame23 #-0,3553437#0,8529802#3,191812#-0,3074099#0,6761942#3,227265# -0,1226714#0,2066187#3,095746#-0,3591417#0,2058376#3,074237#-0,07993449#0,2774325#3,149638#-0,4234051#0,2236407#3,105918#0,02418733#0,450286#3,27679#-0,531788#0,3654112#3,272265#-0,136487#0,6022913#3,236964#-0,466359#0,5338653#3,262647#-0,2467753#0,3202222#3,288706#-0,2359784#0,2475791#3,289272#-0,1466262#0,1870171#3,29323#-0,3033077#0,1638693#3,302552#-0,0677616#-0,2398118#3,261802#-0,3623356#-0,2328225#3,294384#-0,1471676#-0,5978447#3,45897#-0,2866618#-0,5965411#3,272397#-0,1108405#-0,6670415#3,477672#-0,2906587#-0,6462595#3,192085#0  
frame24 #-0,337833#0,8823297#3,210414#-0,3033435#0,6883538#3,232677# -0,101155#0,2381362#3,159363#-0,3868774#0,2107892#3,13879#-0,07273703#0,3010657#3,182398#-0,4502378#0,2283421#3,170026#0,009985335#0,474066#3,330277#-0,5328923#0,3711921#3,249471#-0,1297475#0,6315213#3,276963#-0,4602777#0,5533223#3,244226#-0,257705#0,3361075#3,29171#-0,2479649#0,2651691#3,293269#-0,1617065#0,2033072#3,30519#-0,3172925#0,1802398#3,298339#-0,1573647#-0,2441588#3,303435#-0,3650004#-0,2411213#3,286812#-0,2152006#-0,569869#3,407335#-0,2925925#-0,5977588#3,287033#-0,2539402#-0,6349718#3,328993#-0,2820836#-0,6465478#3,206476#0  
frame25 #-0,3259201#0,8956866#3,218911#-0,2957328#0,6995029#3,247908# -0,07299756#0,2886834#3,198757#-0,3577538#0,2207796#3,121586#-0,05513893#0,3502737#3,231411#-0,4203942#0,238133#3,152467#0,004971393#0,5253564#3,39835#-0,5295413#0,3723761#3,206179#-0,1213635#0,6439531#3,301637#-0,4542#0,5599769#3,236886#-0,2637493#0,3439318#3,296516#-0,2549629#0,2730182#3,29821#-0,1745327#0,2094933#3,318531#-0,3236793#0,1865222#3,295881#-0,2028461#-0,2353632#3,333392#-0,3564881#-0,2449547#3,277241#-0,223773#-0,5778683#3,399344#-0,2909003#-0,6068796#3,281646#-0,2711844#-0,6316954#3,317083#-0,2730013#-0,6546451#3,201613#0  
frame26 #-0,2998132#0,9015858#3,242693#-0,2788619#0,7055804#3,266783# -0,06630757#0,353673#3,233779#-0,3325104#0,3340164#3,124844#-0,0485725#0,4148373#3,266207#-0,3325954#0,3379093#3,153157#0,008684955#0,5585029#3,463612#-0,5059349#0,3751359#3,173584#-0,1136751#0,6569386#3,357276#-0,4297025#0,5606491#3,227392#-0,2648944#0,3477468#3,304068#-0,2564074#0,2764915#3,305692#-0,1819151#0,2094525#3,347291#-0,3247521#0,1891493#3,293648#-0,2883914#-0,2335429#3,316622#-0,350872#-0,2456746#3,271986#-0,2706386#-0,5946056#3,375115#-0,2938378#-0,5801536#3,234651#-0,3294225#-0,644906#3,297884#-0,2602068#-0,6267297#3,158916#0  
frame27 #-0,2786614#0,9187897#3,261387#-0,271676#0,7135649#3,284325# 0,08921219#0,6267136#3,362314#-0,2243937#0,4373617#3,093131#0,04896023#0,5839956#3,355505#-0,2866168#0,4545995#3,123806#-0,07179565#0,4558415#3,34888#-0,4843788#0,3933751#3,126251#-0,1098231#0,660134#3,413023#-0,4118538#0,5621572#3,222501#-0,2629454#0,3648089#3,318502#-0,2554159#0,294825#3,32018#-0,1837585#0,2266625#3,365056#-0,3225763#0,2020145#3,290915#-0,2457485#-0,1474221#3,328378#-0,3387806#-0,2445889#3,25511#-0,4655541#-0,5268624#3,350682#-0,361651#-0,5783057#3,315202#-0,4024745#-0,6012985#3,301272#-0,315133#-0,6242235#3,246122#0  
frame28 #-0,2543195#0,9162366#3,281129#-0,2675488#0,7283055#3,318688# 0,009564694#0,7301306#3,450858#-0,2782419#0,4849503#3,052775#-0,01714171#0,6669565#3,434681#-0,3193782#0,5161589#3,09174#-0,04371355#0,4978731#3,405604#-0,4591491#0,4235558#3,050555#-0,1090064#0,6588925#3,463288#-0,3641016#0,5786399#3,214293#-0,2563148#0,371006#3,332139#-0,2479598#0,3002805#3,33266#-0,1792731#0,2325041#3,381968#-0,3080842#0,2138835#3,292799#-0,3780211#-0,2184358#3,402033#-0,2449059#-0,229028#3,200212#-0,4667821#-0,5303937#3,354079#-0,2685086#-0,6189998#3,225661#-0,3857439#-0,5810655#3,300654#-0,2081215#-0,6628318#3,166521#0  
frame29 #-0,2332465#0,9262093#3,300519#-0,2598526#0,7466923#3,334571# -0,006271325#0,7472014#3,471568#-0,2013754#0,6392424#3,03615#-0,05068631#0,7092566#3,432351#-0,2496297#0,6084086#3,023248#-0,03758307#0,512677#3,416141#-0,3943927#0,515907#2,998323#-0,1027505#0,6733868#3,473804#-0,3032582#0,6070975#3,225738#-0,2479641#0,3725711#3,338372#-0,2382098#0,2996797#3,338243#-0,1779769#0,2251391#3,391686#-0,273897#0,2237574#3,284946#-0,2919524#-0,2554037#3,333661#-0,1767502#-0,243502#3,220781#-0,5017849#-0,5851485#3,369294#-0,2061377#-0,6185615#3,206648#-0,4074619#-0,6031811#3,31643#-0,1388174#-0,6615261#3,154607#0  
frame30 #-0,2057905#0,9434065#3,308243#-0,2361553#0,7520242#3,303476# -0,1012957#0,8020275#3,735636#-0,166926#0,6782514#2,951006#-0,07697626#0,7672234#3,69538#-0,2053695#0,711746#2,988715#-0,004017912#0,6628112#3,588396#-0,3461361#0,6155119#2,960862#-0,1232895#0,7680736#3,541265#-0,313232#0,5894344#3,221658#-0,2096614#0,3981759#3,327176#-0,1961419#0,3285678#3,330865#-0,1455254#0,2455747#3,385791#-0,2423465#0,241379#3,283735#-0,3053754#-0,2240439#3,420316#-0,117296#-0,2382041#3,217131#-0,4929252#-0,5728473#3,379822#-0,1150896#-0,6027476#3,220953#-0,4868416#-0,6530597#3,368622#-0,04124982#-0,6450817#3,177529#0  
frame31 #-0,1630177#0,9248103#3,343745#-0,1856277#0,7397974#3,380425# -0,0543832#0,7897975#3,816529#-0,08295763#0,764895#2,965598#-0,02978551#0,7547219#3,776338#-0,1410034#0,7860881#2,995421#0,04400758#0,6494951#3,669549#-0,2675878#0,6662317#3,035028#-0,0757392#0,7551769#3,622121#-0,2609383#0,5722095#3,218752#-0,166143#0,3758107#3,352162#-0,1541594#0,3040639#3,345689#-0,1022545#0,242049#3,364811#-0,1977364#0,2398463#3,312888#-0,2772123#-0,2166665#3,444254#-0,1009029#-0,2009864#3,232658#-0,5019828#-0,5766778#3,384043#0,02387374#-0,6171197#3,19067#-0,4903636#-0,6523651#3,41207#0,1023581#-0,6580752#3,153714#0  
