frame1 #0,03271544#0,9018338#3,44144#0,08223002#0,7250485#3,43132# -0,1897462#0,3016505#3,146863#-0,5014955#0,5914351#3,411207#-0,09813488#0,3184126#3,148241#-0,4641457#0,5414395#3,382138#0,10353#0,4223078#3,184796#-0,2920312#0,5159091#3,465348#0,1915591#0,6075624#3,342415#-0,1176444#0,5985841#3,536266#0,08854542#0,3490592#3,44048#0,07896161#0,2745919#3,428516#0,1479875#0,2015105#3,39732#0,008845918#0,1974703#3,454043#0,317404#-0,2218776#3,406079#-0,1841612#-0,2221875#3,481352#0,5063124#-0,566945#3,399979#-0,2763223#-0,5721642#3,463529#0,4680924#-0,6043592#3,341526#-0,3145423#-0,6095784#3,405076#0  
frame22 #-0,2481549#0,9313198#3,328256#-0,2244284#0,73207#3,351989# -0,1308824#0,4092353#3,191602#-0,4800221#0,5428783#2,990314#-0,06856077#0,415663#3,226037#-0,5298137#0,4955148#3,04768#0,1066845#0,4878105#3,365377#-0,5355631#0,4326465#3,284102#-0,05994365#0,6575571#3,392683#-0,4007652#0,591638#3,347905#-0,2137908#0,3703221#3,410793#-0,212093#0,2974149#3,420066#-0,1307376#0,226822#3,437983#-0,2937427#0,2122698#3,41916#-0,1833083#-0,2281809#3,435479#-0,3150108#-0,2477421#3,385098#-0,2486861#-0,6037655#3,401232#-0,4760149#-0,5974317#3,493378#-0,3345522#-0,6643741#3,386482#-0,3982273#-0,65685#3,478729#0  
frame23 #-0,250236#0,9356196#3,330723#-0,230128#0,7353654#3,356808# -0,1129482#0,4186954#3,204656#-0,4379433#0,5715428#3,028364#-0,06731538#0,4534363#3,262384#-0,5038294#0,5075986#3,067643#0,06514563#0,5099479#3,401517#-0,5340488#0,4309003#3,268055#-0,06757186#0,6645053#3,416888#-0,3939059#0,5877831#3,337059#-0,221643#0,3713806#3,408422#-0,2195787#0,2981989#3,416947#-0,1417084#0,2274811#3,436385#-0,2985877#0,2160931#3,411525#-0,2297845#-0,2347315#3,432522#-0,3172873#-0,2455309#3,378826#-0,2461004#-0,602807#3,396487#-0,475976#-0,6061473#3,479253#-0,3231435#-0,6623148#3,364949#-0,3981884#-0,6655657#3,464604#0  
frame24 #-0,245046#0,9348915#3,335333#-0,2344051#0,7368635#3,367458# -0,0852441#0,4812627#3,245754#-0,3708195#0,6087017#3,061482#-0,0626018#0,478548#3,265541#-0,4036379#0,5822895#3,062971#0,04823559#0,4964987#3,445493#-0,516933#0,4712906#3,155525#-0,07218947#0,6629373#3,450881#-0,3596208#0,5516587#3,310194#-0,2301767#0,3669441#3,408389#-0,2286707#0,2922038#3,415868#-0,1591579#0,2180611#3,445695#-0,3050898#0,2122418#3,397137#-0,267927#-0,2271048#3,427232#-0,3225679#-0,232793#3,371246#-0,2466262#-0,6039371#3,394501#-0,4920588#-0,6045486#3,447338#-0,3248597#-0,6621033#3,364325#-0,4364536#-0,6668417#3,432159#0  
frame25 #-0,2457731#0,9339727#3,342456#-0,2425084#0,7378021#3,373611# -0,1399526#0,5149605#3,212576#-0,3099064#0,6526786#3,102555#-0,08685951#0,5304893#3,258202#-0,3656931#0,6077138#3,105338#0,03570263#0,5311317#3,477625#-0,5166409#0,469948#3,153662#-0,08086807#0,6655052#3,47263#-0,3579552#0,5518658#3,308735#-0,2344579#0,3632651#3,408852#-0,2319178#0,2880746#3,416032#-0,1624259#0,2170002#3,449787#-0,3046575#0,2067533#3,390833#-0,3047297#-0,2117904#3,413684#-0,3401443#-0,2162431#3,378688#-0,2467393#-0,6039177#3,394743#-0,4938062#-0,5981757#3,449471#-0,3338497#-0,6605284#3,370561#-0,4359338#-0,6613301#3,442122#0  
frame26 #-0,2362896#0,9268289#3,360803#-0,2442277#0,7373289#3,377365# -0,1480203#0,4987511#3,225978#-0,3088388#0,6628944#3,104789#-0,09495266#0,5142725#3,271582#-0,3645989#0,6179512#3,10757#0,02752851#0,5151161#3,491137#-0,4982995#0,4767711#3,110461#-0,08428648#0,6511782#3,481958#-0,3472846#0,5663956#3,300456#-0,2376823#0,3624293#3,409132#-0,2350551#0,2872581#3,416084#-0,1711687#0,2166811#3,458255#-0,3055852#0,2074506#3,383279#-0,3185528#-0,2551889#3,361824#-0,3067353#-0,1879182#3,323044#-0,2529417#-0,6081643#3,371372#-0,4748441#-0,5522457#3,435849#-0,304752#-0,6669416#3,369903#-0,4450825#-0,6536891#3,443892#0  
frame27 #-0,2333466#0,9315889#3,368356#-0,2468917#0,743831#3,386992# -0,1540673#0,5543959#3,166371#-0,3057655#0,6877138#3,106317#-0,08572711#0,5580793#3,252881#-0,3716468#0,6218743#3,080547#0,04716621#0,5475268#3,465244#-0,4855426#0,486948#3,10068#-0,09325796#0,6546854#3,48894#-0,3401667#0,5737476#3,296801#-0,2397022#0,3634152#3,410215#-0,2367063#0,2877897#3,416644#-0,1776844#0,2191505#3,465383#-0,30343#0,2097172#3,377407#-0,2615833#-0,1538106#3,425134#-0,301112#-0,1801248#3,309197#-0,2601194#-0,5762542#3,356198#-0,4634098#-0,5402794#3,437161#-0,2085193#-0,6204937#3,293701#-0,4118097#-0,5845188#3,374665#0  
frame28 #-0,2314362#0,9387568#3,378887#-0,2550358#0,7533667#3,393855# -0,2534693#0,5614316#3,39025#-0,2643491#0,7414453#3,142478#-0,2009122#0,5768036#3,435416#-0,3214061#0,6707991#3,111233#-0,07836565#0,5777403#3,655161#-0,4156845#0,5348492#3,062023#-0,1140693#0,6643621#3,522481#-0,3105494#0,6055332#3,292632#-0,2463889#0,3806973#3,415431#-0,2419458#0,3066762#3,421112#-0,1905874#0,2363875#3,485955#-0,2926366#0,2272043#3,362554#-0,2636727#-0,139927#3,384229#-0,2481105#-0,2242757#3,302288#-0,2520146#-0,5663164#3,34333#-0,4656572#-0,5503251#3,443808#-0,2361577#-0,6467455#3,292442#-0,4728567#-0,6390767#3,462752#0  
frame29 #-0,229051#0,9453843#3,380023#-0,255128#0,7684781#3,386697# -0,2739814#0,589677#3,428768#-0,2215775#0,7977785#3,131176#-0,2215761#0,6050045#3,473803#-0,2784696#0,7273364#3,100021#-0,09892578#0,6059421#3,693705#-0,3819015#0,602607#3,042129#-0,1093009#0,7238444#3,579943#-0,2998988#0,6168565#3,294234#-0,2438012#0,4064561#3,415786#-0,2384499#0,3346762#3,423579#-0,190698#0,2562547#3,496063#-0,2820699#0,2476079#3,359879#-0,3938712#-0,2227975#3,520623#-0,2246022#-0,2279968#3,311708#-0,3765385#-0,6515823#3,472611#-0,4571359#-0,5492749#3,449678#-0,3052569#-0,6447795#3,39324#-0,4729395#-0,6406627#3,459669#0  
frame30 #-0,2204342#0,954021#3,383052#-0,252577#0,7838737#3,384912# -0,2862922#0,6301726#3,461888#-0,2024141#0,7786223#3,172649#-0,2340347#0,645457#3,506795#-0,2591458#0,7083789#3,141582#-0,1114687#0,6463938#3,726527#-0,362143#0,5881775#3,07602#-0,1077101#0,7295012#3,580573#-0,2815118#0,6337391#3,288747#-0,2418854#0,4088695#3,415871#-0,2367235#0,335781#3,423784#-0,1864834#0,2633315#3,499888#-0,2797016#0,2485793#3,358522#-0,3837543#-0,2689278#3,536836#-0,1937866#-0,2320398#3,319444#-0,3656886#-0,7158459#3,488#-0,448706#-0,5448725#3,448164#-0,2915357#-0,6870723#3,416154#-0,4737394#-0,6429055#3,454029#0  
frame31 #-0,2029703#0,9358826#3,399496#-0,2366157#0,7486694#3,39964# -0,2705738#0,5794229#3,479539#-0,1321471#0,7845258#3,107147#-0,2184602#0,5946651#3,524323#-0,1887225#0,7144759#3,076165#-0,09592202#0,5956017#3,744011#-0,2916963#0,5943018#3,010622#-0,08987225#0,6910757#3,598765#-0,2685812#0,6513841#3,240237#-0,2325482#0,3758604#3,400884#-0,2276142#0,297869#3,401048#-0,1849841#0,222996#3,447718#-0,274586#0,2441235#3,354127#-0,28225#-0,2477001#3,420191#-0,1189323#-0,2366033#3,309386#-0,4369355#-0,5840787#3,501606#-0,4126903#-0,5202072#3,43307#-0,3473865#-0,5990602#3,443986#-0,3368359#-0,5623461#3,398226#0  
frame32 #-0,1799938#0,9291159#3,413533#-0,2080082#0,7377921#3,401278# -0,244717#0,5718868#3,480493#-0,1274864#0,8279647#3,148577#-0,1927436#0,587088#3,525156#-0,1839096#0,7581033#3,117679#-0,07042994#0,588023#3,744468#-0,2826682#0,6405734#3,037904#-0,06298134#0,6820472#3,599806#-0,3025339#0,642234#3,240707#-0,2265185#0,3714879#3,393914#-0,2247807#0,2956891#3,394009#-0,1716638#0,2142546#3,429353#-0,2784788#0,2351798#3,343669#-0,2813269#-0,2493518#3,40475#-0,1040224#-0,2358423#3,310021#-0,4369779#-0,5844175#3,501672#-0,4068621#-0,5157406#3,430374#-0,4400893#-0,6527767#3,460707#-0,3363541#-0,5594972#3,386581#0  
frame33 #-0,2203232#0,9295633#3,329394#-0,2847644#0,7731885#3,318253# -0,3196388#0,6075281#3,397571#-0,04770628#0,846668#3,127559#-0,267802#0,6226894#3,442117#-0,1039812#0,7769902#3,096743#-0,1456586#0,623623#3,661148#-0,2018263#0,6574056#3,025318#-0,1388699#0,7175052#3,516667#-0,3048416#0,6592888#3,195817#-0,2341133#0,3500066#3,358193#-0,2220638#0,2670701#3,367532#-0,175789#0,2258185#3,371795#-0,2661551#0,2274497#3,354222#-0,3273845#-0,2557967#3,491851#-0,04230759#-0,2373954#3,314415#-0,4358808#-0,5846443#3,501692#-0,3717055#-0,499498#3,417473#-0,4516549#-0,6577458#3,473231#-0,2956612#-0,5408152#3,380432#0  
frame34 #-0,1993103#0,887344#3,303614#-0,2420295#0,7342195#3,329546# -0,2768297#0,5685976#3,408878#0,04042616#0,8754624#3,147516#-0,2251262#0,5837199#3,453309#-0,01570415#0,8059636#3,116778#-0,1029237#0,584654#3,67244#-0,1183959#0,6861187#3,05146#-0,09613505#0,6785362#3,52796#-0,3074536#0,664673#3,218621#-0,2271391#0,3476765#3,355636#-0,2175283#0,2666503#3,363964#-0,1657403#0,2221175#3,368396#-0,2632947#0,2246949#3,353666#-0,3278859#-0,2561651#3,493167#-0,03770326#-0,2392399#3,313778#-0,4497733#-0,6038415#3,490788#-0,3714016#-0,5007524#3,416098#-0,4532631#-0,6764761#3,456799#-0,3006599#-0,5441295#3,371021#0  
