frame1 #-0,1111672#0,850821#3,263363#-0,04158759#0,6606037#3,289803# -0,1386648#0,2305405#3,025342#-0,6803671#0,478765#3,142662#-0,04456399#0,264973#3,020736#-0,6133771#0,4663299#3,174135#0,08271506#0,3694981#3,058002#-0,4124072#0,4290248#3,281938#0,07593743#0,5324188#3,167881#-0,2323434#0,528151#3,342153#-0,01553299#0,3093585#3,299679#-0,03566294#0,2433568#3,260202#0,03477499#0,1686269#3,221119#-0,1039514#0,1667064#3,28369#0,2306433#-0,2220723#3,242629#-0,3268438#-0,2479979#3,288987#-0,1297511#-0,4591801#3,255284#-0,3910098#-0,5679502#3,273047#-0,009227723#-0,4932567#3,261153#-0,4400454#-0,6185127#3,189821#0  
frame22 #-0,1706599#0,8175454#3,227997#-0,08194228#0,651214#3,277857# -0,1879853#0,2197782#3,012202#-0,717885#0,4798145#3,107226#-0,08528408#0,2553659#3,004486#-0,596892#0,4186654#3,180228#0,06493378#0,3704123#3,043894#-0,4369721#0,4003193#3,274645#0,05727333#0,5352867#3,159876#-0,246265#0,5143406#3,335205#-0,01873497#0,2809305#3,292106#-0,0302675#0,2074193#3,259229#0,04297985#0,1443592#3,222259#-0,08967284#0,1219297#3,284726#0,2234186#-0,2276177#3,20775#-0,307598#-0,2457782#3,293957#0,4660986#-0,552737#3,2638#-0,3741176#-0,577025#3,267671#0,4208519#-0,6010995#3,188296#-0,428645#-0,64723#3,247756#0  
frame23 #-0,2029519#0,7926021#3,213665#-0,0990696#0,6384481#3,275833# -0,2525815#0,1936647#3,0153#-0,7333205#0,465987#3,102111#-0,1479864#0,2248253#3,008115#-0,6100206#0,4017552#3,175244#0,04136818#0,376405#3,030555#-0,4510096#0,3875477#3,271273#0,03923658#0,5268975#3,156085#-0,2595782#0,5046577#3,334329#-0,0320178#0,2735482#3,290024#-0,0416762#0,2006699#3,258087#0,03144936#0,141026#3,222638#-0,0971678#0,1141477#3,282671#0,215297#-0,2273783#3,202051#-0,3133838#-0,2434543#3,294752#0,4654459#-0,5561571#3,261705#-0,374206#-0,5769901#3,267524#0,41916#-0,6048795#3,186813#-0,430173#-0,6487163#3,250839#0  
frame24 #-0,2135178#0,7897549#3,219021#-0,1274876#0,6214707#3,273908# -0,260197#0,1775234#3,013581#-0,736918#0,4528064#3,100578#-0,1602453#0,2141155#3,005465#-0,6146839#0,3808243#3,174523#0,02323537#0,3720886#3,0306#-0,4574642#0,3791006#3,274596#0,004750596#0,523703#3,16522#-0,2737785#0,4968805#3,333053#-0,04984063#0,262338#3,289365#-0,05717881#0,1894471#3,258408#0,01485518#0,1331286#3,223968#-0,1066434#0,105789#3,282861#0,206836#-0,2298831#3,197159#-0,3213356#-0,2420336#3,294506#0,4643109#-0,5578671#3,263322#-0,3741119#-0,5755488#3,266225#0,4179523#-0,6072744#3,188722#-0,4286082#-0,6497723#3,253998#0  
frame25 #-0,2370968#0,7846171#3,213331#-0,1508693#0,6146079#3,271635# -0,2640558#0,1589967#2,997635#-0,7505198#0,4171588#3,078163#-0,1662435#0,2074067#2,998664#-0,6484676#0,3700956#3,15027#0,01381081#0,3681809#3,028926#-0,4703133#0,3651541#3,276673#-0,02452963#0,5089929#3,165924#-0,2922547#0,4867392#3,331995#-0,06774272#0,2527828#3,287259#-0,0736841#0,1789448#3,257484#-0,002989502#0,1252052#3,222221#-0,119609#0,09644086#3,283533#0,2001582#-0,2406447#3,193918#-0,3346989#-0,2443336#3,295642#0,4629425#-0,5574351#3,260808#-0,3754395#-0,5691749#3,264989#0,4156949#-0,6073161#3,186855#-0,4291453#-0,6488277#3,266188#0  
frame26 #-0,2602797#0,7568875#3,205539#-0,1777455#0,5994618#3,267023# -0,2773733#0,1432091#2,980957#-0,7675083#0,4071937#3,072643#-0,1819163#0,1879537#2,989172#-0,6702026#0,3621764#3,13994#-0,009730502#0,3552538#3,023231#-0,4760706#0,3549566#3,279594#-0,04335377#0,5012709#3,159538#-0,3340876#0,4732361#3,331313#-0,09746422#0,2456611#3,287467#-0,1024018#0,1729546#3,259627#-0,03036478#0,1166485#3,220964#-0,1514935#0,08485347#3,291625#0,1955699#-0,2483187#3,192992#-0,3415779#-0,2451635#3,298168#0,4620759#-0,5580111#3,259639#-0,3756961#-0,568073#3,263932#0,4166283#-0,6082447#3,184665#-0,4211437#-0,6183066#3,188958#0  
frame27 #-0,2976881#0,780136#3,198259#-0,2214923#0,606023#3,239252# -0,2788871#0,1390983#2,979951#-0,8003351#0,3879038#3,078704#-0,1852689#0,1840672#2,986557#-0,6928758#0,3519361#3,141757#-0,02608337#0,3478097#3,030963#-0,4902529#0,3423638#3,28423#-0,08073816#0,4991042#3,16338#-0,3528023#0,461923#3,328507#-0,1245002#0,2415371#3,283362#-0,1255861#0,1645196#3,262441#-0,05405562#0,1093551#3,228445#-0,1693324#0,07873728#3,296273#0,1871574#-0,250923#3,195118#-0,3558947#-0,2437595#3,299082#0,4609168#-0,5552359#3,254373#-0,3767228#-0,566817#3,263137#0,4163679#-0,6084942#3,180829#-0,4283472#-0,6508958#3,267215#0  
frame28 #-0,3279586#0,7636421#3,176889#-0,2432306#0,6017869#3,239191# -0,2885457#0,1258886#2,968309#-0,8260779#0,3753568#3,057844#-0,2153984#0,1656509#2,978598#-0,7197762#0,3166888#3,129802#-0,07440206#0,3084138#3,037347#-0,5392355#0,3278357#3,279151#-0,1073231#0,4949827#3,163831#-0,3853168#0,4616938#3,325918#-0,1524936#0,2404556#3,280774#-0,1498959#0,1643019#3,263373#-0,07316265#0,1089359#3,227751#-0,1957187#0,07768258#3,301675#0,1809314#-0,2536523#3,198452#-0,3683591#-0,2469216#3,303425#0,4591153#-0,5563164#3,251876#-0,3777534#-0,567941#3,262286#0,4157239#-0,6095104#3,177565#-0,43075#-0,6522675#3,269418#0  
frame29 #-0,3575232#0,7630569#3,172914#-0,2700683#0,5988541#3,231164# -0,310846#0,1214793#2,973828#-0,8350585#0,3560379#3,037745#-0,2155914#0,164609#2,987608#-0,7356959#0,3031635#3,115098#-0,07876103#0,3271572#3,042306#-0,549878#0,3227213#3,278998#-0,1385893#0,4974734#3,162085#-0,4325393#0,4649055#3,32421#-0,1915244#0,2373098#3,28285#-0,191235#0,160872#3,271149#-0,1086804#0,0957258#3,239093#-0,2488544#0,08238759#3,312816#0,1771642#-0,2568248#3,207872#-0,4236171#-0,2687345#3,28167#0,4591304#-0,5624705#3,250281#-0,3787716#-0,5836947#3,258252#0,4177648#-0,6161581#3,175177#-0,4373626#-0,6603496#3,2843#0  
frame30 #-0,3716224#0,7669483#3,166644#-0,3012415#0,6020984#3,227188# -0,3039222#0,128497#2,978321#-0,8385036#0,3446625#3,030129#-0,2112608#0,1748348#2,996213#-0,7409786#0,2972834#3,11335#-0,08796883#0,3278611#3,065603#-0,5589194#0,317935#3,280762#-0,1647423#0,5009594#3,160363#-0,4422723#0,464177#3,317338#-0,2131932#0,2469944#3,281854#-0,2086432#0,1710445#3,272861#-0,1317884#0,1191111#3,243087#-0,2593316#0,08677153#3,31362#0,168858#-0,2577425#3,223894#-0,4259743#-0,2682608#3,280631#0,4525234#-0,5647995#3,248193#-0,3824118#-0,5832031#3,254925#0,4113596#-0,6194236#3,17427#-0,4193691#-0,6597504#3,244781#0  
frame31 #-0,3946255#0,7672372#3,160233#-0,3224667#0,6020768#3,217617# -0,3044579#0,1316349#2,988638#-0,8313707#0,3179788#2,994467#-0,2143488#0,1787172#3,014078#-0,7498221#0,2924875#3,109796#-0,09954308#0,3299401#3,06107#-0,578917#0,3139453#3,28858#-0,1784783#0,5030724#3,160015#-0,4780121#0,4688048#3,310123#-0,2634272#0,2621742#3,289538#-0,2598915#0,1897679#3,286735#-0,165847#0,1296971#3,258559#-0,3243036#0,105533#3,333406#0,1468616#-0,2464856#3,237654#-0,4297311#-0,2680139#3,282674#0,4195362#-0,5673749#3,249606#-0,3866946#-0,5828195#3,253549#0,3827165#-0,6225019#3,174612#-0,4265623#-0,657979#3,25399#0  
