frame1 #-0,1122321#0,8061563#3,338648#-0,05088986#0,6488425#3,389635# -0,2789947#0,183312#3,04082#-0,6780456#0,5062038#3,162033#-0,1851618#0,2182591#3,048133#-0,5998491#0,4671789#3,211447#-0,01358438#0,3380469#3,087906#-0,4315253#0,4184061#3,342825#0,0745289#0,5366302#3,249496#-0,2317293#0,5296762#3,446505#-0,009612411#0,2736498#3,392922#-0,03545292#0,2045062#3,344255#0,0361207#0,1293471#3,29863#-0,1016955#0,1262178#3,369304#0,226866#-0,2258028#3,33438#-0,3061255#-0,2328952#3,37751#-0,2379174#-0,544147#3,381272#-0,4012319#-0,6404293#3,385781#-0,1139263#-0,5629326#3,376545#-0,4345427#-0,6713533#3,304923#0  
frame22 #-0,3740103#0,9133508#3,281169#-0,3578892#0,7121838#3,322691# -0,1942519#0,2775021#3,070122#-0,7147827#0,3843932#2,90556#-0,1478925#0,3157125#3,138081#-0,6777807#0,3814959#3,050638#-0,08121846#0,4396165#3,25904#-0,6213638#0,4366384#3,290347#-0,1852778#0,6260705#3,322464#-0,5203916#0,5810224#3,33285#-0,3276425#0,3530477#3,366128#-0,3226013#0,2803522#3,362147#-0,2347728#0,2123719#3,366188#-0,3991032#0,1978633#3,365857#-0,2139961#-0,2266422#3,360448#-0,4365253#-0,2298076#3,362066#-0,2884182#-0,5684782#3,464499#-0,3633744#-0,5808314#3,358004#-0,2901755#-0,620949#3,374587#-0,4224168#-0,656072#3,314999#0  
frame23 #-0,3630103#0,9425555#3,300536#-0,366205#0,7433162#3,331509# -0,127688#0,3318442#3,162426#-0,6220267#0,406808#2,89147#-0,104739#0,372189#3,240627#-0,621528#0,3684591#3,03358#-0,08184872#0,4919437#3,381428#-0,6098417#0,454533#3,269166#-0,1863445#0,6549966#3,388055#-0,5175035#0,6037072#3,311033#-0,3486863#0,3704779#3,366364#-0,3421883#0,2962965#3,362907#-0,2618286#0,2276621#3,380616#-0,4213431#0,2168199#3,351777#-0,3030831#-0,2223562#3,407691#-0,4367163#-0,2405978#3,345237#-0,358394#-0,5917262#3,443961#-0,3280465#-0,5881253#3,36089#-0,426565#-0,6470006#3,362401#-0,436012#-0,6368656#3,378848#0  
frame24 #-0,346108#0,9336686#3,323406#-0,3623288#0,7429542#3,337824# -0,143389#0,3115264#3,119486#-0,5481088#0,4391996#2,88067#-0,1092628#0,3543833#3,278739#-0,585855#0,3684818#3,013909#-0,1055432#0,4756517#3,418157#-0,5849429#0,4479354#3,250228#-0,1836198#0,6596315#3,413059#-0,5058434#0,601477#3,303287#-0,3507779#0,3711704#3,366504#-0,3448627#0,2971911#3,365263#-0,2683123#0,2264833#3,389784#-0,4219564#0,2177085#3,350648#-0,3427343#-0,1556032#3,39477#-0,4372538#-0,2417886#3,335024#-0,3328566#-0,5927907#3,345576#-0,5435996#-0,6163279#3,427485#-0,4319096#-0,6590873#3,331221#-0,4748916#-0,6545804#3,386377#0  
frame25 #-0,3348761#0,9488776#3,349827#-0,3621612#0,7433779#3,34882# -0,1194779#0,3413558#3,255187#-0,4386017#0,4713903#2,94441#-0,1435913#0,3563586#3,279416#-0,4368362#0,4579932#2,949253#-0,2124932#0,4201787#3,476662#-0,5699462#0,4039867#3,154608#-0,2143654#0,6597868#3,521101#-0,4751255#0,6027794#3,277537#-0,3563161#0,3724421#3,36881#-0,348887#0,2985792#3,369757#-0,286424#0,227315#3,417776#-0,4177544#0,2218491#3,340307#-0,3270655#-0,1855188#3,449178#-0,4363007#-0,2422076#3,332951#-0,3434671#-0,6032555#3,33177#-0,5670907#-0,6131843#3,423918#-0,4396969#-0,6650257#3,332576#-0,5126686#-0,6814357#3,412462#0  
frame26 #-0,3236044#0,9461942#3,357586#-0,3653885#0,7465057#3,35722# -0,07975828#0,3141215#3,219373#-0,3917101#0,4866225#2,953084#-0,1141862#0,3410627#3,286867#-0,4111296#0,4682092#2,958926#-0,2174701#0,4218864#3,503072#-0,5650269#0,4006414#3,146224#-0,2221023#0,6636671#3,528964#-0,4737086#0,603662#3,26763#-0,3575226#0,3755847#3,378341#-0,3492279#0,3016013#3,379475#-0,2879868#0,2282843#3,437165#-0,4132585#0,223665#3,339257#-0,3316497#-0,181036#3,443378#-0,4128139#-0,1905104#3,30536#-0,3731917#-0,6032378#3,333254#-0,5458937#-0,5932175#3,406546#-0,3888237#-0,6646979#3,266146#-0,4973232#-0,6658173#3,402049#0  
frame27 #-0,3200741#0,9462131#3,361205#-0,3672758#0,7487035#3,360321# -0,09088539#0,3305998#3,317371#-0,3642556#0,5000938#2,966288#-0,1338935#0,3588053#3,360688#-0,3839656#0,4809056#2,991579#-0,2247349#0,4232248#3,51536#-0,5523741#0,4000441#3,135486#-0,2253599#0,6660239#3,53149#-0,4732378#0,6071009#3,262081#-0,3588155#0,3766338#3,381688#-0,3502506#0,3024297#3,382998#-0,2891358#0,2289505#3,44176#-0,4125583#0,223713#3,338868#-0,3353714#-0,1760124#3,436087#-0,4098606#-0,2137107#3,284383#-0,3450354#-0,5986074#3,295977#-0,5516616#-0,6019485#3,421495#-0,2767307#-0,6460587#3,236439#-0,4984906#-0,6706324#3,41774#0  
frame28 #-0,3155355#0,9469945#3,366579#-0,3689579#0,7524496#3,367699# -0,1031017#0,3376696#3,317119#-0,3226103#0,5293183#2,998306#-0,1347273#0,3596382#3,363315#-0,3839138#0,4845277#3,009199#-0,2296041#0,4255441#3,515607#-0,5480797#0,4000287#3,133172#-0,2280453#0,6695917#3,537816#-0,469603#0,6097931#3,257153#-0,3568799#0,3792928#3,389498#-0,3472942#0,3049603#3,391247#-0,2833147#0,2320764#3,460198#-0,4075017#0,222915#3,338275#-0,3415914#-0,2289577#3,268193#-0,4080074#-0,2300432#3,307752#-0,3276697#-0,589179#3,294351#-0,5581493#-0,6077062#3,425476#-0,2926436#-0,6507314#3,243756#-0,4567626#-0,6240807#3,367865#0  
frame29 #-0,3127081#0,9484203#3,369606#-0,3692867#0,7533705#3,36848# -0,1021079#0,3382122#3,316635#-0,2801788#0,5494213#3,030336#-0,1345776#0,3600479#3,362614#-0,3176247#0,5286551#3,03757#-0,2319867#0,425555#3,514271#-0,508449#0,4097154#3,098405#-0,2286653#0,6705697#3,538494#-0,4609466#0,6132106#3,253333#-0,3562633#0,37089#3,390365#-0,3459614#0,2916526#3,392177#-0,2866691#0,2132988#3,454064#-0,4012277#0,2165337#3,338035#-0,3313944#-0,1605229#3,276907#-0,4750805#-0,2676011#3,417238#-0,3038896#-0,5847012#3,295424#-0,5599446#-0,6048372#3,426207#-0,2765243#-0,6427885#3,236551#-0,4625901#-0,6170846#3,360912#0  
frame30 #-0,2976337#0,9501008#3,38117#-0,361152#0,7684575#3,372117# -0,0936992#0,3508812#3,315405#-0,2447005#0,6355675#3,09032#-0,1272354#0,3727826#3,361241#-0,2877305#0,5894808#3,066123#-0,2278441#0,4384866#3,512485#-0,4286584#0,4733451#3,079693#-0,2216757#0,6854671#3,541635#-0,4158528#0,6664026#3,260296#-0,3409228#0,3477419#3,378294#-0,3270531#0,2583122#3,374929#-0,2708868#0,199961#3,389797#-0,3837277#0,2124155#3,347903#-0,2413065#-0,2325216#3,295755#-0,4684463#-0,2668809#3,452113#-0,19922#-0,6096275#3,283644#-0,5620381#-0,6025383#3,427639#-0,1121952#-0,6316815#3,231434#-0,4505463#-0,6110913#3,389589#0  
frame31 #-0,2756923#0,9545223#3,387011#-0,3416188#0,7842775#3,372892# -0,0734918#0,3669782#3,313799#-0,1572132#0,727322#3,096578#-0,1074798#0,3886371#3,359723#-0,1969863#0,6816115#3,065534#-0,2094438#0,4536138#3,511196#-0,3426382#0,5241798#3,041549#-0,202365#0,7014743#3,54224#-0,4102505#0,6599088#3,236391#-0,312762#0,4690991#3,388608#-0,3012064#0,4054731#3,390294#-0,2443655#0,2871699#3,509635#-0,3378664#0,2701189#3,275201#-0,1537448#-0,1668431#3,297518#-0,4341891#-0,1880216#3,447342#-0,07905567#-0,6151145#3,2767#-0,5629859#-0,6005939#3,428467#-0,0121811#-0,6188857#3,220528#-0,4521405#-0,6037918#3,387349#0  
