frame1 #-0,2561446#0,8740786#3,200619#-0,2395385#0,6774978#3,256651# -0,3932871#0,4977993#2,887446#-0,2184921#0,4869379#3,144893#-0,2889219#0,513905#2,876541#-0,2856998#0,447411#3,153721#-0,113653#0,5153252#2,952608#-0,4463183#0,375153#3,34709#-0,09273662#0,5079513#3,216035#-0,3892806#0,5322286#3,263856#-0,2275745#0,3220029#3,271141#-0,2325382#0,2553827#3,229397#-0,1646877#0,181896#3,209094#-0,2981325#0,1928208#3,23663#0,06033834#-0,2478883#3,216926#-0,5238394#-0,2451009#3,215831#0,1887262#-0,5682272#3,242358#-0,602158#-0,5813996#3,196786#0,1766316#-0,6095624#3,164268#-0,6142526#-0,6227348#3,118696#1  
frame22 #-0,2386363#0,8728559#3,205449#-0,2257102#0,6724219#3,24296# -0,4271441#0,4537554#2,985867#-0,2404396#0,4712405#3,222893#-0,3598837#0,4673077#2,971761#-0,3059207#0,4494888#3,210823#-0,1100376#0,5093456#2,943417#-0,4314159#0,4006047#3,442796#-0,08381737#0,5703143#3,172251#-0,4006077#0,5655276#3,274652#-0,2144119#0,3296679#3,265311#-0,2254742#0,2637696#3,229259#-0,1548323#0,1940092#3,21444#-0,2940076#0,1915103#3,232515#0,0755671#-0,2374914#3,227312#-0,5179585#-0,2452163#3,213553#0,2007905#-0,5718981#3,242041#-0,600348#-0,589739#3,205986#0,1766863#-0,6123693#3,169562#-0,633037#-0,6596788#3,175591#1  
frame23 #-0,2196358#0,8773088#3,202541#-0,2185238#0,6734239#3,23614# -0,4078234#0,4911727#2,993862#-0,3212938#0,4277172#3,159234#-0,3194599#0,5118607#2,96801#-0,2884238#0,4485339#3,21712#-0,1017928#0,5212417#2,946768#-0,4375669#0,380381#3,430584#-0,07389627#0,5733458#3,17231#-0,3809259#0,5437047#3,264333#-0,208565#0,3282442#3,261635#-0,2187576#0,2613322#3,228104#-0,1489961#0,1930143#3,214864#-0,2872167#0,1871124#3,232186#0,07648734#-0,2382415#3,228165#-0,5162722#-0,2461993#3,213466#0,2034464#-0,5741048#3,244401#-0,6002076#-0,5896812#3,205787#0,1807183#-0,6148548#3,17158#-0,629055#-0,6568798#3,175072#1  
frame24 #-0,21745#0,8765957#3,20421#-0,207157#0,6816831#3,224637# -0,3977644#0,5272477#2,996902#-0,5425637#0,0779851#3,331364#-0,3131579#0,5283952#2,964781#-0,5261376#0,1421237#3,35166#-0,09552109#0,5291644#2,945779#-0,4570062#0,368171#3,432175#-0,06949146#0,5731903#3,173355#-0,3859777#0,5271645#3,265503#-0,2008096#0,3302044#3,256371#-0,2104678#0,2614956#3,226556#-0,1361224#0,1932218#3,217478#-0,2822349#0,1843209#3,230228#0,07837996#-0,2391893#3,230479#-0,5120643#-0,251758#3,214045#0,2037941#-0,5739087#3,244963#-0,5998829#-0,5915223#3,206486#0,1818008#-0,6150954#3,172197#-0,6230932#-0,6569996#3,177302#1  
frame25 #-0,1953112#0,8976995#3,19869#-0,1812442#0,7145683#3,178704# -0,3897247#0,5491696#3,001018#-0,5955245#0,1138248#3,253875#-0,3117919#0,5588485#2,966483#-0,5609645#0,1718202#3,267608#-0,08442351#0,5408418#2,954899#-0,4714698#0,3795947#3,408291#-0,06770542#0,5773561#3,174253#-0,3805954#0,5316005#3,264849#-0,1933728#0,336508#3,247969#-0,2045495#0,262311#3,225438#-0,1329375#0,1952162#3,219585#-0,2766456#0,1854053#3,230736#0,08524721#-0,2290699#3,234189#-0,5059#-0,2565303#3,214647#0,203914#-0,5740043#3,245171#-0,5956589#-0,6003678#3,198879#0,1832967#-0,6174374#3,173214#-0,6342098#-0,6665267#3,171554#1  
frame26 #-0,1807581#0,8768585#3,199847#-0,1733014#0,6666644#3,195744# -0,3998852#0,6052607#2,963587#-0,6041701#0,1692057#3,16207#-0,3331945#0,6099728#2,980618#-0,5754529#0,2122303#3,207722#-0,0823888#0,5918177#2,925767#-0,4697029#0,3750321#3,394862#-0,04361125#0,5801278#3,181396#-0,3680423#0,5485734#3,264724#-0,1886737#0,3376373#3,244648#-0,1966113#0,2682339#3,225255#-0,125726#0,1994162#3,220907#-0,2715883#0,1900603#3,231679#0,09078471#-0,2319314#3,236944#-0,5024109#-0,258436#3,214129#0,2041769#-0,5732783#3,245007#-0,5970039#-0,6104194#3,200176#0,1853259#-0,6156953#3,172272#-0,6292347#-0,6699719#3,172006#1  
frame27 #-0,1757099#0,8771769#3,203733#-0,1721459#0,6626885#3,207978# -0,3426728#0,6481302#2,980106#-0,5755955#0,2547326#3,129611#-0,2549313#0,6388327#2,949807#-0,5542111#0,2669891#3,256985#-0,06589679#0,6067187#2,947386#-0,4441155#0,4092133#3,338604#-0,03729031#0,5425909#3,218815#-0,3626828#0,5500096#3,262#-0,1836062#0,336818#3,245247#-0,1878954#0,2696456#3,226876#-0,1145639#0,2021274#3,224366#-0,2627237#0,1927043#3,230479#0,100401#-0,2181528#3,245466#-0,4970054#-0,2568325#3,212582#0,204346#-0,5734165#3,244778#-0,5895214#-0,5980168#3,199772#0,1943922#-0,6154345#3,170099#-0,6335075#-0,6643316#3,173772#1  
frame28 #-0,1522019#0,8594753#3,205436#-0,1551888#0,6492363#3,236311# -0,3051402#0,6921512#2,977673#-0,56272#0,3090195#3,08983#-0,2408372#0,6788183#2,956443#-0,5363088#0,2977809#3,158982#-0,02471149#0,6118922#2,964557#-0,4361125#0,3776417#3,315724#-0,03218873#0,5435346#3,221873#-0,3475232#0,5472774#3,256627#-0,1665111#0,3311524#3,250717#-0,1713368#0,2678777#3,229696#-0,09764444#0,202483#3,227254#-0,2480264#0,1910643#3,227844#0,1124814#-0,2280978#3,248537#-0,4909058#-0,2588567#3,211141#0,2060554#-0,5758486#3,244802#-0,5883031#-0,5951236#3,200151#0,1978067#-0,6164201#3,169138#-0,6361939#-0,663374#3,173619#1  
frame29 #-0,1455372#0,8609043#3,204087#-0,1525441#0,6470559#3,239444# -0,2934884#0,7285111#2,979446#-0,5560817#0,3620995#2,949541#-0,2280309#0,7212071#2,958862#-0,5277396#0,3602295#3,01243#-0,01032939#0,6198444#2,969722#-0,4181545#0,3565921#3,256358#-0,01218009#0,5480697#3,231322#-0,3329532#0,5531018#3,250758#-0,1581832#0,3312018#3,25326#-0,1601737#0,2692204#3,231609#-0,08927143#0,2028284#3,230428#-0,2303778#0,1927183#3,224658#0,1175777#-0,230403#3,249776#-0,4649954#-0,2620285#3,214198#0,2096876#-0,5763028#3,244849#-0,5996702#-0,5968251#3,200327#0,2053484#-0,6167631#3,169032#-0,6040094#-0,6372854#3,12451#1  
frame30 #-0,1016435#0,8113494#3,154934#-0,1287597#0,6457083#3,248624# -0,1808791#0,75956#2,979532#-0,4763173#0,4230236#2,963768#-0,1157888#0,7495772#2,958673#-0,4620439#0,37334#3,020575#0,03583989#0,6307633#2,9792#-0,3938641#0,3680941#3,214037#0,01415624#0,5450056#3,250512#-0,292304#0,5410742#3,236341#-0,1361572#0,3269444#3,259164#-0,1366783#0,2650732#3,236084#-0,06814395#0,1987793#3,238908#-0,2083986#0,1901594#3,223575#0,1212256#-0,2285772#3,25146#-0,4561594#-0,2640103#3,212658#0,2115937#-0,5765115#3,244777#-0,6078048#-0,5986995#3,199823#0,215533#-0,6166243#3,169051#-0,6038655#-0,6388122#3,124097#1  
frame31 #-0,08709623#0,8506088#3,164325#-0,110719#0,654718#3,255168# -0,1853205#0,8050563#2,980434#-0,4055859#0,4954712#2,898772#-0,120279#0,7950809#2,95959#-0,3991873#0,4722964#2,963474#0,08231209#0,6329563#3,003453#-0,3773042#0,3501583#3,124651#0,03336946#0,5574334#3,2604#-0,2800428#0,5377154#3,227694#-0,1219645#0,3325746#3,262592#-0,121218#0,2704712#3,238364#-0,04925265#0,2042358#3,247129#-0,1952255#0,1940301#3,21993#0,133831#-0,2282108#3,255249#-0,4390873#-0,268399#3,21475#0,2138407#-0,5754966#3,246455#-0,6156679#-0,599648#3,200596#0,2220183#-0,6153606#3,171095#-0,6074903#-0,639512#3,125236#1  
frame32 #-0,05869903#0,8253255#3,117977#-0,09614886#0,6546984#3,256629# -0,04461919#0,7823521#3,015155#-0,2898347#0,5354652#2,929613#0,02017508#0,7724147#2,99439#-0,3449583#0,4944497#2,926902#0,1192444#0,6147379#3,058533#-0,3003732#0,3122158#3,112262#0,05683133#0,5560513#3,280151#-0,2294963#0,5306342#3,1985#-0,1058595#0,3305179#3,2657#-0,09972976#0,2675951#3,242328#-0,02978553#0,2008039#3,258957#-0,1686226#0,1929181#3,215941#0,144782#-0,2308821#3,256892#-0,4310131#-0,2689369#3,213792#0,2158576#-0,5754464#3,24856#-0,6350106#-0,5917489#3,207611#0,2373599#-0,6152811#3,175787#-0,6135083#-0,6315836#3,134838#1  
frame33 #-0,02474597#0,8328832#3,16409#-0,06273496#0,6649376#3,257905# 0,01847395#0,7893803#3,050689#-0,2254203#0,5595696#2,909343#0,08316823#0,7794582#3,029956#-0,2310438#0,5318192#2,930347#0,1722074#0,6000451#3,071134#-0,2668235#0,3552557#3,077143#0,07610992#0,548537#3,297297#-0,1965498#0,529459#3,193606#-0,09025431#0,3270391#3,266121#-0,08384946#0,2616371#3,24296#-0,02145105#0,1954631#3,263797#-0,1495313#0,1903017#3,211104#0,1561258#-0,2224337#3,26146#-0,4078866#-0,2664719#3,215489#0,2268075#-0,5908079#3,260633#-0,6440231#-0,5901764#3,207786#0,2737245#-0,6509019#3,242668#-0,6798245#-0,657611#3,164842#1  
frame34 #0,01790976#0,842346#3,202958#-0,04485467#0,6672727#3,254469# 0,1153445#0,8383045#3,014926#-0,1181897#0,6077596#2,923963#0,1589623#0,7903728#3,037923#-0,1382284#0,5427412#2,933955#0,2302147#0,5425688#3,08991#-0,2379311#0,3220502#3,04379#0,09185747#0,5432542#3,305495#-0,2173737#0,5091145#3,172193#-0,07225261#0,332694#3,268164#-0,06620716#0,2667031#3,246918#0,003003742#0,1895895#3,282921#-0,1396866#0,1860271#3,20781#0,1677319#-0,222156#3,262856#-0,3969485#-0,2683517#3,219094#0,2296546#-0,5900202#3,259171#-0,6531118#-0,5968798#3,202874#0,2802935#-0,6536047#3,250381#-0,6899475#-0,6547635#3,155732#1  
