frame1 #-0,141103#0,9558074#3,2377#-0,118155#0,7678524#3,277776# 0,00439763#0,41597#2,719001#-0,2862002#0,4147317#2,683601#0,0232016#0,4111341#2,811582#-0,3151173#0,4266137#2,7628#0,07893559#0,4826236#3,020083#-0,3306119#0,4619901#3,064447#0,0284668#0,6384027#3,186478#-0,2828881#0,6255025#3,222634#-0,1239148#0,3793707#3,268584#-0,1326701#0,3134624#3,20852#-0,06479377#0,2473895#3,191872#-0,2049595#0,2410882#3,200212#-0,06979556#-0,2648618#3,124781#-0,222874#-0,2833987#3,324999#-0,07358623#-0,6029825#2,966416#-0,0813635#-0,6178575#2,967506#-0,1116329#-0,6627576#2,904613#-0,1246659#-0,6827904#2,875334#0  
frame22 #-0,1579465#0,9536853#3,401692#-0,1245997#0,7869023#3,45674# -0,06656388#0,512815#2,773412#-0,4252349#0,8119308#3,452653#-0,0620975#0,489832#2,952691#-0,4274557#0,8007014#3,479495#-0,04190836#0,6319892#3,119602#-0,4468431#0,7026733#3,728064#-0,02594963#0,7091268#3,362425#-0,3012369#0,720437#3,604604#-0,135035#0,4344289#3,482819#-0,1696117#0,3689157#3,454419#-0,1139083#0,3034245#3,421822#-0,2400106#0,2970751#3,485485#-0,07172835#-0,224113#3,341734#-0,2213005#-0,2366548#3,423318#-0,0423284#-0,582547#3,499387#-0,1585188#-0,5935405#3,445236#0,001961298#-0,6496066#3,465832#-0,2137377#-0,6593609#3,430986#0  
frame23 #-0,1593278#0,955972#3,413707#-0,1274046#0,7875425#3,469299# -0,04321665#0,5203242#2,819892#-0,4230728#0,8249478#3,495373#-0,05315054#0,4876467#2,95979#-0,4243376#0,8536679#3,594368#-0,03270167#0,6319187#3,130855#-0,447689#0,7088498#3,735958#-0,02512549#0,712324#3,372577#-0,2983668#0,7332329#3,613197#-0,1349644#0,4368255#3,490566#-0,1673923#0,3713577#3,463135#-0,1121885#0,30718#3,431518#-0,2364844#0,2987489#3,490356#-0,05319992#-0,2159156#3,394945#-0,2133022#-0,2368884#3,427485#-0,1037359#-0,585081#3,514086#-0,1745211#-0,5839219#3,441779#-0,1653821#-0,6318526#3,446659#-0,2046593#-0,6655778#3,435858#0  
frame24 #-0,1624082#0,9616032#3,430136#-0,1266216#0,7906765#3,473353# -0,04715855#0,5205781#2,793164#-0,4095442#0,8589954#3,546319#-0,05570471#0,4941024#2,968429#-0,3940015#0,8604429#3,612091#-0,04323966#0,6403878#3,148826#-0,4413837#0,7122445#3,742354#-0,04076673#0,715991#3,392171#-0,2900701#0,7380226#3,618631#-0,1340311#0,4342169#3,496552#-0,1648163#0,3659466#3,472738#-0,1128635#0,3046578#3,441591#-0,2284438#0,2987543#3,499952#-0,05127878#-0,246106#3,453825#-0,2033558#-0,2417165#3,444016#-0,1110537#-0,5866122#3,551744#-0,174622#-0,5789102#3,445168#-0,1739919#-0,6338339#3,485026#-0,2054856#-0,6589253#3,426888#0  
frame25 #-0,1642795#0,9623992#3,439168#-0,1264983#0,790177#3,478956# -0,04529527#0,513933#2,792399#-0,3183524#0,9509825#3,735902#-0,03959636#0,5463136#2,903004#-0,346687#0,8927879#3,736751#-0,04689484#0,638608#3,163059#-0,4316908#0,7182043#3,753473#-0,04786249#0,7140294#3,406536#-0,2796924#0,7445525#3,628523#-0,1340361#0,4320066#3,503649#-0,1636031#0,3631675#3,482366#-0,1148228#0,3068189#3,456082#-0,2236307#0,2994314#3,507313#-0,02555587#-0,2208958#3,497219#-0,1928153#-0,2431252#3,463503#-0,1029728#-0,5710673#3,622842#-0,1749368#-0,57839#3,444582#-0,1672509#-0,6181723#3,558035#-0,203806#-0,6578825#3,422895#0  
frame26 #-0,1626787#0,9568697#3,444331#-0,1258027#0,7885923#3,483575# -0,04636752#0,4904128#2,789472#-0,3664662#0,8805279#3,593775#-0,04718413#0,5020784#2,959456#-0,3397065#0,8907579#3,734134#-0,05423357#0,618414#3,169502#-0,4287645#0,7183806#3,757248#-0,05886973#0,6938564#3,412927#-0,2766272#0,7448747#3,631941#-0,1335603#0,4254111#3,511722#-0,1612217#0,3545777#3,49445#-0,115107#0,3004394#3,465227#-0,2168351#0,2945374#3,521949#-0,02144144#-0,2514431#3,558166#-0,1946684#-0,2285821#3,474396#-0,05782397#-0,5921745#3,72572#-0,175914#-0,5786149#3,444608#-0,08155429#-0,6574382#3,67262#-0,2415736#-0,6260494#3,381235#0  
frame27 #-0,1621172#0,9476918#3,441898#-0,117383#0,7907104#3,497047# -0,02751464#0,4727152#2,809664#-0,3655916#0,8835974#3,585558#-0,03436855#0,4900975#2,969335#-0,3205394#0,8906682#3,736489#-0,04666931#0,6065914#3,175801#-0,416577#0,7230115#3,77087#-0,05827902#0,6877342#3,416891#-0,2641487#0,7497171#3,645207#-0,1241518#0,4253211#3,530776#-0,1530476#0,3539537#3,515795#-0,1097572#0,2995988#3,487822#-0,2047658#0,2979417#3,546212#-0,01016877#-0,1442277#3,573946#-0,2039202#-0,2069912#3,481318#-0,04507507#-0,5176517#3,768125#-0,1739419#-0,5795377#3,447319#-0,09233809#-0,5578043#3,667287#-0,1972462#-0,6589131#3,418813#0  
frame28 #-0,1608227#0,9464521#3,449031#-0,1156193#0,7827528#3,502841# -0,006681105#0,4668694#2,870399#-0,3287041#0,9082144#3,6305#-0,0135253#0,4747412#3,002757#-0,3202891#0,8857297#3,748848#-0,03423315#0,5892575#3,19014#-0,4144468#0,7162133#3,775506#-0,05329823#0,673946#3,429328#-0,2619658#0,7430282#3,649686#-0,1213318#0,4237432#3,54669#-0,1492892#0,3532631#3,53424#-0,1067208#0,2954323#3,503229#-0,2003287#0,2962005#3,573555#-0,02095976#-0,2128747#3,638688#-0,2054647#-0,2054586#3,482974#-0,04351583#-0,5743624#3,843877#-0,1746021#-0,5798444#3,454297#-0,08553253#-0,5952521#3,735027#-0,1926883#-0,6578321#3,418709#0  
frame29 #-0,150696#0,9410321#3,466511#-0,1082202#0,7697486#3,512336# -0,01036461#0,4186609#2,835544#-0,3286939#0,9067714#3,629984#-0,02187108#0,4583886#2,997393#-0,3270673#0,8784068#3,74753#-0,02887702#0,570127#3,200587#-0,4065437#0,7032983#3,784697#-0,03989953#0,6603116#3,437206#-0,2539926#0,7301264#3,65878#-0,1156143#0,4163845#3,571259#-0,1440762#0,3462206#3,561386#-0,09755164#0,2811601#3,545829#-0,1991459#0,2947599#3,590743#-0,02338805#-0,2136445#3,661916#-0,2041945#-0,221911#3,488786#-0,04617658#-0,5699264#3,84445#-0,1741516#-0,5809157#3,454129#-0,09057491#-0,5940416#3,737153#-0,2408323#-0,6300066#3,392653#0  
frame30 #-0,1435211#0,9378418#3,465095#-0,1027371#0,7551444#3,522179# -0,01078489#0,4106387#2,855774#-0,425765#0,6090916#3,847624#0,0008441755#0,47547#3,078511#-0,4042933#0,6637952#3,820569#-0,005099177#0,4690337#3,355023#-0,3398783#0,8279063#3,753477#-0,02883857#0,6518021#3,443485#-0,2539124#0,6887525#3,613422#-0,1065077#0,3929909#3,595315#-0,1273395#0,3184344#3,587334#-0,07632042#0,2567632#3,568479#-0,1860232#0,2660777#3,618399#-0,02753306#-0,2082464#3,662992#-0,2152894#-0,1831249#3,478722#-0,08442353#-0,5725062#3,764283#-0,1743498#-0,5814399#3,454618#-0,1247059#-0,6018928#3,656572#-0,1972969#-0,6620954#3,428838#0  
frame31 #-0,1165736#0,8897034#3,462366#-0,09852675#0,7164664#3,549209# -0,02991567#0,3666474#2,876019#-0,3953817#0,5855682#3,741801#0,04220003#0,4300148#3,004809#-0,3883405#0,6499176#3,747901#0,06375477#0,5226916#3,196011#-0,3672167#0,8429656#3,780236#0,009419714#0,6283081#3,459231#-0,2816449#0,6556441#3,642761#-0,1108053#0,3896529#3,598776#-0,1282828#0,3184702#3,589664#-0,07308948#0,2543447#3,576696#-0,1949801#0,2595935#3,618939#-0,04468756#-0,1907704#3,625767#-0,2130421#-0,1884054#3,478939#-0,08611216#-0,5713294#3,776269#-0,1770344#-0,5766938#3,455384#-0,1271851#-0,6008141#3,668931#-0,2037179#-0,6543198#3,422215#0  
