frame1 #-0,1192088#0,9726432#3,149547#-0,07162139#0,7515999#3,197505# 0,05714685#0,3422322#2,971963#-0,2452853#0,1681593#3,164178#0,06427813#0,4110508#2,977413#-0,2367161#0,2365852#3,156365#0,08567195#0,6175067#3,00781#-0,2110085#0,4418626#3,146972#0,01093883#0,6707738#3,158912#-0,206669#0,6499296#3,18074#-0,06388668#0,3560966#3,188955#-0,06949668#0,2877534#3,129603#-0,02031304#0,2440039#3,120396#-0,1182365#0,234624#3,121694#-0,003046472#-0,2891628#2,949121#-0,1473279#-0,2881256#3,284233#0,01203545#-0,666468#2,860703#-0,01110528#-0,6200162#2,883745#-0,0223853#-0,6948173#2,808474#-0,01945506#-0,6571348#2,812469#0  
frame22 #-0,1368222#0,9281939#3,210381#-0,08001749#0,7495117#3,223906# -0,1943952#0,6002955#3,249591#-0,09941345#0,4130625#3,087417#-0,1466046#0,5551087#3,209744#-0,1470166#0,4381555#3,142352#-0,003232868#0,4195484#3,103134#-0,289826#0,5134345#3,32009#-0,03139264#0,6442576#3,172508#-0,2249667#0,6612163#3,29043#-0,06524712#0,3408022#3,220899#-0,09223947#0,2659227#3,173869#-0,04670025#0,2264964#3,156416#-0,1402601#0,2118684#3,180044#-0,001222046#-0,2626784#2,987827#-0,1759821#-0,2721167#3,288814#0,01268265#-0,6112964#2,870711#-0,1324387#-0,5369279#3,364744#-0,01560837#-0,6830417#2,813921#-0,1832225#-0,5174626#3,319431#0  
frame23 #-0,1430621#0,9241498#3,226842#-0,0826177#0,7475709#3,254719# -0,1923112#0,5995808#3,258025#-0,09938511#0,4112949#3,096338#-0,1436137#0,5524432#3,221884#-0,1475493#0,4346753#3,151412#0,002478633#0,4110304#3,126319#-0,2920418#0,5048165#3,329495#-0,04109181#0,6334239#3,193267#-0,2281976#0,6594008#3,322568#-0,06626926#0,3278001#3,243585#-0,09523376#0,2514389#3,196799#-0,05290425#0,215915#3,170947#-0,1385482#0,1947505#3,210936#-0,001106194#-0,2678761#2,999152#-0,1787898#-0,2730959#3,291835#0,01217342#-0,6134077#2,87238#-0,131048#-0,5352895#3,36602#-0,01562153#-0,6835134#2,813816#-0,1836361#-0,5146056#3,323742#0  
frame24 #-0,1440018#0,9075752#3,245642#-0,08984744#0,739785#3,28864# -0,1880576#0,5849872#3,289141#-0,1000865#0,395812#3,149426#-0,1401166#0,5401869#3,24948#-0,1494681#0,4216806#3,202064#0,003706604#0,4057858#3,143281#-0,2976131#0,4992863#3,372762#-0,04310498#0,6275252#3,207702#-0,2354094#0,6517745#3,355653#-0,07125314#0,3251215#3,271183#-0,1019906#0,2501796#3,224582#-0,06051791#0,210723#3,193209#-0,1452318#0,1922251#3,240527#0,001375588#-0,2883086#3,027296#-0,1816417#-0,2727487#3,296807#0,01343874#-0,6088105#2,877863#-0,1307658#-0,533869#3,364901#-0,01381412#-0,6772742#2,817569#-0,1836854#-0,512729#3,323608#0  
frame25 #-0,1496934#0,9149055#3,261809#-0,1000975#0,7467366#3,304194# -0,1962157#0,5913562#3,322694#-0,1000156#0,4476233#3,241044#-0,142306#0,5564066#3,280386#-0,1514076#0,4724186#3,292636#0,01942279#0,4515579#3,166327#-0,3055836#0,5468044#3,460278#0,03909877#0,6808309#3,174086#-0,2458096#0,6587368#3,371539#-0,08194885#0,3596149#3,300745#-0,1109264#0,2906234#3,25609#-0,05409159#0,2218955#3,209407#-0,1704835#0,2093199#3,269533#-0,00187097#-0,2668572#3,062553#-0,1838785#-0,2754259#3,30873#0,01884092#-0,5921961#2,897959#-0,1289158#-0,5331447#3,377239#-0,006647367#-0,6571169#2,83252#-0,1765442#-0,5148761#3,328304#0  
frame26 #-0,1554124#0,9198002#3,271722#-0,1068509#0,7546504#3,313653# 0,1413466#0,4568083#3,300726#-0,3052811#0,6620125#3,080109#0,09765527#0,4400142#3,268534#-0,2977164#0,6190641#3,231018#-0,03341871#0,3896318#3,18491#-0,3008725#0,5419477#3,461246#-0,02317857#0,6197965#3,201073#-0,2525135#0,6665783#3,380962#-0,08580027#0,3547342#3,312136#-0,1168991#0,2801523#3,270817#-0,0688265#0,219141#3,240764#-0,1710604#0,2073259#3,286752#-0,001413284#-0,2674905#3,070842#-0,1858846#-0,2768506#3,320662#0,03018917#-0,5785071#2,922711#-0,1281192#-0,5315148#3,38828#0,004149577#-0,6366845#2,850095#-0,1749911#-0,5168891#3,336421#0  
frame27 #-0,1670015#0,9287639#3,290986#-0,1153327#0,761073#3,323681# -0,1867072#0,626697#3,387261#-0,318372#0,6837188#3,147691#-0,1343978#0,5855094#3,348592#-0,3109105#0,644945#3,256619#0,02253028#0,4619464#3,24561#-0,3010243#0,5550236#3,482173#-0,05047815#0,6808428#3,260885#-0,2609957#0,6729935#3,391004#-0,09614605#0,3599651#3,335682#-0,1223368#0,2841194#3,292932#-0,07656664#0,2336515#3,262717#-0,1711293#0,2162913#3,319225#0,002332621#-0,2727253#3,089666#-0,1866772#-0,2720046#3,341603#0,03287337#-0,5789259#2,937448#-0,1283514#-0,5270936#3,400074#0,01214978#-0,6362639#2,861644#-0,1708797#-0,5139636#3,343604#0  
frame28 #-0,1690716#0,9246391#3,313362#-0,1245646#0,7391745#3,352797# -0,18413#0,6291007#3,402306#-0,3336987#0,703662#3,24088#-0,1346859#0,5865308#3,36089#-0,3746441#0,6967146#3,321944#0,01364628#0,4588212#3,249706#-0,3046775#0,6966896#3,556037#-0,05051419#0,6811119#3,260518#-0,270227#0,6510816#3,420134#-0,09828755#0,3574537#3,352389#-0,1274475#0,2854574#3,310665#-0,08050916#0,2348812#3,277649#-0,1751304#0,2195014#3,33099#0,00461869#-0,2908286#3,102708#-0,1900242#-0,2601199#3,36059#0,04597045#-0,5806683#2,977985#-0,1390004#-0,5178146#3,406998#0,03621646#-0,6406256#2,90215#-0,179909#-0,4873217#3,356457#0  
frame29 #-0,173569#0,9350328#3,330317#-0,1273259#0,7839453#3,364531# -0,1970488#0,6314808#3,434548#-0,3365786#0,7111371#3,277441#-0,1513503#0,5891684#3,388482#-0,3659194#0,7018321#3,334589#-0,01425492#0,4622315#3,263402#-0,3110377#0,7011068#3,573529#-0,04045402#0,6914313#3,261081#-0,2729858#0,6958589#3,431862#-0,1025032#0,3746397#3,373533#-0,1313704#0,2989941#3,333438#-0,08111384#0,2451679#3,301428#-0,1832149#0,2328904#3,356142#0,001468457#-0,2742561#3,128479#-0,1909266#-0,2534925#3,377954#0,07015994#-0,5842457#3,037665#-0,1390212#-0,5131264#3,407345#0,05365507#-0,6476825#2,965406#-0,1618256#-0,5426711#3,345645#0  
frame30 #-0,1744501#0,9488654#3,341078#-0,1234066#0,7983415#3,381527# -0,2109379#0,6296591#3,441637#-0,3467694#0,7361944#3,362668#-0,1652998#0,5867056#3,395878#-0,3901477#0,7292543#3,375532#-0,02838564#0,4578453#3,271785#-0,3101765#0,7093368#3,590059#-0,06376965#0,687794#3,289456#-0,2690666#0,7102529#3,448857#-0,1090964#0,3782707#3,393471#-0,1405201#0,2995034#3,355616#-0,1000078#0,249781#3,329222#-0,1878069#0,2390966#3,377506#0,00184302#-0,273228#3,162698#-0,1874972#-0,2477598#3,397359#0,08196652#-0,5857451#3,10011#-0,1396213#-0,509302#3,412223#0,06739491#-0,652977#3,043188#-0,1666046#-0,5615807#3,370636#0  
frame31 #-0,1775343#0,9441206#3,350342#-0,132524#0,7492439#3,399215# -0,01255181#0,5726679#2,977415#-0,35205#0,7623861#3,418197#0,01325086#0,5804271#3,060059#-0,3929744#0,7337626#3,485056#-0,03116341#0,4768073#3,278456#-0,2992635#0,730159#3,643698#-0,05723735#0,7094536#3,305271#-0,2781836#0,6611553#3,466546#-0,1204704#0,3751513#3,416523#-0,1516146#0,3021611#3,382874#-0,1072482#0,2500817#3,347918#-0,2024699#0,2349733#3,412599#-0,007775194#-0,2641358#3,188177#-0,1966753#-0,1912735#3,411512#0,09215117#-0,5816195#3,189499#-0,1472496#-0,4702545#3,408338#0,08679531#-0,6426653#3,148937#-0,1597377#-0,5381373#3,389074#0  
