frame1 #-0,1192088#0,9726432#3,149547#-0,07162139#0,7515999#3,197505# 0,05714685#0,3422322#2,971963#-0,2452853#0,1681593#3,164178#0,06427813#0,4110508#2,977413#-0,2367161#0,2365852#3,156365#0,08567195#0,6175067#3,00781#-0,2110085#0,4418626#3,146972#0,01093883#0,6707738#3,158912#-0,206669#0,6499296#3,18074#-0,06388668#0,3560966#3,188955#-0,06949668#0,2877534#3,129603#-0,02031304#0,2440039#3,120396#-0,1182365#0,234624#3,121694#-0,003046472#-0,2891628#2,949121#-0,1473279#-0,2881256#3,284233#0,01203545#-0,666468#2,860703#-0,01110528#-0,6200162#2,883745#-0,0223853#-0,6948173#2,808474#-0,01945506#-0,6571348#2,812469#0  
frame68 #-0,06925714#0,1779435#3,51958#-0,1160583#0,01842319#3,654418# 0,00884423#-0,3887088#3,536093#-0,1141946#-0,1351842#3,296103#0,007882714#-0,4287345#3,613549#-0,09273212#-0,1958347#3,299862#-0,009198591#-0,2138133#3,741948#-0,1967876#-0,2548113#3,469733#0,02213592#0,02855972#3,778536#-0,2163435#-0,01997082#3,560524#-0,1499423#-0,2140288#3,71944#-0,1573595#-0,2624641#3,739232#-0,11602#-0,3219832#3,806053#-0,2183151#-0,3365015#3,706307#0,1703218#-0,4335495#3,592918#-0,1870404#-0,4599668#3,540001#-0,0483088#-0,564178#3,880076#-0,2250283#-0,594727#3,527704#0,001809001#-0,6141154#3,832114#-0,2209981#-0,655676#3,488365#0  
frame69 #-0,06544326#0,1720189#3,530656#-0,1144058#0,0157345#3,658651# 0,008921159#-0,3908007#3,540066#-0,1139491#-0,134781#3,296113#0,008312784#-0,430605#3,61741#-0,09253664#-0,1952901#3,299862#-0,00776593#-0,2159285#3,74532#-0,1940873#-0,2735119#3,459457#0,02377897#0,0258711#3,78276#-0,2126856#-0,03972842#3,552336#-0,1554359#-0,2136254#3,726557#-0,160303#-0,2617221#3,741793#-0,1269938#-0,3219293#3,81709#-0,2216006#-0,3384622#3,706726#0,1614699#-0,4290734#3,605531#-0,203272#-0,4885691#3,55989#-0,04435462#-0,5660625#3,883036#-0,2488224#-0,6280541#3,560272#0,007782977#-0,6161056#3,837727#-0,2198236#-0,651504#3,498096#0  
frame70 #-0,0687461#0,1863639#3,529593#-0,1142143#0,02094404#3,660522# 0,004035424#-0,365953#3,662301#-0,09859341#-0,1239286#3,27421#0,0008522645#-0,4000398#3,742315#-0,07717045#-0,1844673#3,277962#0,04686345#-0,1875464#3,866467#-0,1699691#-0,2414277#3,434702#0,02396557#0,03107519#3,784628#-0,2150455#-0,02501339#3,563638#-0,151505#-0,2126153#3,722139#-0,1528648#-0,2609704#3,73166#-0,1102417#-0,3306085#3,797502#-0,2086146#-0,3403839#3,685176#0,1864481#-0,437695#3,598265#-0,1808692#-0,4937946#3,517237#-0,04020165#-0,5679585#3,884418#-0,2246315#-0,6071314#3,534074#0,01094922#-0,6163037#3,835986#-0,2196029#-0,6656774#3,491402#0  
frame71 #-0,06903945#0,1862867#3,529253#-0,1138289#0,02385086#3,663999# 0,01981411#-0,3277273#3,613899#-0,1015336#-0,1243433#3,283695#0,02347201#-0,3652379#3,692396#-0,08009928#-0,184914#3,287449#0,0284786#-0,1856151#3,870827#-0,1739791#-0,2422166#3,443461#0,02434793#0,03398061#3,788103#-0,2150075#-0,02190013#3,566003#-0,1518648#-0,2024437#3,743114#-0,1544203#-0,2491692#3,759379#-0,1093398#-0,3050523#3,830874#-0,2198679#-0,3168829#3,738836#0,1594768#-0,4385301#3,607797#-0,1730541#-0,4397929#3,558022#-0,03775825#-0,5704378#3,885761#-0,2147729#-0,5509323#3,573081#0,01261434#-0,621515#3,839345#-0,2192262#-0,630749#3,515945#0  
frame72 #-0,06908344#0,1853378#3,530816#-0,1140955#0,02398226#3,667423# 0,02054984#-0,3269895#3,614499#-0,1214806#-0,130341#3,324659#0,02318414#-0,3648443#3,692956#-0,1000276#-0,1909645#3,328416#0,02560912#-0,1864269#3,873064#-0,1962567#-0,2581962#3,478632#0,02407956#0,03411184#3,791526#-0,215035#-0,02235597#3,566042#-0,1511656#-0,2031337#3,739265#-0,1529561#-0,2504375#3,750252#-0,1104705#-0,3101057#3,815837#-0,2102589#-0,3316466#3,70127#0,1699648#-0,4444869#3,608851#-0,1720114#-0,4870822#3,518723#-0,03843241#-0,5721973#3,888719#-0,2342223#-0,6166233#3,535969#0,01289652#-0,621955#3,841628#-0,2145399#-0,6658177#3,486099#0  
frame73 #-0,0700413#0,189533#3,533069#-0,114426#0,02728341#3,669854# -0,01229389#-0,3240618#3,575282#-0,09303322#-0,115233#3,265329#-0,01746596#-0,3651323#3,652101#-0,07155322#-0,1759328#3,26909#-0,01352865#-0,19463#3,841759#-0,1708994#-0,2181412#3,42783#0,02374762#0,03741281#3,793957#-0,2146874#-0,02260136#3,566906#-0,1492078#-0,2012755#3,735963#-0,1503522#-0,2484826#3,745738#-0,1088039#-0,3092189#3,813615#-0,2083341#-0,3311382#3,698859#0,1721158#-0,4479981#3,609997#-0,2087394#-0,4424811#3,505924#-0,03773879#-0,573843#3,889936#-0,2709502#-0,5720223#3,523258#0,01421481#-0,622557#3,84259#-0,2195889#-0,6470964#3,502827#0  
frame74 #-0,06381485#0,1625627#3,569425#-0,1127142#0,02293942#3,671497# 0,01492941#-0,3467921#3,593465#-0,03357619#-0,1462326#3,125012#0,01489905#-0,3861551#3,671108#-0,08714784#-0,1825705#3,29106#-0,01041528#-0,1994528#3,840753#-0,1954321#-0,2554944#3,468265#0,0254583#0,03306898#3,7956#-0,2115105#-0,02325187#3,570249#-0,1465345#-0,2180012#3,712188#-0,1482251#-0,2686864#3,713141#-0,1086982#-0,3383295#3,764062#-0,2067258#-0,3415593#3,671418#0,2094869#-0,4631034#3,619301#-0,2092362#-0,445036#3,505838#-0,03801406#-0,5822184#3,894113#-0,271447#-0,5745772#3,523244#0,01466151#-0,6274173#3,844284#-0,2174876#-0,6468627#3,500926#0  
frame75 #-0,06779511#0,1948241#3,559235#-0,1047435#0,0137943#3,679281# 0,01743919#-0,3530101#3,590482#-0,05477663#-0,1700363#3,238438#0,01686336#-0,3920516#3,668455#-0,08549653#-0,1822563#3,293768#-0,002831735#-0,2105722#3,847105#-0,1791036#-0,2473985#3,464908#0,03342757#0,02392389#3,803384#-0,208095#-0,01982097#3,580522#-0,144663#-0,2186179#3,709792#-0,1473522#-0,2683114#3,711401#-0,1089981#-0,3384158#3,762142#-0,2052788#-0,3413013#3,667615#0,2099509#-0,4664541#3,621398#-0,209064#-0,4648729#3,488119#-0,03893875#-0,5839293#3,89525#-0,2325618#-0,603559#3,538253#0,01277752#-0,6292184#3,844148#-0,2150306#-0,6559859#3,49087#0  
frame76 #-0,0622018#0,1854336#3,554747#-0,1003055#0,01540152#3,687302# 0,02668033#-0,3019493#3,653273#-0,03983374#-0,1436057#3,150252#0,02503268#-0,3422125#3,730787#-0,07259534#-0,1738552#3,267299#0,03622387#-0,1780404#3,929338#-0,1960972#-0,2577377#3,4783#0,03786518#0,02553088#3,811405#-0,2088544#-0,02165402#3,578983#-0,1353208#-0,2074866#3,716657#-0,1360784#-0,2516779#3,720513#-0,08688783#-0,3139721#3,791992#-0,2036767#-0,340058#3,667217#0,1926086#-0,4811851#3,60986#-0,1922416#-0,4626172#3,467678#-0,038709#-0,5859762#3,897177#-0,21729#-0,5965886#3,523996#0,01378727#-0,6311581#3,846412#-0,2174672#-0,6620622#3,491729#0  
frame77 #-0,06059535#0,1862408#3,552543#-0,1004364#0,0184964#3,687906# 0,06056297#-0,312683#3,635107#-0,03507883#-0,1449085#3,144809#0,06466896#-0,3426269#3,717178#-0,05352806#-0,165437#3,238846#0,04151452#-0,1829689#3,920144#-0,1688794#-0,2453093#3,432682#0,0377342#0,02862564#3,812009#-0,2005294#-0,03896114#3,56821#-0,1365283#-0,2054752#3,719555#-0,1379479#-0,2502843#3,724688#-0,09537095#-0,3169359#3,798055#-0,203413#-0,3379756#3,671649#0,1884682#-0,4732466#3,612297#-0,1307823#-0,4204569#3,543857#-0,03822239#-0,5853559#3,897232#-0,2171555#-0,5905558#3,529568#0,0168384#-0,6310458#3,849436#-0,2169138#-0,6548272#3,494663#0  
frame78 #-0,058879#0,1919418#3,548817#-0,1019013#0,0275703#3,687526# 0,03724996#-0,3289034#3,658769#-0,03486233#-0,149958#3,154886#0,03786774#-0,3578765#3,741365#-0,05348444#-0,1706158#3,249181#0,04018097#-0,1786116#3,9148#-0,1828915#-0,267356#3,453748#0,03626919#0,03769945#3,81163#-0,2006054#-0,03520311#3,57203#-0,1363386#-0,2045181#3,719628#-0,1378589#-0,2500487#3,724617#-0,09535046#-0,3170037#3,796932#-0,2014879#-0,3357041#3,672726#0,1891587#-0,4723077#3,611019#-0,1698985#-0,4597809#3,524642#-0,03730325#-0,5850044#3,895828#-0,2560759#-0,6211021#3,51872#0,01777654#-0,6304758#3,847572#-0,1993221#-0,657824#3,490459#0  
frame79 #-0,05927766#0,193465#3,54795#-0,103115#0,02910803#3,687232# 0,03780406#-0,3280116#3,659205#-0,03448991#-0,1501971#3,154846#0,03846164#-0,3574163#3,741711#-0,05293914#-0,1707257#3,248883#0,03768327#-0,1779975#3,913289#-0,1741421#-0,2650213#3,455206#0,03505544#0,03923718#3,811335#-0,200861#-0,03320557#3,572438#-0,1361696#-0,2035179#3,720262#-0,1375664#-0,2494309#3,725384#-0,09495854#-0,3164036#3,796386#-0,1990043#-0,3321275#3,67632#0,190459#-0,471363#3,611382#-0,1635376#-0,4357255#3,527036#-0,03671343#-0,5839553#3,896227#-0,2279125#-0,5866634#3,525007#0,01849183#-0,6294362#3,847873#-0,2176466#-0,6538882#3,497418#0  
frame80 #-0,05853979#0,1946935#3,548578#-0,1022446#0,03100189#3,689307# 0,05796527#-0,3225125#3,639906#-0,03310443#-0,1494129#3,1537#0,06156153#-0,3521514#3,722314#-0,05155365#-0,1699414#3,247738#0,0119436#-0,1855164#3,895268#-0,177886#-0,2608635#3,455988#0,03592573#0,04113102#3,81341#-0,2007718#-0,03258266#3,572719#-0,1340848#-0,1985246#3,724621#-0,1354724#-0,2446189#3,730041#-0,09369019#-0,3121338#3,800908#-0,197026#-0,3304831#3,678026#0,1879295#-0,4696648#3,611769#-0,1635276#-0,4357629#3,526818#-0,03591721#-0,5825359#3,896823#-0,2251275#-0,5889758#3,523874#0,01946811#-0,6282566#3,848654#-0,2164837#-0,6558697#3,494659#0  
frame81 #-0,06131356#0,2018861#3,550964#-0,1046064#0,03385363#3,688393# 0,04738903#-0,3243764#3,651179#-0,04719164#-0,1708121#3,248265#0,04949534#-0,353937#3,733732#-0,0713973#-0,1686949#3,30837#0,03913091#-0,1713468#3,919631#-0,2104883#-0,2351049#3,491734#0,03356391#0,04398276#3,812497#-0,2000422#-0,0276704#3,576335#-0,1347064#-0,1966058#3,72528#-0,1358999#-0,2429815#3,730963#-0,09509178#-0,3098401#3,802261#-0,1954887#-0,3286293#3,679312#0,1856629#-0,4692904#3,613172#-0,1636752#-0,4373937#3,529221#-0,03612119#-0,5825384#3,897169#-0,2248298#-0,5890547#3,52446#0,01919368#-0,6282947#3,848704#-0,2160512#-0,6566162#3,496554#0  
frame82 #-0,06438418#0,210668#3,551224#-0,1061261#0,04079082#3,688777# 0,07204565#-0,3163947#3,6342#-0,03101528#-0,159161#3,226177#0,0779238#-0,3468468#3,716275#-0,05055877#-0,1768064#3,268099#0,03420941#-0,1962552#3,928204#-0,1823273#-0,2276541#3,452808#0,008034044#-0,005530119#3,786503#-0,1986896#-0,02775676#3,577472#-0,1383121#-0,2072604#3,721865#-0,141458#-0,2620066#3,725649#-0,1062166#-0,3250687#3,780578#-0,1928537#-0,3313714#3,678781#0,2004528#-0,4660726#3,62125#-0,1646047#-0,4467289#3,53411#-0,03724079#-0,5818195#3,899386#-0,2271942#-0,5882825#3,528402#0,01730844#-0,6271315#3,849299#-0,2197144#-0,654139#3,495955#0  
frame83 #-0,06563016#0,218945#3,553053#-0,1068809#0,04492999#3,687852# 0,0744484#-0,313352#3,631018#-0,04088543#-0,1617871#3,234158#0,08075901#-0,3438023#3,712967#-0,05975493#-0,1735436#3,274531#0,03129562#-0,1921155#3,923344#-0,1753422#-0,2323619#3,463394#0,00844265#0,002223781#3,784458#-0,199011#-0,02444406#3,580637#-0,137713#-0,2087292#3,71566#-0,139755#-0,2622891#3,718267#-0,103889#-0,3250514#3,770754#-0,1899962#-0,3309521#3,672005#0,2046712#-0,4745725#3,625044#-0,1716909#-0,4517347#3,534048#-0,03917962#-0,5846922#3,900947#-0,2269135#-0,5882287#3,527961#0,01506723#-0,6292949#3,849721#-0,222655#-0,6570917#3,501521#0  
frame84 #-0,06544863#0,2304815#3,561419#-0,1073595#0,05292663#3,689086# 0,07025247#-0,3166019#3,627299#-0,03773475#-0,1524279#3,216094#0,07576436#-0,3470096#3,709282#-0,04007276#-0,1685065#3,237398#0,0314862#-0,1869037#3,915133#-0,1649549#-0,2080287#3,440914#0,008736091#0,01659079#3,786548#-0,1991211#-0,0237531#3,582182#-0,1377807#-0,208294#3,715127#-0,1397334#-0,2619781#3,717788#-0,1037867#-0,3239456#3,76991#-0,1898695#-0,3309459#3,671491#0,2038794#-0,4751491#3,62433#-0,1661269#-0,4306983#3,521769#-0,03833589#-0,5852969#3,899681#-0,2200837#-0,5553644#3,510755#0,01622692#-0,629576#3,848678#-0,1655209#-0,5996434#3,459752#0  
frame85 #-0,07684623#0,2366622#3,560211#-0,1084405#0,05482062#3,689249# 0,0654448#-0,3205318#3,636642#-0,03086146#-0,1337937#3,169306#0,06984164#-0,349825#3,71886#-0,03890754#-0,1641119#3,225771#0,03784278#-0,203405#3,898769#-0,1413911#-0,2244541#3,418104#0,002138247#0,001535995#3,776041#-0,1978881#-0,02589414#3,581944#-0,1338458#-0,2164675#3,707244#-0,1348414#-0,2722349#3,708599#-0,09646734#-0,3278265#3,757314#-0,180172#-0,3383758#3,659291#0,2143852#-0,4817033#3,624505#-0,1443728#-0,426857#3,514903#-0,03924438#-0,5858049#3,89941#-0,2028205#-0,5765306#3,512291#0,01481393#-0,6286365#3,847433#-0,1487622#-0,6193622#3,460314#0  
frame86 #-0,08061919#0,2439574#3,561811#-0,1067472#0,05801688#3,689837# 0,06151886#-0,3335345#3,668641#-0,02922423#-0,1310661#3,164168#0,06521328#-0,3633657#3,750604#-0,03766543#-0,1610655#3,220671#0,03286233#-0,1999427#3,902247#-0,1419592#-0,2235787#3,418437#0,00272979#0,002732094#3,775694#-0,1975088#-0,02557652#3,582489#-0,1334299#-0,2162318#3,707376#-0,13492#-0,2720072#3,709493#-0,09661756#-0,3270351#3,757777#-0,1815751#-0,3374577#3,663705#0,2131176#-0,4812917#3,623362#-0,1465535#-0,4244757#3,518987#-0,03816697#-0,586192#3,898193#-0,1985916#-0,5980982#3,523887#0,01572728#-0,6291561#3,84613#-0,2086055#-0,662679#3,490426#0  
frame87 #-0,08033544#0,2486831#3,564939#-0,1050046#0,05943863#3,690777# 0,07621261#-0,3179047#3,628236#-0,04118331#-0,1358666#3,20682#0,08968722#-0,3488391#3,708565#-0,05045829#-0,1653008#3,263343#0,03823185#-0,2025985#3,8958#-0,1663222#-0,2552213#3,457937#0,003668774#0,003216148#3,77559#-0,1962793#-0,02496353#3,58278#-0,1329967#-0,2132386#3,713203#-0,1361178#-0,2679358#3,719024#-0,09770393#-0,3217174#3,768543#-0,1868035#-0,3305849#3,678491#0,2025706#-0,4809602#3,619338#-0,1563717#-0,4204831#3,524852#-0,03700262#-0,5881876#3,896359#-0,200276#-0,5996485#3,520132#-0,08974846#-0,6663249#3,902012#-0,1913693#-0,6565081#3,474758#0  
frame88 #-0,07886833#0,2662798#3,578634#-0,09772956#0,06608935#3,692341# 0,08491282#-0,3197243#3,642427#-0,02782723#-0,1167314#3,161063#0,09172923#-0,3533331#3,722636#-0,03441414#-0,1435435#3,219329#0,05396673#-0,1488754#3,880965#-0,1450737#-0,1914394#3,422421#0,06593745#0,08254407#3,799679#-0,1959159#-0,02260598#3,583226#-0,1137859#-0,1738158#3,72223#-0,1154249#-0,2210472#3,729012#-0,06616165#-0,2827563#3,77685#-0,1807881#-0,3121141#3,687394#0,1852359#-0,5033651#3,614254#-0,1818821#-0,4337235#3,53022#-0,06683431#-0,595359#3,886813#-0,2104207#-0,5930314#3,522555#-0,09028699#-0,6658099#3,901305#-0,1908847#-0,6490695#3,479722#0  
