frame1 #-0,1629073#0,9354599#3,271186#-0,14378#0,7340097#3,295071# -0,04879522#0,381698#2,742572#-0,3643471#0,08142302#3,274729#-0,0341885#0,3561885#2,863705#-0,3516544#0,1472822#3,263681#0,03989409#0,4377266#3,0775#-0,3135765#0,3448599#3,244377#-0,01498348#0,5982466#3,217837#-0,2909678#0,6193364#3,288023#-0,1648144#0,3563405#3,296821#-0,1832359#0,2910348#3,241586#-0,1266493#0,2244295#3,224003#-0,2508422#0,2339199#3,240366#-0,09841911#-0,2490891#3,029477#-0,2632896#-0,2919241#3,401058#-0,09386061#-0,6448441#2,888339#-0,1123466#-0,5893531#2,92751#-0,1284909#-0,6718126#2,829529#-0,08772761#-0,6800882#2,895597#0  
frame22 #-0,2576557#0,8947963#3,346492#-0,206543#0,6749522#3,369531# -0,1783249#0,438395#2,604076#-0,1344227#0,4794049#2,746685#-0,1405691#0,4903686#2,709832#-0,2109779#0,4880278#2,877104#-0,1205768#0,5520802#2,970052#-0,2706782#0,5316409#3,163379#-0,1213699#0,6208487#3,270903#-0,3487484#0,5615706#3,421227#-0,1867775#0,3452495#3,380538#-0,2165847#0,283616#3,338666#-0,1724592#0,224957#3,288162#-0,2635024#0,203781#3,371071#-0,08519869#-0,2608747#3,110562#-0,2693236#-0,2966835#3,397873#-0,07128543#-0,5824061#2,948883#-0,2095413#-0,6080773#3,477555#-0,08493691#-0,6454985#2,854283#-0,1905956#-0,6162222#3,364901#0  
frame23 #-0,2659026#0,9342493#3,364231#-0,2145495#0,7670808#3,391808# -0,1849169#0,4418873#2,628305#-0,1995995#0,5014898#2,82349#-0,138223#0,4985071#2,710306#-0,2326136#0,5208897#2,908438#-0,1187976#0,5592166#2,972575#-0,2943696#0,5935422#3,18733#-0,1277835#0,6275516#3,27278#-0,356755#0,6536992#3,443504#-0,195068#0,38388#3,405732#-0,2243027#0,3090973#3,361823#-0,1764418#0,2397292#3,301627#-0,2763982#0,2369035#3,410849#-0,08436807#-0,2603796#3,12551#-0,2681198#-0,2905884#3,414387#-0,05091017#-0,5930243#2,999774#-0,201824#-0,6201997#3,492804#-0,06354155#-0,6625291#2,916402#-0,177995#-0,6289399#3,381015#0  
frame24 #-0,2657296#0,9402645#3,37002#-0,2130262#0,7759264#3,400518# -0,1897456#0,4455743#2,640364#-0,1765553#0,4634148#2,669879#-0,1437934#0,5076958#2,714514#-0,2629154#0,4163764#3,099687#-0,1240466#0,568035#2,977448#-0,3110178#0,3962943#3,392082#-0,1284775#0,6343719#3,280035#-0,3552317#0,6625447#3,452214#-0,1956754#0,3846519#3,409683#-0,2260085#0,3105766#3,368105#-0,1800873#0,251603#3,329087#-0,2775284#0,2390442#3,410583#-0,08540027#-0,2605185#3,150897#-0,2661521#-0,2879348#3,4249#-0,02877008#-0,5819918#3,069869#-0,2009761#-0,5857315#3,478343#-0,03973467#-0,660104#2,99791#-0,2261221#-0,662837#3,499764#0  
frame25 #-0,2682647#0,9377556#3,372921#-0,2169143#0,7492915#3,40948# -0,1979409#0,4499601#2,652847#-0,2189833#0,5013397#2,831513#-0,1749298#0,5122651#2,821879#-0,2438307#0,5205554#2,919532#-0,1288779#0,6037732#3,065883#-0,3034553#0,5828249#3,201522#-0,1341002#0,6506415#3,29577#-0,3591197#0,6359098#3,461175#-0,200473#0,3810485#3,422661#-0,2312052#0,3103378#3,384907#-0,1860806#0,2517716#3,346042#-0,2799624#0,2403203#3,416451#-0,09512648#-0,2732197#3,197074#-0,2658037#-0,2842736#3,433852#-0,01183909#-0,6065107#3,131305#-0,1835771#-0,6135797#3,486308#-0,0262147#-0,668232#3,076258#-0,2416681#-0,6719783#3,502474#0  
frame26 #-0,2715853#0,9494703#3,379117#-0,218081#0,7927172#3,414799# -0,200157#0,457097#2,667462#-0,1851022#0,4698855#2,676277#-0,2049854#0,4831917#2,743649#-0,2681631#0,4331664#3,106939#-0,1360907#0,5950169#3,007896#-0,3176837#0,4071997#3,397958#-0,134544#0,6529313#3,296428#-0,3602865#0,6793355#3,466495#-0,2032051#0,3937388#3,429353#-0,2332328#0,3203159#3,391849#-0,1879516#0,2586887#3,348722#-0,2823917#0,2484184#3,426581#-0,09707139#-0,2605566#3,207956#-0,2674084#-0,2821918#3,439044#-0,002902098#-0,5945199#3,199461#-0,1836332#-0,6094307#3,485713#-0,01042707#-0,6751804#3,177282#-0,2341591#-0,6750672#3,499629#0  
frame27 #-0,2729183#0,9483988#3,38201#-0,2232509#0,7473095#3,411795# -0,1976641#0,465691#2,673408#-0,1861152#0,4718485#2,677337#-0,2017092#0,4880052#2,751999#-0,2444095#0,5258739#2,917193#-0,1284975#0,6030503#3,014806#-0,3089461#0,5828568#3,201529#-0,1370956#0,6670882#3,302726#-0,3654563#0,6339279#3,46349#-0,2069005#0,3938622#3,435056#-0,2352688#0,3224704#3,401986#-0,1914618#0,2639859#3,365469#-0,2839097#0,2497832#3,435543#-0,1088479#-0,2242507#3,246593#-0,2698455#-0,2773286#3,447113#0,001854656#-0,5751278#3,29197#-0,1831269#-0,6080323#3,48964#0,01529237#-0,6516072#3,259484#-0,2339319#-0,6736996#3,503484#0  
frame28 #-0,2767994#0,9646692#3,398329#-0,2244768#0,8134292#3,434177# -0,1969706#0,4720963#2,67897#-0,2303792#0,5285966#2,858078#-0,2285745#0,4796374#2,757918#-0,2508831#0,55501#2,945464#-0,1453664#0,5982068#3,017128#-0,3127386#0,6321065#3,226551#-0,1386315#0,667484#3,30721#-0,3666823#0,7000476#3,485873#-0,2121865#0,393776#3,451332#-0,2413802#0,3163352#3,42128#-0,1967588#0,2592046#3,394571#-0,28959#0,2507029#3,445646#-0,1089905#-0,2624034#3,29405#-0,2710439#-0,2744935#3,453704#0,004970611#-0,58297#3,381374#-0,1806566#-0,6064429#3,493131#0,02341728#-0,6552865#3,34222#-0,2355156#-0,6701052#3,499505#0  
frame29 #-0,2749644#0,9610353#3,402875#-0,2273844#0,7629893#3,432389# -0,1963332#0,4749754#2,682866#-0,1897149#0,4782463#2,682919#-0,1617758#0,5093208#2,737225#-0,2741846#0,4155115#3,123248#-0,1439898#0,599755#3,021665#-0,3269064#0,3744704#3,415039#-0,1376754#0,6677333#3,309704#-0,3695899#0,6496077#3,484085#-0,2145854#0,3918128#3,453718#-0,2419357#0,3157363#3,424391#-0,1965577#0,2588393#3,394973#-0,2927997#0,2481938#3,454294#-0,1145292#-0,2362867#3,324673#-0,2740225#-0,2700272#3,45868#-0,0679191#-0,5747659#3,47444#-0,1770855#-0,6002569#3,496858#0,0090173#-0,6169363#3,438812#-0,2346845#-0,6603818#3,492178#0  
frame30 #-0,2769163#0,9565116#3,406106#-0,2283322#0,7624096#3,433595# -0,194967#0,4766664#2,685066#-0,2287581#0,5165806#2,848762#-0,1438603#0,5379706#2,801852#-0,249652#0,5370508#2,937602#-0,1136206#0,6357782#3,081607#-0,3144802#0,5965413#3,22246#-0,1412743#0,6696934#3,314888#-0,3705377#0,649028#3,485291#-0,2172783#0,3910402#3,457331#-0,242723#0,316063#3,429774#-0,1971429#0,260494#3,399445#-0,2929702#0,2482015#3,458457#-0,1092755#-0,2581853#3,374793#-0,2740749#-0,2687903#3,460989#-0,05812811#-0,5820299#3,538425#-0,1710826#-0,5981287#3,507114#0,02051347#-0,6150273#3,519577#-0,2284674#-0,6558948#3,493084#0  
frame31 #-0,2806739#0,9627292#3,408531#-0,2309622#0,8133156#3,436938# -0,1936489#0,4784289#2,690796#-0,1899055#0,4807763#2,689266#-0,1680359#0,5395241#2,85742#-0,2749474#0,4473532#3,128563#-0,1041749#0,64191#3,093645#-0,3304842#0,4247967#3,419478#-0,1439651#0,6718087#3,324499#-0,3731676#0,6999339#3,488634#-0,2186947#0,3943776#3,461653#-0,2415725#0,3168268#3,43613#-0,1952489#0,2643039#3,410634#-0,2914132#0,2497125#3,462458#-0,1103541#-0,2519108#3,414525#-0,2739742#-0,2644219#3,465204#-0,1034124#-0,5612135#3,560994#-0,2011906#-0,566913#3,483998#-0,05588854#-0,6269306#3,570546#-0,2452894#-0,6278889#3,452285#0  
