frame1 #-0,1629073#0,9354599#3,271186#-0,14378#0,7340097#3,295071# -0,04879522#0,381698#2,742572#-0,3643471#0,08142302#3,274729#-0,0341885#0,3561885#2,863705#-0,3516544#0,1472822#3,263681#0,03989409#0,4377266#3,0775#-0,3135765#0,3448599#3,244377#-0,01498348#0,5982466#3,217837#-0,2909678#0,6193364#3,288023#-0,1648144#0,3563405#3,296821#-0,1832359#0,2910348#3,241586#-0,1266493#0,2244295#3,224003#-0,2508422#0,2339199#3,240366#-0,09841911#-0,2490891#3,029477#-0,2632896#-0,2919241#3,401058#-0,09386061#-0,6448441#2,888339#-0,1123466#-0,5893531#2,92751#-0,1284909#-0,6718126#2,829529#-0,08772761#-0,6800882#2,895597#0  
frame68 #-0,09648222#0,2567042#3,501467#-0,1266059#0,05141805#3,582254# 0,05544524#-0,475422#3,486937#-0,2162607#-0,5491177#3,48039#0,05154464#-0,3966936#3,510855#-0,2230888#-0,4935673#3,449679#0,03329242#-0,1787383#3,607227#-0,2382216#-0,2991961#3,417497#0,01679682#0,04218059#3,712769#-0,2152582#-0,03425829#3,494309#-0,110296#-0,2132909#3,677483#-0,1033228#-0,2656486#3,697093#-0,04826467#-0,3236054#3,759946#-0,14744#-0,349841#3,680795#0,004631153#-0,4595063#3,567729#-0,1428882#-0,4990892#3,51399#-0,07840037#-0,5720205#3,757813#-0,2300028#-0,5949888#3,553947#-0,1274585#-0,6354035#3,754772#-0,2056857#-0,6712896#3,549451#0  
frame69 #-0,09592471#0,2570397#3,50468#-0,1269043#0,05369827#3,584886# 0,0469182#-0,3596689#3,602687#-0,2126157#-0,5349#3,462869#0,04216076#-0,2950851#3,621535#-0,2174834#-0,4956522#3,433715#0,03109014#-0,102969#3,825148#-0,2378546#-0,2987405#3,417274#0,0157322#0,04044648#3,712072#-0,2158023#-0,03405602#3,495752#-0,1102378#-0,2147188#3,679037#-0,103274#-0,2685999#3,698743#-0,04823588#-0,3248574#3,75994#-0,1476052#-0,3510273#3,681626#0,00488947#-0,4626499#3,572655#-0,1548549#-0,4789219#3,487452#-0,0927625#-0,5862398#3,746564#-0,2375526#-0,6012108#3,553432#-0,1418209#-0,6496232#3,743524#-0,2030516#-0,6733985#3,547771#0  
frame70 #-0,09635222#0,2574702#3,504933#-0,1271218#0,05535156#3,585183# 0,0503867#-0,3422853#3,616538#-0,2147849#-0,5236704#3,458338#0,04394912#-0,278457#3,637177#-0,2192866#-0,4903231#3,429012#0,03604247#-0,08335736#3,837868#-0,2382875#-0,2924465#3,418761#0,01598372#0,04678434#3,712791#-0,2166724#-0,02901225#3,503267#-0,1100081#-0,2145402#3,679325#-0,1030909#-0,2686154#3,698867#-0,047923#-0,3247238#3,759627#-0,1474205#-0,3506805#3,682193#0,005102257#-0,4631133#3,573887#-0,1548104#-0,4774348#3,486496#-0,09393995#-0,5869194#3,74514#-0,2201313#-0,6035775#3,587664#-0,1546269#-0,6320125#3,719163#-0,2100771#-0,6665115#3,539401#0  
frame71 #-0,09737511#0,2598865#3,504429#-0,1194137#0,06399405#3,597799# 0,05098099#-0,3411796#3,613954#-0,2125503#-0,5152382#3,455147#0,04371016#-0,2780516#3,636208#-0,2156991#-0,4872206#3,426132#0,03510694#-0,08347142#3,837342#-0,2390188#-0,2896397#3,417537#0,01474467#0,0466454#3,712277#-0,2161321#-0,02758216#3,507286#-0,1087176#-0,2142905#3,679553#-0,1026063#-0,2686977#3,698679#-0,04778404#-0,324893#3,759432#-0,1465455#-0,3516427#3,679182#0,04741709#-0,5710106#3,440563#-0,155884#-0,4701024#3,473145#-0,08488508#-0,6037894#3,799197#-0,2252294#-0,6020442#3,575767#-0,1464925#-0,6482147#3,775165#-0,2079485#-0,6705342#3,538928#0  
frame72 #-0,09680849#0,26155#3,505049#-0,1118373#0,06806466#3,607196# 0,05159254#-0,3447742#3,612705#-0,2104139#-0,5227171#3,460599#0,04382028#-0,2819592#3,635447#-0,2155706#-0,4801437#3,430099#0,03486165#-0,08818004#3,837495#-0,2364953#-0,2823394#3,420547#0,01434561#0,04233337#3,712691#-0,2164585#-0,02103772#3,514515#-0,1039638#-0,2153686#3,687373#-0,09936886#-0,2711631#3,704807#-0,04628694#-0,3266759#3,76188#-0,145268#-0,3522495#3,683523#0,04868108#-0,5699146#3,441035#-0,148938#-0,4891046#3,494719#-0,08541083#-0,6043849#3,800159#-0,2293651#-0,5996752#3,563795#-0,146805#-0,6486564#3,77621#-0,2085731#-0,6716734#3,537589#0  
frame73 #-0,1038208#0,2638792#3,512024#-0,1133203#0,06859437#3,606676# 0,06471971#-0,3515745#3,631547#-0,2090333#-0,5202363#3,46336#0,05321073#-0,2916539#3,659536#-0,2125522#-0,4811754#3,430635#0,058297#-0,1229364#3,885989#-0,2428431#-0,2823641#3,440143#0,02122869#0,04485564#3,716457#-0,2170356#-0,02023813#3,516607#-0,1011346#-0,2075977#3,696978#-0,09577938#-0,2624811#3,717451#-0,03826313#-0,3193547#3,779311#-0,1429144#-0,3457052#3,701805#0,04179223#-0,555995#3,450089#-0,1386651#-0,4640302#3,524069#-0,08382402#-0,5962989#3,783049#-0,2054597#-0,606022#3,583248#-0,1448336#-0,6402931#3,75925#-0,2140584#-0,6665817#3,533422#0  
frame74 #-0,1048754#0,2597603#3,517435#-0,1147565#0,06815249#3,606671# 0,06232472#-0,3523353#3,628143#-0,206604#-0,5135064#3,457634#0,05416517#-0,2920542#3,656419#-0,2112113#-0,4852868#3,426475#0,05916871#-0,1195479#3,880628#-0,2273247#-0,2846197#3,428684#0,02136894#0,04456394#3,716109#-0,2168289#-0,01984521#3,51884#-0,1008767#-0,2082166#3,696965#-0,09556024#-0,2633716#3,717505#-0,03806578#-0,3202146#3,778818#-0,1426108#-0,3462375#3,701638#0,04234024#-0,5561482#3,449668#-0,1399608#-0,485646#3,517964#-0,09376764#-0,5948107#3,778538#-0,2076476#-0,6533142#3,570846#-0,1547721#-0,6388011#3,754741#-0,221236#-0,6631894#3,493769#0  
frame75 #-0,1054789#0,2609021#3,518923#-0,114983#0,06865334#3,60655# 0,05936641#-0,3589556#3,613853#-0,205064#-0,5106701#3,458853#0,05214447#-0,2987133#3,642327#-0,2084417#-0,4851442#3,428479#0,0533788#-0,1207363#3,862594#-0,2295154#-0,2847911#3,42754#0,02237068#0,03982972#3,716346#-0,2169944#-0,01999978#3,519152#-0,1002215#-0,2082824#3,697053#-0,09493982#-0,2635909#3,717706#-0,03710428#-0,3208923#3,778081#-0,1419302#-0,3458656#3,702138#0,1081501#-0,4868403#3,428748#-0,1350556#-0,4853446#3,524452#-0,09634968#-0,5950232#3,780714#-0,2173373#-0,5965846#3,568238#-0,157172#-0,6388822#3,756988#-0,2112094#-0,6654058#3,530662#0  
frame76 #-0,1055654#0,2607888#3,518939#-0,1152086#0,06846942#3,606521# 0,05756237#-0,3587549#3,612777#-0,2050525#-0,5101311#3,458628#0,05205578#-0,298634#3,641758#-0,2064576#-0,4846731#3,427046#0,05358814#-0,1206812#3,862382#-0,2370777#-0,2850247#3,432073#0,02425431#0,03758818#3,717996#-0,2178288#-0,01968726#3,520906#-0,1030848#-0,2087935#3,686416#-0,09953751#-0,2642674#3,701031#-0,04279671#-0,3259287#3,752075#-0,1513163#-0,3446887#3,674262#0,12485#-0,4979233#3,416975#-0,1639776#-0,4616554#3,453886#-0,09709802#-0,594317#3,779584#-0,2357088#-0,5856938#3,534039#-0,1577756#-0,6380715#3,755915#-0,2085961#-0,6593236#3,534184#0  
frame77 #-0,1057229#0,2585973#3,524062#-0,1152682#0,06808692#3,608566# 0,05584979#-0,3602981#3,612024#-0,2042676#-0,5096493#3,459227#0,05198347#-0,3000785#3,640946#-0,2047239#-0,4869833#3,428247#0,05432672#-0,1214885#3,861319#-0,2376806#-0,287625#3,431021#0,0269306#0,03696891#3,718745#-0,2172608#-0,02330511#3,520272#-0,1011871#-0,2105358#3,689164#-0,096716#-0,266833#3,705693#-0,03691266#-0,3278937#3,760217#-0,1471328#-0,3502248#3,684505#0,1205906#-0,4931596#3,417117#-0,1411158#-0,4588035#3,498126#-0,09647568#-0,595533#3,781861#-0,2279707#-0,5958556#3,535708#-0,1403908#-0,6425154#3,736939#-0,2061359#-0,6711604#3,533196#0  
