frame28 #0,05773741#0,9140987#3,4359#0,1243913#0,7307644#3,511727# 0,1980168#0,4352303#2,922984#-0,1191894#0,4029487#3,293372#0,232312#0,4754586#3,067079#-0,1235383#0,3849998#3,353889#0,2709164#0,539957#3,247274#-0,01445447#0,3938745#3,544772#0,2091617#0,6246707#3,415925#0,03246386#0,622738#3,521321#0,1038988#0,3294324#3,535969#0,08966164#0,250511#3,52889#0,1275789#0,2027295#3,506446#0,04241523#0,2021137#3,549467#0,1617402#-0,2490211#3,30629#0,001288768#-0,2659225#3,645637#0,1698761#-0,5627478#3,232801#0,0636975#-0,5687472#3,751985#0,1487187#-0,6438606#3,172386#0,02485757#-0,6314315#3,771863#0  
frame29 #0,04186132#0,9228602#3,44495#0,112516#0,7379082#3,517257# 0,1988722#0,4640886#2,97937#-0,2197141#0,347157#3,639161#0,1879014#0,5502305#3,143238#-0,171448#0,3804558#3,63074#0,3067042#0,5333039#3,287884#-0,02664981#0,4803521#3,619037#0,2009791#0,6300739#3,41958#-0,02261888#0,7194234#3,670984#0,09135499#0,3515044#3,551355#0,07461331#0,2756263#3,550692#0,1177326#0,2187468#3,527643#0,02576098#0,2188063#3,573627#0,1655545#-0,2531416#3,328597#-0,004058132#-0,2667046#3,632408#0,1694469#-0,5626103#3,233762#0,05429966#-0,586113#3,74826#0,148878#-0,6434566#3,173556#-0,003023982#-0,5827939#3,698409#0  
frame30 #0,03991422#0,9255248#3,448287#0,1073039#0,7405608#3,518685# 0,1825194#0,4936812#3,004169#-0,1735528#0,4001625#3,477619#0,1873913#0,5450186#3,109948#-0,1500302#0,4203862#3,533664#0,2753111#0,5633994#3,276016#-0,0740974#0,4856698#3,72816#0,1857433#0,6437012#3,432479#-0,03176194#0,6809794#3,661089#0,09035253#0,3530727#3,553634#0,07440395#0,2767096#3,552643#0,1176309#0,2246049#3,535501#0,02548568#0,2206539#3,574957#0,1665036#-0,2620486#3,353935#-0,006843047#-0,2661775#3,624069#0,16903#-0,5635433#3,237251#0,03320194#-0,5592367#3,702303#0,1104302#-0,6058066#3,183841#-0,0227713#-0,6220967#3,724035#0  
frame31 #0,03477381#0,9277139#3,453399#0,09692658#0,7442039#3,525039# 0,1734681#0,5035825#2,994735#-0,2429937#0,4253486#3,513274#0,1847434#0,5493532#3,107419#-0,2021142#0,4370719#3,566708#0,2673644#0,5735548#3,275255#-0,07947594#0,4722419#3,740637#0,1795162#0,6425544#3,438806#-0,03146446#0,6807758#3,661071#0,0845225#0,3483136#3,564848#0,06929971#0,2689507#3,565606#0,1086774#0,2193989#3,560457#0,02424827#0,2190774#3,57871#0,1734866#-0,2697868#3,389544#-0,009074118#-0,270781#3,623103#0,1689776#-0,5584359#3,244131#0,03598642#-0,5807523#3,719479#0,110319#-0,6012143#3,190973#-0,01751016#-0,6339556#3,732021#0  
frame32 #0,01217039#0,8996445#3,482511#0,07795227#0,679016#3,550965# 0,1440029#0,5408528#3,039731#-0,2475079#0,4446664#3,607377#0,1440372#0,5854569#3,140512#-0,2124997#0,4523932#3,660783#0,249683#0,5931071#3,29584#-0,08577043#0,5189712#3,802556#0,1536315#0,6295701#3,466629#-0,03066186#0,6803406#3,66139#0,06895348#0,3273387#3,593486#0,05575269#0,2565992#3,591773#0,08660702#0,2136016#3,598008#0,0190856#0,2151201#3,59159#0,1705217#-0,27037#3,418524#-0,01254168#-0,2686936#3,626677#0,1808357#-0,5680858#3,26951#0,03266289#-0,5728986#3,717556#0,1578087#-0,6320004#3,190727#-0,01517261#-0,6327119#3,724369#0  
frame33 #0,01101436#0,9011281#3,487994#0,0767615#0,6805522#3,5523# 0,1500023#0,5504016#3,051508#-0,256861#0,476231#3,733556#0,1518264#0,5866032#3,148521#-0,2524261#0,4601505#3,804221#0,2353362#0,5890962#3,318404#-0,09177027#0,5348073#3,815754#0,1345186#0,630987#3,484734#-0,03074623#0,6811072#3,662753#0,06431621#0,3273086#3,602344#0,04888104#0,2557555#3,605386#0,07976767#0,2158734#3,606479#0,01239876#0,2159696#3,614636#0,1668217#-0,2701107#3,431371#-0,01542406#-0,2775999#3,646425#0,1795371#-0,5718969#3,266731#0,03288441#-0,5736718#3,717933#0,1621301#-0,6336248#3,185273#0,009158172#-0,6240572#3,665297#0  
frame34 #0,004897045#0,9117674#3,504699#0,06446099#0,6995959#3,563307# 0,1372331#0,5775391#3,088523#-0,3120994#0,5173729#3,791576#0,1512472#0,5868079#3,144843#-0,2656277#0,5054994#3,835011#0,2256709#0,5848369#3,319551#-0,0939106#0,5384719#3,818583#0,1357704#0,6338722#3,491254#-0,03958961#0,6975138#3,674003#0,04904553#0,3388274#3,629771#0,03343158#0,2656182#3,635688#0,06698035#0,2243415#3,642786#-0,005584942#0,2217737#3,64077#0,167684#-0,2647896#3,440589#-0,01626287#-0,2723807#3,664846#0,2012954#-0,5447809#3,313582#0,03132585#-0,577893#3,734123#0,1894925#-0,6119853#3,235738#0,03503142#-0,6434659#3,694875#0  
frame35 #-0,00474531#0,9134525#3,522259#0,06046017#0,7013718#3,574939# 0,1412893#0,6056776#3,116645#-0,3142731#0,5190864#3,799793#0,1620352#0,610055#3,177258#-0,2680227#0,5072696#3,843021#0,2214649#0,622425#3,357882#-0,09520499#0,5404857#3,832458#0,1232928#0,6295463#3,532605#-0,04353794#0,6997284#3,686862#0,04762353#0,34102#3,639214#0,03432627#0,2678995#3,644765#0,06509452#0,203729#3,610412#-0,001129771#0,1899043#3,726994#0,1590632#-0,2626078#3,446016#-0,02162504#-0,271673#3,682226#0,2121822#-0,5458972#3,358544#0,0302483#-0,5865976#3,745428#0,2049081#-0,6056806#3,273669#-0,01972801#-0,6446772#3,738644#0  
frame36 #-0,01057478#0,9397251#3,553208#0,0517765#0,7727#3,606277# 0,04339666#0,3817514#3,269758#-0,3219259#0,6244026#3,948812#0,06718373#0,3882791#3,338316#-0,2644675#0,6491517#3,962839#0,1065532#0,3986332#3,533134#-0,1010376#0,6119608#3,866132#0,1216018#0,6377457#3,530036#-0,05180779#0,7712978#3,718273#0,04076767#0,3593054#3,667475#0,02758564#0,2773704#3,671246#0,06221155#0,2104438#3,624593#-0,009585693#0,2007611#3,73404#0,138923#-0,2682897#3,489779#-0,0259839#-0,2576669#3,705105#0,2249573#-0,5605351#3,39217#0,01608259#-0,5572363#3,723286#0,2206614#-0,6309178#3,329684#-0,01959825#-0,6251869#3,722991#0  
frame37 #-0,01090489#0,9330018#3,557991#0,04932538#0,7142428#3,613543# 0,02509646#0,4196513#3,276771#-0,326708#0,5439679#3,932204#0,04888353#0,4261791#3,345328#-0,2694986#0,5686098#3,946171#0,08815175#0,4349236#3,540365#-0,1058593#0,5346075#3,854778#0,1208525#0,638093#3,533217#-0,05425891#0,7128406#3,72554#0,03992296#0,357134#3,670278#0,02665177#0,2775348#3,674532#0,05937763#0,2103918#3,627439#-0,0108101#0,1993333#3,740921#0,131773#-0,2601073#3,507638#-0,0302292#-0,2602531#3,712539#0,2142734#-0,5604787#3,471221#0,01585691#-0,5616535#3,727745#0,2213681#-0,6238364#3,428509#-0,04420069#-0,6055464#3,676586#0  
frame38 #-0,01310995#0,9262328#3,570776#0,04921372#0,7115068#3,622726# 0,01436105#0,4212732#3,282207#-0,3265773#0,5413364#3,941385#0,03814811#0,427801#3,350765#-0,2696102#0,5658739#3,955291#0,07741634#0,4365456#3,545823#-0,1061231#0,5313458#3,864379#0,1111585#0,6423429#3,535704#-0,05437057#0,7101046#3,734723#0,03292421#0,3352252#3,693519#0,0179753#0,2586423#3,699553#0,04086033#0,2027702#3,670306#-0,01298014#0,1959966#3,745646#0,1287427#-0,2639215#3,522509#-0,03223907#-0,2586383#3,719156#0,2213039#-0,5665047#3,553356#0,02115875#-0,5674989#3,735633#0,2341925#-0,6264955#3,508535#0,00708684#-0,6364025#3,706855#0  
frame39 #-0,01297691#0,9278269#3,574054#0,04878617#0,7131013#3,62974# 0,005951806#0,4216554#3,300579#-0,1707105#0,2624415#3,832949#0,02973893#0,4281831#3,369137#-0,1136799#0,2870063#3,846872#0,06900716#0,4369277#3,564211#-0,07113659#0,4688635#3,716823#0,112631#0,6454351#3,542222#-0,05479812#0,7116991#3,741736#0,03328205#0,3407523#3,698662#0,01857235#0,2661359#3,705686#0,04217076#0,2058831#3,669904#-0,01514751#0,1958055#3,765481#0,1114421#-0,2265446#3,572141#-0,03520319#-0,2585288#3,726357#0,1991539#-0,5723637#3,6635#0,02766093#-0,5672759#3,737295#0,2169695#-0,6332636#3,622744#0,01031192#-0,6300827#3,775263#0  
