frame1 #-0,02773133#0,9702008#3,362477#0,007838003#0,7763823#3,392225# 0,152232#0,4236072#2,781905#-0,234817#0,39175#3,335172#0,1502708#0,40193#2,92856#-0,2478967#0,4748505#3,348441#0,195203#0,5134787#3,163048#-0,2871355#0,724152#3,401555#0,1259146#0,6396316#3,311419#-0,1006829#0,7070542#3,403097#-0,00429718#0,4113302#3,386828#-0,02577699#0,3490103#3,334047#0,02070553#0,2766042#3,300844#-0,08126333#0,3069443#3,348103#0,0732866#-0,2632203#3,173755#-0,09152551#-0,2759823#3,463829#0,05500111#-0,5875421#3,034391#-0,03910823#-0,5800561#3,558541#0,0289895#-0,6268252#2,962235#-0,07053933#-0,6397868#3,586999#0  
frame22 #-0,07701434#0,9724178#3,475664#-0,01931282#0,7993387#3,520983# 0,05107189#0,4680389#2,776252#-0,1653927#0,1970367#3,520813#0,06686663#0,5301084#3,063431#-0,1580511#0,2750578#3,531165#0,05584401#0,510476#3,313442#-0,1360265#0,5091208#3,576165#0,06389166#0,6926681#3,412399#-0,1179345#0,7435071#3,634693#-0,00743359#0,4060578#3,564776#-0,04823091#0,3300374#3,54136#-0,01256103#0,2879092#3,519412#-0,08835438#0,2666228#3,567842#0,09487507#-0,161682#3,573587#-0,07753608#-0,2545972#3,555521#0,06191193#-0,5161039#3,707257#-0,05174818#-0,5624884#3,503361#0,00257298#-0,5554212#3,660769#-0,08090535#-0,6198144#3,470408#0  
frame23 #-0,0747788#0,9710662#3,477938#-0,01581118#0,7983905#3,525101# 0,05935177#0,4588167#2,793972#-0,2677881#0,9490474#3,61547#0,06528997#0,4985002#3,078509#-0,2241403#0,9679486#3,660676#0,06872454#0,523317#3,329576#-0,1976389#0,8231792#3,771563#0,0616747#0,6910263#3,418634#-0,114622#0,7446336#3,636933#-0,002063502#0,4078954#3,577143#-0,04304712#0,3314798#3,555951#-0,01182446#0,2864967#3,52225#-0,07664404#0,2745499#3,604943#0,1101315#-0,1477116#3,623706#-0,07697184#-0,2507563#3,558925#0,06421039#-0,5185691#3,714981#-0,05520583#-0,5582367#3,506932#0,004294056#-0,5584623#3,668859#-0,07652127#-0,6197996#3,474741#0  
frame24 #-0,0515193#0,9628217#3,483839#0,01153182#0,7788021#3,524749# 0,06903046#0,4341778#2,840667#-0,2244066#0,8610659#3,707881#0,09423118#0,5074471#3,111027#-0,185454#0,8527679#3,60429#0,08358854#0,4941665#3,366061#-0,2133742#0,8725312#3,793572#0,0885995#0,6778203#3,448342#-0,1079682#0,7434181#3,645974#0,009244593#0,4119103#3,60232#-0,02924798#0,3384849#3,584652#0,01054149#0,2826253#3,567631#-0,0744859#0,28543#3,618642#0,1023074#-0,2570109#3,740583#-0,07943612#-0,2460047#3,561667#0,06909218#-0,5605319#3,781037#-0,05640341#-0,5531589#3,508113#0,07319447#-0,6343814#3,746115#-0,07968821#-0,6140574#3,476545#0  
frame25 #-0,03925451#0,9458379#3,47739#0,01832662#0,7669823#3,527144# 0,07899664#0,4398238#2,912916#-0,1341187#0,9524167#3,58088#0,1171226#0,5059993#3,063652#-0,1547096#0,915476#3,623391#0,09332164#0,5832373#3,238301#-0,2164823#0,8046537#3,764855#0,1021558#0,6716797#3,45772#-0,09932655#0,739816#3,643537#0,0105445#0,400978#3,615772#-0,02532432#0,3269491#3,600716#0,01706313#0,2675236#3,589619#-0,07519183#0,283206#3,626194#0,1005589#-0,2298881#3,74584#-0,08132124#-0,2381667#3,558009#0,0694754#-0,5604969#3,783194#-0,05810552#-0,5645777#3,500061#0,0732624#-0,6360729#3,753706#-0,08802728#-0,6239305#3,47005#0  
frame26 #-0,007565984#0,8810788#3,470767#0,05241828#0,7215574#3,548988# 0,05393511#0,3865412#2,944499#-0,03222389#0,9041736#3,631755#0,1107197#0,4502164#3,097242#-0,08669615#0,8806589#3,636661#0,1179815#0,5521428#3,292105#-0,2501129#0,8101147#3,665275#0,1535824#0,6441941#3,504879#-0,09418446#0,7370366#3,643308#0,03551005#0,3831628#3,65909#0,008478642#0,3101996#3,645722#0,057979#0,2446277#3,642319#-0,05307234#0,262955#3,671843#0,08788376#-0,2320791#3,711828#-0,07695891#-0,229891#3,551061#0,07446724#-0,5843167#3,767228#-0,05487259#-0,5724084#3,503564#0,07243219#-0,6543087#3,748647#-0,09368776#-0,6168337#3,442052#0  
frame27 #-0,004901378#0,878405#3,466205#0,05445753#0,7113895#3,547398# 0,06156259#0,3830413#3,019418#-0,2190049#0,8358815#3,588868#0,1519057#0,4264094#3,14957#-0,1308561#0,8532686#3,557578#0,24724#0,5075487#3,369139#-0,2640936#0,7804394#3,664297#0,1640609#0,6351414#3,513533#-0,09080894#0,7286154#3,637682#0,03370501#0,3810883#3,660683#0,01030046#0,3083843#3,651482#0,06130752#0,2410724#3,653632#-0,05205869#0,2588691#3,679332#0,08833958#-0,2321743#3,691467#-0,07477029#-0,2341515#3,542094#0,07556006#-0,5886826#3,744174#-0,05425275#-0,5752171#3,507971#0,03998561#-0,6341805#3,681215#-0,0898272#-0,620715#3,445012#0  
frame28 #0,02838668#0,8037775#3,440577#0,05086667#0,6322706#3,54897# 0,1174334#0,3429876#3,199639#-0,06942746#0,8722231#3,603543#0,1545995#0,3384207#3,253925#-0,1137371#0,8360951#3,587425#0,2793445#0,4102413#3,461174#-0,246666#0,7277111#3,552912#0,1971272#0,586508#3,5506#-0,0602765#0,5934272#3,59147#0,03678099#0,321009#3,688667#0,02812362#0,2479839#3,685031#0,0807251#0,1832455#3,695175#-0,03103227#0,2019729#3,710111#0,1017465#-0,2573676#3,682304#-0,06661873#-0,2407197#3,525874#0,05662263#-0,597624#3,783354#-0,05367542#-0,5770649#3,536474#0,0693443#-0,6518332#3,737547#-0,06502003#-0,6280462#3,469633#0  
frame29 #0,02495893#0,7525942#3,428709#0,05491766#0,6035213#3,548855# 0,1269343#0,2959589#3,267461#-0,4053513#0,4725096#3,511693#0,1931765#0,2951473#3,364051#-0,3423325#0,4857819#3,525276#0,2869355#0,3712194#3,510249#-0,1662681#0,3711642#3,605104#0,2017385#0,5390099#3,563967#-0,06162763#0,5858688#3,590827#0,04405744#0,2973649#3,69068#0,03686274#0,2254575#3,691116#0,09003032#0,1657998#3,700211#-0,02041753#0,1663692#3,722311#0,1030635#-0,2607283#3,673651#-0,06029413#-0,2483325#3,525378#0,05748424#-0,596351#3,782583#-0,05823696#-0,575806#3,543143#0,06857771#-0,6512179#3,737965#-0,04429222#-0,6438756#3,517593#0  
frame30 #0,05084615#0,6349176#3,42201#0,0381951#0,4994682#3,560387# 0,1598956#0,1705761#3,412673#-0,2975139#0,6013498#3,333041#0,2103772#0,1942156#3,475377#-0,2971928#0,5461212#3,355445#0,2870095#0,3006559#3,634939#-0,2962295#0,3804352#3,436398#0,2035581#0,445944#3,597148#-0,103846#0,3874227#3,573497#0,0394258#0,1956206#3,708873#0,04378412#0,1245126#3,714062#0,1180992#0,06302048#3,736744#-0,0285645#0,05408138#3,740615#0,1205959#-0,3435799#3,626059#-0,06011983#-0,2908157#3,492825#0,06612352#-0,5959191#3,76022#-0,05804976#-0,5758929#3,543222#0,06527305#-0,662348#3,73509#-0,04362684#-0,6436977#3,517253#0  
frame31 #0,04819461#0,4006074#3,393991#0,005855411#0,2693771#3,544336# 0,1233711#0,04352219#3,427534#-0,140779#0,366233#3,180617#0,1738527#0,06716175#3,490238#-0,1749034#0,3388734#3,234844#0,2832237#0,1259716#3,671513#-0,2772765#0,2567946#3,411179#0,1890462#0,2629873#3,635607#-0,08489294#0,2637821#3,548107#0,01499353#0,004534283#3,718261#0,02416896#-0,06031365#3,733271#0,09850355#-0,1132618#3,780557#-0,04388108#-0,1205032#3,746136#0,1091751#-0,3809685#3,563731#-0,06689528#-0,3667905#3,400126#0,06965705#-0,5901832#3,68177#-0,0582657#-0,6375481#3,47122#0,08891951#-0,6464736#3,623382#-0,03900325#-0,6938385#3,412831#0  
frame32 #0,06878137#0,1487446#3,404967#0,0545685#0,02293786#3,567528# 0,09343979#-0,3877959#3,457572#0,1230318#0,05024677#3,041336#0,1537283#-0,3188033#3,576471#0,08890742#0,02288717#3,095563#0,1860463#-0,1693451#3,775203#-0,01346568#-0,05919165#3,271787#0,2377594#0,01654809#3,658798#-0,07119824#0,00552953#3,4807#-0,002539311#-0,1774335#3,689334#-0,004030461#-0,2277297#3,700411#0,05380657#-0,2931852#3,749982#-0,09160855#-0,2894968#3,711409#0,142886#-0,4946104#3,54363#-0,08965006#-0,421619#3,46216#0,05630317#-0,6298754#3,717976#-0,1113156#-0,6268347#3,507772#0,08803035#-0,6868994#3,666881#-0,03827957#-0,6395246#3,519072#0  
frame33 #0,0657405#0,06095723#3,383695#0,05957733#-0,05985173#3,551862# 0,1578976#-0,4649241#3,410005#0,2228023#-0,1862157#3,078852#0,160148#-0,3693717#3,539018#0,1859467#-0,1850992#3,125133#0,1910524#-0,2521446#3,759775#0,07538001#-0,1817497#3,2774#0,2427682#-0,0662415#3,643133#-0,05529341#-0,05887427#3,463473#0,005764715#-0,2570966#3,696754#0,003384253#-0,3071138#3,714675#0,05991883#-0,3643372#3,78201#-0,08096319#-0,3722731#3,721277#0,1941944#-0,5405004#3,576456#-0,116762#-0,5044907#3,465985#0,1076115#-0,6757655#3,751032#-0,1384276#-0,7097064#3,511827#0,1372019#-0,736111#3,702237#-0,05787102#-0,6584001#3,512886#0  
frame34 #0,0875589#0,01864091#3,416645#0,09205184#-0,1082402#3,581778# 0,1614368#-0,4765806#3,403068#0,2104461#-0,1778428#3,089722#0,1749581#-0,3865174#3,556617#0,1675788#-0,191689#3,146093#0,2233087#-0,3013176#3,79039#0,03897702#-0,2332274#3,328584#0,2752427#-0,11463#3,673049#-0,04327653#-0,111694#3,478307#0,01026322#-0,251#3,691038#0,007499089#-0,2908131#3,701182#0,03479971#-0,3691027#3,827594#-0,100843#-0,3755933#3,663465#0,1603158#-0,557133#3,507524#-0,1236849#-0,5065928#3,51256#0,07373293#-0,692398#3,682196#-0,1453505#-0,7118084#3,558499#0,1025631#-0,7555748#3,636167#-0,06811601#-0,6653383#3,526017#0  
