frame1 #-0,03839641#0,9564079#3,411149#-0,03463282#0,7568548#3,428887# -0,003532894#0,4185001#3,19555#-0,2737589#0,5488364#3,272896#0,04193941#0,417679#3,26939#-0,2069088#0,5457164#3,272799#0,1981655#0,586073#3,258367#-0,006358579#0,5363566#3,286243#0,07849064#0,6676032#3,375834#-0,1892674#0,6368288#3,412332#-0,02332525#0,3805704#3,442175#-0,03006765#0,3125578#3,388245#0,03080113#0,2588284#3,373279#-0,08968998#0,2449799#3,388364#0,06110343#-0,2643527#3,173859#-0,09322888#-0,2716115#3,564204#0,07632553#-0,5903797#3,078312#-0,03908231#-0,5389088#3,700311#0,06473598#-0,6667208#3,016247#-0,02177308#-0,5584748#3,595103#0  
frame12 #-0,06866559#0,9740649#3,363255#-0,01946083#0,7888314#3,376719# 0,05484412#0,8439133#3,294884#-0,1978426#0,5635937#3,067105#0,07706982#0,7830484#3,243338#-0,207781#0,5414957#3,100091#0,1437469#0,6004536#3,102758#-0,2703859#0,4564608#3,2959#0,07053415#0,7084858#3,294362#-0,1705894#0,6855115#3,45761#-0,001616063#0,393411#3,392188#-0,02667457#0,3174253#3,356991#0,02726378#0,2672247#3,329829#-0,08167142#0,2498551#3,379635#0,08479001#-0,2653742#3,185097#-0,09339546#-0,2619777#3,493578#0,08360613#-0,5939533#3,083769#-0,02574289#-0,5792797#3,575241#0,06929968#-0,6628775#3,025202#-0,05792776#-0,6427063#3,606601#0  
frame13 #-0,07139383#0,9701444#3,368814#-0,0236368#0,7905349#3,389412# 0,04801196#0,8481215#3,287544#-0,2147204#0,5773358#3,128458#0,0750989#0,7820496#3,241211#-0,2226591#0,5539885#3,15355#0,1563597#0,5838341#3,116318#-0,2847211#0,4713915#3,349518#0,07004327#0,7090096#3,292826#-0,1691941#0,6856796#3,458493#-0,001485009#0,390007#3,40204#-0,02569413#0,3128566#3,367648#0,02780824#0,2588772#3,338224#-0,07948513#0,2490292#3,390206#0,08748575#-0,2666913#3,192703#-0,09222046#-0,2620876#3,483414#0,0840487#-0,5935772#3,085167#-0,03249187#-0,580542#3,563487#0,07039573#-0,6621938#3,026763#-0,07667916#-0,6362908#3,53413#0  
frame14 #-0,07600966#0,9684831#3,37615#-0,02523505#0,7905551#3,393271# 0,03201645#0,8383005#3,233865#-0,2305409#0,5807762#3,184293#0,06690676#0,7700073#3,210787#-0,2145006#0,6018345#3,14106#0,1715777#0,5651276#3,15555#-0,2929809#0,5084753#3,323239#0,0690796#0,7097814#3,291329#-0,1631179#0,6458497#3,484433#3,205612E-06#0,3823144#3,408188#-0,02604612#0,3017858#3,378392#0,02493909#0,2477189#3,352296#-0,07722595#0,2385852#3,397988#0,08985834#-0,2701667#3,209465#-0,09204328#-0,2650267#3,476701#0,08456264#-0,5943485#3,086523#-0,03801088#-0,5816282#3,554184#0,07023923#-0,661997#3,026717#-0,08394621#-0,6362542#3,528002#0  
frame15 #-0,0842677#0,973515#3,391982#-0,03612912#0,80115#3,412275# 0,04875608#0,8236575#3,251156#-0,2469128#0,6016769#3,258631#0,06708468#0,7699509#3,210169#-0,2597566#0,582364#3,276502#0,1220705#0,6088313#3,101124#-0,3258981#0,4492026#3,478681#0,0641153#0,7120557#3,29474#-0,1989011#0,6075903#3,527294#-0,00165222#0,3807393#3,417538#-0,02764614#0,299128#3,387406#0,0266672#0,2449417#3,361203#-0,08178797#0,2271299#3,408281#0,08996043#-0,2702315#3,213589#-0,0910163#-0,2698989#3,474068#0,08491617#-0,5950048#3,085598#-0,03893603#-0,5819544#3,5467#0,03108497#-0,6360943#3,029048#-0,08696721#-0,6381#3,533868#0  
frame16 #-0,09161758#0,9768687#3,405545#-0,03787974#0,8040932#3,417275# -0,02557592#0,5812573#2,725923#-0,2708908#0,5995581#3,299018#0,03280288#0,5694559#2,859507#-0,2791451#0,5850567#3,307417#0,1280211#0,5720803#3,105484#-0,3575346#0,4800727#3,558149#0,05378191#0,7206097#3,317416#-0,2088722#0,6165198#3,560862#-0,006433258#0,3822889#3,43134#-0,03234068#0,2991089#3,404476#0,0237458#0,2441769#3,37825#-0,08749479#0,2227159#3,424732#0,09035776#-0,2682298#3,230445#-0,09005042#-0,2730846#3,476685#0,08536579#-0,5952017#3,08625#-0,03910957#-0,58058#3,546474#0,02999304#-0,6370142#3,030254#-0,06993508#-0,6489984#3,535867#0  
frame17 #-0,07942893#0,9747998#3,431526#-0,03962735#0,8102642#3,428427# -0,02812484#0,5804973#2,739983#-0,2874424#0,6225098#3,355351#0,03452609#0,5712312#2,871771#-0,3213684#0,5909446#3,396324#0,1297421#0,6163962#3,141202#-0,3448023#0,4937073#3,633755#0,05068218#0,7217224#3,324963#-0,2082917#0,6204042#3,578033#-0,009278456#0,3859962#3,44463#-0,03470407#0,3020196#3,419785#0,02013872#0,2486921#3,398958#-0,08879757#0,2254846#3,436194#0,09008041#-0,2712401#3,242895#-0,08868018#-0,2759492#3,487274#0,08782949#-0,5938046#3,094434#-0,03579577#-0,5841848#3,552403#0,06985204#-0,6607518#3,025096#-0,08134408#-0,6428537#3,541905#0  
frame18 #-0,08534043#0,982899#3,435398#-0,04576828#0,8176539#3,43888# -0,03078417#0,5797465#2,745262#-0,3120455#0,6212618#3,422484#0,02440188#0,5744256#2,872566#-0,3618949#0,5998236#3,51219#0,1222696#0,6220417#3,142849#-0,3028075#0,5219939#3,713734#0,04872623#0,7254992#3,332572#-0,2129613#0,6256023#3,588414#-0,01883568#0,3956162#3,462763#-0,04259817#0,3116145#3,441851#0,01812805#0,2549527#3,414254#-0,1042345#0,2355122#3,467766#0,09012022#-0,2781145#3,247431#-0,08803922#-0,2764877#3,504296#0,1034269#-0,5793961#3,148434#-0,03647006#-0,5811341#3,55267#0,0815458#-0,6386282#3,068965#-0,07693779#-0,6434008#3,542009#0  
frame19 #-0,09091549#0,9824492#3,443581#-0,04990201#0,8187101#3,443846# -0,03418204#0,5794841#2,757509#-0,3217271#0,7220638#3,603156#0,0149602#0,5816053#2,886659#-0,2797592#0,7176898#3,65662#0,1223335#0,6146615#3,150763#-0,2914864#0,5223802#3,723005#0,0500131#0,7245104#3,332686#-0,2169137#0,6262061#3,593925#-0,02566695#0,4061154#3,474081#-0,04679467#0,3243355#3,457687#0,01882301#0,2603733#3,422894#-0,1124076#0,2456251#3,490786#0,08686603#-0,2717327#3,262797#-0,0902532#-0,2728306#3,517216#0,1241854#-0,5679146#3,177635#-0,03604253#-0,5822443#3,556166#0,1027273#-0,6329652#3,117561#-0,08430397#-0,6384519#3,550142#0  
frame20 #-0,09714621#0,9822631#3,455626#-0,054018#0,8169304#3,45513# -0,07404494#0,5697523#2,711907#-0,4189467#0,6999398#3,600975#0,000490044#0,5783359#2,857988#-0,3878348#0,7186278#3,659464#0,06469127#0,5997716#3,066492#-0,2757454#0,5784693#3,767339#0,04915179#0,7274184#3,336243#-0,2208592#0,6239609#3,605824#-0,03146508#0,4121317#3,483331#-0,0506592#0,3315288#3,46891#0,01669899#0,2690161#3,433137#-0,1173369#0,2487452#3,503489#0,0603088#-0,2676321#3,311942#-0,09888987#-0,2682335#3,533697#0,1380606#-0,5815483#3,228763#-0,03209097#-0,5802933#3,564237#0,1204066#-0,6524418#3,175656#-0,09279307#-0,6246669#3,563798#0  
frame21 #-0,1019471#0,9764757#3,470587#-0,05456861#0,8154116#3,485198# -0,02537108#0,5707805#2,791161#-0,3405032#0,7729971#3,573045#0,02054232#0,5898139#2,919757#-0,3259431#0,7374694#3,658484#0,09120493#0,6637645#3,185642#-0,2622502#0,5988076#3,803213#0,02029419#0,7482903#3,381323#-0,2211285#0,6221505#3,636001#-0,03502361#0,4160629#3,495142#-0,05550289#0,3369941#3,479055#0,006674954#0,2784378#3,440818#-0,1192141#0,2528134#3,51436#0,05653196#-0,2608435#3,316581#-0,1037668#-0,263204#3,541088#0,1541736#-0,5614837#3,295401#-0,02974254#-0,5800425#3,569055#0,1383218#-0,6325173#3,267965#-0,08252332#-0,630079#3,547765#0  
frame22 #-0,1038038#0,9800169#3,485533#-0,0535108#0,8180657#3,498878# -0,02160913#0,5725737#2,817771#-0,3276782#0,7466204#3,637578#0,02121415#0,5812531#2,932362#-0,311947#0,7667004#3,699597#0,09155579#0,6629252#3,192957#-0,2593044#0,6042926#3,815625#0,002494672#0,6676136#3,398445#-0,2200294#0,6247571#3,649627#-0,0419722#0,4149333#3,513446#-0,06514237#0,3353893#3,497948#-0,001969041#0,2791712#3,446902#-0,1319212#0,255964#3,552946#0,04958712#-0,2619397#3,333129#-0,1083652#-0,2605627#3,548797#0,1500351#-0,5734397#3,375332#-0,02559213#-0,5788288#3,572257#0,1504995#-0,6408218#3,332742#-0,07466799#-0,635296#3,57477#0  
frame23 #-0,1060183#0,9809922#3,489622#-0,05618435#0,8183889#3,505397# -0,007031489#0,5992932#2,874993#-0,3136222#0,7749807#3,667831#0,03075738#0,602698#2,967439#-0,2970174#0,7809579#3,721138#0,1239007#0,674292#3,215741#-0,2612474#0,6055868#3,822864#0,004560331#0,6689569#3,40301#-0,2226863#0,6250682#3,656145#-0,04641038#0,4134712#3,520828#-0,06970572#0,3337112#3,505106#-0,01198862#0,277124#3,459303#-0,1326901#0,2553252#3,553595#0,03804621#-0,2370263#3,375988#-0,1185564#-0,2187534#3,556674#0,1551911#-0,5701461#3,459637#-0,02201973#-0,5799342#3,574227#0,1578245#-0,6329491#3,418003#-0,07869302#-0,6322853#3,555994#0  
frame24 #-0,1049817#0,9874234#3,501364#-0,05695401#0,8214777#3,512701# 0,009847453#0,5800833#2,906958#-0,2397786#0,8749279#3,822987#0,02907506#0,601951#2,970643#-0,2452325#0,8086058#3,821404#0,1200809#0,6720825#3,219223#-0,2615941#0,6096393#3,830811#0,005817679#0,6728657#3,410776#-0,2234464#0,6281488#3,663451#-0,05335239#0,4137595#3,538045#-0,07827789#0,3329732#3,524782#-0,02290227#0,2746755#3,481117#-0,139461#0,2570795#3,568007#0,03736643#-0,2346591#3,395796#-0,1167232#-0,2397134#3,563933#0,1377646#-0,5638779#3,539311#-0,02212405#-0,5799276#3,574265#0,1499159#-0,6277245#3,500085#-0,07390083#-0,6327367#3,557143#0  
frame25 #-0,107304#0,9890671#3,502413#-0,05880447#0,8247566#3,521888# -0,00096094#0,6120737#2,940632#-0,2748138#0,8443122#3,718843#0,007429626#0,6312021#3,0078#-0,2207358#0,807831#3,848471#0,1061992#0,6733823#3,213154#-0,2632418#0,6133827#3,840634#0,005471056#0,6752346#3,414019#-0,2252905#0,6314225#3,672641#-0,05487218#0,4156703#3,542705#-0,07966969#0,3349231#3,528561#-0,02505731#0,2759506#3,483816#-0,139934#0,2588034#3,571734#0,03939813#-0,227161#3,449487#-0,1164493#-0,2405221#3,564386#0,1159483#-0,5642245#3,603183#-0,02308908#-0,579651#3,573924#0,1335385#-0,637446#3,590024#-0,07577256#-0,6327842#3,558262#0  
frame26 #-0,1065884#0,9959614#3,504509#-0,05989736#0,8327914#3,531585# 0,004089495#0,6069424#2,955781#-0,2708047#0,8471647#3,719005#0,01415732#0,6243071#3,023443#-0,2127189#0,8153802#3,852667#0,1040822#0,6718665#3,210965#-0,2642656#0,6217971#3,850998#0,007960752#0,6797178#3,41517#-0,2263795#0,6394536#3,682338#-0,05241238#0,4242377#3,547294#-0,07649814#0,3441505#3,532374#-0,02464939#0,2842756#3,490098#-0,1314219#0,2713695#3,571267#0,03729061#-0,1711887#3,459482#-0,1121064#-0,2119008#3,559687#0,0883137#-0,520155#3,607664#-0,0025965#-0,5755936#3,593359#0,02630544#-0,5620877#3,55663#-0,06406156#-0,6029689#3,555904#0  
frame27 #-0,1079928#0,9973912#3,510763#-0,0615821#0,8316724#3,534916# -0,02076375#0,6182752#2,969852#-0,2592263#0,8584232#3,717053#-0,00986962#0,6350575#3,037769#-0,2049259#0,8123999#3,852525#0,09931562#0,6711771#3,21752#-0,265981#0,6207136#3,85483#0,007774974#0,6825607#3,424683#-0,2280633#0,6383339#3,68567#-0,05118788#0,4236049#3,552121#-0,0741519#0,3432758#3,537124#-0,02168971#0,2841661#3,498416#-0,1287121#0,2701693#3,574035#0,03730415#-0,1693783#3,472417#-0,1123379#-0,2086355#3,563725#0,07208298#-0,5187212#3,629482#-0,04751507#-0,5580063#3,557817#0,01058513#-0,5611612#3,577204#-0,07142456#-0,6310176#3,547519#0  
frame28 #-0,1069876#0,9974688#3,511485#-0,06157349#0,8304492#3,536152# 0,023978#0,6072284#3,036512#-0,2580333#0,8859671#3,70946#0,02954707#0,5639572#3,171025#-0,1993639#0,8093187#3,849219#0,02233064#0,414161#3,412515#-0,2659003#0,6195648#3,855758#0,009210185#0,685838#3,428672#-0,2280541#0,63711#3,686907#-0,04574527#0,4273698#3,560565#-0,0663819#0,3482022#3,547488#-0,01060491#0,2909503#3,51254#-0,121569#0,2742398#3,583348#0,04303852#-0,2073691#3,537558#-0,1044496#-0,2112153#3,568749#0,07091507#-0,5701866#3,670809#-0,04473615#-0,561524#3,563518#0,01039538#-0,6132072#3,618082#-0,07227774#-0,6310745#3,543611#0  
frame29 #-0,1078048#0,9881225#3,514693#-0,0614449#0,8197069#3,538317# 0,0282771#0,6135845#3,062289#-0,2578262#0,8857912#3,709351#0,03223807#0,5841433#3,175265#-0,1979647#0,8053071#3,848773#0,01732067#0,4338892#3,415972#-0,2657191#0,6089299#3,857885#-0,01103635#0,7044271#3,435032#-0,2279244#0,6263666#3,689072#-0,04357711#0,4197678#3,565158#-0,06507548#0,3403907#3,552938#-0,01017454#0,287766#3,521241#-0,1205064#0,270867#3,584698#0,07905354#-0,2098473#3,578374#-0,09991837#-0,2070131#3,575552#0,07464959#-0,5730498#3,715699#-0,04772179#-0,5563861#3,568361#0,01186822#-0,6164126#3,664945#-0,1105032#-0,5997488#3,517607#0  
frame30 #-0,1058974#0,9852817#3,515425#-0,058628#0,8159888#3,538669# 0,02890342#0,6130319#3,062844#-0,1891712#1,060602#3,788464#0,03382341#0,5786645#3,187851#-0,1232263#0,9801797#3,928141#0,02403048#0,4348508#3,432997#-0,1993748#0,7736753#3,940753#-0,0107375#0,703491#3,43443#-0,161631#0,7911076#3,771927#-0,03899863#0,4198472#3,574023#-0,06624258#0,3414569#3,574166#-0,03694892#0,2967622#3,563825#-0,1026513#0,2915209#3,609341#0,110486#-0,1542219#3,618589#-0,09718557#-0,2066551#3,58139#0,01931107#-0,5293664#3,668765#-0,04529775#-0,5555432#3,573035#-0,05604922#-0,5723555#3,63793#-0,120658#-0,5985323#3,542199#0  
frame31 #-0,09429485#0,9687391#3,517631#-0,05271915#0,7989461#3,545339# 0,01745708#0,4858028#3,086991#-0,1794964#1,047635#3,734912#0,04074985#0,5189787#3,174722#-0,1135515#0,9672129#3,874589#0,02553215#0,4277928#3,44471#-0,1896644#0,7607249#3,887008#-0,006238522#0,6963155#3,443908#-0,1519562#0,7781408#3,718352#-0,03982588#0,4124247#3,5875#-0,06697373#0,3355338#3,584627#-0,03700761#0,2938534#3,569319#-0,1024753#0,2902949#3,610945#0,06534585#-0,2052942#3,6608#-0,09730015#-0,2014648#3,589999#0,07641894#-0,5259145#3,809983#-0,04794943#-0,5548937#3,569999#0,05438641#-0,5869574#3,726412#-0,07706007#-0,6188809#3,535726#0  
frame32 #-0,08678319#0,9521239#3,513132#-0,04868539#0,7856317#3,547382# -0,01787619#0,4613073#2,802209#-0,180367#1,048038#3,733464#0,03760316#0,4740002#3,192312#-0,1144221#0,9676158#3,873141#0,04097672#0,4243525#3,47375#-0,1905185#0,7611353#3,88544#0,003712421#0,6881239#3,44769#-0,1528268#0,7785436#3,716803#-0,03559934#0,4194311#3,597122#-0,06096098#0,3480625#3,596646#-0,02988305#0,2979628#3,573845#-0,09852237#0,3006068#3,629483#0,08410338#-0,1720625#3,676258#-0,0984938#-0,2013432#3,590302#0,07565965#-0,5259752#3,816706#-0,03122579#-0,5728219#3,57374#0,02731284#-0,5685175#3,732278#-0,08026507#-0,6358575#3,548218#0  
frame33 #-0,07836802#0,9417418#3,505266#-0,03961022#0,7665877#3,554111# -0,02141668#0,4385608#2,819218#-0,1296153#0,9316435#3,848138#0,01741563#0,4872526#3,069346#-0,1604713#0,872301#3,843431#0,02878742#0,4840504#3,355434#-0,2530392#0,6942737#3,84351#0,01999551#0,6768198#3,46237#-0,1507996#0,7736161#3,717388#-0,03102024#0,4145963#3,607062#-0,05669901#0,344357#3,603597#-0,02079632#0,2938722#3,588845#-0,09652817#0,2988987#3,631219#0,0952449#-0,2042018#3,718538#-0,1004139#-0,2016262#3,58899#0,07513739#-0,5240913#3,840003#-0,04855048#-0,5703621#3,553045#0,03010887#-0,5645109#3,75231#-0,07982816#-0,6406435#3,536205#0  
frame34 #-0,05498192#0,9081748#3,48731#-0,03601737#0,7479719#3,5608# -0,01800712#0,4306679#2,855979#-0,1299324#0,9139196#3,821068#0,02145413#0,4788998#3,084474#-0,166465#0,8576749#3,823729#0,03513096#0,4726388#3,370672#-0,2760628#0,6889408#3,845893#0,03738452#0,6626164#3,483868#-0,147473#0,7547399#3,722807#-0,02534368#0,4086612#3,625962#-0,04960848#0,3393084#3,623388#-0,01390648#0,2881661#3,608235#-0,08813513#0,291608#3,653175#0,1009913#-0,2019103#3,722723#-0,1098649#-0,1896148#3,577138#0,07579648#-0,5237417#3,844453#-0,05087737#-0,5596437#3,552515#0,02996274#-0,5616882#3,755644#-0,1169679#-0,6049734#3,505416#0  
frame35 #-0,04828991#0,8988956#3,484152#-0,0284386#0,7145715#3,565799# -0,01332328#0,3850949#2,884776#-0,2319712#0,8638355#3,629776#0,01143807#0,4345531#3,100688#-0,269701#0,8134533#3,690839#0,05851337#0,4403433#3,383262#-0,3342118#0,6701712#3,831084#0,0687583#0,6259001#3,488854#-0,1877238#0,6595803#3,687844#-0,01983476#0,3968533#3,642023#-0,03657415#0,32901#3,637479#0,02354494#0,2548707#3,62207#-0,08457205#0,262089#3,687815#0,100092#-0,2024194#3,719424#-0,1112433#-0,1793208#3,57145#0,07705068#-0,5086108#3,823947#-0,05707018#-0,5497776#3,550858#0,06221141#-0,6130084#3,805369#-0,1077898#-0,5977177#3,489232#0  
frame36 #-0,0187354#0,8547662#3,47541#-0,01337911#0,6753011#3,562328# -0,01303931#0,400256#2,959449#-0,235097#0,84914#3,621283#0,02107234#0,4211543#3,103686#-0,2675609#0,8062752#3,667911#0,05619938#0,4202383#3,387135#-0,340812#0,6345087#3,755768#0,07780503#0,5926064#3,515466#-0,1772495#0,6338271#3,667004#-0,01865804#0,3759134#3,646385#-0,03337431#0,3118342#3,642956#0,02246436#0,2495307#3,623135#-0,08737504#0,2466854#3,68994#0,1001496#-0,1948969#3,701041#-0,1145043#-0,1929686#3,553379#0,09748314#-0,5008155#3,825036#-0,06274734#-0,5626634#3,566578#0,05478996#-0,5498399#3,758139#-0,1054405#-0,6116878#3,49968#0  
frame37 #-0,01981509#0,8230097#3,474574#-0,02872238#0,6300531#3,574856# -0,01398617#0,3852656#3,005349#-0,218058#0,8254389#3,635112#0,02329616#0,4002225#3,130836#-0,2663493#0,774665#3,646012#0,06141741#0,4057286#3,413644#-0,3937111#0,6265616#3,70607#0,07348741#0,5824684#3,535501#-0,1844932#0,609789#3,656559#-0,01847143#0,345167#3,661752#-0,02753203#0,282664#3,66087#0,02768784#0,2157856#3,647662#-0,08225965#0,2256277#3,700859#0,1005819#-0,2192968#3,688557#-0,1169378#-0,2058578#3,541925#0,07558892#-0,549885#3,809047#-0,07044674#-0,5615053#3,574793#0,04037665#-0,6014531#3,739302#-0,105659#-0,6130733#3,505049#0  
