frame1 #-0,1327768#0,8480026#3,237779#-0,1587793#0,6376958#3,270045# 0,5098003#0,4169969#3,066959#-0,09092368#0,2357903#2,949518#0,4214005#0,384291#3,088155#-0,1835718#0,2589685#2,964097#0,2066075#0,3710024#3,169806#-0,3195016#0,3580096#3,053763#0,01644931#0,5042232#3,274693#-0,3054303#0,5211309#3,176776#-0,1930429#0,2492401#3,284091#-0,1808191#0,1781021#3,228886#-0,1120336#0,09844824#3,244008#-0,2568794#0,1060567#3,195368#0,08203403#-0,2474238#3,180344#-0,48703#-0,280177#3,238165#0,130625#-0,5745913#3,170082#-0,1146883#-0,4668379#3,185935#0,2252903#-0,6659399#3,173298#-0,07782455#-0,5276036#3,073827#0  
frame15 #-0,3483357#0,8229382#3,17991#-0,319968#0,6396231#3,225206# -0,001725258#0,6882403#2,88933#-0,322779#0,798081#2,943491#-0,0251589#0,6165665#2,897448#-0,4437619#0,6519741#2,983183#-0,03711541#0,436142#2,975511#-0,5738266#0,4448367#3,036772#-0,1694559#0,5207883#3,194931#-0,4818068#0,5214772#3,205518#-0,3069633#0,2681699#3,259246#-0,3058808#0,1953237#3,224628#-0,2230234#0,1272387#3,221129#-0,3842859#0,1229871#3,223458#0,007160696#-0,2530546#3,189212#-0,6102722#-0,2521203#3,217147#0,1349977#-0,588906#3,174673#-0,7442774#-0,5903674#3,213406#0,2210903#-0,6641076#3,168378#-0,8221663#-0,6551319#3,192973#0  
frame16 #-0,4195583#0,8241875#3,179235#-0,3798173#0,6475691#3,215697# -0,1959534#0,6842051#2,877163#-0,5442855#0,6995559#2,968875#-0,1865005#0,6096356#2,872303#-0,5883602#0,6390353#2,960613#-0,1416016#0,4369166#2,963004#-0,6686339#0,430988#3,077344#-0,2638266#0,5343722#3,183648#-0,5515644#0,5115287#3,221219#-0,348033#0,2680303#3,253345#-0,3454808#0,1925466#3,223401#-0,2700741#0,1339781#3,213213#-0,4123526#0,1204592#3,229599#-0,06576303#-0,2105047#3,203667#-0,6448183#-0,2485498#3,210421#0,1290719#-0,5909262#3,174963#-0,761222#-0,5973111#3,20947#0,1165058#-0,6444024#3,079018#-0,8282197#-0,6606122#3,191151#0  
frame17 #-0,5022209#0,7853534#3,16115#-0,4602998#0,619374#3,20025# -0,3339499#0,7008257#2,86185#-0,7154675#0,7120795#2,978415#-0,3474507#0,6154845#2,878361#-0,7266272#0,6388945#2,986662#-0,236741#0,4114283#2,960817#-0,7506731#0,4317344#3,098347#-0,249031#0,5390366#3,11817#-0,6121887#0,4876774#3,229948#-0,4067956#0,2643115#3,244095#-0,4067527#0,1914291#3,220826#-0,3084974#0,1173408#3,211818#-0,480794#0,1019548#3,232444#-0,09897473#-0,2544444#3,215134#-0,6989505#-0,2495338#3,202982#0,1247801#-0,5914638#3,176433#-0,7798201#-0,6029451#3,206378#0,09692727#-0,6463107#3,085581#-0,8380126#-0,673633#3,188647#0  
frame18 #-0,5636926#0,7573755#3,158584#-0,4770145#0,6105762#3,199206# -0,5279891#0,5318804#2,848286#-0,8669807#0,6854969#3,01586#-0,4863287#0,4712142#2,862545#-0,8672229#0,5862435#3,036705#-0,3313068#0,3905526#2,968437#-0,8370429#0,4277282#3,131918#-0,3427014#0,5209746#3,120501#-0,6765366#0,4717941#3,233926#-0,4542019#0,2451528#3,241881#-0,4581356#0,1720616#3,222326#-0,3746189#0,1023544#3,212437#-0,5312707#0,08857005#3,235614#-0,1383195#-0,2474042#3,219816#-0,7225799#-0,239886#3,19349#0,1238026#-0,5906754#3,176482#-0,8005#-0,5721618#3,183517#0,09298013#-0,6447632#3,086435#-0,8313224#-0,6262496#3,09347#0  
frame19 #-0,5827315#0,7618502#3,16055#-0,5305834#0,6062974#3,201644# -0,609666#0,5658997#2,846155#-0,9328052#0,6944123#3,033237#-0,6054704#0,474342#2,848052#-0,9215348#0,5873822#3,05208#-0,4038418#0,3618376#2,940402#-0,8570073#0,4254825#3,139777#-0,3623017#0,5100013#3,121751#-0,6862726#0,4683003#3,228221#-0,4771172#0,2424464#3,237774#-0,4774484#0,1685459#3,220189#-0,3940454#0,1004441#3,209645#-0,5459951#0,08679682#3,233052#-0,1490597#-0,2502679#3,222439#-0,7295262#-0,2389123#3,189629#0,1190464#-0,5895929#3,179507#-0,806514#-0,5594343#3,182603#0,08936961#-0,6441572#3,089409#-0,8361908#-0,6139985#3,092506#0  
frame20 #-0,6591347#0,7600077#3,172284#-0,5632177#0,5987407#3,198462# -0,7651051#0,4572029#2,847601#-1,061849#0,6959776#3,060235#-0,7173068#0,3701466#2,863033#-1,050138#0,62265#3,058098#-0,5043339#0,3227997#2,942693#-0,9348664#0,4200245#3,144794#-0,43121#0,4863465#3,110763#-0,7428765#0,4693696#3,237367#-0,5290536#0,2351082#3,232141#-0,5309131#0,1616845#3,217382#-0,4522029#0,09682908#3,200557#-0,5965762#0,0825754#3,236045#-0,1808294#-0,268791#3,232544#-0,793192#-0,2607597#3,154561#0,08998243#-0,5681832#3,193758#-0,8111246#-0,5741066#3,18433#0,05336231#-0,6226877#3,105399#-0,8477448#-0,628611#3,095971#0  
frame21 #-0,7018869#0,728705#3,173219#-0,5997944#0,5857819#3,19624# -0,8412831#0,3862594#2,898933#-1,198835#0,5984751#3,086816#-0,7932765#0,2988238#2,914431#-1,143974#0,5261989#3,10681#-0,5527188#0,2938664#2,959167#-0,9481574#0,4002162#3,163639#-0,4599861#0,4744462#3,10738#-0,7865872#0,4440466#3,255301#-0,5534997#0,2305843#3,22558#-0,555148#0,1579775#3,212651#-0,4763273#0,09080257#3,191923#-0,6211851#0,07678739#3,233878#-0,1866462#-0,2737194#3,231089#-0,7981547#-0,2553581#3,157654#0,1006237#-0,5783189#3,18032#-0,8226851#-0,5681239#3,185903#0,1611451#-0,6375337#3,126095#-0,862538#-0,6228507#3,099313#0  
frame22 #-0,7008908#0,7242291#3,167359#-0,6060674#0,5818208#3,195443# -0,8663014#0,2211513#2,903953#-1,260345#0,543785#3,070951#-0,767101#0,2239485#2,913588#-1,177231#0,4930808#3,100082#-0,5581182#0,2949143#2,966436#-0,9604614#0,4126217#3,171041#-0,4751383#0,4667058#3,10289#-0,7884132#0,4413632#3,253663#-0,5659068#0,2207504#3,222319#-0,5674981#0,1475124#3,211385#-0,4886142#0,0827297#3,190054#-0,6325523#0,06645732#3,233444#-0,192539#-0,2794295#3,228292#-0,8049369#-0,2557651#3,16017#0,09959314#-0,5836114#3,174549#-0,827235#-0,5691487#3,183849#0,05759875#-0,6380068#3,089031#-0,8692294#-0,6235441#3,098331#0  
frame23 #-0,713442#0,7132553#3,162164#-0,6238831#0,5692071#3,186407# -0,9570253#0,1478504#2,922439#-1,295039#0,4503089#3,108326#-0,8549495#0,1493803#2,928694#-1,200975#0,4133721#3,124572#-0,6390727#0,2549571#2,974949#-0,966494#0,371299#3,183712#-0,5153725#0,4430596#3,092422#-0,7998055#0,4327811#3,25321#-0,5892481#0,2088787#3,214023#-0,5920953#0,1358933#3,205868#-0,5254284#0,0740878#3,179302#-0,6508991#0,05546639#3,232864#-0,1986666#-0,2843032#3,219843#-0,8189961#-0,2695179#3,164486#0,09514695#-0,5824521#3,168251#-0,7954726#-0,5963539#3,203722#0,04763154#-0,6365686#3,086437#-0,8493425#-0,6698418#3,186967#0  
frame24 #-0,7210855#0,7138028#3,159761#-0,6297726#0,5662326#3,184462# -0,9266864#0,1194795#2,940941#-1,286293#0,4181035#3,107195#-0,8553838#0,1428496#2,931688#-1,192425#0,3827921#3,127309#-0,6416367#0,2529762#2,977507#-0,9782203#0,3591651#3,181516#-0,516645#0,4419966#3,09139#-0,8160939#0,4176381#3,258273#-0,5944375#0,2065786#3,212464#-0,5960599#0,1336976#3,205945#-0,5262012#0,07035533#3,177987#-0,660066#0,05071708#3,236975#-0,2015531#-0,2863722#3,215648#-0,8287979#-0,2736134#3,168506#0,09238765#-0,5831848#3,165526#-0,7961121#-0,600281#3,202489#0,04595878#-0,63717#3,083958#-0,8505283#-0,6729474#3,187366#0  
frame25 #-0,735886#0,6932595#3,156128#-0,6470155#0,5529143#3,187436# -0,9311337#0,1239201#2,948112#-1,291662#0,3946253#3,11306#-0,8559613#0,1257677#2,942642#-1,198635#0,3594801#3,135764#-0,6455802#0,2448161#2,978334#-0,9755601#0,3301379#3,19005#-0,5221851#0,4361877#3,089696#-0,8173094#0,4022068#3,261499#-0,6032751#0,1984132#3,209871#-0,6029752#0,1263924#3,204211#-0,5315774#0,06417723#3,172049#-0,66407#0,04235849#3,237946#-0,2051705#-0,2891858#3,211025#-0,837095#-0,27991#3,172944#0,09213448#-0,5826697#3,165847#-0,7933292#-0,6033822#3,20442#0,04460365#-0,6364898#3,085603#-0,8505074#-0,6728483#3,187614#0  
frame26 #-0,7380468#0,6932757#3,154928#-0,6506479#0,5497704#3,183893# -0,9676558#0,1077692#2,943277#-1,293884#0,3907327#3,118237#-0,8633752#0,1202951#2,948475#-1,199888#0,3563606#3,138942#-0,6510917#0,2362005#2,978724#-0,974#0,3135045#3,198693#-0,5274251#0,4288803#3,08571#-0,820507#0,3967142#3,266268#-0,6059984#0,1952515#3,207083#-0,6049009#0,123296#3,203#-0,5321316#0,05945173#3,169294#-0,665642#0,03922615#3,238254#-0,2062308#-0,2897444#3,209591#-0,8418078#-0,2812363#3,175508#0,09200128#-0,5819659#3,165591#-0,7926452#-0,6032704#3,204661#0,04282547#-0,6357872#3,087136#-0,8502121#-0,6715806#3,187137#0  
frame27 #-0,742006#0,6936243#3,154986#-0,6515806#0,5490605#3,182614# -0,9705774#0,1077613#2,943608#-1,304985#0,3920352#3,121314#-0,8663093#0,1183333#2,94814#-1,210535#0,3521089#3,151373#-0,6542961#0,2341104#2,978666#-0,9750469#0,3081605#3,200551#-0,5298976#0,4265516#3,084197#-0,8221033#0,3921557#3,267635#-0,6079011#0,1933358#3,205222#-0,606268#0,1211946#3,202295#-0,5326997#0,05628239#3,167279#-0,6672144#0,03665596#3,238977#-0,2070304#-0,2897502#3,207933#-0,843873#-0,2830834#3,175962#0,09201447#-0,5814433#3,165189#-0,7927843#-0,6023181#3,204487#0,04250358#-0,634976#3,08761#-0,8497815#-0,670426#3,187091#0  
frame28 #-0,7418993#0,6910623#3,154902#-0,6526456#0,5472639#3,182719# -0,9407089#0,1169235#2,947572#-1,305457#0,404294#3,141461#-0,8655359#0,1177668#2,946911#-1,208951#0,3562301#3,1499#-0,6543621#0,2343503#2,978405#-0,9752889#0,306118#3,201021#-0,5299854#0,4265255#3,083724#-0,8228434#0,3905538#3,268121#-0,6078956#0,1925637#3,203878#-0,6052518#0,1204942#3,201684#-0,527249#0,05340036#3,165097#-0,6665683#0,03623377#3,238692#-0,2077312#-0,2898247#3,20694#-0,8438165#-0,282882#3,175784#0,09218602#-0,5810946#3,165841#-0,8152395#-0,5834609#3,197027#0,04288952#-0,6343884#3,088754#-0,8490797#-0,6694315#3,185911#0  
frame29 #-0,7417457#0,6907971#3,154926#-0,6526374#0,5472499#3,182714# -0,9688826#0,1147352#2,940083#-1,290732#0,4023905#3,142509#-0,8678217#0,1187799#2,94638#-1,196674#0,363128#3,147985#-0,6547304#0,2344618#2,97798#-1,023322#0,3222073#3,188138#-0,5291157#0,4271783#3,083838#-0,8228916#0,3923647#3,268184#-0,6081963#0,1930921#3,202567#-0,6048881#0,1214997#3,200891#-0,5267457#0,05505124#3,163857#-0,6661596#0,03660842#3,23811#-0,2071101#-0,2878294#3,18476#-0,8435479#-0,2818751#3,173875#0,09207618#-0,5801604#3,166625#-0,8368903#-0,5987854#3,182419#0,04300684#-0,6332602#3,089689#-0,8859597#-0,6518852#3,105483#0  
frame30 #-0,7410144#0,6913373#3,154884#-0,6526366#0,5478993#3,184005# -0,9676785#0,1168938#2,935644#-1,261588#0,3992083#3,141271#-0,8688844#0,1208279#2,943093#-1,166943#0,3587994#3,143642#-0,6550504#0,2348368#2,977949#-0,9799289#0,3215011#3,193776#-0,5290024#0,427348#3,083953#-0,8221934#0,3934374#3,268553#-0,6093247#0,1946224#3,201406#-0,6058311#0,1236291#3,200032#-0,5300804#0,06072033#3,160696#-0,6662461#0,03699093#3,237858#-0,2065434#-0,2880023#3,18235#-0,8437245#-0,2806943#3,170499#0,09133303#-0,5786543#3,167073#-0,7980848#-0,5961745#3,197274#0,04225228#-0,6313251#3,09051#-0,8517194#-0,6689672#3,192435#0  
frame31 #-0,7394551#0,6924834#3,156306#-0,6513243#0,5492684#3,184657# -0,9457816#0,1311354#2,928705#-1,280864#0,426668#3,139832#-0,870646#0,1295204#2,940559#-1,187505#0,3833221#3,140648#-0,6530936#0,2375504#2,976629#-1,000557#0,3255263#3,184531#-0,526138#0,4293273#3,084981#-0,820872#0,3929537#3,267482#-0,6082851#0,1955999#3,200013#-0,6041694#0,1246233#3,198997#-0,5279434#0,06210635#3,16059#-0,6641049#0,03809517#3,235245#-0,2059528#-0,2873816#3,180062#-0,8428165#-0,2788187#3,168736#0,0914399#-0,5787352#3,16737#-0,8068917#-0,5821075#3,193143#0,0430853#-0,6311013#3,09064#-0,8522511#-0,669526#3,192072#0  
frame32 #-0,7294918#0,7109619#3,178547#-0,6387124#0,5585134#3,189884# -0,862473#0,154368#2,920964#-1,273303#0,4331135#3,131979#-0,7886739#0,1665914#2,934388#-1,183113#0,3840781#3,137792#-0,5817213#0,2894877#2,979518#-0,9810375#0,328746#3,188328#-0,5179343#0,4344711#3,090852#-0,8155231#0,3942602#3,266074#-0,6043781#0,1973153#3,199759#-0,6010486#0,1256841#3,198393#-0,524636#0,06376185#3,162196#-0,6613939#0,04010625#3,23161#-0,2050818#-0,2870526#3,178556#-0,841315#-0,2765997#3,1693#0,09323897#-0,5799266#3,165441#-0,8003386#-0,594419#3,197572#0,04639128#-0,6312138#3,087655#-0,850447#-0,6704445#3,190109#0  
frame33 #-0,7245446#0,7122485#3,176133#-0,6329206#0,5602338#3,189663# -0,8973116#0,1451632#2,937308#-1,262378#0,4341532#3,115881#-0,7961038#0,1623713#2,933592#-1,175441#0,3832117#3,135882#-0,6410993#0,2470618#2,979407#-0,9678493#0,3293986#3,191056#-0,5142146#0,4357973#3,091707#-0,8095052#0,3985444#3,266812#-0,6004653#0,1992121#3,199678#-0,5977888#0,127262#3,198402#-0,5223172#0,06498456#3,163072#-0,6590462#0,04191594#3,231054#-0,2045313#-0,2869825#3,177507#-0,8379589#-0,2754024#3,170782#0,0927764#-0,5795263#3,165966#-0,8053907#-0,5853051#3,197487#0,04576505#-0,6305701#3,088566#-0,8500507#-0,6705287#3,190321#0  
frame34 #-0,7186046#0,7172008#3,174454#-0,6273988#0,5646119#3,191387# -0,8609164#0,1304126#2,942413#-1,251681#0,4357357#3,107769#-0,7933294#0,1649062#2,935575#-1,16632#0,3828698#3,131087#-0,6367723#0,2520606#2,982024#-0,9636992#0,3310432#3,190418#-0,5080823#0,439672#3,094913#-0,804351#0,399075#3,265239#-0,5945177#0,2014522#3,20002#-0,591814#0,1289475#3,198314#-0,5161393#0,06711422#3,165021#-0,6535431#0,04440708#3,228797#-0,2033775#-0,2877813#3,176661#-0,835512#-0,2716177#3,17354#0,0916225#-0,5780863#3,16455#-0,8159671#-0,5734427#3,191974#0,0457278#-0,6289115#3,086607#-0,8618618#-0,6242679#3,114031#0  
frame35 #-0,7107787#0,7254698#3,178392#-0,6198215#0,5705284#3,197678# -0,8965096#0,1528716#2,940655#-1,252144#0,4396259#3,101022#-0,7945509#0,1664975#2,936337#-1,1662#0,3871959#3,122579#-0,6308604#0,2538841#2,98542#-0,9611461#0,3322029#3,190338#-0,5035422#0,4425654#3,098684#-0,8027192#0,4014237#3,267136#-0,5877268#0,2053904#3,203329#-0,5854788#0,1324452#3,200561#-0,5101539#0,06965282#3,169068#-0,6476504#0,04888947#3,228527#-0,2025864#-0,2880938#3,176292#-0,8314636#-0,2663738#3,177842#0,09299818#-0,5787294#3,163854#-0,8155141#-0,581463#3,194623#0,04776037#-0,6290932#3,085625#-0,8498272#-0,6708231#3,190713#0  
frame36 #-0,709573#0,7274924#3,17992#-0,619182#0,5714532#3,198704# -0,8968422#0,1517664#2,934027#-1,245386#0,4371899#3,103377#-0,7951666#0,1673425#2,935941#-1,160607#0,3849059#3,12913#-0,6247792#0,2568493#2,986293#-0,959451#0,3333084#3,190653#-0,4984722#0,4451358#3,10244#-0,8008299#0,4025035#3,267418#-0,5853814#0,2071043#3,204727#-0,5828181#0,1342733#3,201491#-0,5072203#0,07085592#3,170712#-0,6448916#0,05129298#3,228559#-0,2019501#-0,2880438#3,175927#-0,8293989#-0,2634613#3,178887#0,09592596#-0,5817658#3,160953#-0,8093562#-0,5977441#3,193923#0,05199922#-0,6319516#3,082483#-0,8522426#-0,6739579#3,190067#0  
