frame1 #-0,04759749#0,8535259#3,169006#-0,06283597#0,6484175#3,180325# 0,5341586#0,4921235#3,086431#0,0560404#0,2582217#2,927446#0,4679186#0,4279857#3,128498#-0,04526095#0,2596973#2,924809#0,2619705#0,3829426#3,210208#-0,2024199#0,3202544#2,979425#0,1174179#0,5217649#3,245795#-0,2091979#0,5100545#3,089778#-0,0839816#0,26781#3,19143#-0,07328256#0,1933444#3,165814#-0,001627915#0,1160909#3,19241#-0,148605#0,1108212#3,129041#0,2103656#-0,2511856#3,165462#-0,3565312#-0,2916455#3,199725#0,291184#-0,6139214#3,166#0,03428185#-0,4885879#3,170424#0,3629689#-0,6739714#3,168915#-0,08902848#-0,5175079#3,173028#0  
frame22 #-0,2583479#0,7797982#3,140383#-0,2106375#0,5861397#3,168371# 0,1022654#0,6472679#2,873185#-0,2409284#0,5768933#2,93727#0,09320081#0,5886008#2,892542#-0,2911336#0,5266015#2,916192#0,06600718#0,4125995#2,96441#-0,4486527#0,3899872#2,956296#-0,07584934#0,501812#3,169709#-0,3728926#0,468157#3,1414#-0,1977833#0,2252675#3,194296#-0,1942231#0,151434#3,188318#-0,1132426#0,08236293#3,190562#-0,2720386#0,08053635#3,18748#0,08676501#-0,2537328#3,167478#-0,5279016#-0,2515353#3,186244#0,2907877#-0,5590829#3,179415#-0,5869695#-0,5725221#3,186472#0,2993822#-0,6060444#3,096177#-0,578375#-0,6194836#3,103234#0  
frame23 #-0,2823131#0,76366#3,139348#-0,2318072#0,5943844#3,180234# 0,02251121#0,6742793#2,86884#-0,3109346#0,596602#2,932493#0,01829422#0,5946921#2,886737#-0,3610316#0,5464185#2,91146#0,005643263#0,3559303#2,954191#-0,4813983#0,4209922#2,976078#-0,09714743#0,4911774#3,157822#-0,4038525#0,4520437#3,170856#-0,2301091#0,2236241#3,195518#-0,2314636#0,1490404#3,187859#-0,1579045#0,08590034#3,178952#-0,3081995#0,07547894#3,192898#0,07477093#-0,2564592#3,169196#-0,5427356#-0,2464658#3,184959#0,2896219#-0,5610876#3,180118#-0,6114108#-0,5700378#3,175857#0,2859773#-0,6079873#3,095252#-0,6150554#-0,6169375#3,090991#0  
frame24 #-0,3329231#0,7565199#3,138176#-0,278897#0,5999499#3,197284# -0,07446063#0,531619#2,883217#-0,3538699#0,6344439#2,940453#-0,08689298#0,5900576#2,883764#-0,4036928#0,584535#2,919535#-0,04462056#0,4000561#2,930715#-0,5169649#0,4518532#2,98243#-0,16184#0,4880657#3,143089#-0,4259417#0,4639493#3,186083#-0,2526937#0,2254403#3,199409#-0,2507264#0,1510097#3,189198#-0,1807109#0,09512191#3,174474#-0,3187388#0,07814876#3,197082#0,03856021#-0,2531091#3,170566#-0,5573914#-0,2415514#3,185309#0,3005848#-0,5734326#3,183012#-0,6116889#-0,5649416#3,176088#0,2861506#-0,6202065#3,098102#-0,626123#-0,6117156#3,091177#0  
frame25 #-0,3812321#0,7516918#3,132665#-0,2882515#0,6008526#3,19524# -0,2052903#0,6437385#2,822741#-0,439962#0,6462132#2,945673#-0,1780589#0,5813743#2,848557#-0,4895986#0,596491#2,924833#-0,09636465#0,3942818#2,939716#-0,5739298#0,4233165#3,056984#-0,1581263#0,4844937#3,120115#-0,4573738#0,4629831#3,217562#-0,2664278#0,2347599#3,199161#-0,267443#0,162466#3,18863#-0,1895085#0,1023444#3,172102#-0,3365372#0,08466426#3,199616#0,01369335#-0,2511585#3,172321#-0,5619291#-0,2345158#3,187756#0,2999122#-0,571953#3,187877#-0,6122202#-0,5656602#3,175565#0,2720534#-0,6192375#3,105595#-0,6400791#-0,6129448#3,093282#0  
frame26 #-0,3872609#0,7502002#3,143712#-0,3411083#0,5614809#3,203341# -0,2736099#0,5468343#2,82964#-0,5277669#0,6670164#2,926792#-0,2432838#0,5001468#2,851752#-0,5375072#0,630321#2,934043#-0,1523054#0,3600843#2,931764#-0,5943118#0,4408342#3,059776#-0,1433769#0,4885436#3,096302#-0,4778218#0,4620467#3,221808#-0,2853442#0,2306798#3,203341#-0,2813259#0,1621065#3,190621#-0,1926791#0,1005662#3,172088#-0,3577233#0,07344953#3,201759#0,0009747893#-0,2510641#3,173923#-0,5655941#-0,233356#3,188112#0,2928174#-0,5672465#3,191436#-0,6112014#-0,5644391#3,175899#0,261301#-0,6152015#3,110359#-0,6427178#-0,612394#3,094821#0  
frame27 #-0,3964987#0,7337849#3,12573#-0,3337233#0,5645977#3,193667# -0,3924551#0,5971471#2,865431#-0,6057462#0,6861624#2,951601#-0,346546#0,53087#2,869962#-0,6193785#0,6223791#2,972627#-0,2088186#0,3320388#2,897206#-0,6499512#0,4117887#3,102058#-0,1714744#0,4768374#3,088373#-0,5056167#0,449072#3,228052#-0,2969242#0,2244911#3,200954#-0,3006407#0,1538369#3,189271#-0,2261145#0,08324489#3,163891#-0,3757803#0,06495719#3,207695#-0,004165552#-0,2533043#3,175968#-0,5941117#-0,2377891#3,18516#0,2849703#-0,5721177#3,195613#-0,6128472#-0,5659558#3,175903#0,3676251#-0,6420646#3,156469#-0,6477376#-0,6142359#3,095431#0  
frame28 #-0,426821#0,7270064#3,132802#-0,3390288#0,5662886#3,186884# -0,4533648#0,5747896#2,856222#-0,6850941#0,6772106#2,985406#-0,4060499#0,5095613#2,861573#-0,6945742#0,569009#3,013087#-0,2641051#0,3138764#2,891263#-0,6807562#0,3967443#3,104286#-0,2096643#0,4614009#3,084038#-0,5254349#0,440306#3,238562#-0,3151163#0,2119823#3,196985#-0,3186944#0,1402018#3,187316#-0,2381776#0,07477596#3,162657#-0,3900279#0,05510741#3,208705#-0,01264216#-0,2564972#3,180238#-0,5993601#-0,2424915#3,184602#0,2830717#-0,5696338#3,199437#-0,6170378#-0,5639648#3,177494#0,3656686#-0,6401458#3,158234#-0,6571209#-0,6126518#3,098597#0  
frame29 #-0,433271#0,7263893#3,141271#-0,3751028#0,5595652#3,184612# -0,5182499#0,4946186#2,862292#-0,7469364#0,6698794#2,99926#-0,4535777#0,4486821#2,876088#-0,7599714#0,530574#3,009487#-0,2595612#0,3108726#2,931092#-0,6956565#0,3939766#3,118394#-0,2186652#0,4615568#3,085034#-0,5565537#0,4386498#3,24859#-0,3593787#0,2120761#3,200672#-0,363266#0,1426694#3,192414#-0,2814773#0,06424797#3,155088#-0,4416109#0,0580037#3,228661#-0,09691995#-0,2454002#3,180261#-0,61315#-0,259832#3,18338#0,225333#-0,534778#3,195534#-0,6170141#-0,5674902#3,177829#0,1853945#-0,5840263#3,115946#-0,6569526#-0,6167386#3,098241#0  
frame30 #-0,4423053#0,7231323#3,144528#-0,3805093#0,5572905#3,186348# -0,5756338#0,5022037#2,871318#-0,8067803#0,6477094#3,015998#-0,513253#0,4523379#2,880476#-0,7933366#0,5193918#3,037007#-0,3261107#0,3027406#2,921555#-0,7188592#0,3845441#3,140282#-0,2551441#0,4476467#3,087674#-0,5654204#0,4410349#3,251796#-0,360824#0,2118165#3,199736#-0,3645222#0,1425686#3,192021#-0,2862468#0,06288086#3,153487#-0,4410566#0,05915727#3,22806#-0,09879509#-0,2429502#3,180551#-0,6217061#-0,2516059#3,18104#0,2268728#-0,5304862#3,201319#-0,61724#-0,5707526#3,176763#0,1837505#-0,5800161#3,122767#-0,657182#-0,6648886#3,164103#0  
frame31 #-0,4792757#0,6934665#3,161857#-0,3885828#0,5485458#3,184291# -0,6283478#0,3816697#2,884039#-0,8684559#0,6421871#3,037#-0,5550798#0,3560356#2,891293#-0,844337#0,5206671#3,044438#-0,3352757#0,2791334#2,926643#-0,7608015#0,3803023#3,130322#-0,2610404#0,4392617#3,083833#-0,5659877#0,4377895#3,252211#-0,3684277#0,2029904#3,196726#-0,3718691#0,1338429#3,189298#-0,2970283#0,05740173#3,154454#-0,4424138#0,05673235#3,223484#-0,09781465#-0,2391359#3,180767#-0,6235344#-0,2523465#3,180252#0,2303092#-0,5261652#3,203944#-0,6062274#-0,5915347#3,189628#0,1855446#-0,5758721#3,125876#-0,6557345#-0,6643035#3,165148#0  
