frame22 #0,04169011#0,9718098#3,269169#0,001274973#0,8046648#3,309016# -0,03276715#0,5768456#3,085118#-0,197659#0,2396396#3,120814#0,03045014#0,5650433#3,10769#-0,2147548#0,3105498#3,176685#0,220102#0,5296364#3,189351#-0,2549081#0,4787952#3,299663#0,1696329#0,6951713#3,363476#-0,1268283#0,6899173#3,255289#-0,001575617#0,42903#3,323017#0,01388414#0,3578357#3,28519#0,08294647#0,2832174#3,300266#-0,05107941#0,2927889#3,2578#0,05668986#-0,2655544#3,360089#-0,08382231#-0,2496032#3,109998#-0,05319216#-0,5136256#2,997922#-0,1121366#-0,5805221#2,889378#-0,0208207#-0,5601892#2,913925#-0,07976514#-0,6270857#2,805381#1  
frame23 #0,041054#0,9717317#3,269095#0,001276728#0,8046801#3,308866# -0,02296218#0,5858113#3,072617#-0,1956103#0,2436957#3,09585#0,03825754#0,5725282#3,099406#-0,1916166#0,3051042#3,164092#0,2219167#0,5326787#3,193726#-0,2553729#0,478775#3,300112#0,1695835#0,6940221#3,361337#-0,1275222#0,6896616#3,254944#-0,001472408#0,4289682#3,322795#0,0136828#0,3577514#3,285013#0,0825533#0,2830192#3,299231#-0,05138568#0,2927159#3,258027#0,05668711#-0,2656326#3,360265#-0,08423138#-0,2533073#3,108201#-0,05257417#-0,5132203#2,99915#-0,1131929#-0,5788054#2,890691#-0,02072216#-0,5597813#2,915#-0,0813409#-0,6253664#2,806541#1  
frame24 #0,03990157#0,9697245#3,263182#0,001142354#0,8044318#3,30837# -0,02527849#0,6149046#3,090615#-0,1950639#0,2464101#3,098878#0,03602603#0,594136#3,111832#-0,1916143#0,3053403#3,163697#0,2199396#0,5318303#3,189441#-0,2553627#0,4790224#3,300219#0,1695543#0,6928428#3,35995#-0,1278705#0,6894828#3,253229#-0,001524572#0,4288802#3,322576#0,01361717#0,3576421#3,285014#0,08247501#0,2826975#3,299504#-0,05150542#0,2924888#3,257921#0,05679927#-0,2650886#3,360205#-0,08500491#-0,2533647#3,103946#-0,05225028#-0,5121165#3,000317#-0,1150108#-0,5737083#2,888888#-0,02034797#-0,5586547#2,916274#-0,08310851#-0,6202465#2,804845#1  
frame25 #0,03577094#0,9680381#3,257545#0,0006949691#0,8034091#3,307586# -0,02316683#0,550119#3,054025#-0,1978268#0,2437293#3,097224#0,03750953#0,5457244#3,084599#-0,1925546#0,3058191#3,164767#0,2195386#0,5325404#3,190282#-0,2557489#0,4797983#3,299159#0,1696486#0,6928115#3,359999#-0,128291#0,6884903#3,252306#-0,002080439#0,4283487#3,321779#0,01306711#0,3571911#3,28446#0,08203599#0,2822116#3,298616#-0,05226128#0,2919074#3,257736#0,0560343#-0,2642654#3,359276#-0,0947978#-0,2298521#3,072235#-0,05583918#-0,5121584#2,991789#-0,1270149#-0,539147#2,861677#-0,02372405#-0,5587487#2,907728#-0,09489974#-0,5857373#2,777616#1  
frame26 #0,03855738#0,9725088#3,260855#0,000522663#0,804419#3,306553# -0,02610258#0,543901#3,060479#-0,1987457#0,2414503#3,098461#0,03545624#0,5410664#3,089375#-0,1932645#0,3055113#3,164171#0,2201327#0,5325627#3,19002#-0,2554859#0,4786603#3,296463#0,1695882#0,6930165#3,359935#-0,1283281#0,6886501#3,251854#-0,002043291#0,4286423#3,321237#0,01307927#0,3573243#3,284248#0,08206057#0,2824754#3,298373#-0,05223678#0,2919725#3,257689#0,05550284#-0,2651612#3,359074#-0,0906277#-0,2498611#3,083917#-0,05690354#-0,5123414#2,992644#-0,1222438#-0,5609779#2,875602#-0,02468995#-0,5589675#2,908625#-0,09003021#-0,607604#2,791583#1  
frame27 #0,03867936#0,9723747#3,259828#0,0005426037#0,8034761#3,305418# -0,01889513#0,5990366#3,065756#-0,2001281#0,2425441#3,097749#0,04099688#0,5824254#3,093434#-0,1934437#0,3056875#3,164342#0,2206729#0,5325916#3,190435#-0,2555484#0,4789212#3,296602#0,1696489#0,6929819#3,35982#-0,128352#0,6882965#3,251273#-0,002113912#0,4284168#3,320707#0,01294253#0,3570818#3,284142#0,08191178#0,2821879#3,29854#-0,05245799#0,291432#3,25741#0,05458886#-0,2649934#3,357941#-0,08940386#-0,1852951#3,08367#-0,05927145#-0,5163711#2,986916#-0,1211234#-0,4955142#2,875263#-0,0269243#-0,563089#2,902857#-0,08877628#-0,5422321#2,791205#1  
frame28 #0,03867178#0,9711516#3,259563#0,0002353451#0,8036318#3,30419# -0,01552787#0,5944286#3,048426#-0,2010363#0,229913#3,08361#0,04263709#0,5784819#3,079892#-0,1934683#0,3056542#3,164355#0,217132#0,5306419#3,18825#-0,2562073#0,4785872#3,296159#0,1696789#0,6927735#3,35924#-0,1280381#0,6877306#3,249387#-0,002300943#0,4284672#3,319893#0,01279842#0,3570236#3,283864#0,08182256#0,2821888#3,298371#-0,05254734#0,2914211#3,257326#0,05412688#-0,2665246#3,358354#-0,08268894#-0,256332#3,10185#-0,06110876#-0,5204004#2,982025#-0,1144085#-0,5665511#2,89345#-0,0283707#-0,5672063#2,898008#-0,08167043#-0,6133569#2,809432#1  
frame29 #0,03781236#0,9713483#3,260366#0,0003016474#0,8032269#3,303784# -0,02133286#0,5895193#3,05653#-0,2011687#0,2310802#3,084154#0,03819476#0,5746369#3,085877#-0,2139904#0,3100979#3,175443#0,2167776#0,5299898#3,187887#-0,2558969#0,4784665#3,2968#0,1694326#0,6928049#3,358742#-0,1284835#0,6875415#3,248446#-0,002149051#0,4283095#3,319415#0,0128491#0,3568548#3,283813#0,08185545#0,2821302#3,298305#-0,05244844#0,2911589#3,257473#0,05320416#-0,2692202#3,358126#-0,07176164#-0,238187#3,140559#-0,06259972#-0,5208212#2,981416#-0,114741#-0,5683812#2,893597#-0,02973335#-0,5676963#2,897335#-0,08187466#-0,6152563#2,809515#1  
frame30 #0,03801391#0,9714232#3,259924#0,0001813303#0,8033668#3,302239# -0,01132753#0,5791411#3,053947#-0,1958465#0,2391336#3,110321#0,04705139#0,5674176#3,086738#-0,1982326#0,3063815#3,173786#0,2221881#0,5322468#3,199079#-0,2557292#0,4780225#3,296614#0,1690418#0,6935228#3,359044#-0,1290781#0,6874998#3,247653#-0,002057969#0,4284968#3,318707#0,01287298#0,3568824#3,283729#0,0818743#0,2821612#3,29829#-0,05242563#0,2911557#3,257479#0,05307549#-0,2692009#3,358099#-0,08804325#-0,2592243#3,083129#-0,06502709#-0,5230054#2,977537#-0,1149273#-0,5703014#2,892803#-0,03190459#-0,5699644#2,893519#-0,08180483#-0,6172605#2,808785#1  
frame31 #0,03667585#0,9686163#3,259001#-0,00017367#0,8023753#3,302329# -0,03236566#0,5867561#3,058965#-0,1975835#0,2424787#3,108526#0,02855457#0,5724011#3,085549#-0,1998275#0,3083053#3,173821#0,2113153#0,5293363#3,179269#-0,2556523#0,477781#3,297023#0,1685974#0,693738#3,358794#-0,1291741#0,6874843#3,247487#-0,002237299#0,4280288#3,31783#0,01255862#0,3565293#3,283114#0,08148877#0,2819801#3,297498#-0,05262387#0,2909222#3,257051#0,05306477#-0,2692589#3,358057#-0,08505565#-0,2600414#3,090001#-0,06644404#-0,5258066#2,974201#-0,1150357#-0,5711955#2,892848#-0,0332573#-0,5728052#2,890041#-0,08184894#-0,6181942#2,808688#1  
