frame24 #-0,2671721#0,8174307#3,371111#-0,1593767#0,6141091#3,314894# -0,1317961#0,1626734#2,963665#-0,5542539#0,4777083#3,405084#-0,09190114#0,2413957#2,994807#-0,483235#0,4332044#3,389832#0,01969751#0,4282835#3,052239#-0,2899352#0,2750387#3,409834#-0,06887162#0,6204739#3,184707#-0,3245021#0,4386843#3,331241#-0,09439142#0,2897395#3,244924#-0,1192196#0,2388245#3,186291#-0,06071163#0,1870974#3,09178#-0,1588257#0,1191695#3,21015#0,009585976#-0,2704563#3,057438#-0,1769235#-0,3058585#3,08972#0,07328087#-0,5628329#3,289804#-0,08160278#-0,6186856#3,073079#0,0120573#-0,5959693#3,212883#-0,1193188#-0,6715926#3,019761#1  
frame25 #-0,2904631#0,7945254#3,373424#-0,1851065#0,5859352#3,308179# -0,143595#0,1592929#2,953657#-0,4913543#0,5087595#3,312406#-0,1073519#0,2415175#2,979433#-0,4479576#0,4286352#3,291533#0,001488423#0,4327029#3,040295#-0,3148459#0,2293201#3,362829#-0,08833#0,6150777#3,17152#-0,3502319#0,4105104#3,324526#-0,1139833#0,2595761#3,209007#-0,1378964#0,2108505#3,147772#-0,0703691#0,1781832#3,076256#-0,178291#0,08985195#3,15384#-0,008635897#-0,2228327#2,904408#-0,2081578#-0,3757538#3,081134#-0,002698251#-0,5702474#3,067395#-0,07394041#-0,6362537#3,056574#-0,08021375#-0,6377335#3,042524#-0,1418755#-0,6766483#3,022202#1  
frame26 #-0,3362043#0,776922#3,41218#-0,2358472#0,5888923#3,325892# -0,2018538#0,1705618#2,919142#-0,4297203#0,584791#3,262017#-0,1648962#0,2540821#2,944066#-0,4002082#0,4968585#3,243054#-0,05720696#0,447411#3,006874#-0,2611015#0,2774589#3,305525#-0,09971049#0,6529539#3,150598#-0,4009726#0,4134675#3,342239#-0,152986#0,3045094#3,214144#-0,1766952#0,2648458#3,152428#-0,09499387#0,2147688#3,017911#-0,209845#0,0976055#3,158479#-0,05971836#-0,1556254#2,77185#-0,1809092#-0,3179348#3,045523#0,02215964#-0,470699#2,941767#-0,09111826#-0,6133627#3,052972#-0,03612056#-0,5527906#2,977281#-0,147726#-0,6789703#3,021907#1  
frame27 #-0,3397318#0,7690598#3,412646#-0,2377324#0,5719018#3,327773# -0,2221936#0,1395487#2,900288#-0,4169276#0,5782615#3,251699#-0,1851286#0,2233119#2,925284#-0,3873297#0,4900733#3,232681#-0,07786487#0,422754#2,991458#-0,2584102#0,2668778#3,30098#-0,09390508#0,6531739#3,146017#-0,4028578#0,396477#3,34412#-0,1274695#0,3016905#3,194378#-0,1403144#0,2661341#3,123874#-0,05825189#0,234414#3,032722#-0,1672715#0,1366351#3,091624#-0,05963162#-0,1225746#2,781323#-0,1844447#-0,2889001#3,055998#0,02224638#-0,4376482#2,951222#-0,112755#-0,6134311#3,032856#-0,03178607#-0,5256952#2,980482#-0,1496691#-0,6824486#3,01975#1  
frame28 #-0,2868065#0,7170044#3,309401#-0,1674765#0,5424283#3,1542# -0,1315332#0,1609656#2,919775#-0,3516251#0,5468315#3,18884#-0,094331#0,2450389#2,944864#-0,3219176#0,4583169#3,169751#0,01335831#0,4383678#3,007677#-0,1846809#0,2429835#3,123528#-0,09637456#0,646431#3,125391#-0,3326019#0,3670034#3,170547#-0,0760701#0,3090856#3,060665#-0,09167521#0,2834512#2,998339#-0,01322981#0,2559348#2,922217#-0,1296876#0,1728274#2,983702#-0,1073494#-0,1654195#2,785781#-0,1615053#-0,2848271#3,051728#-0,02547143#-0,4804931#2,955689#-0,09342241#-0,6181765#3,037777#-0,07369564#-0,5717632#2,987578#-0,1508192#-0,680287#3,021238#1  
frame29 #-0,3306818#0,749299#3,322474#-0,2105047#0,5734836#3,16644# -0,08581443#0,1874803#2,933426#-0,4268347#0,5524586#3,22636#-0,04847803#0,2718568#2,958605#-0,39702#0,4636248#3,207202#0,03426227#0,4912523#3,031108#-0,3726201#0,2061394#3,18005#-0,1406717#0,6740217#3,127045#-0,3756301#0,3980588#3,182787#-0,07313661#0,3088528#3,06311#-0,07576874#0,2712288#2,995911#0,0450718#0,1888122#3,011149#-0,07494023#0,1172401#2,843866#-0,1490477#-0,1454568#2,702264#-0,1415737#-0,2727301#3,018823#-0,06716967#-0,4605304#2,872151#-0,07904887#-0,6247042#3,028818#-0,09274483#-0,547853#2,931603#-0,134718#-0,6806151#3,013686#1  
frame30 #-0,3028768#0,7339136#3,279277#-0,1817084#0,5566479#3,122231# -0,2121589#0,2759216#2,662239#-0,3007541#0,5290606#3,18019#-0,1431621#0,2849926#2,674481#-0,2709534#0,440268#3,161042#-0,09907004#0,4659413#2,874565#-0,3391012#0,1889403#3,138179#-0,1118753#0,6571859#3,082836#-0,3468338#0,3812231#3,138578#-0,07256501#0,2315931#3,048472#-0,07963045#0,180403#2,983854#0,007825441#0,1240713#2,968361#-0,1270518#0,08917306#2,939457#-0,1128141#-0,2612322#2,836968#-0,09393432#-0,3266537#2,977177#-0,02486394#-0,5569123#3,012698#-0,100897#-0,6139201#2,952477#-0,1005833#-0,6279854#2,976124#-0,06935645#-0,6746373#2,908417#1  
frame31 #-0,3478904#0,6802175#2,655594#-0,2131907#0,5620223#2,591244# -0,2797118#0,2566706#2,273816#-0,3790658#0,502767#3,073862#-0,2274753#0,2950691#2,245743#-0,3492695#0,413988#3,054717#-0,06440557#0,2908274#2,365972#-0,3245005#0,3144286#2,82673#-0,1958319#0,4287161#2,512144#-0,3783161#0,3865975#2,60759#-0,07371274#0,2754557#2,860346#-0,05940087#0,1830182#2,876197#0,003335352#0,1594633#2,869951#-0,09056357#0,1287624#2,938005#-0,07266943#-0,2608218#2,891011#-0,07327712#-0,3165378#2,930194#0,004933774#-0,5430508#2,897226#-0,1337392#-0,6376376#2,896#-0,07524915#-0,6180968#2,915747#-0,1528674#-0,7131998#2,838521#1  
frame32 #-0,2793635#0,5822935#2,63384#-0,1825105#0,4335044#2,719688# -0,1563537#0,4580211#2,191305#-0,3681713#0,4619884#3,182067#-0,1075967#0,4273272#2,232328#-0,3383421#0,3731111#3,1629#-0,04410683#0,3694637#2,494984#-0,3221812#0,2167563#2,966446#-0,01905708#0,3606949#2,78443#-0,3476358#0,2580796#2,736035#-0,09453483#0,1926298#2,882208#-0,06504142#0,128143#2,871994#0,06783467#0,08791961#2,875263#-0,1451387#0,03116755#2,930762#-0,08984197#-0,2996824#2,840603#-0,05579108#-0,3778453#2,901037#-0,01254383#-0,580802#2,846867#-0,1333621#-0,6390505#2,89408#-0,09789369#-0,6383882#2,889237#-0,1134486#-0,6986193#2,820404#1  
frame33 #-0,2520268#0,659192#2,608412#-0,1551737#0,5104029#2,694401# -0,1994809#0,6133625#2,120285#-0,4025561#0,4973276#3,203162#-0,1085788#0,5336655#2,287471#-0,3727441#0,4085015#3,184006#-0,00630692#0,4534517#2,529694#-0,3345656#0,3537547#2,944332#0,0329925#0,3861589#2,808178#-0,3202991#0,3349781#2,710748#-0,09518486#0,2395753#2,82921#-0,07005426#0,1750492#2,817459#0,03210719#0,1164912#2,859102#-0,1331077#0,08133959#2,825358#-0,07764415#-0,2861995#2,84015#-0,06813858#-0,3235841#2,888919#-0,0005757734#-0,5664835#2,846406#-0,1337885#-0,6398489#2,891547#-0,08684212#-0,626981#2,882081#-0,1090923#-0,6949286#2,815961#1  
