frame1 #-0,03228221#0,9517785#3,48617#-0,04381722#0,783169#3,579304# -0,08083116#0,6335875#3,345455#-0,2829895#0,1655491#3,424008#-0,03168166#0,5963275#3,367723#-0,285616#0,2283383#3,432693#0,1157669#0,4845474#3,447871#-0,2969665#0,4610257#3,574737#0,1205572#0,6674155#3,563468#-0,2029891#0,6908509#3,526333#-0,06099491#0,4295972#3,587852#-0,0571635#0,3667942#3,534503#0,01330036#0,2887037#3,533494#-0,1322955#0,2992496#3,515174#0,01378507#-0,254416#3,610185#-0,1426704#-0,2401611#3,294395#-0,1327151#-0,5873371#3,205299#-0,1435052#-0,6226745#3,202584#-0,1203946#-0,6341043#3,115685#-0,1054056#-0,693456#3,170483#1  
frame12 #-0,2105157#0,907927#3,408277#-0,09042915#0,7723973#3,449726# -0,1225339#0,3859598#3,13763#-0,3304167#0,1095967#3,6836#-0,2285547#0,3285007#3,110234#-0,3000364#0,1539201#3,657312#-0,06038577#0,4399376#3,191033#-0,2791891#0,4183935#3,560475#0,03026074#0,657663#3,335609#-0,2438449#0,6948684#3,517402#-0,06660057#0,3769304#3,442267#-0,09212585#0,3042671#3,395579#-0,03230982#0,24037#3,363037#-0,150921#0,2368685#3,410837#0,02196306#-0,2750993#3,48589#-0,1202771#-0,2315545#3,34986#-0,1171949#-0,6393949#3,139588#-0,1090752#-0,5908748#3,143637#-0,1121878#-0,6694988#3,059395#-0,159029#-0,6370532#3,069057#1  
frame13 #-0,219583#0,9074674#3,39959#-0,1048467#0,7610114#3,428628# -0,2867182#0,2747501#3,038501#-0,336343#0,1018643#3,681208#-0,2365835#0,2907664#3,068716#-0,3037997#0,1460861#3,655356#-0,0489786#0,4461865#3,187741#-0,293806#0,404977#3,539676#0,01422506#0,6503671#3,317359#-0,2584784#0,6836576#3,496247#-0,06986828#0,3673078#3,426809#-0,09416863#0,2941485#3,381174#-0,03440006#0,2330368#3,352917#-0,1508556#0,2267847#3,392411#0,02357081#-0,2762389#3,481141#-0,1171737#-0,2348873#3,353208#-0,07034314#-0,6100785#3,124579#-0,1008627#-0,5889763#3,126023#-0,1220783#-0,6643584#3,082604#-0,1506598#-0,6355898#3,051401#1  
frame14 #-0,2272295#0,9003268#3,390609#-0,1110756#0,7565858#3,41813# -0,2735424#0,2439322#3,03084#-0,3454235#0,09295721#3,671914#-0,2081378#0,2697701#3,057424#-0,3111308#0,1362448#3,646377#-0,06667358#0,4112367#3,153919#-0,3003705#0,3977952#3,529686#-0,002821513#0,6423352#3,285269#-0,2647227#0,6792777#3,485772#-0,08124807#0,3462852#3,401368#-0,1102377#0,2705256#3,354372#-0,05291967#0,2066967#3,321608#-0,1662311#0,2081335#3,368577#0,02670451#-0,2800132#3,471905#-0,07403509#-0,2576551#3,395577#-0,06889629#-0,6128366#3,118787#-0,09662339#-0,5890559#3,121161#-0,1216772#-0,665781#3,076157#-0,1519253#-0,6351596#3,049978#1  
frame15 #-0,2480062#0,8883803#3,366098#-0,1265605#0,7506924#3,384682# -0,2691965#0,1966056#2,986148#-0,3625178#0,08474262#3,640283#-0,1948591#0,2543159#3,043417#-0,3269626#0,127461#3,614356#-0,0684088#0,4066397#3,148048#-0,3160523#0,3902672#3,496442#-0,02270568#0,62684#3,259563#-0,2802327#0,6734129#3,452321#-0,07966162#0,3450516#3,384293#-0,1063045#0,2677622#3,339077#-0,04824954#0,2032875#3,294061#-0,1594522#0,201556#3,360011#0,03050775#-0,2868952#3,453803#-0,07833534#-0,2626641#3,374758#-0,05275162#-0,6169022#3,079169#-0,09188309#-0,58908#3,117643#-0,1228267#-0,665958#3,089968#-0,1463634#-0,6361245#3,046176#1  
frame16 #-0,2592742#0,8820671#3,358427#-0,1366608#0,7467324#3,373777# -0,2397337#0,1915464#3,003265#-0,3732693#0,07760147#3,630807#-0,1851365#0,242916#3,040919#-0,3372662#0,1207013#3,604523#-0,06211012#0,3994292#3,145999#-0,3263439#0,384799#3,485762#-0,02647821#0,6223873#3,242058#-0,2903327#0,6694562#3,441419#-0,084433#0,3233833#3,347153#-0,1076979#0,2443374#3,29609#-0,04524715#0,1889631#3,270446#-0,1615854#0,1745586#3,307534#0,03320869#-0,2893793#3,42909#-0,07129411#-0,2603936#3,361928#-0,0476634#-0,6410611#3,089067#-0,09038277#-0,5948484#3,105284#-0,1320643#-0,6591154#3,084722#-0,06598002#-0,6773633#3,097276#1  
frame17 #-0,2741483#0,8750871#3,35354#-0,1493992#0,7414611#3,364932# -0,244446#0,1378423#2,981614#-0,3871078#0,067229#3,62426#-0,1938692#0,1952578#3,020808#-0,3501714#0,1113577#3,597315#-0,08058399#0,3746032#3,09542#-0,3393633#0,3773015#3,477205#-0,04233256#0,61651#3,221603#-0,3030724#0,6641858#3,432575#-0,08112196#0,2965438#3,319873#-0,1023432#0,2123698#3,265957#-0,0416336#0,1601151#3,242119#-0,1498651#0,1433661#3,264508#0,007505983#-0,2684647#3,360109#-0,07275655#-0,284463#3,345856#-0,0417759#-0,6093924#3,02805#-0,09232651#-0,5951157#3,10007#-0,09982874#-0,6533438#3,086085#-0,0644144#-0,6754152#3,100289#1  
frame18 #-0,2851704#0,8721691#3,346594#-0,1664674#0,7375147#3,352728# -0,2409711#0,1113698#2,959181#-0,4043097#0,05996384#3,613879#-0,1832885#0,1547424#3,005788#-0,3673806#0,1040434#3,586946#-0,08371309#0,3686333#3,086715#-0,3566643#0,3715132#3,465556#-0,0600541#0,6111126#3,202536#-0,320141#0,6602401#3,420371#-0,09333493#0,3008016#3,304397#-0,1164563#0,2199089#3,250398#-0,06845687#0,1646536#3,196414#-0,1552325#0,145621#3,262158#0,01242389#-0,2682422#3,321306#-0,06545843#-0,2876076#3,293079#-0,03621154#-0,6719033#3,031931#-0,09729998#-0,6130674#3,081237#-0,1011277#-0,6550401#3,084738#-0,1551029#-0,6588529#3,013058#1  
frame19 #-0,3066435#0,8662764#3,340493#-0,1828437#0,7317684#3,347345# -0,2283953#0,08960904#2,957186#-0,3845953#0,1625496#3,762522#-0,1817762#0,1474995#3,003688#-0,3511369#0,208596#3,695833#-0,08647403#0,3573816#3,074202#-0,3733196#0,3635612#3,460596#-0,07053785#0,617457#3,186439#-0,3365173#0,6544939#3,414988#-0,1027337#0,2906896#3,277925#-0,1249439#0,2104646#3,219365#-0,06446789#0,162832#3,193784#-0,1819683#0,1387883#3,204426#0,00423326#-0,2851348#3,266413#-0,05713961#-0,3283229#3,23388#-0,04505972#-0,6888255#2,982058#-0,1223476#-0,6571632#3,042052#-0,09280182#-0,6575432#3,082393#-0,1813101#-0,7025874#2,974704#1  
frame20 #-0,3110042#0,8642016#3,337177#-0,1890468#0,7345893#3,343261# -0,214682#0,0789564#2,948945#-0,4103414#0,2115681#3,687038#-0,1775816#0,1450045#2,997335#-0,3471475#0,2519848#3,637506#-0,0850304#0,3592343#3,067919#-0,3797017#0,3649663#3,456926#-0,0871212#0,6084163#3,169898#-0,3427205#0,6573148#3,410904#-0,1067774#0,2810907#3,260298#-0,1306192#0,197579#3,200518#-0,07506511#0,1438153#3,168714#-0,1788604#0,1334238#3,196338#-0,0008282587#-0,283877#3,162503#-0,1967295#-0,2948209#3,112601#-0,1233832#-0,6270337#2,783353#-0,1047564#-0,6565913#3,065136#-0,1855433#-0,6725165#2,71816#-0,1669165#-0,7020741#2,999943#1  
frame21 #-0,3353148#0,7983781#3,308005#-0,2036595#0,6105847#3,287855# -0,1972793#0,08367744#2,955433#-0,4295118#0,2383433#3,658615#-0,1771031#0,143199#2,992123#-0,3541212#0,2528529#3,608969#-0,08389585#0,3606698#3,054075#-0,3944887#0,2395844#3,401834#-0,1071385#0,611478#3,160792#-0,3573333#0,5333103#3,355498#-0,1131515#0,2339163#3,221169#-0,1339399#0,1683622#3,166291#-0,07465102#0,1264251#3,138888#-0,1763912#0,1012518#3,16302#-0,01359717#-0,2965464#3,092106#-0,1994332#-0,2577311#3,11711#-0,1184032#-0,6747091#2,745002#-0,1143226#-0,5870864#3,074249#-0,1777495#-0,7205047#2,677137#-0,1736689#-0,6328821#3,006384#1  
frame22 #-0,3434952#0,798219#3,308969#-0,2113802#0,6119322#3,286541# -0,1955994#0,08841185#2,957031#-0,5531375#0,2067525#3,668218#-0,1694031#0,1596811#2,982785#-0,4664116#0,2113687#3,637193#-0,08235405#0,3689881#3,04284#-0,3059427#0,3102752#3,525979#-0,1163296#0,6098965#3,156218#-0,365054#0,5346578#3,354184#-0,1225893#0,2465845#3,220849#-0,1444546#0,1835196#3,165426#-0,08763281#0,1414612#3,120438#-0,1814209#0,1060194#3,168143#-0,02781311#-0,2682268#3,018665#-0,2106064#-0,3129167#3,101927#-0,05575278#-0,6123706#3,122717#-0,1110444#-0,6690919#3,066811#-0,09516563#-0,6720394#3,076574#-0,1705799#-0,7143593#3,000244#1  
frame23 #-0,3551399#0,7972718#3,309423#-0,2275864#0,6203617#3,28417# -0,1919953#0,1031173#2,951408#-0,5787151#0,2387154#3,588643#-0,1510043#0,1855403#2,965424#-0,5120124#0,2334565#3,572525#-0,06915277#0,3911487#3,03103#-0,3123981#0,3077238#3,508285#-0,1253364#0,6128567#3,151049#-0,3812602#0,5430874#3,351813#-0,1438893#0,2801868#3,221581#-0,1663605#0,2234125#3,165936#-0,1058965#0,1683208#3,092695#-0,1930793#0,1162388#3,182006#-0,04715716#-0,2313535#2,972531#-0,2103802#-0,295133#3,098069#-0,04906307#-0,5889506#3,108685#-0,1103908#-0,6480953#3,067867#-0,1079268#-0,6681631#3,099257#-0,1693787#-0,693099#3,00109#1  
frame24 #-0,3713114#0,801075#3,31461#-0,2453911#0,6344632#3,288386# -0,0397731#0,03940703#2,91288#-0,6135105#0,2534859#3,561454#0,004321365#0,1216099#2,928502#-0,5255048#0,2473679#3,536831#-0,06623568#0,4063889#3,020671#-0,3162363#0,3142324#3,482817#-0,1308222#0,6043695#3,143644#-0,3990649#0,5571888#3,356029#-0,1464355#0,2835507#3,222413#-0,1673454#0,2242783#3,165874#-0,105783#0,1685157#3,092183#-0,1975826#0,1180619#3,183468#-0,06847819#-0,2119209#2,921023#-0,2057628#-0,2885994#3,096813#-0,07502981#-0,6026778#3,058107#-0,1069533#-0,6398498#3,071384#-0,1326294#-0,6474497#2,991396#-0,1645529#-0,6846217#3,004673#1  
frame25 #-0,3886509#0,805485#3,323698#-0,2742692#0,6632139#3,297648# -0,04660825#0,04203585#2,88325#-0,6500688#0,2706406#3,496457#-0,001726922#0,1257056#2,899152#-0,5565444#0,2597141#3,476417#-0,050195#0,4153631#3,002698#-0,317373#0,3233944#3,450587#-0,1337623#0,5987769#3,135417#-0,4279429#0,5859395#3,365291#-0,1388679#0,3121828#3,16#-0,1491953#0,2560664#3,088124#-0,06276915#0,2313575#2,997288#-0,1867802#0,1241317#3,092959#-0,1341763#-0,1177693#2,778781#-0,1637746#-0,2908492#3,063693#-0,1266461#-0,4645273#2,944419#-0,1085457#-0,6465533#3,080665#-0,1836573#-0,5095165#2,876496#-0,1655569#-0,6915426#3,012741#1  
frame26 #-0,3953535#0,7633688#3,294755#-0,2529381#0,586842#3,238003# -0,009421639#0,1187854#2,873472#-0,6894594#0,3113775#3,431809#0,03544943#0,2024361#2,889369#-0,5992451#0,2935847#3,423555#-0,04844599#0,4725391#2,984065#-0,3655478#0,2895633#3,425204#-0,1678659#0,6199298#3,135681#-0,4066118#0,5095676#3,305646#-0,09415813#0,2787279#3,066621#-0,102548#0,2338296#2,990393#-0,0294244#0,2390253#2,918026#-0,1310535#0,1239012#2,984951#-0,2572759#0,007375062#2,652788#-0,1453561#-0,2834098#3,017883#-0,1729703#-0,3094816#2,880997#-0,1159851#-0,6316733#3,081818#-0,2336434#-0,3547949#2,816293#-0,1766582#-0,6769866#3,017114#1  
frame27 #-0,3912905#0,7533907#3,294266#-0,2365799#0,5646427#3,229207# -0,001500417#0,1099517#2,843709#-0,6796827#0,352595#3,323735#0,04322568#0,193332#2,859555#-0,6527385#0,3504578#3,342382#-0,005857036#0,3912517#2,985601#-0,4595811#0,2401688#3,389647#-0,1693464#0,6185197#3,133111#-0,3902537#0,4873684#3,29685#-0,07634691#0,2956386#3,093305#-0,08215991#0,25802#3,030679#-0,02417499#0,2367472#2,922797#-0,07854591#0,142894#3,032257#-0,285433#0,1407594#2,609553#-0,1266273#-0,3183668#3,091365#-0,09654189#-0,1569243#2,863285#-0,1097943#-0,677202#3,069712#-0,09459814#-0,261876#2,908744#-0,1705913#-0,7218248#3,004852#1  
frame28 #-0,4016961#0,735137#3,310691#-0,2509757#0,5549566#3,249785# 0,01365821#0,1024047#2,806604#-0,6655197#0,3985696#3,277026#0,05836536#0,1857498#2,822443#-0,6121457#0,3624595#3,28902#0,0004528612#0,4059098#2,963287#-0,4316792#0,2319136#3,328238#-0,151962#0,6440506#3,101375#-0,4046494#0,4776822#3,317428#-0,09323502#0,2934069#3,139691#-0,1040858#0,2491399#3,074132#-0,02742407#0,2250177#2,990099#-0,1145262#0,1409197#3,072316#-0,2531778#0,2887755#2,643224#-0,1212818#-0,2779184#3,059131#-0,127022#-0,05635738#2,837557#-0,07584054#-0,6322589#3,054195#-0,1901522#-0,1014901#2,775138#-0,1389708#-0,6773916#2,991776#1  
frame29 #-0,3695042#0,7039961#3,272446#-0,1955264#0,5444637#3,150662# -0,1591584#0,08734222#2,845044#-0,6487998#0,4392166#3,202826#-0,1147426#0,140722#2,832005#-0,6084809#0,39141#3,202765#-0,003509313#0,4079146#2,934416#-0,442023#0,2507741#3,26724#-0,1491362#0,6367268#3,096903#-0,3492002#0,4671893#3,218305#-0,111635#0,2668753#3,036756#-0,1369807#0,229939#2,974072#-0,04927478#0,1339872#3,00715#-0,1820327#0,09674107#2,801708#-0,3711874#0,3034446#2,813953#-0,1225691#-0,2613511#3,039267#-0,1939354#-0,07774696#3,002204#-0,07672299#-0,614318#3,038123#-0,1778102#-0,1913333#3,005197#-0,1405827#-0,660116#2,976613#1  
frame30 #-0,404424#0,7359154#3,285887#-0,2247332#0,5954344#3,160359# -0,196247#0,1659853#2,793589#-0,6021383#0,5022317#3,133608#-0,1304875#0,1904539#2,798687#-0,5555276#0,4194633#3,139589#-0,03253356#0,4457553#2,939434#-0,4191394#0,2575588#3,222955#-0,1737141#0,6764859#3,100442#-0,3784069#0,51816#3,228002#-0,0777633#0,2450562#3,000332#-0,08892885#0,1899868#2,925434#0,008675468#0,1738992#2,914124#-0,154377#0,1100711#2,877663#-0,3622524#0,3226208#2,842371#-0,1164669#-0,2650382#3,019475#-0,1807681#-0,04914606#2,99575#-0,08521914#-0,6322626#2,97853#-0,1642945#-0,1625435#2,991623#-0,1456571#-0,6772287#2,913211#1  
frame31 #-0,4034956#0,7764906#3,275629#-0,2206595#0,6263874#3,151737# -0,1788617#0,214505#2,743203#-0,5343187#0,5148016#3,10755#-0,1162925#0,2454566#2,751121#-0,4940428#0,4297421#3,094243#-0,03145756#0,470191#2,945915#-0,3890379#0,24926#3,184094#-0,1701933#0,7093839#3,091673#-0,3743332#0,549113#3,21938#-0,01593491#0,2886076#3,074782#-0,01017548#0,2218216#3,0103#0,05957223#0,2009292#3,001838#-0,02042401#0,1256842#2,975043#-0,2956136#0,3057972#2,829381#-0,09743677#-0,2682907#2,990862#-0,1732079#-0,03871011#2,983449#-0,09889422#-0,6319992#2,960937#-0,1601577#-0,1527115#2,981476#-0,1485082#-0,679266#2,88839#1  
frame32 #-0,296144#0,4755359#2,652735#-0,1883721#0,2977644#2,638374# -0,09407182#0,2049403#2,54455#-0,4743131#0,5046844#3,091039#-0,06476909#0,1676888#2,596581#-0,4441348#0,4155765#3,076333#0,09616989#0,2695281#2,842551#-0,3201748#0,2456408#2,975233#-0,07557055#0,4303985#2,759897#-0,3420458#0,22049#2,706017#-0,08416531#0,1430408#2,895728#-0,03357511#0,08473969#2,910208#0,07115069#0,09025916#2,976892#-0,0730985#-0,01050843#2,951884#-0,2424894#0,3082782#2,814263#-0,08114969#-0,2838114#2,942485#-0,1538817#-0,02625017#2,953356#-0,1171083#-0,6289973#2,917242#-0,1487453#-0,1411046#2,954143#-0,07724285#-0,7039747#2,913985#1  
frame33 #-0,2530355#0,5722051#2,683447#-0,1090563#0,4772443#2,713858# -0,1355149#0,2381222#2,44633#-0,4939376#0,5248483#3,082755#-0,07047722#0,2421244#2,473378#-0,462715#0,4359675#3,067378#0,03105558#0,2927976#2,763751#-0,2762634#0,3255643#3,04142#-0,1500838#0,3614215#2,565548#-0,26273#0,39997#2,781501#-0,05277204#0,4085781#2,796401#-0,08976681#0,3724511#2,795296#-0,0151283#0,09559276#2,726005#-0,07722246#0,1756735#3,166863#-0,3080207#0,3468809#2,816373#-0,06796221#-0,2761335#2,922141#-0,1538261#-0,04391804#2,932009#-0,1224083#-0,6352074#2,913392#-0,1514949#-0,1585947#2,933852#-0,09605287#-0,7045273#2,87229#1  
frame34 #-0,271555#0,5328433#2,652424#-0,1676157#0,3905501#2,733331# -0,08369194#0,4350415#2,169377#-0,4268304#0,5714604#3,07949#-0,02479408#0,3139434#2,464099#-0,3960516#0,4827186#3,064401#-0,0007719845#0,2462822#2,766632#-0,298461#0,2865298#3,067336#-0,2086432#0,2747273#2,585022#-0,3212894#0,3132758#2,800974#-0,0780063#0,3044185#2,831937#-0,1042045#0,2550541#2,837919#0,003119719#0,08764267#2,739952#-0,08173475#0,1318967#3,125231#-0,2814389#0,3632086#2,767657#-0,05252631#-0,2784714#2,88027#-0,1398724#-0,02260517#2,899099#-0,1253818#-0,6396784#2,9074#-0,1407469#-0,1368929#2,905546#-0,1887229#-0,7129312#2,884368#1  
frame35 #-0,2002701#0,5667545#2,595663#-0,08337917#0,447915#2,73558# -0,09956434#0,5873507#2,063729#-0,4798217#0,6351222#3,14612#-0,1016038#0,5438022#2,118857#-0,4490566#0,5464203#3,131037#-0,1121904#0,4476631#2,329438#-0,3068731#0,4033354#3,060762#-0,1244067#0,3320922#2,58727#-0,2370529#0,3706406#2,803223#0,05836273#0,2008738#2,900117#0,04039415#0,1238448#2,917307#0,09243838#0,0918481#2,881665#0,01335098#0,09038239#2,986754#-0,2332053#0,3108545#2,751803#-0,05008659#-0,2862858#2,865226#-0,1445978#-0,02367401#2,891307#-0,1258201#-0,6410992#2,906697#-0,1445152#-0,1378473#2,899281#-0,1928661#-0,7099178#2,880742#1  
frame36 #-0,1670439#0,6168115#2,358778#-0,09480906#0,5053518#2,470365# -0,1088075#0,5368865#2,245288#-0,2670598#0,5106292#2,877676#-0,04524325#0,5266452#2,273237#-0,2363362#0,4220469#2,862613#0,07069664#0,361267#2,502553#-0,1408977#0,3601469#2,604829#-0,1358366#0,389529#2,322056#-0,2144239#0,5440598#2,50867#0,01310148#0,2805534#2,77303#-0,01850343#0,2151115#2,831635#0,0100473#0,1788874#2,832534#-0,03405203#0,20188#2,889847#-0,3251949#0,3621209#2,71519#-0,04593505#-0,2663282#2,870484#-0,1425364#-0,023813#2,883615#-0,1256008#-0,6423644#2,906514#-0,1335968#-0,137493#2,892272#-0,1055789#-0,7243662#2,902094#1  
