frame22 #0,7114564#0,8914761#3,704474#0,7689651#0,6943432#3,701286# 0,8813678#0,1867653#3,504123#0,3158834#0,7566497#3,532261#0,9517156#0,2441568#3,514865#0,3583359#0,6661492#3,536848#1,098224#0,4376248#3,666917#0,4731312#0,4734308#3,629495#0,9256974#0,5899833#3,643137#0,6224464#0,5820403#3,748727#0,7900729#0,3771512#3,725178#0,7813178#0,3146354#3,691755#0,8495668#0,2478554#3,660696#0,7209113#0,2342227#3,715043#0,8559619#-0,2181659#3,553829#0,5190918#-0,1477012#3,708925#0,8929561#-0,5726744#3,668789#0,4973789#-0,5312695#3,658167#0,8656147#-0,6164082#3,592656#0,5282137#-0,602775#3,664945#1  
frame23 #0,7231615#0,8966454#3,697879#0,7702649#0,6956708#3,699446# 0,881812#0,1871123#3,503655#0,3962542#0,8193874#3,483745#0,9556693#0,2487257#3,518134#0,4421772#0,724048#3,485623#1,101491#0,4369072#3,673919#0,5324948#0,4726063#3,573515#0,9283909#0,591669#3,643779#0,6329649#0,5872358#3,737162#0,7906357#0,3768269#3,723651#0,7831315#0,3140219#3,691574#0,8518883#0,2474726#3,66203#0,7218954#0,2345678#3,714262#0,8579198#-0,2138409#3,552749#0,5176254#-0,1503217#3,70664#0,8931425#-0,5723171#3,668#0,4966425#-0,5320406#3,660622#0,9188884#-0,6462801#3,6661#0,5279055#-0,601012#3,680686#1  
frame24 #0,7312282#0,8970986#3,697508#0,7752613#0,6977163#3,701715# 0,8792114#0,1775726#3,503836#0,439104#0,8231775#3,433474#0,9848444#0,2781271#3,549883#0,454412#0,7704691#3,443857#1,132417#0,4618711#3,709171#0,5367041#0,5208719#3,526682#0,9341609#0,5942305#3,646056#0,6416613#0,5964162#3,731406#0,7917127#0,3773253#3,722164#0,7846562#0,3148645#3,690548#0,8530325#0,2492024#3,662061#0,7235908#0,2375041#3,70944#0,8583064#-0,2141228#3,55212#0,5174826#-0,1503693#3,706312#0,8931715#-0,5723683#3,665398#0,4965593#-0,5320877#3,660698#0,8665342#-0,6459271#3,658338#0,5274791#-0,6013954#3,680964#1  
frame25 #0,7312923#0,8958934#3,697002#0,776132#0,6986532#3,700138# 0,880464#0,1785082#3,502584#0,5012878#0,7994525#3,43317#0,9750795#0,2648403#3,538207#0,4942366#0,7646186#3,431576#1,122592#0,4463528#3,69935#0,5408004#0,521111#3,503427#0,9364766#0,5968018#3,646663#0,6446555#0,5878737#3,697704#0,7906321#0,378319#3,719688#0,7874057#0,3161934#3,687838#0,8561425#0,2516372#3,661308#0,7260091#0,2396675#3,703547#0,8612448#-0,207746#3,55216#0,5213119#-0,1436385#3,707018#0,8938008#-0,558529#3,653703#0,4960016#-0,5319581#3,660444#0,8794608#-0,6023812#3,573416#0,5266063#-0,6026533#3,676592#1  
frame26 #0,7327128#0,8984623#3,691389#0,7747141#0,7045932#3,695702# 0,8815848#0,1803827#3,501832#0,5090488#0,8101566#3,424936#0,980396#0,2719567#3,542978#0,5415068#0,7523669#3,419555#1,126149#0,4516017#3,707325#0,5645521#0,5300131#3,490963#0,9391958#0,5990869#3,646444#0,6509978#0,5896484#3,693651#0,7930236#0,3748513#3,717729#0,7920111#0,3088377#3,687277#0,8599534#0,2441773#3,667794#0,7318036#0,2364542#3,699263#0,8616234#-0,2054009#3,552025#0,5281419#-0,1404125#3,707855#0,8938227#-0,5595065#3,653895#0,4925935#-0,5343672#3,663707#0,8804284#-0,6036664#3,573522#0,5300137#-0,6004375#3,68469#1  
frame27 #0,7354441#0,9183899#3,685173#0,7390267#0,734122#3,673532# 0,8753247#0,1586481#3,503343#0,5617212#0,8250987#3,437954#0,9852907#0,2674241#3,554751#0,588433#0,7659423#3,439066#1,12848#0,453831#3,712757#0,5768757#0,5623#3,452869#0,9420441#0,6012816#3,648336#0,6324207#0,6076456#3,676813#0,7819383#0,3960559#3,711594#0,7853484#0,3297599#3,686257#0,85535#0,2616982#3,672745#0,7295629#0,2493953#3,697156#0,8590848#-0,2029978#3,550245#0,5337601#-0,135254#3,708393#0,895838#-0,5604297#3,656272#0,4916975#-0,5350304#3,664662#0,8705062#-0,6351317#3,660297#0,5312292#-0,6005043#3,684378#1  
frame28 #0,6961749#0,8943558#3,630872#0,7418854#0,7335134#3,670706# 0,8714011#0,1054875#3,501796#0,5705909#0,8673447#3,425726#0,9905263#0,2413994#3,561251#0,5968989#0,8010731#3,426852#1,12172#0,4460161#3,704482#0,5777104#0,5616058#3,453423#0,9429994#0,6014902#3,648422#0,6339682#0,6085162#3,672262#0,7821093#0,3970889#3,705688#0,7862473#0,3306797#3,683704#0,8560742#0,2631105#3,671803#0,7307926#0,2519713#3,692405#0,8577985#-0,2024437#3,548641#0,5340039#-0,1350435#3,70854#0,8949406#-0,566352#3,658777#0,4914697#-0,5346764#3,665636#0,8638413#-0,6391037#3,656314#0,5315066#-0,6004186#3,684104#1  
frame29 #0,7877642#0,9152063#3,674131#0,7509406#0,727118#3,668896# 0,9006312#0,1832865#3,498174#0,5891542#0,7711369#3,412059#0,9740246#0,2450622#3,514625#0,6283059#0,7551493#3,403784#1,108903#0,4268553#3,684277#0,5788033#0,5613428#3,453459#0,9476587#0,6021324#3,648828#0,6399807#0,6045724#3,669648#0,7842166#0,3967606#3,701433#0,7886078#0,3307388#3,682188#0,8574366#0,2626039#3,671691#0,7343681#0,2556309#3,688873#0,856311#-0,1988412#3,546267#0,5331017#-0,1354687#3,707737#0,8976746#-0,5687685#3,664238#0,4925369#-0,5353104#3,670544#0,8620576#-0,639159#3,65642#0,531269#-0,6016814#3,690019#1  
frame30 #0,7517225#0,8919244#3,639922#0,7814291#0,7240591#3,668328# 0,9006728#0,186504#3,50422#0,6129168#0,8686918#3,424223#1,007886#0,2851552#3,55806#0,6392248#0,8024202#3,425348#1,152714#0,4535746#3,733735#0,5924549#0,5613028#3,454356#0,9513904#0,6028754#3,647066#0,6693915#0,6023087#3,667495#0,7989842#0,3839354#3,690262#0,8018298#0,3160791#3,670595#0,8693675#0,2565202#3,664022#0,7392792#0,2463536#3,676466#0,8590221#-0,1888075#3,545086#0,5281466#-0,1366213#3,705461#0,895822#-0,554356#3,651058#0,491373#-0,5353444#3,672064#0,890112#-0,5994193#3,569331#0,5312285#-0,6021987#3,688144#1  
frame31 #0,7503914#0,890413#3,639403#0,7855085#0,7256699#3,67042# 1,04905#0,2708637#3,553238#0,6127661#0,8714893#3,421268#1,077647#0,3140763#3,587293#0,6390741#0,8052177#3,422393#1,150025#0,452037#3,731336#0,5981754#0,5615957#3,453989#0,9563655#0,6049153#3,645885#0,6736339#0,6039898#3,669457#0,801913#0,3838856#3,687331#0,8041568#0,3161704#3,667566#0,8732029#0,257581#3,657461#0,7414042#0,246077#3,672488#0,8584738#-0,1918238#3,541557#0,521782#-0,1380962#3,702092#0,8949794#-0,5618581#3,654876#0,4893734#-0,5318604#3,672053#0,8883327#-0,6066284#3,573112#0,5292795#-0,5984338#3,688956#1  
frame32 #0,7479289#0,8953003#3,637344#0,7873696#0,7261029#3,670261# 0,956157#0,2144371#3,48965#0,6000318#0,7729554#3,390215#0,9846899#0,2575528#3,523629#0,6271467#0,7133063#3,389292#1,139479#0,4262641#3,689386#0,6036437#0,520401#3,462324#0,961448#0,603658#3,643399#0,6755909#0,6044546#3,669222#0,805329#0,3833165#3,685301#0,8072512#0,3155198#3,66582#0,8740895#0,2568324#3,656783#0,7487924#0,2453585#3,668128#0,8572563#-0,188848#3,538824#0,5220616#-0,1377577#3,700927#0,8952768#-0,5590857#3,654145#0,488797#-0,5317591#3,672653#0,8880578#-0,6037892#3,572391#0,5174713#-0,6047326#3,685424#1  
