frame22 #0,6020931#0,9343875#3,568747#0,7106866#0,7466712#3,550214# 0,9485003#0,2158954#3,361079#0,3664009#0,7391032#4,018773#0,9608177#0,2842595#3,359607#0,4168292#0,6785277#3,967546#0,9977697#0,4893519#3,37136#0,5681143#0,4968012#3,830035#0,809773#0,6208511#3,418862#0,6357539#0,6069096#3,673714#0,7660269#0,3676772#3,539813#0,7175204#0,2973026#3,500233#0,7662708#0,2289784#3,428938#0,6772304#0,2083136#3,554923#0,7836443#-0,2569375#3,423585#0,5617819#-0,2646066#3,591298#0,8887331#-0,5769599#3,510248#0,5035257#-0,5739854#3,481179#0,8490928#-0,6418578#3,499193#0,4361134#-0,6145878#3,438405#1  
frame23 #0,6243486#0,9331895#3,568541#0,7245623#0,745719#3,545042# 0,9225501#0,2410237#3,335599#0,3334733#0,7305398#3,953344#0,9467521#0,3051753#3,343989#0,3899963#0,6739284#3,914103#1,019358#0,49763#3,385198#0,5595651#0,5040941#3,812418#0,8387539#0,6336635#3,428778#0,6359294#0,6108039#3,678375#0,7747719#0,3731532#3,544062#0,7277278#0,3044361#3,501316#0,7771968#0,2422185#3,436478#0,6852062#0,2192146#3,550226#0,7894612#-0,2508039#3,427718#0,583573#-0,2116386#3,585276#0,8893305#-0,5767336#3,509214#0,5565746#-0,5585898#3,496804#0,8493378#-0,6415282#3,497758#0,4889531#-0,6065103#3,506876#1  
frame24 #0,6339208#0,9340829#3,565349#0,7356278#0,751711#3,539814# 0,9608378#0,2597904#3,327605#0,3386581#0,6515657#3,807859#0,9847199#0,321156#3,347095#0,3873944#0,646522#3,857512#1,056366#0,5052527#3,421553#0,5317857#0,4902739#3,774959#0,8528867#0,6396489#3,431762#0,6378193#0,6121328#3,678479#0,7826498#0,3754955#3,549123#0,736697#0,3056308#3,506398#0,7848366#0,2430912#3,448879#0,6926396#0,2217394#3,551409#0,7931077#-0,2497938#3,427425#0,5835999#-0,212166#3,583849#0,8895668#-0,5765687#3,508717#0,5515168#-0,5609978#3,501079#0,8487335#-0,642086#3,497228#0,4909449#-0,6080963#3,507438#1  
frame25 #0,6366783#0,932256#3,564762#0,7423302#0,7561213#3,541417# 0,9134493#0,2904066#3,336946#0,3314917#0,6965082#3,798066#0,9513473#0,3437253#3,355866#0,3682501#0,6225159#3,792444#1,065041#0,5036814#3,428549#0,5093046#0,4855652#3,740346#0,8704594#0,6456277#3,440035#0,639049#0,6125711#3,677963#0,7909673#0,3811425#3,554288#0,747273#0,3110038#3,509213#0,7963941#0,2483872#3,4538#0,7006673#0,2266324#3,550862#0,8037242#-0,250944#3,430382#0,5851838#-0,2124085#3,581355#0,8925111#-0,580056#3,512338#0,5459779#-0,5621717#3,504761#0,8502322#-0,6431259#3,495814#0,489217#-0,6101499#3,513191#1  
frame26 #0,66921#0,9332205#3,55435#0,7544861#0,7513108#3,540575# 0,9219477#0,298794#3,342602#0,3256224#0,7554374#3,779226#0,961919#0,3485345#3,364627#0,3448614#0,6920398#3,755929#1,081833#0,497756#3,446508#0,5055137#0,480094#3,705852#0,8967438#0,650333#3,452423#0,6414214#0,6160259#3,673132#0,7965711#0,3791765#3,556423#0,7572479#0,3101752#3,508906#0,8182127#0,2487747#3,460781#0,7041836#0,2279889#3,546808#0,8101526#-0,2482227#3,430803#0,5863559#-0,2130188#3,58021#0,8930629#-0,5806776#3,512206#0,5453173#-0,5682037#3,514273#0,8546062#-0,6428184#3,493815#0,4850191#-0,6114132#3,511837#1  
frame27 #0,6761419#0,9312151#3,551499#0,7591891#0,752217#3,543966# 0,8681744#0,2361959#3,30512#0,3240663#0,7058905#3,677977#0,9223497#0,3011674#3,337565#0,3494669#0,6168007#3,656636#1,084876#0,4960817#3,450586#0,4997665#0,4835033#3,674234#0,9048259#0,6519638#3,458014#0,6447277#0,6158384#3,662185#0,8029807#0,380379#3,560482#0,7677584#0,3110526#3,512054#0,8320298#0,2508873#3,46605#0,7088541#0,2290945#3,545985#0,8158078#-0,2413351#3,430722#0,588546#-0,2106296#3,578182#0,8942222#-0,5765041#3,508503#0,5454139#-0,5680441#3,514077#0,8537641#-0,6426398#3,49376#0,4857089#-0,6113051#3,511649#1  
frame28 #0,683431#0,9301058#3,557058#0,7691013#0,7551496#3,552542# 0,8778164#0,243715#3,309316#0,3049995#0,7243524#3,615465#0,931527#0,3078088#3,343022#0,3334385#0,6370938#3,590662#1,092659#0,5000901#3,459723#0,4816077#0,5031839#3,615323#0,9094954#0,653681#3,463117#0,6448736#0,6183504#3,652935#0,8076041#0,3803755#3,565513#0,7740963#0,3117072#3,51545#0,8383701#0,2511801#3,469563#0,7125168#0,2300442#3,546733#0,820065#-0,2425569#3,431745#0,589256#-0,2084741#3,57656#0,8943045#-0,5772489#3,509681#0,541768#-0,5684569#3,518012#0,8555846#-0,6427205#3,494257#0,4832008#-0,6120338#3,512197#1  
frame29 #0,6884245#0,9231412#3,556937#0,7753842#0,7506809#3,551286# 0,9823152#0,2783252#3,364936#0,3113566#0,7212741#3,518012#1,010905#0,3341736#3,386676#0,3421001#0,6314776#3,518132#1,096673#0,5017188#3,467431#0,4930267#0,5040869#3,559629#0,9194191#0,6523694#3,472302#0,6459448#0,6196373#3,644395#0,8094055#0,3767514#3,571236#0,7796192#0,3072791#3,521781#0,8434136#0,2435114#3,487478#0,7175399#0,228238#3,548154#0,8278753#-0,2402944#3,428452#0,5892408#-0,2084358#3,576291#0,8946362#-0,5775384#3,509858#0,5395868#-0,5692462#3,526326#0,8558672#-0,6430023#3,493643#0,4841457#-0,6142622#3,512678#1  
frame30 #0,6923971#0,9241796#3,553385#0,7758035#0,7511796#3,550817# 1,030212#0,2523359#3,397931#0,2960235#0,7835706#3,52794#1,047256#0,3146814#3,412394#0,3528792#0,7439032#3,518257#1,098388#0,5017177#3,471215#0,4900519#0,5135595#3,513921#0,9246041#0,6542575#3,477284#0,6459706#0,6198723#3,633751#0,8101923#0,3793626#3,572249#0,7844296#0,310053#3,522696#0,8513913#0,2478302#3,486686#0,7211846#0,2297262#3,548681#0,8291777#-0,2394192#3,428067#0,5869633#-0,2070925#3,575004#0,8951517#-0,577877#3,509348#0,5387081#-0,5717403#3,531007#0,8562829#-0,6433712#3,493597#0,4825378#-0,6133262#3,512886#1  
frame31 #0,6940665#0,9232027#3,552681#0,7765833#0,7504898#3,54989# 0,9665778#0,2763164#3,344043#0,348158#0,8187429#3,487022#1,000082#0,3326916#3,373312#0,3699439#0,7563058#3,463506#1,100593#0,5018171#3,476396#0,5074493#0,5265023#3,485574#0,9326814#0,655589#3,483945#0,6467257#0,6185414#3,622038#0,8108079#0,3829054#3,574112#0,7898088#0,3146635#3,525159#0,8670295#0,2563903#3,491164#0,7220347#0,2320895#3,549467#0,8339674#-0,2312028#3,424922#0,5836285#-0,2058121#3,572876#0,895206#-0,5770447#3,508407#0,5373771#-0,5722044#3,530083#0,852608#-0,6437811#3,492687#0,4817801#-0,6139725#3,512193#1  
