frame1 #-0,05457202#1,094261#3,976543#-0,04005237#0,8739263#3,831478# 0,03222224#0,4891693#3,214118#-0,8298691#0,4983478#3,874856#0,06282926#0,4821021#3,293343#-0,7293835#0,4952101#3,846865#0,1546503#0,4609003#3,547353#-0,4944324#0,5679933#3,793404#0,05973438#0,6826965#3,664079#-0,1903835#0,6999957#3,726535#-0,04323786#0,4172393#3,790255#-0,05980546#0,34337#3,717367#-0,005632795#0,2829691#3,689035#-0,1181858#0,2907537#3,717913#0,1245314#-0,2058493#3,656006#-0,2587836#-0,189103#3,660298#0,2820892#-0,5582998#3,645651#-0,388348#-0,5643605#3,621802#0,2588645#-0,6103724#3,547589#-0,4514255#-0,6317201#3,649738#1  
frame22 #-0,1553973#1,035481#3,974262#-0,03269768#0,8455607#3,849842# -0,1708718#0,4934324#3,521911#-0,8410668#0,4991947#3,856563#-0,08775946#0,4844096#3,517777#-0,7694966#0,4999524#3,883304#0,1615777#0,4573412#3,521503#-0,4933751#0,555024#3,79134#0,06168972#0,6598772#3,662964#-0,1927376#0,6823411#3,729043#-0,05331935#0,399281#3,777795#-0,07321706#0,330559#3,701931#-0,02139364#0,2726432#3,669946#-0,134945#0,2760705#3,698375#0,1609814#-0,2039302#3,69749#-0,3168038#-0,2032719#3,709611#0,258872#-0,548755#3,641318#-0,3961911#-0,5604175#3,636638#0,2382971#-0,5973793#3,553868#-0,443706#-0,6294151#3,659465#1  
frame23 #-0,1009738#1,041634#3,98612#-0,03888229#0,8285142#3,851927# -0,1359329#0,5907516#3,524025#-0,8259648#0,4897791#3,83567#-0,06051728#0,5553535#3,519024#-0,7660526#0,4929643#3,890938#0,1657297#0,4491593#3,520157#-0,5168548#0,5355844#3,798955#0,05754744#0,6422846#3,668832#-0,2129716#0,6322542#3,736143#-0,05496994#0,3842192#3,773727#-0,07558358#0,3181719#3,697154#-0,0206627#0,2593305#3,665459#-0,1401737#0,2601045#3,689461#0,1657661#-0,2027748#3,70535#-0,3230712#-0,2054889#3,716342#0,2644442#-0,5509367#3,64709#-0,3998483#-0,5677251#3,643487#0,2410975#-0,6000791#3,560425#-0,4458138#-0,6364442#3,670508#1  
frame24 #-0,1002511#0,9926413#4,00954#-0,02768473#0,7917751#3,859395# -0,1244258#0,605095#3,483292#-0,8254722#0,4840473#3,839396#-0,05110654#0,5658395#3,48873#-0,7663423#0,4820521#3,892962#0,1688512#0,4480729#3,52105#-0,4991905#0,5051638#3,812487#0,04862863#0,6209031#3,687349#-0,2019482#0,6268885#3,737775#-0,04676296#0,3339755#3,758644#-0,06346252#0,2692094#3,676539#-0,01574316#0,2184326#3,645854#-0,1187982#0,2195553#3,668608#0,1886188#-0,1947754#3,743145#-0,3534119#-0,2319206#3,740066#0,2644772#-0,5511154#3,646954#-0,4017387#-0,5492381#3,659157#0,247683#-0,6014796#3,560879#-0,418533#-0,5996024#3,573082#1  
frame25 #-0,05324804#0,879482#4,024985#0,01122624#0,6942657#3,846094# 0,09584673#0,6538848#3,408477#-0,7750545#0,4391622#3,892632#0,1316106#0,5837243#3,435519#-0,6762479#0,4184937#3,902378#0,238902#0,3732426#3,532635#-0,4201403#0,4503414#3,82167#0,1251065#0,5548357#3,693544#-0,1404371#0,5767781#3,758061#-0,02898814#0,2931315#3,741116#-0,05251354#0,2477269#3,663661#0,002738469#0,1712683#3,623011#-0,1161772#0,2055306#3,653781#0,2506185#-0,2274978#3,777207#-0,2795085#-0,2015741#3,720019#0,286315#-0,533113#3,647526#-0,3919155#-0,510034#3,679273#0,2689131#-0,5876312#3,564086#-0,4093174#-0,5645522#3,595833#1  
frame26 #-0,04960608#0,8830482#4,021402#0,01810085#0,6924571#3,853742# 0,5363209#0,4693477#3,39077#-0,7100298#0,4190734#3,903404#0,4639774#0,4458047#3,423409#-0,6236994#0,40521#3,854736#0,246947#0,3751756#3,537306#-0,3481275#0,4479772#3,814529#0,1316081#0,5497673#3,702441#-0,1249317#0,5321279#3,776758#0,04919737#0,2738892#3,743014#0,03365347#0,2178149#3,659902#0,09475747#0,1663235#3,619051#-0,02569195#0,1572295#3,64882#0,2509916#-0,2295252#3,777429#-0,2591175#-0,2234969#3,714535#0,2926722#-0,5327459#3,645754#-0,4136307#-0,5862866#3,649108#0,2656904#-0,5832658#3,564499#-0,4772498#-0,6411858#3,657993#1  
frame27 #0,05169006#0,9004286#3,998882#0,08756886#0,6842195#3,86978# 0,3281873#0,6681625#3,349606#-0,6373185#0,3903545#3,857502#0,3396935#0,6046092#3,401087#-0,5465096#0,380989#3,868482#0,3742121#0,4139493#3,571381#-0,3086189#0,4271843#3,832674#0,2266982#0,5785832#3,735283#-0,0483645#0,5110596#3,780033#0,1322587#0,2829877#3,741952#0,123662#0,232821#3,657869#0,1899393#0,1917859#3,61341#0,06667802#0,1576288#3,643682#0,2828051#-0,2356186#3,773131#-0,149442#-0,2152913#3,6445#0,3061134#-0,5459929#3,665066#-0,3222479#-0,5463045#3,608#0,2915993#-0,5967797#3,599293#-0,4151644#-0,6015315#3,644634#1  
frame28 #0,03835929#0,8578127#3,989467#0,12659#0,6588073#3,858706# 0,4102651#0,1736263#3,667988#-0,6045465#0,3768459#3,832952#0,422776#0,2452565#3,670443#-0,518525#0,3718055#3,849852#0,5133862#0,458434#3,601976#-0,2243147#0,4175175#3,801739#0,3139743#0,5391302#3,753381#0,01791979#0,488776#3,766865#0,1922464#0,2732798#3,739885#0,19704#0,2272044#3,656267#0,2747828#0,1844203#3,624451#0,1385654#0,1506182#3,627706#0,307416#-0,2375102#3,762139#-0,06928147#-0,247427#3,636254#0,3287987#-0,5647087#3,641954#-0,1962562#-0,5848739#3,560425#0,279985#-0,6058084#3,587967#-0,282204#-0,6282688#3,577135#1  
frame29 #0,07605071#0,8718345#3,974866#0,1855275#0,6782027#3,858428# 0,483475#0,1437445#3,727908#-0,4274313#0,3182137#3,779989#0,4959822#0,2153534#3,730362#-0,3608927#0,3360746#3,756667#0,6031723#0,4136499#3,649215#-0,1267096#0,4090524#3,76555#0,4629116#0,5628083#3,815544#0,110113#0,5504185#3,729832#0,262179#0,2826884#3,744921#0,29137#0,2362494#3,664315#0,3834586#0,1707878#3,64526#0,2334676#0,1589641#3,615561#0,3781118#-0,2324168#3,777127#0,125714#-0,3074209#3,601206#0,2875202#-0,5538667#3,469183#-0,001260713#-0,6448678#3,525366#0,3076502#-0,6096328#3,390409#0,1065076#-0,6277618#3,494562#1  
frame30 #0,07628629#0,8238785#3,9304#0,2440222#0,6681019#3,842642# 0,493353#0,1790048#3,739518#-0,3746853#0,33358#3,766826#0,5074229#0,2427389#3,708148#-0,3300852#0,3388254#3,738625#0,6573955#0,4325386#3,692466#-0,09744749#0,4103063#3,737767#0,4731108#0,5616766#3,8177#0,106464#0,5498175#3,725735#0,2969931#0,2861973#3,745154#0,3218008#0,239917#3,666386#0,4300878#0,1629076#3,655497#0,2513242#0,1571757#3,609151#0,2326873#-0,2546228#3,617173#0,1757505#-0,310909#3,60584#0,5101158#-0,5660751#3,495353#0,3238832#-0,5835352#3,653676#0,4546671#-0,6321468#3,462172#0,3449248#-0,6362821#3,574214#1  
frame31 #0,1176041#0,876462#3,874765#0,2484271#0,6853538#3,834407# 0,4700668#0,3046095#3,749173#-0,351932#0,29445#3,657893#0,4840589#0,3679916#3,717977#-0,280907#0,3058611#3,654497#0,7158547#0,418105#3,787363#-0,05289246#0,3848713#3,699944#0,5416991#0,5823284#3,860951#0,106238#0,5676395#3,71132#0,3226766#0,3332714#3,76688#0,357129#0,2902007#3,696741#0,4632277#0,2092293#3,678097#0,2983919#0,1901181#3,649033#0,4515927#-0,2740763#3,572634#0,3525757#-0,2340172#3,599872#0,7299458#-0,5283237#3,597169#0,3013132#-0,5402739#3,661436#0,7165843#-0,6013506#3,562126#0,2951855#-0,6200608#3,643106#1  
