frame22 #0,1722334#0,9700251#3,746498#0,05745278#0,7730154#3,693702# -0,1835702#0,4084596#3,334389#0,2606266#0,4052232#3,530433#-0,1158246#0,4081153#3,340761#0,1993777#0,3980893#3,503057#0,08741229#0,4070826#3,375113#0,01941779#0,4256921#3,425968#0,04527072#0,6311886#3,496557#0,02868772#0,6093278#3,558507#0,07956658#0,2851136#3,598047#0,01975666#0,1956877#3,571219#0,01067644#0,1840904#3,538748#0,01544722#0,1759516#3,571053#-0,1069279#-0,313951#3,672908#0,04686798#-0,2704946#3,37841#0,03651053#-0,6455072#3,347598#-0,02452471#-0,6133384#3,295664#0,05007417#-0,6487201#3,271462#-0,1054095#-0,6523096#3,280469#1  
frame23 #0,1035215#0,9803432#3,8191#0,05437089#0,7679585#3,705323# -0,1679227#0,4429226#3,41888#0,2809974#0,4307313#3,572541#-0,1004416#0,4328762#3,423155#0,23273#0,4160473#3,527263#0,1020017#0,402737#3,451242#0,07151283#0,4250598#3,418845#0,0711428#0,5990953#3,520197#0,08576459#0,6155977#3,540365#0,06164415#0,3264001#3,561666#0,01345022#0,2376793#3,578199#0,007719778#0,1943186#3,513052#0,01112287#0,1745565#3,621023#-0,1011886#-0,2812438#3,675886#0,05342423#-0,2678984#3,38764#0,03375882#-0,6253756#3,343436#-0,02472089#-0,6120349#3,290584#-0,02612394#-0,6689944#3,396772#-0,08460364#-0,6556537#3,34392#1  
frame24 #0,07710229#0,9293302#3,821224#0,04407142#0,7102561#3,718348# -0,1298688#0,4216627#3,384788#0,3074417#0,4425914#3,590213#-0,06324142#0,4204182#3,390648#0,2593589#0,4282393#3,544315#0,1366406#0,4166844#3,423496#0,1311056#0,3996933#3,407886#0,0778998#0,593837#3,527238#0,07844361#0,5627823#3,54228#0,07602161#0,3162535#3,592659#0,0163495#0,2357633#3,579411#0,01319139#0,1906686#3,511761#0,01337139#0,173503#3,621266#-0,08387489#-0,3387162#3,664857#0,05857568#-0,2677473#3,394158#0,03975002#-0,633137#3,329398#-0,02619207#-0,611665#3,282078#-0,04229505#-0,673526#3,339914#-0,1082371#-0,6520539#3,292593#1  
frame25 #0,07498548#0,9145825#3,841184#0,04585122#0,701666#3,729303# -0,06659076#0,4440534#3,404066#0,3381108#0,4533964#3,608898#0,001859337#0,441249#3,410979#0,289062#0,4419157#3,532725#0,2072096#0,4328357#3,446847#0,1158452#0,478499#3,456101#0,08475818#0,5942635#3,553158#0,06352077#0,6405427#3,589556#0,05012416#0,3028708#3,641369#0,01055659#0,2405419#3,582164#0,005566718#0,1993819#3,517453#0,004507403#0,1832916#3,617946#-0,05492017#-0,2430474#3,643951#0,0614611#-0,2659104#3,39693#0,1067406#-0,5217002#3,354269#-0,02873761#-0,6053904#3,26824#0,02749579#-0,5826914#3,319572#0,03175194#-0,6533418#3,2555#1  
frame26 #0,0394305#0,9359736#3,886339#0,03788364#0,7218556#3,77442# -0,001516253#0,4511352#3,447313#0,1656675#0,4858823#3,822199#0,06381394#0,4576916#3,452876#0,1183095#0,4756989#3,744999#0,2598045#0,4773605#3,48471#-0,05445716#0,5112419#3,670891#0,1160991#0,5448134#3,632236#-0,10633#0,6718868#3,803478#0,0137264#0,3450562#3,687001#-0,01809487#0,2944556#3,619788#0,01505921#0,2349402#3,561435#-0,06878172#0,2201069#3,624966#-0,04796756#-0,2457581#3,720169#0,0658367#-0,2631932#3,399651#0,1075043#-0,5272806#3,36564#-0,02052461#-0,5853932#3,243337#0,03615098#-0,5710899#3,300579#0,02352583#-0,6480608#3,226759#1  
frame27 #0,03449231#0,9183328#3,897175#0,02429966#0,7095776#3,781787# 0,03277332#0,5341862#3,576444#-0,0437182#0,5858803#4,046211#0,09530652#0,5272334#3,559134#-0,09050491#0,5758198#3,969942#0,2829061#0,5063747#3,52219#-0,2081277#0,4920604#3,852737#0,09975275#0,614014#3,648394#-0,1183663#0,6436137#3,796715#0,01900382#0,3208482#3,677793#-0,01264115#0,2642688#3,607893#0,02276564#0,2254933#3,565391#-0,06183878#0,2057666#3,605331#-0,03759929#-0,2240397#3,708555#0,07023951#-0,2639043#3,398299#0,08713671#-0,5153543#3,357222#-0,02908281#-0,6111199#3,199492#0,04042697#-0,5793182#3,287225#-0,07261527#-0,6568121#3,132669#1  
frame28 #0,0276797#0,9144196#3,896088#0,01940563#0,702328#3,791065# 0,08478925#0,6187831#3,619483#-0,04764037#0,5298725#3,938049#0,1428343#0,5927567#3,604671#-0,09462468#0,5197695#3,861459#0,3169693#0,5146776#3,575252#-0,2873405#0,5484555#3,897249#0,1069212#0,6143477#3,657746#-0,1201936#0,6407751#3,793431#0,01910933#0,3142734#3,682768#-0,009476567#0,2598427#3,61121#0,03357053#0,2168078#3,579275#-0,05802493#0,2000924#3,603832#-0,03740188#-0,3118777#3,80909#0,0764159#-0,2663522#3,389815#0,08855756#-0,5044485#3,365492#-0,022732#-0,6168885#3,178851#0,04296245#-0,563527#3,290023#0,008561168#-0,6806185#3,145485#1  
frame29 #0,02606657#0,9266384#3,953781#0,002152482#0,7202543#3,83518# 0,113383#0,6481385#3,720533#-0,06331807#0,5003012#3,869061#0,1691407#0,6203009#3,700959#-0,1104114#0,4901747#3,792293#0,3364137#0,5367882#3,657284#-0,2971497#0,5285203#3,852737#0,1269838#0,6158565#3,682751#-0,1127573#0,6159962#3,758891#0,01110884#0,3171667#3,7#-0,00660296#0,2651882#3,623221#0,03762214#0,2250252#3,588434#-0,05523393#0,2013318#3,610764#-0,03737174#-0,3118249#3,809243#0,08069637#-0,2665153#3,377267#0,09091654#-0,50239#3,363341#-0,01016144#-0,6197158#3,161678#0,04291933#-0,5502247#3,281218#0,06525455#-0,6735342#3,153463#1  
frame30 #-0,03658532#0,934371#3,970746#-0,05779075#0,7287906#3,847165# 0,336381#0,5170017#4,074677#-0,2060039#0,4033413#3,978787#0,3345414#0,5339735#4,0114#-0,2535263#0,3931226#3,901319#0,3290223#0,584889#3,83666#-0,3109375#0,43494#3,660055#0,1154934#0,6127261#3,710102#-0,1307032#0,572843#3,72257#0,006999968#0,3111123#3,69684#0,01285246#0,2528645#3,609049#0,08056366#0,2132701#3,574582#-0,03072528#0,1892215#3,585657#-0,03985185#-0,3214695#3,821028#0,0899438#-0,260458#3,347783#0,09041559#-0,511174#3,37328#0,01709568#-0,590328#3,09791#0,07082596#-0,5576195#3,278698#0,06588189#-0,6563122#3,093041#1  
frame31 #-0,04712194#0,8974235#3,956327#-0,05923202#0,6937832#3,827144# 0,2650457#0,4809369#4,0462#-0,1839135#0,2963779#3,771129#0,2660829#0,4980502#3,983115#-0,2313971#0,2861676#3,693724#0,2691945#0,5493901#3,808956#-0,2988148#0,4422339#3,61104#0,113909#0,6000339#3,726046#-0,1185805#0,5801369#3,673561#0,002092432#0,2841991#3,68668#0,02299542#0,2343701#3,604681#0,08871198#0,1923091#3,585159#-0,02367468#0,1801052#3,575706#-0,04889789#-0,3475286#3,832255#0,09602782#-0,2878196#3,304057#-0,07152387#-0,6280902#3,805478#0,0197734#-0,6034265#3,048172#-0,05671586#-0,6335724#3,699308#0,03393431#-0,6811646#3,055285#1  
frame32 #-0,1822071#0,8548387#3,863124#-0,08012001#0,6707162#3,751057# 0,2820995#0,4475507#4,0114#-0,08037829#0,1038136#3,438323#0,2809469#0,4650548#3,946952#-0,06847899#0,1700757#3,44825#0,2774892#0,5175672#3,768554#-0,152046#0,3422958#3,403967#0,05147528#0,5587915#3,653971#-0,09943813#0,5058969#3,536349#-0,0128489#0,2469214#3,640552#0,03122948#0,1887384#3,569495#0,0890656#0,1520569#3,583519#-0,006062024#0,1405706#3,520488#-0,03011288#-0,3533053#3,804613#0,1098714#-0,2994593#3,272843#-0,07056794#-0,5451209#3,778318#0,0487071#-0,6049378#2,970445#-0,0495619#-0,5606953#3,671411#0,0936987#-0,6726369#2,967281#1  
