frame22 #0,09844095#1,012952#3,956146#0,06269491#0,8238835#3,831532# 0,1750569#0,5441411#3,30585#0,2026789#0,4307284#3,818244#0,1959567#0,5419961#3,368791#0,1513956#0,4332803#3,749402#0,258656#0,5355608#3,571832#-0,03073556#0,4901731#3,66718#0,1331858#0,6701243#3,675745#-0,06499553#0,7186528#3,833501#0,09041007#0,4385923#3,778325#0,05547983#0,3832986#3,723253#0,09552671#0,3270351#3,650766#0,02020585#0,2952738#3,752276#-0,0007681921#-0,2193048#3,771365#0,122921#-0,2119648#3,497028#-0,08383961#-0,5480884#3,799171#0,02643104#-0,5933975#3,301874#-0,0486341#-0,5680341#3,698651#0,07948634#-0,6531879#3,29689#1  
frame23 #-0,09148502#0,9800662#3,953957#-0,005351804#0,7914364#3,88624# 0,3175609#0,661063#3,399228#-0,3523808#0,6666137#3,940552#0,3255016#0,6411829#3,461537#-0,319016#0,6298466#3,897242#0,3493238#0,5815425#3,662667#-0,2189217#0,5195452#3,781517#0,1511432#0,6371974#3,72513#-0,1044632#0,6792806#3,830614#0,05331846#0,4230146#3,799525#0,04510686#0,3749735#3,728015#0,0958129#0,3218347#3,658442#-0,001220998#0,2882403#3,745376#0,001312383#-0,2213275#3,782185#0,1225097#-0,2088221#3,484995#-0,09207382#-0,4951015#3,79784#0,02993692#-0,5401028#3,261382#-0,06872682#-0,5212522#3,695315#0,07316449#-0,6343467#3,229923#1  
frame24 #-0,1116741#0,931324#3,985617#-0,0009846559#0,7687883#3,875123# 0,4539498#0,5847393#3,7026#-0,4041606#0,4501532#3,947402#0,547181#0,5747853#3,637274#-0,3770275#0,4863261#3,899622#0,3879106#0,6041318#3,764148#-0,2956281#0,5948448#3,770374#0,1652973#0,6465884#3,773048#-0,1013791#0,6781216#3,828653#0,04182263#0,3997393#3,784395#0,04050608#0,3493617#3,707647#0,09386285#0,3072181#3,658802#-0,002494022#0,2740626#3,694899#-0,0001299828#-0,2377334#3,787184#0,127952#-0,2301497#3,446587#-0,07249747#-0,5185182#3,797015#0,0422864#-0,554231#3,208915#-0,05307907#-0,5362437#3,692047#0,0811395#-0,6310173#3,192462#1  
frame25 #-0,09021293#0,8511964#3,969004#0,01702619#0,6974672#3,838468# 0,628001#0,5920699#3,820489#-0,3095484#0,460886#3,967568#0,5638601#0,6060619#3,823256#-0,3104116#0,4804564#3,904849#0,3714374#0,6480378#3,845536#-0,3130012#0,5391676#3,730668#0,1634105#0,6405122#3,783655#-0,1184528#0,6264344#3,805407#0,05050887#0,3422667#3,765007#0,05131662#0,2949143#3,692755#0,1034354#0,2569725#3,666305#0,009320467#0,2140214#3,672064#-0,009012244#-0,2804587#3,798455#0,1290534#-0,2420678#3,430285#-0,0546786#-0,5794024#3,76183#0,05189102#-0,5615271#3,180406#-0,0366511#-0,5879109#3,655708#0,08315647#-0,6349092#3,183083#1  
frame26 #-0,1356846#0,8700908#4,001864#-0,05889892#0,6954568#3,879434# 0,5832148#0,7084976#4,062795#-0,2623605#0,3716066#3,929706#0,5253639#0,6980705#4,032878#-0,2617629#0,3965494#3,857679#0,351811#0,6667892#3,957027#-0,2599699#0,471378#3,655496#0,1475442#0,6432503#3,812874#-0,09107846#0,5848875#3,754381#0,03714192#0,3256437#3,761222#0,05607056#0,2784659#3,686716#0,1116#0,2437729#3,663543#0,01753057#0,210478#3,664958#-0,01239313#-0,2903779#3,812069#0,1237781#-0,2636113#3,368287#-0,07601493#-0,5757195#3,801534#0,0742926#-0,5826241#3,11135#-0,05394768#-0,5837969#3,696082#0,1102945#-0,6503022#3,088983#1  
frame27 #-0,1347235#0,8666885#4,001798#-0,05800534#0,6931447#3,876076# 0,5974343#0,705859#4,050385#-0,2632689#0,2744743#3,742387#0,5366264#0,6928701#4,028994#-0,2494974#0,3241376#3,701548#0,3542026#0,6539033#3,978767#-0,2081831#0,4731277#3,59298#0,2037539#0,6485991#3,865342#-0,08332662#0,5609628#3,745306#0,02981936#0,3159494#3,757789#0,05720887#0,2696833#3,684206#0,1344531#0,1971504#3,644625#0,01686991#0,2080447#3,664196#-0,01342375#-0,3055887#3,82#0,08602996#-0,2531279#3,391319#-0,06929401#-0,5928246#3,796072#0,07346916#-0,5654844#3,120975#-0,04718838#-0,5977226#3,690103#0,09466323#-0,6202509#3,047285#1  
frame28 #-0,1047836#0,8446125#3,997937#-0,006655186#0,6907222#3,856535# 0,592171#0,7025253#4,048052#-0,2342646#0,2586295#3,706209#0,5313808#0,6895683#4,02653#-0,2188173#0,3093245#3,667249#0,3490104#0,6506972#3,975946#-0,1724755#0,4614095#3,56435#0,1491065#0,6296775#3,827692#-0,08208072#0,5728504#3,735006#0,0329238#0,3076291#3,751796#0,05971378#0,2571398#3,676817#0,1266073#0,2027571#3,647773#0,0192974#0,1972922#3,654736#-0,008214437#-0,3079482#3,825659#0,1381291#-0,2661171#3,354471#-0,05619038#-0,5982641#3,790267#0,07451359#-0,5722738#3,083302#-0,04369692#-0,6051764#3,682475#0,1074027#-0,6461446#3,071043#1  
frame29 #-0,1332619#0,8609211#4,028271#-0,04438486#0,7012864#3,888186# 0,5842435#0,669681#4,028361#-0,1241455#0,4415943#3,467017#0,5235311#0,6567125#4,007003#-0,1003998#0,5445071#3,442059#0,3413938#0,6178073#3,956831#-0,1477656#0,3801519#3,55362#0,1757186#0,5781174#3,826825#-0,05761008#0,5180966#3,688784#0,02266117#0,2864769#3,73921#0,05617793#0,2290659#3,659559#0,12477#0,1934491#3,642337#0,0094794#0,1706901#3,629205#-0,006816444#-0,3101143#3,824549#0,1377953#-0,2657941#3,351006#-0,06653235#-0,5969372#3,79557#0,07578462#-0,5710685#3,0786#-0,04650702#-0,6022424#3,688881#0,1117077#-0,644334#3,060168#1  
frame30 #-0,1455028#0,8484217#3,981935#-0,03622803#0,6919041#3,859929# 0,6016824#0,6160861#4,021801#-0,07220731#0,4374826#3,481214#0,5410637#0,6031376#4,000476#-0,03896679#0,5182378#3,469237#0,3592075#0,564292#3,950324#-0,1414779#0,3610213#3,541782#0,1719322#0,5787357#3,821846#-0,04945325#0,5087143#3,660527#0,004501732#0,2524572#3,741344#0,04064319#0,1868567#3,671298#0,09137224#0,1428542#3,667064#0,004126194#0,1373014#3,637287#-0,005212129#-0,3209932#3,827132#0,1363405#-0,2731197#3,33931#-0,07140042#-0,6061105#3,796956#0,08611565#-0,5795784#3,066414#-0,05220106#-0,6124182#3,690247#0,1301367#-0,6262175#2,99709#1  
frame31 #-0,1149989#0,7918581#3,963985#-0,002544738#0,6424031#3,833203# 0,595845#0,5809098#4,02273#-0,06374873#0,4348987#3,453151#0,5355606#0,5714375#3,998628#-0,0580052#0,4452645#3,476115#0,3547072#0,5430204#3,94017#-0,1144194#0,2806579#3,603174#0,1467822#0,5975071#3,810136#-0,01576996#0,4592132#3,633801#0,07245065#0,2355486#3,69433#0,1141687#0,1852163#3,620967#0,1665572#0,1560857#3,606255#0,083907#0,1276723#3,592817#-0,003142197#-0,3318293#3,82962#0,1358194#-0,2749767#3,33519#-0,06245398#-0,6175808#3,780879#0,08823132#-0,5821235#3,062755#-0,04448625#-0,6226106#3,673729#0,1289046#-0,6367987#2,997173#1  
