frame1 #-0,08457791#1,046994#3,288015#-0,1035893#0,8146414#3,217879# -0,08379404#0,1640426#2,967429#-0,1616925#0,2138518#2,98073#-0,0272879#0,2416844#2,971706#-0,2233517#0,2863612#2,994147#0,1422305#0,4746097#2,999805#-0,4083292#0,5038893#3,049666#0,0106723#0,6769879#3,108465#-0,2139214#0,6487986#3,129883#-0,09030901#0,3836285#3,196155#-0,0956388#0,3108837#3,129513#-0,04431509#0,2671626#3,114832#-0,1453823#0,2544774#3,123595#-0,161795#-0,2720917#3,224317#-0,04708393#-0,2537156#3,068155#-0,2452414#-0,602329#3,299308#-0,1040204#-0,6067695#2,952273#-0,2019908#-0,6194013#3,181254#-0,115658#-0,657245#2,854857#1  
frame22 #-0,04704981#0,9439342#3,489194#-0,1342879#0,7627881#3,414395# -0,3329032#0,4317212#3,009733#0,07232661#0,3930899#3,230701#-0,249891#0,4186621#3,02287#0,02243238#0,3799528#3,194783#-0,08866557#0,3827919#3,137683#-0,1854474#0,4074233#3,0835#-0,1055442#0,5771105#3,212584#-0,1738689#0,6102748#3,260908#-0,1135435#0,272459#3,301256#-0,1378487#0,1935758#3,229078#-0,1248135#0,1630503#3,226039#-0,1504077#0,1919821#3,224465#-0,2247064#-0,3364393#3,422374#-0,01642822#-0,2790268#3,027681#-0,3134821#-0,5883346#3,382557#-0,1672594#-0,5811116#2,870878#-0,2626527#-0,6078027#3,286545#-0,1547079#-0,6646115#2,839239#1  
frame23 #-0,05425698#0,9289856#3,526005#-0,1541882#0,7641631#3,41935# -0,3528033#0,4330962#3,014924#0,09949914#0,4109343#3,282677#-0,2697912#0,4200371#3,02806#0,06678973#0,402197#3,229707#-0,1085659#0,3841669#3,142795#-0,1011919#0,4181568#3,103744#-0,1254446#0,5784855#3,21754#-0,184184#0,6114922#3,283581#-0,1083414#0,2802076#3,303375#-0,1421672#0,1980989#3,239545#-0,1319025#0,1569994#3,206193#-0,1544207#0,165802#3,27654#-0,2216054#-0,3339025#3,418541#-0,0160046#-0,2786791#3,014592#-0,3107097#-0,5856148#3,378233#-0,1635436#-0,5624228#2,818812#-0,2595446#-0,6042287#3,282305#-0,2242209#-0,6052827#2,758141#1  
frame24 #-0,0632337#0,9258521#3,526573#-0,1648206#0,7592704#3,428558# -0,281102#0,463426#2,957013#0,1010016#0,4150105#3,267843#-0,1980898#0,4503668#2,97015#0,06829204#0,4062732#3,214873#-0,03559395#0,4114706#3,0829#-0,1092583#0,4817891#3,156197#-0,1005754#0,5662403#3,206712#-0,2341026#0,6387999#3,352015#-0,1125993#0,2830542#3,303942#-0,1448012#0,203016#3,238501#-0,1293521#0,1585956#3,205959#-0,1738809#0,1793347#3,238122#-0,2213826#-0,3409504#3,414574#-0,02356974#-0,283374#2,990812#-0,3131297#-0,5917755#3,37815#-0,1597949#-0,5532851#2,76588#-0,296815#-0,5940951#3,269254#-0,1484649#-0,6531117#2,734768#1  
frame25 #-0,1722#0,8815845#3,53168#-0,1782363#0,6887944#3,428569# -0,1593456#0,4866952#2,963778#0,1321179#0,4839966#3,312462#-0,1077168#0,4775841#3,001209#0,09949574#0,4752826#3,259633#0,04716986#0,4502507#3,126965#-0,118023#0,5277281#3,218672#-0,1252173#0,5994931#3,28134#-0,3163654#0,6064602#3,396171#-0,1280525#0,2827388#3,310061#-0,1537464#0,2190497#3,24048#-0,1263351#0,1681109#3,211329#-0,1839356#0,1891168#3,233731#-0,2243869#-0,3515373#3,411514#-0,03152663#-0,2840934#2,97358#-0,317092#-0,6012164#3,364881#-0,1616599#-0,5439476#2,732377#-0,3057991#-0,598621#3,255645#-0,1488187#-0,6344862#2,672395#1  
frame26 #-0,1371419#0,9116172#3,576532#-0,2091369#0,7350428#3,463322# -0,1320134#0,4610071#2,996099#0,1788837#0,5038142#3,310749#-0,07785686#0,4658831#3,031014#0,1459388#0,495014#3,257397#0,08461282#0,4805112#3,149385#-0,1108956#0,5374383#3,238965#-0,1180284#0,5916243#3,300157#-0,3366005#0,5808389#3,392066#-0,142594#0,2891132#3,321852#-0,156579#0,222511#3,245209#-0,1205042#0,1702539#3,22301#-0,1899463#0,1902782#3,232853#-0,2272537#-0,3581095#3,414156#-0,04831121#-0,3026392#2,935797#-0,3179247#-0,6077422#3,36176#-0,1600406#-0,5580864#2,679739#-0,304452#-0,6058448#3,252133#-0,1354208#-0,6540256#2,637105#1  
frame27 #-0,1403776#0,9101413#3,585925#-0,2098007#0,7344223#3,464523# -0,07663481#0,4768974#3,045704#0,1984673#0,5205112#3,37156#-0,02666578#0,4866155#3,087176#0,1652184#0,5116297#3,317715#0,1232413#0,5157696#3,225351#-0,08987375#0,5436468#3,261286#-0,1038958#0,5799337#3,314508#-0,3367186#0,5730142#3,384364#-0,1489333#0,288411#3,326741#-0,1567394#0,2228762#3,248464#-0,1135942#0,1680193#3,230401#-0,1918051#0,1891014#3,233251#-0,2270319#-0,3584259#3,414233#-0,05559707#-0,3039725#2,924636#-0,318019#-0,6078859#3,362281#-0,1461084#-0,5686622#2,669703#-0,3043678#-0,6071501#3,251956#-0,1718405#-0,6174273#2,5903#1  
frame28 #-0,1538581#0,8858728#3,623998#-0,2210752#0,7243766#3,474679# -0,01883478#0,5333563#3,120685#-0,3985195#0,4412356#3,631129#0,02556586#0,5330223#3,168996#-0,4319344#0,4323098#3,577016#0,1587678#0,5320205#3,327797#-0,5452628#0,4537914#3,389016#-0,05772299#0,5572492#3,328837#-0,3365594#0,5554263#3,370916#-0,1599665#0,2897969#3,336956#-0,1584785#0,227764#3,257723#-0,1081504#0,1680211#3,23597#-0,196184#0,1882102#3,235683#-0,2392399#-0,3843347#3,418086#-0,06745002#-0,3060917#2,907954#-0,3277788#-0,6329119#3,354913#-0,1521878#-0,573543#2,654658#-0,3133049#-0,6326448#3,244539#-0,1647071#-0,6246252#2,573392#1  
frame29 #-0,1595142#0,8773268#3,62685#-0,2320642#0,7163216#3,478585# 0,005331688#0,5646015#3,183567#-0,38225#0,4035197#3,589703#0,0498307#0,5642668#3,231985#-0,4159899#0,3945071#3,535063#0,1833277#0,5632628#3,391151#-0,5293184#0,4159887#3,347107#-0,05396626#0,5573801#3,337883#-0,3214801#0,5270013#3,332291#-0,1642615#0,2876969#3,337933#-0,1539283#0,2270528#3,25878#-0,07854582#0,1617209#3,255035#-0,1931846#0,1817831#3,218915#-0,2426582#-0,3868628#3,419803#-0,07468078#-0,3025021#2,897648#-0,3296537#-0,635026#3,351777#-0,1539977#-0,5691916#2,641862#-0,3140436#-0,6365944#3,241128#-0,1559057#-0,6222667#2,560479#1  
frame30 #-0,1653585#0,8689539#3,62956#-0,2387999#0,7081265#3,479362# -0,002855271#0,5914452#3,250638#-0,3895283#0,3519053#3,497306#0,04177161#0,5911096#3,299196#-0,4236212#0,3427984#3,442095#0,1756522#0,5901026#3,458917#-0,5142523#0,4127604#3,214185#-0,04419722#0,5538744#3,35684#-0,3110169#0,523234#3,320694#-0,1663187#0,2731532#3,327629#-0,146965#0,2124877#3,24441#-0,08308597#0,1348198#3,235801#-0,1829428#0,1738974#3,192906#-0,2490576#-0,3892363#3,419621#-0,08609624#-0,2688808#2,901963#-0,3442307#-0,6335974#3,343573#-0,1556541#-0,5394561#2,64606#-0,3267219#-0,6393735#3,232816#-0,148037#-0,595374#2,566387#1  
frame31 #-0,2251563#0,8547382#3,592528#-0,2734133#0,6743783#3,458127# -0,04519784#0,6209173#3,302#-0,3953354#0,2710912#3,433742#-0,0004668534#0,6205809#3,35067#-0,4297283#0,2619042#3,378045#0,1337261#0,6195716#3,510832#-0,4628697#0,3442568#3,199682#-0,04636322#0,5561114#3,367045#-0,2970887#0,5091649#3,300822#-0,1703074#0,2634989#3,318244#-0,1445417#0,2074199#3,238282#-0,08274044#0,1340376#3,235241#-0,1769861#0,1684038#3,18306#-0,264028#-0,3916044#3,431205#-0,1068894#-0,3149569#2,847362#-0,3491554#-0,6374938#3,345684#-0,1719314#-0,5919749#2,598066#-0,3242063#-0,645911#3,236048#-0,1570993#-0,6495447#2,520098#1  
